,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,67.71,1151,17
1,2,2,Davis Love III,69.05,1312,19
2,3,3,Phil Mickelson,69.23,1523,22
3,T4,T4,Dan Forsman,69.25,1108,16
4,T4,T4,Nick Price,69.25,1108,16
5,6,6,Fred Funk,69.38,1665,24
6,7,7,Bob Estes,69.42,1319,19
7,8,8,David Toms,69.46,1667,24
8,9,9,Glen Hnatiuk,69.47,1320,19
9,10,10,Steve Stricker,69.55,765,11
10,11,11,Jim Furyk,69.56,1252,18
11,12,12,Boo Weekley,69.6,348,5
12,13,13,Retief Goosen,69.69,906,13
13,T14,T14,John Huston,69.73,1534,22
14,T14,T14,Bob May,69.73,1046,15
15,16,16,Brent Geiberger,69.76,1186,17
16,17,17,Kenneth Staton,69.79,977,14
17,18,18,John Rollins,69.81,1815,26
18,19,19,Notah Begay III,69.82,768,11
19,T20,T20,"David Berganio, Jr.",69.85,908,13
20,T20,T20,Robert Gamez,69.85,908,13
21,T22,T22,Jonathan Byrd,69.93,1049,15
22,T22,T22,J.P. Hayes,69.93,979,14
23,T24,T24,Joel Edwards,70.0,1540,22
24,T24,T24,Dicky Pride,70.0,630,9
25,26,26,Joey Sindelar,70.05,1331,19
26,27,27,Tom Scherrer,70.07,981,14
27,28,28,Peter Lonard,70.09,1612,23
28,29,29,Stuart Appleby,70.1,1402,20
29,30,30,John Senden,70.12,1192,17
30,31,31,Vijay Singh,70.14,1543,22
31,32,32,Jerry Kelly,70.15,1403,20
32,33,33,Chris Riley,70.18,1544,22
33,34,34,Ben Crane,70.19,1123,16
34,T35,T35,Brian Gay,70.21,1685,24
35,T35,T35,Tim Petrovic,70.21,983,14
36,37,37,David Peoples,70.23,1545,22
37,38,38,Charles Howell III,70.24,1756,25
38,39,39,Stephen Ames,70.25,1124,16
39,40,40,Olin Browne,70.26,1335,19
40,41,41,Edward Fryatt,70.27,773,11
41,42,42,Sergio Garcia,70.29,1195,17
42,43,43,Stephen Gangluff,70.3,703,10
43,44,44,Rich Beem,70.33,1266,18
44,45,45,Chris DiMarco,70.36,1759,25
45,46,46,John Riegger,70.38,1126,16
46,47,47,Greg Kraft,70.42,845,12
47,48,48,Chad Campbell,70.43,1479,21
48,T49,T49,Stewart Cink,70.44,1268,18
49,T49,T49,Michael Long,70.44,634,9
50,51,51,Jay Haas,70.47,1198,17
51,T52,T52,Tim Clark,70.5,987,14
52,T52,T52,Jess Daley,70.5,705,10
53,T52,T52,Rod Pampling,70.5,1269,18
54,55,55,Loren Roberts,70.52,1481,21
55,T56,T56,Joe Durant,70.53,1058,15
56,T56,T56,Scott Hoch,70.53,1058,15
57,T58,T58,Pat Bates,70.56,1129,16
58,T58,T58,Steve Pate,70.56,635,9
59,60,60,Jeff Gove,70.57,988,14
60,61,61,Scott Verplank,70.6,1412,20
61,62,62,Kaname Yokoo,70.63,565,8
62,T63,T63,Greg Chalmers,70.64,989,14
63,T63,T63,Robert Damron,70.64,989,14
64,T65,T65,Billy Andrade,70.67,1272,18
65,T65,T65,John Cook,70.67,1060,15
66,T65,T65,Ernie Els,70.67,1060,15
67,68,68,Frank Nobilo,70.69,1131,16
68,69,69,Dudley Hart,70.71,1202,17
69,70,70,Kenny Perry,70.73,1556,22
70,T71,T71,Robin Freeman,70.75,849,12
71,T71,T71,Rocco Mediate,70.75,1132,16
72,73,73,Mark O'Meara,70.78,637,9
73,74,74,Steve Elkington,70.81,1133,16
74,75,75,Brad Elder,70.82,779,11
75,76,76,K.J. Choi,70.83,1275,18
76,77,77,Shaun Micheel,70.85,1417,20
77,T78,T78,Robert Allenby,70.86,1488,21
78,T78,T78,Matt Kuchar,70.86,992,14
79,T78,T78,José María Olazábal,70.86,992,14
80,T81,T81,Jay Don Blake,70.89,1347,19
81,T81,T81,Spike McRoy,70.89,638,9
82,83,83,Shigeki Maruyama,70.9,1418,20
83,T84,T84,Peter Jacobsen,70.91,780,11
84,T84,T84,Justin Leonard,70.91,1560,22
