,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,John Daly,62,65.85,27,41
1,2,2,Tiger Woods,69,63.79,37,58
2,3,3,David Toms,106,63.64,49,77
3,4,4,Brett Quigley,93,61.29,38,62
4,5,5,David Duval,78,60.0,33,55
5,6,6,Craig Stadler,72,59.52,25,42
6,7,7,Stuart Appleby,97,58.23,46,79
7,8,8,Retief Goosen,56,57.69,30,52
8,9,9,Mike Weir,94,57.38,35,61
9,10,10,Robert Damron,85,57.35,39,68
10,11,11,Duffy Waldorf,90,57.14,36,63
11,12,12,Lee Janzen,101,56.9,33,58
12,13,13,Craig Barlow,62,56.52,26,46
13,14,14,Davis Love III,92,56.34,40,71
14,15,15,Geoff Ogilvy,90,56.25,36,64
15,16,16,Paul Stankowski,100,56.16,41,73
16,17,17,Rocco Mediate,79,56.14,32,57
17,18,18,Donnie Hammond,60,55.26,21,38
18,19,19,Jeff Brehaut,87,55.07,38,69
19,20,20,Jonathan Byrd,96,55.0,44,80
20,T21,T21,Chad Campbell,111,54.17,39,72
21,T21,T21,Ian Leggatt,97,54.17,39,72
22,23,23,Frank Lickliter II,94,54.1,33,61
23,24,24,Charles Howell III,118,54.08,53,98
24,25,25,Bryce Molder,65,54.0,27,50
25,T26,T26,Notah Begay III,76,53.85,42,78
26,T26,T26,Brett Wetterich,89,53.85,42,78
27,28,28,Robert Allenby,96,53.76,50,93
28,29,29,John Riegger,88,53.23,33,62
29,30,30,Scott McCarron,106,52.94,36,68
30,31,31,Mark O'Meara,68,52.78,19,36
31,32,32,Matt Gogel,79,52.63,20,38
32,33,33,John Rollins,124,52.29,57,109
33,34,34,Garrett Willis,80,52.24,35,67
34,35,35,Vijay Singh,102,52.13,49,94
35,36,36,Tim Petrovic,92,51.95,40,77
36,37,37,Billy Andrade,100,51.81,43,83
37,38,38,Pat Perez,89,51.79,29,56
38,39,39,Woody Austin,102,51.69,46,89
39,40,40,Kenny Perry,98,51.58,49,95
40,T41,T41,Tim Herron,102,51.52,34,66
41,T41,T41,David Peoples,105,51.52,34,66
42,43,43,Bernhard Langer,55,51.35,19,37
43,44,44,Bob Heintz,68,51.16,22,43
44,45,45,Greg Chalmers,94,50.85,30,59
45,46,46,Steve Flesch,110,50.79,32,63
