,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
139,T138,T138,Rory Sabbatini,23,2.73,175,64
140,T141,T141,Paul Goydos,20,2.74,181,66
141,T141,T141,Heath Slocum,32,2.74,252,92
142,T141,T141,Brian Watts,21,2.74,148,54
143,144,144,José María Olazábal,20,2.75,176,64
144,T145,T145,Steve Allan,30,2.76,251,91
145,T145,T145,K.J. Choi,27,2.76,246,89
146,T145,T145,Kenneth Staton,36,2.76,282,102
147,148,148,Paul Azinger,20,2.78,175,63
148,T149,T149,Billy Andrade,31,2.79,268,96
149,T149,T149,Robert Damron,28,2.79,229,82
150,T149,T149,Boo Weekley,24,2.79,159,57
151,T152,T152,José Coceres,16,2.8,143,51
152,T152,T152,Steve Lowery,28,2.8,258,92
153,154,154,Russ Cochran,24,2.81,188,67
154,155,155,Dicky Pride,16,2.82,144,51
155,156,156,Paul Claxton,29,2.83,235,83
156,T157,T157,Blaine McCallister,27,2.84,213,75
157,T157,T157,Geoff Ogilvy,27,2.84,244,86
158,T157,T157,Lee Porter,32,2.84,250,88
159,T160,T160,Brian Henninger,20,2.85,188,66
160,T160,T160,Carl Paulson,28,2.85,234,82
161,162,162,Paul Gow,35,2.86,275,96
162,T163,T163,Mark Calcavecchia,25,2.87,227,79
163,T163,T163,Brett Quigley,32,2.87,264,92
164,T165,T165,Bradley Hughes,22,2.88,173,60
165,T165,T165,Miguel Angel Jiménez,19,2.88,167,58
166,T165,T165,Steve Jones,24,2.88,196,68
167,T165,T165,Corey Pavin,24,2.88,219,76
168,169,169,Brad Elder,26,2.89,214,74
169,170,170,Robin Freeman,27,2.92,219,75
170,171,171,Edward Fryatt,34,2.93,270,92
171,T172,T172,Tripp Isenhour,21,2.94,200,68
172,T172,T172,Paul Stankowski,31,2.94,288,98
173,T174,T174,Michael Allen,29,2.95,218,74
174,T174,T174,Woody Austin,36,2.95,292,99
175,T176,T176,Tommy Armour III,30,2.96,240,81
176,T176,T176,Richard Zokol,20,2.96,151,51
177,178,178,Franklin Langham,25,2.97,205,69
178,T179,T179,Deane Pappas,34,3.01,262,87
179,T179,T179,Jerry Smith,33,3.01,262,87
180,181,181,Michael Muehr,27,3.03,215,71
181,182,182,Hal Sutton,26,3.04,222,73
182,183,183,Joe Ogilvie,20,3.06,153,50
