,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,John Daly,62,78.4,1098,14
1,2,2,Jonathan Byrd,96,98.5,1674,17
2,3,3,Brad Elder,76,102.5,1332,13
3,4,4,Phil Mickelson,97,105.8,1692,16
4,5,5,Bob May,91,106.8,1602,15
5,T6,T6,Sergio Garcia,79,108.0,1296,12
6,T6,T6,David Toms,106,108.0,1836,17
7,8,8,J.J. Henry,112,114.4,1944,17
8,9,9,Scott McCarron,106,117.6,1764,15
9,10,10,Bob Tway,103,118.8,1782,15
10,11,11,Peter Lonard,93,119.6,1674,14
11,12,12,Retief Goosen,56,121.5,972,8
12,13,13,Robert Allenby,96,122.1,1710,14
13,14,14,David Duval,78,122.7,1350,11
14,15,15,John Senden,96,127.4,1656,13
15,T16,T16,Rory Sabbatini,69,128.0,1152,9
16,T16,T16,Tommy Tolles,64,128.0,1152,9
17,18,18,Ben Crane,91,133.5,1602,12
18,19,19,Charles Howell III,118,134.4,2016,15
19,20,20,Rocco Mediate,79,135.0,1350,10
20,21,21,Greg Chalmers,94,136.5,1638,12
21,22,22,Jesper Parnevik,85,137.5,1512,11
22,23,23,Per-Ulrik Johansson,87,142.4,1566,11
23,24,24,Vijay Singh,102,144.0,1728,12
24,25,25,Paul Stankowski,100,147.0,1764,12
25,26,26,Carl Paulson,84,147.6,1476,10
26,27,27,Joe Ogilvie,50,150.0,900,6
27,T28,T28,Steve Jones,71,153.0,1224,8
28,T28,T28,Craig Stadler,72,153.0,1224,8
29,30,30,Stuart Appleby,97,153.8,1692,11
30,31,31,Fred Couples,64,154.3,1080,7
31,32,32,Robert Gamez,69,155.3,1242,8
32,33,33,Bo Van Pelt,78,156.0,1404,9
33,T34,T34,Davis Love III,92,156.6,1566,10
34,T34,T34,Shigeki Maruyama,87,156.6,1566,10
35,T34,T34,Craig Perks,91,156.6,1566,10
36,37,37,Steve Elkington,82,158.0,1422,9
37,38,38,Brenden Pappas,62,159.4,1116,7
38,39,39,Kaname Yokoo,74,162.0,1296,8
39,40,40,Steve Allan,93,163.8,1638,10
40,41,41,Edward Fryatt,94,165.6,1656,10
41,42,42,John Rollins,124,166.2,2160,13
42,43,43,Ian Leggatt,97,167.4,1674,10
43,44,44,Dudley Hart,88,168.0,1512,9
44,45,45,Brandt Jobe,94,169.2,1692,10
45,46,46,Cameron Beckman,87,170.0,1530,9
46,T47,T47,Rich Beem,99,171.0,1710,10
47,T47,T47,Boo Weekley,57,171.0,1026,6
48,49,49,David Peoples,105,171.8,1890,11
49,T50,T50,Paul Gow,99,172.8,1728,10
50,T50,T50,John Huston,99,172.8,1728,10
51,T50,T50,Lee Janzen,101,172.8,1728,10
52,53,53,Brett Wetterich,89,174.0,1566,9
53,54,54,Eduardo Herrera,59,177.0,1062,6
54,55,55,Mark Calcavecchia,84,177.8,1422,8
55,56,56,Tim Petrovic,92,178.0,1602,9
56,57,57,Tim Herron,102,178.2,1782,10
57,58,58,Brian Bateman,94,182.0,1638,9
58,59,59,Kenneth Staton,104,183.6,1836,10
59,60,60,Mike Weir,94,184.0,1656,9
60,61,61,Ernie Els,68,186.0,1116,6
61,62,62,Carlos Franco,107,189.0,1890,10
62,63,63,Michael Allen,76,190.3,1332,7
63,64,64,Geoff Ogilvy,90,193.5,1548,8
64,65,65,Shaun Micheel,100,194.0,1746,9
65,T66,T66,Stephen Ames,89,195.8,1566,8
66,T66,T66,Dennis Paulson,89,195.8,1566,8
67,T66,T66,Pat Perez,89,195.8,1566,8
68,T69,T69,Andrew Magee,91,198.0,1584,8
69,T69,T69,Mark O'Meara,68,198.0,1188,6
70,T69,T69,Nick Price,69,198.0,1188,6
71,72,72,Chris Smith,103,200.0,1800,9
72,T73,T73,"David Berganio, Jr.",80,203.1,1422,7
73,T73,T73,Jay Haas,83,203.1,1422,7
74,75,75,Tiger Woods,69,204.0,1224,6
75,76,76,Jay Williamson,91,204.8,1638,8
76,T77,T77,Steve Lowery,98,207.0,1656,8
77,T77,T77,Brett Quigley,93,207.0,1656,8
78,79,79,Miguel Angel Jiménez,60,208.8,1044,5
79,80,80,Steve Flesch,110,210.0,1890,9
80,81,81,Justin Leonard,97,211.5,1692,8
81,82,82,Jason Hill,59,212.4,1062,5
82,83,83,Phil Tataurangi,88,216.0,1512,7
83,84,84,J.L. Lewis,98,220.5,1764,8
84,85,85,Notah Begay III,76,222.0,1332,6
85,86,86,Robin Freeman,79,225.0,1350,6
86,87,87,Steve Stricker,68,226.8,1134,5
87,88,88,K.J. Choi,93,228.9,1602,7
88,89,89,José Coceres,51,229.5,918,4
89,T90,T90,Scott Verplank,93,234.0,1638,7
90,T90,T90,Garrett Willis,80,234.0,1404,6
91,92,92,Jay Don Blake,107,236.3,1890,8
92,93,93,Bart Bryant,69,237.6,1188,5
93,94,94,Mike Hulbert,55,238.5,954,4
94,95,95,David Gossett,95,239.1,1674,7
95,T96,T96,Dan Forsman,83,243.0,1458,6
96,T96,T96,Jonathan Kaye,83,243.0,1458,6
97,T98,T98,Bob Heintz,68,244.8,1224,5
98,T98,T98,Tripp Isenhour,68,244.8,1224,5
99,100,100,Grant Waite,98,246.9,1728,7
100,T101,T101,Jim Carter,98,252.0,1764,7
101,T101,T101,Jerry Kelly,99,252.0,1764,7
102,103,103,Tom Pernice Jr.,101,254.6,1782,7
103,T104,T104,Joel Edwards,101,259.7,1818,7
104,T104,T104,Neal Lancaster,101,259.7,1818,7
105,T106,T106,Jeff Brehaut,87,261.0,1566,6
106,T106,T106,Bob Estes,93,261.0,1566,6
107,T106,T106,David Morland IV,58,261.0,1044,4
108,T106,T106,Deane Pappas,90,261.0,1566,6
109,110,110,Joey Sindelar,104,262.3,1836,7
110,T111,T111,Stewart Cink,92,264.0,1584,6
111,T111,T111,Harrison Frazar,88,264.0,1584,6
112,113,113,Brad Lardon,59,265.5,1062,4
113,114,114,Chris DiMarco,111,272.6,1908,7
114,115,115,Jess Daley,76,273.6,1368,5
115,116,116,Brent Geiberger,95,276.0,1656,6
116,117,117,Glen Hnatiuk,95,279.0,1674,6
117,118,118,Chad Campbell,111,280.3,1962,7
118,119,119,Billy Mayfair,99,282.0,1692,6
119,120,120,Kenny Perry,98,285.0,1710,6
120,T121,T121,Billy Andrade,100,288.0,1728,6
121,T121,T121,Mathew Goggin,64,288.0,1152,4
122,T121,T121,Matt Peterson,80,288.0,1440,5
123,124,124,Tommy Armour III,82,291.6,1458,5
124,T125,T125,Robert Damron,85,295.2,1476,5
125,T125,T125,Matt Kuchar,82,295.2,1476,5
126,127,127,Brian Henninger,66,297.0,1188,4
127,128,128,Jeff Sluman,118,300.9,2106,7
128,129,129,Peter Jacobsen,67,301.5,1206,4
129,130,130,Greg Kraft,86,302.4,1512,5
130,T131,T131,Brad Faxon,93,306.0,1530,5
131,T131,T131,Richard Zokol,53,306.0,918,3
132,133,133,Joe Durant,87,309.6,1548,5
133,134,134,Franklin Langham,72,310.5,1242,4
134,135,135,Duffy Waldorf,90,313.2,1566,5
135,136,136,Tom Lehman,78,315.0,1260,4
136,137,137,Fred Funk,106,318.0,1908,6
137,138,138,Frank Lickliter II,94,320.4,1602,5
138,T139,T139,Scott Dunlap,74,324.0,1296,4
139,T139,T139,Bernhard Langer,55,324.0,972,3
140,T139,T139,Kevin Sutherland,96,324.0,1620,5
141,T139,T139,Brian Watts,58,324.0,972,3
142,143,143,Tim Clark,76,328.5,1314,4
143,144,144,Mark Brooks,97,334.8,1674,5
144,145,145,Frank Nobilo,94,338.4,1692,5
145,T146,T146,Michael Clark II,97,342.0,1710,5
146,T146,T146,Tom Scherrer,98,342.0,1710,5
147,148,148,Brian Gay,117,345.0,2070,6
148,149,149,Tom Byrum,77,346.5,1386,4
149,150,150,Kirk Triplett,84,355.5,1422,4
150,T151,T151,Bradley Hughes,60,360.0,1080,3
151,T151,T151,Steve Pate,64,360.0,1080,3
152,T151,T151,Chris Riley,104,360.0,1800,5
153,154,154,John Cook,85,369.0,1476,4
154,155,155,Kent Jones,105,370.8,1854,5
155,156,156,Luke Donald,106,374.4,1872,5
156,T157,T157,Brandel Chamblee,85,378.0,1512,4
157,T157,T157,Bryce Molder,65,378.0,1134,3
158,159,159,Len Mattiace,106,381.6,1908,5
159,160,160,John Riegger,88,387.0,1548,4
160,161,161,Briny Baird,110,388.8,1944,5
161,162,162,Mike Sposa,111,392.4,1962,5
162,163,163,Russ Cochran,68,402.0,1206,3
163,T164,T164,Craig Parry,69,414.0,1242,3
164,T164,T164,Heath Slocum,96,414.0,1656,4
165,166,166,Rod Pampling,98,423.0,1692,4
166,T167,T167,Michael Long,71,426.0,1278,3
167,T167,T167,Michael Muehr,73,426.0,1278,3
168,169,169,Hal Sutton,74,438.0,1314,3
169,170,170,Woody Austin,102,445.5,1782,4
170,171,171,Stephen Gangluff,75,450.0,1350,3
171,172,172,Skip Kendall,103,454.5,1818,4
172,T173,T173,J.P. Hayes,78,456.0,1368,3
173,T173,T173,Corey Pavin,78,456.0,1368,3
174,175,175,Hidemichi Tanaka,104,459.0,1836,4
175,176,176,Olin Browne,107,468.0,1872,4
176,177,177,Lee Porter,91,528.0,1584,3
177,178,178,David Frost,90,540.0,1620,3
178,T179,T179,Bob Burns,99,576.0,1728,3
179,T179,T179,José María Olazábal,71,576.0,1152,2
180,T181,T181,Paul Goydos,66,594.0,1188,2
181,T181,T181,Gary Nicklaus,66,594.0,1188,2
182,183,183,Spike McRoy,69,603.0,1206,2
183,184,184,Glen Day,107,618.0,1854,3
184,185,185,Scott Hoch,71,630.0,1260,2
185,186,186,Matt Gogel,79,684.0,1368,2
186,T187,T187,Paul Claxton,83,747.0,1494,2
187,T187,T187,Jeff Maggert,83,747.0,1494,2
188,189,189,Jim Furyk,88,765.0,1530,2
189,190,190,Jeff Gove,89,801.0,1602,2
190,191,191,Pat Bates,94,819.0,1638,2
191,192,192,Loren Roberts,93,837.0,1674,2
192,T193,T193,Dicky Pride,51,918.0,918,1
193,T193,T193,Esteban Toledo,106,918.0,1836,2
194,195,195,Donnie Hammond,60,1080.0,1080,1
195,196,196,Scott Simpson,61,1098.0,1098,1
196,197,197,Paul Azinger,69,1134.0,1134,1
197,198,198,Blaine McCallister,75,1350.0,1350,1
198,199,199,Pete Jordan,78,1404.0,1404,1
199,200,200,Jerry Smith,91,1566.0,1566,1
