,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,69,68.561,4692,- 29.831,68
1,2,2,Vijay Singh,102,69.471,6697,- 27.804,96
2,3,3,Ernie Els,68,69.49600000000001,4357,- 48.243,62
3,4,4,Phil Mickelson,97,69.582,6553,- 12.336,94
4,5,5,Nick Price,69,69.592,4623,- 29.930,66
5,6,6,Retief Goosen,56,69.693,3787,- 23.605,54
6,7,7,David Toms,106,69.734,7103,9.860,102
7,8,8,Justin Leonard,97,69.857,6572,- 5.437,94
8,9,9,Fred Funk,106,69.98899999999999,7382,36.853,106
9,10,10,Sergio Garcia,79,69.999,5081,- 41.096,72
10,11,11,Peter Lonard,93,70.005,6520,- 9.537,93
11,12,12,Charles Howell III,118,70.018,7839,3.040,112
12,13,13,Davis Love III,92,70.089,6108,- 10.253,87
13,14,14,Chris DiMarco,111,70.109,7423,8.552,106
14,15,15,Loren Roberts,93,70.11399999999999,6508,12.563,93
15,16,16,Jim Furyk,88,70.157,5963,.311,85
16,17,17,Chris Riley,104,70.171,6990,27.130,100
17,18,18,Kenny Perry,98,70.205,6652,17.478,95
18,19,19,John Huston,99,70.209,6720,20.111,96
19,20,20,Shigeki Maruyama,87,70.257,6149,- 36.645,87
20,21,21,Robert Allenby,96,70.264,6674,1.096,95
21,22,22,Scott Hoch,71,70.27,4936,- 17.101,70
22,23,23,Bob Estes,93,70.283,6122,- 7.386,87
23,24,24,K.J. Choi,93,70.308,6280,- 22.563,89
24,25,25,Rocco Mediate,79,70.361,5280,- 2.948,75
25,26,26,Jerry Kelly,99,70.421,6900,1.295,98
26,27,27,Scott Verplank,93,70.50399999999999,6390,25.909,91
27,28,28,Bob Tway,103,70.512,6968,12.646,99
28,29,29,Steve Flesch,110,70.531,7418,- 12.241,105
29,30,30,Stuart Appleby,97,70.535,6628,2.274,94
30,31,31,Joel Edwards,101,70.53699999999999,7084,40.212,101
31,32,32,Len Mattiace,106,70.548,7487,- 8.913,106
32,33,33,José María Olazábal,71,70.551,4552,- 36.750,64
33,34,34,Tom Lehman,78,70.564,4970,- 30.506,70
34,35,35,Duffy Waldorf,90,70.59100000000001,6127,14.407,87
35,36,36,Donnie Hammond,60,70.596,4226,9.745,60
36,37,37,Jay Haas,83,70.608,5581,- 2.996,79
37,38,38,Kirk Triplett,84,70.616,5566,12.635,79
38,39,39,Phil Tataurangi,88,70.623,5929,3.295,84
39,40,40,Luke Donald,106,70.64399999999999,7349,- 2.053,104
40,41,41,John Rollins,124,70.65899999999999,8426,53.058,120
41,42,42,Brad Faxon,93,70.66,6025,- 18.904,85
42,43,43,Billy Andrade,100,70.666,6779,4.943,96
43,44,44,Jeff Sluman,118,70.67,8241,27.362,117
44,45,45,Tim Herron,102,70.675,6988,8.831,99
45,46,46,Stephen Ames,89,70.67699999999999,6149,- .124,87
46,47,47,Cameron Beckman,87,70.69800000000001,5976,33.307,85
47,48,48,David Duval,78,70.711,5295,8.352,75
48,49,49,Glen Hnatiuk,95,70.73100000000001,6529,48.967,93
49,50,50,Dudley Hart,88,70.743,5956,- 13.563,84
50,51,51,David Peoples,105,70.749,7370,58.695,105
51,52,52,Tom Byrum,77,70.76,5451,- 2.472,77
52,53,53,Lee Janzen,101,70.765,6796,- 2.524,96
53,54,54,Stewart Cink,92,70.775,6227,1.195,88
54,55,55,Scott McCarron,106,70.78399999999999,6921,15.795,98
55,56,56,Dan Forsman,83,70.791,5691,43.099,81
56,57,57,Shaun Micheel,100,70.805,6844,24.063,97
57,58,58,John Senden,96,70.84100000000001,6561,27.224,93
58,59,59,Rod Pampling,98,70.845,6627,32.476,94
59,60,60,Steve Elkington,82,70.863,5624,- 25.830,79
60,T61,T61,Ian Leggatt,97,70.868,6580,10.722,93
61,T61,T61,Steve Stricker,68,70.868,4481,- 16.304,63
62,63,63,Brian Gay,117,70.87,8117,33.065,115
63,64,64,Steve Lowery,98,70.881,6510,11.078,92
64,65,65,Mike Weir,94,70.884,6513,8.316,92
65,66,66,Hidemichi Tanaka,104,70.888,7213,17.581,102
66,67,67,Robert Gamez,69,70.906,4870,22.536,69
67,68,68,Fred Couples,64,70.916,4228,26.936,60
68,T69,T69,Briny Baird,110,70.928,7642,18.241,108
69,T69,T69,Jonathan Byrd,96,70.928,6617,50.242,94
70,71,71,Corey Pavin,78,70.93,5409,- 18.309,76
71,72,72,Rory Sabbatini,69,70.949,4540,.759,64
72,73,73,Rich Beem,99,70.968,6703,38.965,95
73,74,74,Jim Carter,98,70.98100000000001,6965,- 8.910,98
74,75,75,Chris Smith,103,70.982,7072,26.178,100
75,76,76,Billy Mayfair,99,71.018,6680,- 4.332,94
76,77,77,Brent Geiberger,95,71.01899999999999,6503,30.738,92
77,78,78,Bernhard Langer,55,71.024,3860,- 24.719,54
78,79,79,Matt Kuchar,82,71.038,5822,3.102,82
79,80,80,Pat Bates,94,71.043,6404,60.947,91
80,81,81,Per-Ulrik Johansson,87,71.046,6156,24.974,87
81,82,82,Olin Browne,107,71.051,7353,36.312,104
82,T83,T83,Jonathan Kaye,83,71.071,5752,4.724,81
83,T83,T83,Frank Lickliter II,94,71.071,6326,- .702,89
84,85,85,Pat Perez,89,71.074,6182,1.439,87
85,86,86,Peter Jacobsen,67,71.082,4743,19.506,67
86,87,87,Bart Bryant,69,71.094,4659,33.182,66
87,88,88,Chad Campbell,111,71.1,7689,60.866,109
88,T89,T89,Tripp Isenhour,68,71.131,4825,11.932,68
89,T89,T89,Kevin Sutherland,96,71.131,6406,- 4.181,90
90,91,91,Craig Parry,69,71.132,4897,11.092,69
91,92,92,Craig Stadler,72,71.137,4834,3.296,68
92,93,93,J.L. Lewis,98,71.142,6922,49.929,98
93,94,94,Ben Crane,91,71.155,6289,43.808,89
94,95,95,Glen Day,107,71.15899999999999,7272,57.375,103
95,96,96,Bob May,91,71.16199999999999,6282,51.444,89
96,97,97,Jay Don Blake,107,71.166,7447,25.442,105
97,98,98,Esteban Toledo,106,71.17,7223,36.314,102
98,99,99,John Riegger,88,71.171,6074,46.730,86
99,100,100,Skip Kendall,103,71.172,7149,39.341,101
100,101,101,John Cook,85,71.173,5809,27.151,82
101,102,102,Joey Sindelar,104,71.189,7239,22.322,102
102,103,103,Tim Petrovic,92,71.193,6289,47.219,89
103,104,104,Mathew Goggin,64,71.194,4553,3.433,64
104,105,105,Bob Burns,99,71.19800000000001,6785,50.030,96
105,106,106,Kent Jones,105,71.203,7320,13.958,103
106,107,107,Brandt Jobe,94,71.226,6642,53.262,94
107,108,108,Mark O'Meara,68,71.24600000000001,4715,- 12.761,66
108,109,109,Jesper Parnevik,85,71.25,5999,- 14.022,84
109,110,110,Brian Henninger,66,71.262,4683,20.281,66
110,111,111,Steve Allan,93,71.26899999999999,6450,35.512,91
111,112,112,Joe Durant,87,71.281,6107,23.150,86
112,113,113,Neal Lancaster,101,71.28399999999999,7181,18.729,101
113,114,114,Jeff Maggert,83,71.293,5935,- 17.668,83
114,115,115,Craig Barlow,62,71.298,4120,15.280,58
115,116,116,J.P. Hayes,78,71.301,5387,31.838,76
116,117,117,J.J. Henry,112,71.314,7666,35.942,108
117,118,118,Tim Clark,76,71.33800000000001,5178,29.691,73
118,T119,T119,Mark Calcavecchia,84,71.348,5638,- 1.545,79
119,T119,T119,Bryce Molder,65,71.348,4482,12.899,63
120,121,121,Carlos Franco,107,71.35600000000001,7420,72.426,105
121,122,122,Geoff Ogilvy,90,71.372,6094,44.024,86
122,123,123,Jay Williamson,91,71.377,6467,28.329,91
123,124,124,Greg Chalmers,94,71.383,6483,12.832,91
124,125,125,David Frost,90,71.388,6418,6.959,90
125,126,126,David Gossett,95,71.39699999999999,6585,54.889,93
126,127,127,Paul Stankowski,100,71.4,6981,16.167,98
127,128,128,Harrison Frazar,88,71.405,6266,17.638,88
128,129,129,"David Berganio, Jr.",80,71.443,5597,46.998,79
129,130,130,Frank Nobilo,94,71.48100000000001,6688,31.179,94
130,131,131,Tom Pernice Jr.,101,71.494,7053,24.924,99
131,132,132,Steve Pate,64,71.495,4265,24.673,60
132,133,133,Paul Goydos,66,71.52199999999999,4711,9.457,66
133,134,134,Grant Waite,98,71.536,6821,46.471,96
134,T135,T135,Paul Azinger,69,71.543,4513,- 5.802,63
