,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Tiger Woods,69,10.29,126,1224
1,2,2,Jim Furyk,88,12.22,187,1530
2,3,3,Loren Roberts,93,12.6,211,1674
3,4,4,Vijay Singh,102,12.73,220,1728
4,5,5,Fred Funk,106,12.89,246,1908
5,6,6,Glen Hnatiuk,95,12.9,216,1674
6,7,7,Joel Edwards,101,13.15,239,1818
7,8,8,Chris Riley,104,13.17,237,1800
8,9,9,Jerry Kelly,99,13.44,237,1764
9,10,10,Jeff Sluman,118,13.58,286,2106
10,11,11,Dan Forsman,83,13.65,199,1458
11,12,12,Justin Leonard,97,13.71,232,1692
12,13,13,David Toms,106,13.73,252,1836
13,14,14,Bob Tway,103,13.75,245,1782
14,15,15,David Peoples,105,13.76,260,1890
15,16,16,Chris DiMarco,111,13.78,263,1908
16,17,17,John Rollins,124,14.03,303,2160
17,T18,T18,Peter Lonard,93,14.16,237,1674
18,T18,T18,Scott Verplank,93,14.16,232,1638
19,20,20,Bob Estes,93,14.18,222,1566
20,21,21,Bob May,91,14.23,228,1602
21,22,22,Retief Goosen,56,14.3,139,972
22,23,23,Peter Jacobsen,67,14.34,173,1206
23,24,24,John Huston,99,14.35,248,1728
24,25,25,Glen Day,107,14.4,267,1854
25,26,26,Shaun Micheel,100,14.43,252,1746
26,T27,T27,Bart Bryant,69,14.48,172,1188
27,T27,T27,Nick Price,69,14.48,172,1188
28,29,29,Rod Pampling,98,14.54,246,1692
29,30,30,Charles Howell III,118,14.58,294,2016
30,31,31,Carlos Franco,107,14.6,276,1890
31,32,32,Cameron Beckman,87,14.64,224,1530
32,T33,T33,Bob Burns,99,14.7,254,1728
33,T33,T33,Ernie Els,68,14.7,164,1116
34,35,35,Pat Bates,94,14.71,241,1638
35,36,36,Tom Byrum,77,14.72,204,1386
36,37,37,Chad Campbell,111,14.73,289,1962
37,38,38,Esteban Toledo,106,14.76,271,1836
38,39,39,Phil Mickelson,97,14.78,250,1692
39,40,40,John Riegger,88,14.79,229,1548
40,41,41,Kenny Perry,98,14.8,253,1710
41,42,42,Jay Haas,83,14.84,211,1422
42,43,43,Skip Kendall,103,14.91,271,1818
43,44,44,Tim Petrovic,92,14.98,240,1602
44,45,45,Scott Hoch,71,15.0,189,1260
45,T46,T46,Luke Donald,106,15.01,281,1872
46,T46,T46,Davis Love III,92,15.01,235,1566
47,48,48,Rocco Mediate,79,15.04,203,1350
48,49,49,Tom Lehman,78,15.08,190,1260
49,T50,T50,Robert Allenby,96,15.09,258,1710
50,T50,T50,Mike Sposa,111,15.09,296,1962
51,52,52,Brandt Jobe,94,15.13,256,1692
52,53,53,Matt Peterson,80,15.14,218,1440
53,54,54,Joe Durant,87,15.18,235,1548
54,55,55,"David Berganio, Jr.",80,15.26,217,1422
55,T56,T56,Len Mattiace,106,15.3,292,1908
