,Tenth_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_1_Scoring_Average_AVG,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,K.J. Choi,66.0,132,2
1,T2,T2,Stewart Cink,67.0,67,1
2,T2,T2,Scott Hoch,67.0,335,5
3,4,4,Tiger Woods,67.25,269,4
4,5,5,Kenny Perry,67.33,202,3
5,6,6,Scott Verplank,67.8,339,5
6,7,7,David Toms,68.0,340,5
7,8,8,Corey Pavin,68.17,409,6
8,9,9,Ben Crane,68.38,547,8
9,10,10,Luke Donald,68.45,753,11
10,T11,T11,"David Berganio, Jr.",68.5,274,4
11,T11,T11,Robert Gamez,68.5,274,4
12,T11,T11,Matt Gogel,68.5,274,4
13,T11,T11,Jesper Parnevik,68.5,137,2
14,T15,T15,John Huston,68.67,618,9
15,T15,T15,Peter Jacobsen,68.67,206,3
16,T17,T17,Russ Cochran,68.75,275,4
17,T17,T17,Jay Haas,68.75,275,4
18,T17,T17,Len Mattiace,68.75,275,4
19,T20,T20,Olin Browne,69.0,276,4
20,T20,T20,Franklin Langham,69.0,207,3
21,T22,T22,Billy Andrade,69.14,484,7
22,T22,T22,Vijay Singh,69.14,484,7
23,24,24,Robin Freeman,69.2,346,5
24,T25,T25,Dudley Hart,69.25,277,4
25,T25,T25,Gary Nicklaus,69.25,277,4
26,27,27,Per-Ulrik Johansson,69.29,485,7
27,28,28,Kirk Triplett,69.33,208,3
28,T29,T29,Bart Bryant,69.4,347,5
29,T29,T29,Davis Love III,69.4,347,5
30,T29,T29,Mike Weir,69.4,347,5
31,T32,T32,José Coceres,69.5,278,4
32,T32,T32,Jess Daley,69.5,278,4
33,T32,T32,Bob Heintz,69.5,417,6
34,T32,T32,Peter Lonard,69.5,139,2
35,T32,T32,Blaine McCallister,69.5,139,2
36,T32,T32,Steve Pate,69.5,139,2
37,T32,T32,John Rollins,69.5,556,8
38,39,39,Jonathan Byrd,69.57,487,7
39,T40,T40,Robert Allenby,69.63,557,8
40,T40,T40,David Gossett,69.63,557,8
41,T40,T40,Charles Howell III,69.63,557,8
42,T43,T43,Stephen Ames,69.67,418,6
43,T43,T43,Miguel Angel Jiménez,69.67,209,3
44,T43,T43,Hidemichi Tanaka,69.67,627,9
45,T46,T46,Stuart Appleby,69.75,279,4
46,T46,T46,Mark Brooks,69.75,558,8
47,T46,T46,Bob Estes,69.75,279,4
48,T46,T46,Justin Leonard,69.75,279,4
49,T46,T46,Shigeki Maruyama,69.75,279,4
50,T46,T46,Rocco Mediate,69.75,279,4
51,T46,T46,Heath Slocum,69.75,558,8
52,T53,T53,Tim Petrovic,69.8,349,5
53,T53,T53,Loren Roberts,69.8,349,5
