,Birdie_or_Better_Percentage_-_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Rough_%,Birdie_or_Better_Percentage_-_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Rough_TOTAL HOLES
0,1,1,John Huston,99,31.58,18,57
1,2,2,Tiger Woods,69,28.33,17,60
2,3,3,Kaname Yokoo,74,24.0,12,50
3,4,4,Sergio Garcia,79,23.21,13,56
4,5,5,Jonathan Byrd,96,23.16,22,95
5,6,6,Craig Stadler,72,23.08,9,39
6,7,7,John Cook,85,22.92,11,48
7,8,8,Notah Begay III,76,22.58,14,62
8,9,9,Kenny Perry,98,21.59,19,88
9,10,10,Jeff Maggert,83,20.83,10,48
10,11,11,Tim Herron,102,20.79,21,101
11,12,12,Richard Zokol,53,20.45,9,44
12,T13,T13,Fred Couples,64,20.0,9,45
13,T13,T13,Steve Stricker,68,20.0,10,50
14,15,15,Harrison Frazar,88,19.32,17,88
15,16,16,Woody Austin,102,18.8,22,117
16,17,17,Robert Gamez,69,18.75,12,64
17,T18,T18,Greg Kraft,86,18.67,14,75
18,T18,T18,John Riegger,88,18.67,14,75
19,20,20,Carlos Franco,107,18.56,18,97
20,21,21,Glen Day,107,18.52,15,81
21,T22,T22,Robert Allenby,96,18.18,16,88
22,T22,T22,John Rollins,124,18.18,18,99
23,T22,T22,Scott Simpson,61,18.18,10,55
24,25,25,Bryce Molder,65,18.09,17,94
25,26,26,David Peoples,105,18.07,15,83
26,27,27,K.J. Choi,93,18.06,13,72
27,28,28,Chris DiMarco,111,17.95,14,78
28,29,29,Scott McCarron,106,17.92,19,106
29,30,30,Jonathan Kaye,83,17.58,16,91
30,31,31,Brian Gay,117,17.48,18,103
31,32,32,Kenneth Staton,104,17.39,16,92
32,33,33,Hal Sutton,74,17.31,9,52
33,34,34,Tripp Isenhour,68,17.28,14,81
34,35,35,Duffy Waldorf,90,17.14,12,70
35,36,36,Frank Lickliter II,94,17.11,13,76
36,37,37,Tim Petrovic,92,17.07,14,82
37,38,38,Chad Campbell,111,16.67,15,90
38,39,39,Grant Waite,98,16.5,17,103
39,40,40,Len Mattiace,106,16.49,16,97
40,41,41,Rod Pampling,98,16.47,14,85
41,42,42,Andrew Magee,91,16.46,13,79
42,43,43,Per-Ulrik Johansson,87,16.42,11,67
43,44,44,Shigeki Maruyama,87,16.39,10,61
44,45,45,Brett Quigley,93,16.38,19,116
45,46,46,Mark Calcavecchia,84,16.36,9,55
46,47,47,Paul Goydos,66,16.22,6,37
47,48,48,Tom Scherrer,98,16.0,16,100
48,49,49,Bradley Hughes,60,15.87,10,63
49,50,50,Olin Browne,107,15.85,13,82
50,51,51,Ben Crane,91,15.79,15,95
51,T52,T52,Robin Freeman,79,15.69,16,102
52,T52,T52,Matt Kuchar,82,15.69,8,51
53,54,54,Garrett Willis,80,15.56,14,90
54,T55,T55,Paul Claxton,83,15.19,12,79
55,T55,T55,Brent Geiberger,95,15.19,12,79
56,T57,T57,Chris Riley,104,15.12,13,86
57,T57,T57,Tommy Tolles,64,15.12,13,86
58,59,59,"David Berganio, Jr.",80,14.71,10,68
59,60,60,Bob Heintz,68,14.67,11,75
60,61,61,Jay Don Blake,107,14.61,13,89
61,T62,T62,Jim Furyk,88,14.58,7,48
62,T62,T62,Dennis Paulson,89,14.58,14,96
63,64,64,J.P. Hayes,78,14.55,8,55
64,65,65,Tommy Armour III,82,14.52,9,62
65,66,66,Steve Lowery,98,14.47,11,76
66,67,67,Vijay Singh,102,14.46,12,83
67,68,68,Greg Chalmers,94,14.44,13,90
68,T69,T69,Craig Barlow,62,14.29,11,77
69,T69,T69,Tom Byrum,77,14.29,8,56
70,T69,T69,Steve Jones,71,14.29,8,56
71,T72,T72,Jeff Brehaut,87,14.13,13,92
72,T72,T72,Phil Mickelson,97,14.13,13,92
73,74,74,Brad Faxon,93,14.06,9,64
74,75,75,Michael Long,71,13.98,13,93
75,T76,T76,John Senden,96,13.95,12,86
76,T76,T76,Brian Watts,58,13.95,6,43
77,78,78,Davis Love III,92,13.92,11,79
78,79,79,Bob May,91,13.86,14,101
79,80,80,Pat Bates,94,13.85,9,65
80,81,81,Fred Funk,106,13.79,8,58
81,T82,T82,Brandt Jobe,94,13.64,12,88
82,T82,T82,Tom Lehman,78,13.64,6,44
83,T82,T82,Mark O'Meara,68,13.64,6,44
84,85,85,Hidemichi Tanaka,104,13.51,10,74
85,T86,T86,Bob Burns,99,13.41,11,82
86,T86,T86,Jess Daley,76,13.41,11,82
87,88,88,Jerry Smith,91,13.33,10,75
88,89,89,Tom Pernice Jr.,101,13.27,13,98
89,90,90,Stewart Cink,92,13.24,9,68
90,91,91,Charles Howell III,118,13.19,12,91
91,92,92,Jim Carter,98,13.11,8,61
92,93,93,Bernhard Langer,55,13.04,3,23
93,94,94,Ernie Els,68,12.96,7,54
94,95,95,Stuart Appleby,97,12.94,11,85
95,96,96,Joey Sindelar,104,12.87,13,101
96,97,97,Jason Hill,59,12.86,9,70
97,T98,T98,David Duval,78,12.82,10,78
98,T98,T98,Miguel Angel Jiménez,60,12.82,5,39
99,100,100,Paul Gow,99,12.75,13,102
100,T101,T101,Brad Elder,76,12.66,10,79
101,T101,T101,Bob Tway,103,12.66,10,79
102,T103,T103,Rich Beem,99,12.64,11,87
103,T103,T103,Phil Tataurangi,88,12.64,11,87
104,T105,T105,Briny Baird,110,12.5,10,80
105,T105,T105,Peter Lonard,93,12.5,8,64
106,T107,T107,Edward Fryatt,94,12.36,11,89
107,T107,T107,J.L. Lewis,98,12.36,11,89
108,109,109,David Gossett,95,12.31,8,65
109,110,110,Cameron Beckman,87,12.16,9,74
110,T111,T111,Loren Roberts,93,12.12,8,66
111,T111,T111,Kirk Triplett,84,12.12,4,33
112,113,113,Pete Jordan,78,12.07,7,58
113,T114,T114,Michael Clark II,97,12.0,9,75
114,T114,T114,Chris Smith,103,12.0,9,75
115,T116,T116,Billy Andrade,100,11.9,10,84
116,T116,T116,Luke Donald,106,11.9,10,84
117,118,118,Justin Leonard,97,11.86,7,59
118,119,119,Skip Kendall,103,11.76,10,85
119,120,120,David Frost,90,11.69,9,77
120,121,121,Stephen Ames,89,11.67,7,60
121,122,122,Deane Pappas,90,11.65,12,103
122,123,123,Neal Lancaster,101,11.63,10,86
123,124,124,Billy Mayfair,99,11.54,6,52
124,125,125,David Morland IV,58,11.48,7,61
125,T126,T126,Joe Durant,87,11.43,4,35
126,T126,T126,Lee Janzen,101,11.43,8,70
127,128,128,Joel Edwards,101,11.39,9,79
128,129,129,Bart Bryant,69,11.32,6,53
129,T130,T130,Brian Henninger,66,11.29,7,62
130,T130,T130,Scott Hoch,71,11.29,7,62
131,132,132,José María Olazábal,71,11.25,9,80
132,T133,T133,Donnie Hammond,60,11.11,5,45
133,T133,T133,Geoff Ogilvy,90,11.11,12,108
134,T133,T133,Jesper Parnevik,85,11.11,5,45
135,136,136,Brandel Chamblee,85,10.98,9,82
136,137,137,Robert Damron,85,10.96,8,73
137,138,138,Dan Forsman,83,10.94,7,64
138,139,139,Paul Stankowski,100,10.89,11,101
139,T140,T140,Heath Slocum,96,10.87,5,46
140,T140,T140,Jeff Sluman,118,10.87,10,92
141,142,142,Steve Elkington,82,10.81,8,74
142,143,143,Mike Weir,94,10.61,7,66
143,T144,T144,Corey Pavin,78,10.53,4,38
144,T144,T144,Brett Wetterich,89,10.53,10,95
145,T146,T146,Glen Hnatiuk,95,10.29,7,68
146,T146,T146,Lee Porter,91,10.29,7,68
147,148,148,J.J. Henry,112,10.23,9,88
148,149,149,Craig Parry,69,10.17,6,59
149,150,150,Mike Sposa,111,10.11,9,89
150,T151,T151,Russ Cochran,68,10.0,7,70
151,T151,T151,Peter Jacobsen,67,10.0,5,50
152,153,153,Jerry Kelly,99,9.89,9,91
153,154,154,Kevin Sutherland,96,9.86,7,71
154,155,155,Steve Allan,93,9.73,11,113
155,T156,T156,Dudley Hart,88,9.68,6,62
156,T156,T156,Kent Jones,105,9.68,9,93
157,158,158,Spike McRoy,69,9.62,5,52
158,159,159,Franklin Langham,72,9.52,8,84
159,160,160,Craig Perks,91,9.41,8,85
160,161,161,Bo Van Pelt,78,9.38,9,96
161,162,162,Pat Perez,89,9.23,6,65
162,163,163,Michael Allen,76,9.21,7,76
163,164,164,David Toms,106,9.09,8,88
164,165,165,Gary Nicklaus,66,8.93,5,56
165,166,166,Shaun Micheel,100,8.7,8,92
166,T167,T167,Mark Brooks,97,8.64,7,81
167,T167,T167,Stephen Gangluff,75,8.64,7,81
168,169,169,Bob Estes,93,8.62,5,58
169,170,170,Matt Peterson,80,8.45,6,71
170,171,171,Brenden Pappas,62,8.43,7,83
171,172,172,Paul Azinger,69,8.33,4,48
172,173,173,Nick Price,69,8.16,4,49
173,174,174,Carl Paulson,84,8.14,7,86
174,175,175,Jeff Gove,89,8.08,8,99
175,176,176,Ian Leggatt,97,8.05,7,87
176,177,177,José Coceres,51,8.0,4,50
177,T178,T178,Steve Flesch,110,7.79,6,77
178,T178,T178,Jay Williamson,91,7.79,6,77
179,180,180,Mike Hulbert,55,7.41,4,54
180,181,181,Frank Nobilo,94,7.25,5,69
181,182,182,Fulton Allem,64,7.14,3,42
182,183,183,Mathew Goggin,64,6.98,6,86
183,184,184,Esteban Toledo,106,6.85,5,73
184,T185,T185,Rory Sabbatini,69,6.78,4,59
