,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Tiger Woods,69,25.33,310,1224,1
1,2,2,Phil Mickelson,97,25.12,425,1692,47
2,3,3,David Toms,106,24.29,446,1836,10
3,4,4,David Duval,78,23.78,321,1350,100
4,5,5,Kenny Perry,98,23.68,405,1710,6
5,6,6,Retief Goosen,56,23.66,230,972,29
6,7,7,Jonathan Byrd,96,23.42,392,1674,136
7,8,8,Fred Funk,106,23.27,444,1908,5
8,9,9,Fred Couples,64,23.15,250,1080,127
9,10,10,Justin Leonard,97,23.11,391,1692,50
10,11,11,Stuart Appleby,97,23.05,390,1692,97
11,T12,T12,Mark Calcavecchia,84,22.86,325,1422,88
12,T12,T12,Vijay Singh,102,22.86,395,1728,7
13,14,14,Chris DiMarco,111,22.85,436,1908,40
14,T15,T15,Lee Janzen,101,22.8,394,1728,34
15,T15,T15,Geoff Ogilvy,90,22.8,353,1548,147
16,17,17,Ben Crane,91,22.72,364,1602,171
17,18,18,Charles Howell III,118,22.67,457,2016,25
18,19,19,Scott Verplank,93,22.65,371,1638,31
19,20,20,Rod Pampling,98,22.64,383,1692,121
20,T21,T21,Robert Gamez,69,22.62,281,1242,70
21,T21,T21,J.L. Lewis,98,22.62,399,1764,55
22,23,23,John Huston,99,22.57,390,1728,28
23,24,24,Chris Riley,104,22.56,406,1800,114
24,25,25,Duffy Waldorf,90,22.48,352,1566,105
25,26,26,Bob Heintz,68,22.3,273,1224,202
26,27,27,Davis Love III,92,22.29,349,1566,85
27,28,28,K.J. Choi,93,22.28,357,1602,106
28,29,29,Pat Perez,89,22.22,348,1566,187
29,30,30,Scott McCarron,106,22.17,391,1764,67
30,31,31,Mike Weir,94,22.16,367,1656,14
31,T32,T32,Robert Allenby,96,22.05,377,1710,15
32,T32,T32,Steve Stricker,68,22.05,250,1134,183
33,34,34,John Rollins,124,22.04,476,2160,42
34,35,35,Rocco Mediate,79,22.0,297,1350,18
35,T36,T36,Billy Andrade,100,21.99,380,1728,149
36,T36,T36,Rich Beem,99,21.99,376,1710,65
37,38,38,Steve Allan,93,21.98,360,1638,84
38,T39,T39,Bryce Molder,65,21.96,249,1134,157
39,T39,T39,Tommy Tolles,64,21.96,253,1152,164
40,41,41,Kirk Triplett,84,21.94,312,1422,86
41,42,42,Steve Flesch,110,21.9,414,1890,63
42,T43,T43,John Daly,62,21.86,240,1098,195
43,T43,T43,Ernie Els,68,21.86,244,1116,135
44,45,45,Ian Leggatt,97,21.8,365,1674,74
45,46,46,Cameron Beckman,87,21.76,333,1530,52
46,47,47,Paul Stankowski,100,21.71,383,1764,165
47,T48,T48,Tim Clark,76,21.69,285,1314,78
48,T48,T48,Phil Tataurangi,88,21.69,328,1512,81
49,50,50,Dan Forsman,83,21.67,316,1458,19
50,51,51,Tripp Isenhour,68,21.57,264,1224,106
51,T52,T52,Dudley Hart,88,21.56,326,1512,68
52,T52,T52,John Senden,96,21.56,357,1656,13
53,54,54,Peter Lonard,93,21.51,360,1674,39
54,T55,T55,Greg Chalmers,94,21.49,352,1638,163
55,T55,T55,J.P. Hayes,78,21.49,294,1368,144
56,T57,T57,Steve Lowery,98,21.44,355,1656,71
57,T57,T57,Chris Smith,103,21.44,386,1800,3
