,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Ernie Els,42,2004130
1,2,2,Fred Funk,16,2006210
2,3,3,Trevor Immelman,15,2006170
3,4,4,Jim Furyk,12,2006210
4,5,5,Lucas Glover,10,2006330
5,T6,T6,K.J. Choi,9,2006320
6,T6,T6,Luke Donald,9,2006200
7,T6,T6,J.J. Henry,9,2006330
8,T6,T6,Ryuji Imada,9,2006330
9,T6,T6,Shaun Micheel,9,2006320
10,T11,T11,Stewart Cink,8,2006320
11,T11,T11,Geoff Ogilvy,8,2006230
12,T11,T11,Vijay Singh,8,2006370
13,T14,T14,Stuart Appleby,7,2006340
14,T14,T14,Bart Bryant,7,2006370
15,T14,T14,Tim Clark,7,2006280
16,T14,T14,Hunter Mahan,7,2006380
17,T14,T14,D.A. Points,7,2006380
18,T14,T14,Tiger Woods,7,2006280
19,T20,T20,Eric Axley,6,2006410
20,T20,T20,Ben Crane,6,2006370
21,T20,T20,Chris DiMarco,6,2006350
22,T20,T20,Joe Durant,6,2006400
23,T20,T20,Davis Love III,6,2006340
24,T20,T20,Rory Sabbatini,6,2006370
25,T20,T20,Doug Tewell,6,1999230
26,T20,T20,David Toms,6,2006340
27,T20,T20,Brett Wetterich,6,2006370
28,T29,T29,Sergio Garcia,5,2006310
29,T29,T29,Hunter Haas,5,2005400
30,T29,T29,David Howell,5,2006340
31,T29,T29,Miguel Angel Jiménez,5,2006150
32,T29,T29,Zach Johnson,5,2006370
33,T29,T29,Robert Karlsson,5,2006310
34,T29,T29,Wayne Levi,5,2001300
35,T29,T29,Frank Lickliter II,5,2006410
36,T29,T29,Troy Matteson,5,2006430
37,T29,T29,Graeme McDowell,5,2006240
38,T29,T29,Arron Oberholser,5,2006370
39,T29,T29,Tim Petrovic,5,2006430
40,T29,T29,Tag Ridings,5,2006430
41,T29,T29,John Rollins,5,2006410
42,T29,T29,Henrik Stenson,5,2006250
43,T29,T29,Steve Stricker,5,2006350
44,T29,T29,Dean Wilson,5,2006410
45,T29,T29,Mark Wilson,5,2006400
46,T47,T47,Michael Allen,4,2006430
47,T47,T47,Woody Austin,4,2006430
48,T47,T47,Henrik Bjornstad,4,2006430
49,T47,T47,Jonathan Byrd,4,2006450
50,T47,T47,Chad Campbell,4,2006440
51,T47,T47,Ken Duke,4,2004460
52,T47,T47,Stephen Gangluff,4,2002490
53,T47,T47,Jay Haas,4,2006190
54,T47,T47,Steve Lowery,4,2006430
55,T47,T47,Rod Pampling,4,2006370
56,T47,T47,Chris Smith,4,2006400
57,T47,T47,Mike Sposa,4,2006410
58,T47,T47,Scott Verplank,4,2006440
59,T47,T47,Lee Westwood,4,2006310
60,T61,T61,Briny Baird,3,2006400
61,T61,T61,Ryan Dillon,3,2001420
62,T61,T61,Simon Dyson,3,2005300
63,T61,T61,David Frost,3,2006320
64,T61,T61,Bill Haas,3,2006460
65,T61,T61,Bob Heintz,3,2005460
66,T61,T61,Mikko Ilonen,3,2001310
67,T61,T61,Lee Janzen,3,2006460
68,T61,T61,Richard Johnson,3,2006450
69,T61,T61,Søren Kjeldsen,3,2003430
70,T61,T61,Greg Kraft,3,2006450
71,T61,T61,Spencer Levin,3,2005350
72,T61,T61,Jonathan Lomas,3,1995290
73,T61,T61,Casey Martin,3,2004050
74,T61,T61,Shigeki Maruyama,3,2006460
75,T61,T61,Nick O'Hern,3,2006370
76,T61,T61,José María Olazábal,3,2006350
77,T61,T61,Scott Piercy,3,2006360
78,T61,T61,Ian Poulter,3,2006350
79,T61,T61,Bob Shearer,3,1984320
80,T61,T61,Mike Small,3,2006360
81,T61,T61,Vaughn Taylor,3,2006450
82,T83,T83,Steve Allan,2,2005480
83,T83,T83,Cameron Beckman,2,2006410
84,T83,T83,John Bickerton,2,2006370
85,T83,T83,Thomas Bjørn,2,2006370
86,T83,T83,Justin Bolli,2,2005430
87,T83,T83,Jaxon Brigman,2,2005200
88,T83,T83,Ángel Cabrera,2,2006370
89,T83,T83,Mark Calcavecchia,2,2006470
90,T83,T83,Michael Campbell,2,2006370
91,T83,T83,Paul Casey,2,2006370
92,T83,T83,Brandel Chamblee,2,2003450
93,T83,T83,Neil Cheetham,2,2001310
94,T83,T83,Fred Couples,2,2006370
95,T83,T83,Ben Crenshaw,2,2006150
96,T83,T83,Bubba Dickerson,2,2006460
97,T83,T83,Johan Edfors,2,2006370
98,T83,T83,Peter Hanson,2,2005300
99,T83,T83,Padraig Harrington,2,2006370
100,T83,T83,Kazuhiko Hosokawa,2,2001220
101,T83,T83,Ryan Howison,2,2000455
102,T83,T83,Brandt Jobe,2,2006470
103,T83,T83,Kevin Johnson,2,2002300
104,T83,T83,Anthony Kim,2,2006410
105,T83,T83,Franklin Langham,2,2005485
106,T83,T83,Stephen Leaney,2,2006470
107,T83,T83,Blaine McCallister,2,2006410
108,T83,T83,Parker McLachlin,2,2006020
109,T83,T83,Mac McLendon,2,1980430
110,T83,T83,Phil Mickelson,2,2006350
111,T83,T83,Larry Mize,2,2006410
112,T83,T83,Jack Newton,2,1982420
113,T83,T83,Ryan Palmer,2,2006470
114,T83,T83,Brenden Pappas,2,2005400
115,T83,T83,Jesper Parnevik,2,2006470
116,T83,T83,Tom Pernice Jr.,2,2006480
117,T83,T83,Michael Putnam,2,2005400
118,T83,T83,Loren Roberts,2,2006160
119,T83,T83,Robert Rock,2,2005300
120,T83,T83,Justin Rose,2,2006470
121,T83,T83,Marco Ruiz,2,2003300
122,T83,T83,John Schroeder,2,1995300
123,T83,T83,Charl Schwartzel,2,2006370
124,T83,T83,Heath Slocum,2,2006470
125,T83,T83,Bob Smith,2,1985280
126,T83,T83,Hideto Tanihara,2,2006310
127,T83,T83,Roland Thatcher,2,2005485
128,T83,T83,Nicholas Thompson,2,2006460
129,T83,T83,Nick Watney,2,2006470
130,T83,T83,Brian Watts,2,2005330
131,T83,T83,Steve Webster,2,2005300
132,T83,T83,D.A. Weibring,2,2003160
133,T83,T83,Mike Weir,2,2006470
134,T83,T83,Ron Whittaker,2,2006460
135,T83,T83,Thaworn Wiratchant,2,2006310
136,T83,T83,Casey Wittenberg,2,2005485
137,T83,T83,Y.E. Yang,2,2005340
138,T83,T83,Don Yrene,2,2006080
