,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Luke Donald,18,276,18.0
1,2,2,Dudley Hart,29,264,20.0
2,3,3,D.A. Points,28,262,87.0
3,4,4,Richard Johnson,29,259,259.0
4,5,5,Jason Bohn,29,241,15.0
5,6,6,Jesper Parnevik,24,239,128.0
6,7,7,Daniel Chopra,33,235,233.0
7,8,8,Jim Furyk,24,234,61.0
8,T9,T9,Mark Brooks,36,231,10.0
9,T9,T9,Chad Campbell,25,231,1.0
10,11,11,Brian Gay,31,230,24.0
11,12,12,Brett Quigley,33,229,25.0
12,13,13,Shigeki Maruyama,30,228,35.0
13,14,14,Shaun Micheel,29,219,20.0
14,T15,T15,Steve Lowery,31,216,107.0
15,T15,T15,Joey Sindelar,29,216,
16,T17,T17,Kent Jones,32,215,25.0
17,T17,T17,Scott Verplank,25,215,36.0
18,19,19,Bill Haas,30,214,7.0
19,20,20,Mathias Grönberg,30,213,16.0
20,21,21,Steve Flesch,33,212,15.0
21,22,22,Jon Mills,27,207,1.0
22,23,23,Aaron Baddeley,25,204,162.0
23,24,24,Eric Axley,29,202,177.0
24,25,25,Ángel Cabrera,12,199,53.0
25,26,26,Tim Herron,27,197,55.0
26,27,27,Greg Kraft,26,196,76.0
27,28,28,Greg Chalmers,28,195,90.0
28,29,29,Vaughn Taylor,26,194,15.0
29,30,30,Patrick Sheehan,34,192,84.0
30,31,31,Olin Browne,30,191,12.0
31,T32,T32,Thomas Bjørn,7,190,
32,T32,T32,Charley Hoffman,29,190,1.0
33,34,34,Tom Pernice Jr.,33,189,2.0
34,35,35,Johan Edfors,4,187,25.0
35,36,36,Todd Fischer,35,186,23.0
36,37,37,Ron Whittaker,28,185,182.0
37,38,38,Duffy Waldorf,28,184,48.0
38,39,39,Lucas Glover,31,182,10.0
39,T40,T40,Alex Cejka,30,181,5.0
40,T40,T40,Jason Schultz,28,181,43.0
41,42,42,Robert Allenby,22,180,6.0
42,T43,T43,Gabriel Hjertstedt,16,178,14.0
43,T43,T43,Rory Sabbatini,24,178,11.0
44,T45,T45,Joe Durant,28,177,19.0
45,T45,T45,Scott Gutschewski,19,177,1.0
46,T45,T45,Ryan Moore,22,177,19.0
47,T45,T45,Craig Perks,18,177,15.0
48,T45,T45,Lee Westwood,14,177,22.0
49,T50,T50,Ben Crane,26,176,65.0
50,T50,T50,Billy Mayfair,29,176,51.0
51,T52,T52,Henrik Bjornstad,31,175,6.0
52,T52,T52,Nathan Green,30,175,35.0
53,T52,T52,Jerry Kelly,31,175,17.0
54,T52,T52,Larry Mize,18,175,
55,T52,T52,Jimmy Walker,21,175,28.0
56,57,57,Michael Allen,25,171,14.0
57,58,58,Marco Dawson,27,170,2.0
58,T59,T59,Shane Bertsch,34,168,10.0
59,T59,T59,Justin Rose,28,168,168.0
60,61,61,Steve Stricker,17,166,33.0
61,T62,T62,Mark O'Meara,18,165,3.0
62,T62,T62,Corey Pavin,23,165,61.0
63,T64,T64,Dan Forsman,15,164,20.0
64,T64,T64,Troy Matteson,32,164,3.0
65,T66,T66,Chris Riley,27,163,11.0
66,T66,T66,Kevin Sutherland,29,163,6.0
67,68,68,Ernie Els,18,162,79.0
68,T69,T69,Billy Andrade,24,161,7.0
69,T69,T69,Briny Baird,25,161,42.0
70,T69,T69,Darron Stiles,15,161,26.0
71,72,72,Jay Delsing,14,160,36.0
72,T73,T73,Ben Curtis,26,159,48.0
73,T73,T73,Ian Poulter,15,159,48.0
74,T75,T75,John Huston,27,158,13.0
75,T75,T75,Vijay Singh,27,158,35.0
76,T77,T77,Alex Aragon,26,157,101.0
77,T77,T77,Stewart Cink,26,157,5.0
78,T77,T77,Ryuji Imada,31,157,3.0
79,T77,T77,Frank Lickliter II,29,157,8.0
80,81,81,Omar Uresti,22,156,4.0
81,T82,T82,Robert Damron,31,155,9.0
82,T82,T82,Bo Van Pelt,28,155,2.0
83,T84,T84,Stuart Appleby,23,153,12.0
84,T84,T84,Geoff Ogilvy,20,153,44.0
85,T86,T86,Mark Calcavecchia,27,152,11.0
86,T86,T86,Brent Geiberger,30,152,9.0
87,T88,T88,Loren Roberts,4,151,12.0
88,T88,T88,Charles Warren,27,151,6.0
89,T90,T90,Tommy Armour III,25,150,1.0
90,T90,T90,Stephen Leaney,27,150,49.0
91,T90,T90,José María Olazábal,18,150,64.0
92,T93,T93,Arron Oberholser,23,149,15.0
93,T93,T93,Jeff Overton,28,149,9.0
94,95,95,Heath Slocum,30,148,21.0
95,T96,T96,Fred Funk,29,147,9.0
96,T96,T96,Kevin Na,11,147,3.0
97,T98,T98,Arjun Atwal,33,146,122.0
98,T98,T98,Carl Pettersson,28,146,30.0
99,T98,T98,Tiger Woods,15,146,28.0
