,Best_Sub-Par_Rounds_Streak_RANK THIS WEEK,Best_Sub-Par_Rounds_Streak_RANK LAST WEEK,Best_Sub-Par_Rounds_Streak_PLAYER NAME,Best_Sub-Par_Rounds_Streak_CAREER BEST STREAK,Best_Sub-Par_Rounds_Streak_BEST YTD STREAK,Best_Sub-Par_Rounds_Streak_CURRENT STREAK
0,1,1,Tim Petrovic,26,9.0,
1,2,2,Jeff Sluman,23,6.0,
2,T3,T3,Tim Clark,22,4.0,
3,T3,T3,Fred Couples,22,3.0,
4,T3,T3,Scott McCarron,22,4.0,
5,T6,T6,Stuart Appleby,21,7.0,
6,T6,T6,Bob Estes,21,4.0,
7,T6,T6,Scott Verplank,21,8.0,
8,T9,T9,Jay Don Blake,20,,
9,T9,T9,Joey Sindelar,20,5.0,
10,T11,T11,Joe Durant,19,10.0,
11,T11,T11,Jesper Parnevik,19,7.0,
12,T11,T11,Dan Pohl,19,,
13,T14,T14,Glen Day,18,2.0,
14,T14,T14,Chris DiMarco,18,6.0,
15,T14,T14,Retief Goosen,18,9.0,
16,T14,T14,Charles Howell III,18,8.0,
17,T14,T14,Craig Parry,18,4.0,
18,T19,T19,Ronnie Black,17,,
19,T19,T19,Jonathan Byrd,17,7.0,
20,T19,T19,Ed Fiori,17,,
21,T19,T19,Donnie Hammond,17,4.0,
22,T19,T19,Roger Maltbie,17,,
23,T19,T19,Shigeki Maruyama,17,7.0,
24,T19,T19,Mark O'Meara,17,4.0,
25,T19,T19,Vijay Singh,17,9.0,
26,T19,T19,Kirk Triplett,17,4.0,
27,T19,T19,Tiger Woods,17,17.0,
28,T29,T29,Ken Green,16,,
29,T29,T29,Lee Janzen,16,7.0,
30,T29,T29,Jerry Kelly,16,9.0,
31,T29,T29,Troy Matteson,16,16.0,
32,T29,T29,Blaine McCallister,16,3.0,
33,T29,T29,Steve Pate,16,,
34,T29,T29,Corey Pavin,16,10.0,
35,T29,T29,Chris Riley,16,5.0,
36,T37,T37,Carlos Franco,15,5.0,
37,T37,T37,Scott Hoch,15,,
38,T37,T37,Tom Kite,15,,
39,T37,T37,Davis Love III,15,8.0,
40,T37,T37,Andrew Magee,15,4.0,
41,T37,T37,Scott Simpson,15,1.0,
42,T37,T37,Chris Smith,15,6.0,
43,T37,T37,Craig Stadler,15,1.0,
44,T37,T37,Bob Tway,15,5.0,
45,T46,T46,Robert Allenby,14,7.0,
46,T46,T46,Brian Bateman,14,4.0,
47,T46,T46,Russ Cochran,14,1.0,
48,T46,T46,Marco Dawson,14,5.0,
49,T46,T46,Steve Flesch,14,8.0,
50,T46,T46,Brent Geiberger,14,6.0,
51,T46,T46,John Huston,14,6.0,
52,T46,T46,Kent Jones,14,6.0,
53,T46,T46,Stephen Leaney,14,14.0,
54,T46,T46,Justin Leonard,14,3.0,
55,T46,T46,Frank Lickliter II,14,10.0,
56,T46,T46,Peter Lonard,14,6.0,
57,T46,T46,Jeff Maggert,14,4.0,
58,T46,T46,Rocco Mediate,14,6.0,
59,T46,T46,Joe Ogilvie,14,8.0,
60,T46,T46,Loren Roberts,14,2.0,
61,T46,T46,Payne Stewart,14,,
62,T46,T46,Grant Waite,14,4.0,
63,T64,T64,Billy Andrade,13,6.0,
64,T64,T64,Woody Austin,13,10.0,
65,T64,T64,Paul Azinger,13,5.0,
66,T64,T64,Briny Baird,13,6.0,
67,T64,T64,Jason Bohn,13,10.0,
68,T64,T64,Bart Bryant,13,9.0,
69,T64,T64,Brad Bryant,13,,
