,YTD_Par_or_Better_Streak_RANK THIS WEEK,YTD_Par_or_Better_Streak_RANK LAST WEEK,YTD_Par_or_Better_Streak_PLAYER NAME,YTD_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Stephen Leaney,21
1,2,2,Trevor Immelman,20
2,3,3,John Rollins,19
3,T4,T4,Alex Cejka,18
4,T4,T4,Jim Furyk,18
5,T4,T4,Lucas Glover,18
6,T7,T7,Joe Durant,17
7,T7,T7,Harrison Frazar,17
8,T7,T7,Nathan Green,17
9,T7,T7,Troy Matteson,17
10,T7,T7,Tiger Woods,17
11,T12,T12,Donnie Hammond,16
12,T12,T12,Steve Stricker,16
13,T12,T12,Kevin Sutherland,16
14,T12,T12,Scott Verplank,16
15,T16,T16,Woody Austin,15
16,T16,T16,Olin Browne,15
17,T16,T16,Brian Gay,15
18,T16,T16,Bo Van Pelt,15
19,T20,T20,Brian Bateman,14
20,T20,T20,Jonathan Byrd,14
21,T20,T20,Chad Campbell,14
22,T20,T20,Chris DiMarco,14
23,T20,T20,Wayne Levi,14
24,T20,T20,Phil Mickelson,14
25,T20,T20,Greg Owen,14
26,T20,T20,Bubba Watson,14
27,T28,T28,Eric Axley,13
28,T28,T28,Jason Bohn,13
29,T28,T28,Bob Estes,13
30,T28,T28,Scott Gutschewski,13
31,T28,T28,Lee Janzen,13
32,T28,T28,Joe Ogilvie,13
33,T28,T28,Corey Pavin,13
34,T28,T28,D.J. Trahan,13
35,T28,T28,Charles Warren,13
36,T37,T37,Michael Allen,12
37,T37,T37,Craig Barlow,12
38,T37,T37,Stewart Cink,12
39,T37,T37,Chris Couch,12
40,T37,T37,Ben Crane,12
41,T37,T37,Rocco Mediate,12
42,T37,T37,Vijay Singh,12
43,T37,T37,Dean Wilson,12
44,T45,T45,Stuart Appleby,11
45,T45,T45,Bubba Dickerson,11
46,T45,T45,Ernie Els,11
47,T45,T45,Dan Forsman,11
48,T45,T45,Jason Gore,11
49,T45,T45,Jeff Gove,11
50,T45,T45,J.J. Henry,11
51,T45,T45,Charles Howell III,11
52,T45,T45,Bernhard Langer,11
53,T45,T45,Tom Lehman,11
54,T45,T45,Justin Leonard,11
55,T45,T45,Hunter Mahan,11
56,T45,T45,Arron Oberholser,11
57,T45,T45,Geoff Ogilvy,11
58,T45,T45,Kenny Perry,11
59,T45,T45,Dicky Pride,11
60,T45,T45,Omar Uresti,11
61,T62,T62,Arjun Atwal,10
62,T62,T62,Aaron Baddeley,10
63,T62,T62,Bart Bryant,10
64,T62,T62,K.J. Choi,10
65,T62,T62,Brian Davis,10
66,T62,T62,Jason Day,10
67,T62,T62,Fred Funk,10
68,T62,T62,Bill Glasson,10
69,T62,T62,Bill Haas,10
70,T62,T62,Richard Johnson,10
71,T62,T62,Kent Jones,10
72,T62,T62,Jonathan Kaye,10
73,T62,T62,Jerry Kelly,10
74,T62,T62,Franklin Langham,10
75,T62,T62,Spencer Levin,10
76,T62,T62,Frank Lickliter II,10
77,T62,T62,Bob May,10
78,T62,T62,Billy Mayfair,10
79,T62,T62,Shaun Micheel,10
80,T62,T62,Ryan Moore,10
81,T62,T62,Sean O'Hair,10
82,T62,T62,Jeff Overton,10
83,T62,T62,Ryan Palmer,10
84,T62,T62,Jesper Parnevik,10
85,T62,T62,Carl Pettersson,10
86,T62,T62,Brett Quigley,10
87,T62,T62,Chris Riley,10
88,T62,T62,Heath Slocum,10
89,T62,T62,Paul Stankowski,10
90,T62,T62,B.J. Staten,10
91,T62,T62,Vaughn Taylor,10
92,T62,T62,Nick Watney,10
93,T94,T94,Paul Azinger,9
94,T94,T94,Henrik Bjornstad,9
95,T94,T94,Jeff Brehaut,9
96,T94,T94,Mark Brooks,9
97,T94,T94,Daniel Chopra,9
98,T94,T94,Retief Goosen,9
99,T94,T94,Padraig Harrington,9
100,T94,T94,Charley Hoffman,9
101,T94,T94,Ryuji Imada,9
102,T94,T94,Daisuke Maruyama,9
103,T94,T94,Tim Petrovic,9
104,T94,T94,Ted Purdy,9
105,T94,T94,Rory Sabbatini,9
106,T94,T94,Adam Scott,9
107,T94,T94,Jerry Smith,9
108,T94,T94,Duffy Waldorf,9
109,T94,T94,Mike Weir,9
110,T111,T111,Billy Andrade,8
111,T111,T111,Tommy Armour III,8
112,T111,T111,Briny Baird,8
113,T111,T111,Ricky Barnes,8
114,T111,T111,Rich Beem,8
115,T111,T111,David Branshaw,8
116,T111,T111,Ángel Cabrera,8
117,T111,T111,Mark Calcavecchia,8
118,T111,T111,Ben Curtis,8
119,T111,T111,Robert Damron,8
120,T111,T111,Luke Donald,8
121,T111,T111,Ken Duke,8
122,T111,T111,Todd Fischer,8
123,T111,T111,Steve Flesch,8
124,T111,T111,Robert Garrigus,8
125,T111,T111,Matt Gogel,8
126,T111,T111,Dudley Hart,8
127,T111,T111,Brian Henninger,8
128,T111,T111,Tim Herron,8
129,T111,T111,Brandt Jobe,8
130,T111,T111,Skip Kendall,8
131,T111,T111,J.L. Lewis,8
132,T111,T111,Davis Love III,8
133,T111,T111,Steve Lowery,8
134,T111,T111,Shigeki Maruyama,8
135,T111,T111,David McKenzie,8
136,T111,T111,Rod Pampling,8
137,T111,T111,Ian Poulter,8
138,T111,T111,Tag Ridings,8
139,T111,T111,Justin Rose,8
140,T111,T111,Jason Schultz,8
141,T111,T111,Jeff Sluman,8
142,T111,T111,Roland Thatcher,8
143,T111,T111,Kirk Triplett,8
144,T111,T111,Camilo Villegas,8
145,T111,T111,Jimmy Walker,8
146,T111,T111,Brett Wetterich,8
147,T111,T111,Don Yrene,8
148,T149,T149,Robert Allenby,7
149,T149,T149,Tim Clark,7
150,T149,T149,Kris Cox,7
151,T149,T149,Marco Dawson,7
152,T149,T149,David Duval,7
153,T149,T149,Danny Ellis,7
154,T149,T149,Keith Fergus,7
155,T149,T149,Carlos Franco,7
156,T149,T149,Paul Goydos,7
157,T149,T149,David Howell,7
158,T149,T149,John Huston,7
159,T149,T149,Ian Leggatt,7
160,T149,T149,Peter Lonard,7
161,T149,T149,Jeff Maggert,7
162,T149,T149,Graeme McDowell,7
163,T149,T149,Paul McGinley,7
164,T149,T149,Larry Mize,7
165,T149,T149,Colin Montgomerie,7
166,T149,T149,Pat Perez,7
167,T149,T149,Tom Pernice Jr.,7
168,T149,T149,Scott Piercy,7
169,T149,T149,Loren Roberts,7
170,T149,T149,John Senden,7
171,T149,T149,Patrick Sheehan,7
172,T149,T149,Henrik Stenson,7
173,T149,T149,Roger Tambellini,7
174,T149,T149,David Toms,7
175,T149,T149,Bob Tway,7
176,T149,T149,Tjaart van der Walt,7
177,T149,T149,Lee Westwood,7
178,T149,T149,Ron Whittaker,7
179,T180,T180,Stephen Ames,6
180,T180,T180,Doug Barron,6
181,T180,T180,Cameron Beckman,6
182,T180,T180,Shane Bertsch,6
183,T180,T180,Gavin Coles,6
184,T180,T180,Fred Couples,6
185,T180,T180,Steve Elkington,6
186,T180,T180,Brad Faxon,6
187,T180,T180,Gonzalo Fernandez-Castaño,6
188,T180,T180,Brent Geiberger,6
189,T180,T180,Mathias Grönberg,6
190,T180,T180,Todd Hamilton,6
191,T180,T180,J.B. Holmes,6
192,T180,T180,Freddie Jacobson,6
193,T180,T180,Zach Johnson,6
194,T180,T180,Steve Jones,6
195,T180,T180,Will MacKenzie,6
196,T180,T180,D.A. Points,6
197,T180,T180,John Riegger,6
198,T180,T180,Chris Smith,6
199,T180,T180,Boyd Summerhays,6
200,T180,T180,Nicholas Thompson,6
201,T180,T180,Mark Wilson,6
202,T203,T203,Notah Begay III,5
203,T203,T203,Bob Burns,5
204,T203,T203,Tom Byrum,5
205,T203,T203,Jim Carter,5
206,T203,T203,Greg Chalmers,5
207,T203,T203,Michael Connell,5
208,T203,T203,John Cook,5
209,T203,T203,James Driscoll,5
210,T203,T203,Johan Edfors,5
211,T203,T203,Matt Every,5
212,T203,T203,Gavin Flint,5
213,T203,T203,Robert Gamez,5
214,T203,T203,Sergio Garcia,5
215,T203,T203,Gary Hallberg,5
216,T203,T203,J.P. Hayes,5
217,T203,T203,Ryan Hietala,5
218,T203,T203,Brendan Jones,5
219,T203,T203,Greg Kraft,5
220,T203,T203,Andrew Magee,5
221,T203,T203,Len Mattiace,5
222,T203,T203,James McLean,5
223,T203,T203,Kevin Na,5
224,T203,T203,Nick O'Hern,5
225,T203,T203,Mark O'Meara,5
226,T203,T203,José María Olazábal,5
227,T203,T203,Andres Romero,5
228,T203,T203,Tom Scherrer,5
229,T203,T203,Joey Sindelar,5
230,T203,T203,Vance Veazey,5
231,T203,T203,Garrett Willis,5
232,T233,T233,Jason Allred,4
233,T233,T233,Alex Aragon,4
234,T233,T233,"David Berganio, Jr.",4
235,T233,T233,Michael Bradley,4
236,T233,T233,Michael Campbell,4
237,T233,T233,José Coceres,4
238,T233,T233,Jay Delsing,4
239,T233,T233,David Edwards,4
240,T233,T233,"John Engler, Jr.",4
241,T233,T233,Nick Faldo,4
242,T233,T233,Stephen Gangluff,4
243,T233,T233,Mathew Goggin,4
244,T233,T233,Andres Gonzales,4
245,T233,T233,Anders Hansen,4
246,T233,T233,Matt Hansen,4
247,T233,T233,Gabriel Hjertstedt,4
248,T233,T233,Thongchai Jaidee,4
249,T233,T233,Simon Khan,4
250,T233,T233,Anthony Kim,4
251,T233,T233,Neal Lancaster,4
252,T233,T233,Thomas Levet,4
253,T233,T233,Scott McCarron,4
254,T233,T233,Jim McGovern,4
255,T233,T233,Spike McRoy,4
256,T233,T233,Jon Mills,4
257,T233,T233,Yusaku Miyazato,4
258,T233,T233,Madalitso Muthiya,4
