,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Joe Durant,286,17
1,2,2,Wayne Levi,477,14
2,3,3,Michael Allen,267,12
3,4,4,Bernhard Langer,279,11
4,5,5,Richard Johnson,105,10
5,T6,T6,Ricky Barnes,21,8
6,T6,T6,Ken Duke,39,8
7,T6,T6,Roland Thatcher,51,8
8,T9,T9,Ian Leggatt,137,7
9,T9,T9,Graeme McDowell,37,7
10,T11,T11,Briny Baird,205,6
11,T11,T11,Ian Poulter,49,6
12,T11,T11,Jason Schultz,28,6
13,T11,T11,Jerry Smith,129,6
14,T11,T11,Tiger Woods,205,6
15,T16,T16,Johan Edfors,4,5
16,T16,T16,Matt Every,4,5
17,T16,T16,Kent Jones,231,5
18,T16,T16,James McLean,29,5
19,T16,T16,José María Olazábal,178,5
20,T16,T16,Tjaart van der Walt,52,5
21,T16,T16,Mark Wilson,102,5
22,T23,T23,Michael Campbell,70,4
23,T23,T23,Greg Chalmers,197,4
24,T23,T23,"John Engler, Jr.",28,4
25,T23,T23,Mathew Goggin,137,4
26,T23,T23,Andres Gonzales,1,4
27,T23,T23,Paul Goydos,350,4
28,T23,T23,Anders Hansen,9,4
29,T23,T23,Thongchai Jaidee,14,4
30,T23,T23,Yusaku Miyazato,6,4
31,T23,T23,D.A. Points,61,4
32,T23,T23,Don Pooley,439,4
33,T23,T23,Jyoti Randhawa,10,4
34,T23,T23,Brett Rumford,4,4
35,T23,T23,Adam Scott,84,4
36,T23,T23,Lee Slattery,1,4
37,T23,T23,Mike Sposa,169,4
38,T23,T23,Darron Stiles,68,4
39,T23,T23,Steve Stricker,280,4
40,T23,T23,D.J. Trahan,67,4
41,T23,T23,Azuma Yano,1,4
42,T43,T43,Cameron Beckman,210,3
43,T43,T43,John Daly,371,3
44,T43,T43,Luke Donald,122,3
45,T43,T43,David Howell,35,3
46,T43,T43,Ryuji Imada,62,3
47,T43,T43,Trevor Immelman,62,3
48,T43,T43,Anthony Kim,2,3
49,T43,T43,Justin Leonard,328,3
50,T43,T43,David McKenzie,28,3
51,T43,T43,Larry Mize,560,3
52,T43,T43,Jesper Parnevik,279,3
53,T43,T43,Justin Rose,91,3
54,T43,T43,Mike Standly,303,3
55,T43,T43,Omar Uresti,272,3
56,T57,T57,Benoit Beisser,2,2
57,T57,T57,Tim Clark,121,2
58,T57,T57,Michael Connell,24,2
59,T57,T57,Fred Couples,532,2
60,T57,T57,Ben Crane,126,2
61,T57,T57,Danny Ellis,109,2
62,T57,T57,Jim Furyk,328,2
63,T57,T57,Sergio Garcia,129,2
64,T57,T57,Robert Garrigus,28,2
65,T57,T57,Lucas Glover,93,2
66,T57,T57,Retief Goosen,116,2
67,T57,T57,J.J. Henry,183,2
68,T57,T57,Mark Hensby,96,2
69,T57,T57,Gabriel Hjertstedt,187,2
70,T57,T57,Lee Janzen,456,2
71,T57,T57,Skip Kendall,365,2
72,T57,T57,Brandon Knaub,3,2
73,T57,T57,Neal Lancaster,514,2
74,T57,T57,Korey Mahoney,2,2
75,T57,T57,Ryan Moore,38,2
76,T57,T57,Mark O'Meara,629,2
77,T57,T57,Tom Pernice Jr.,434,2
78,T57,T57,Roger Tambellini,51,2
79,T57,T57,Vaughn Taylor,86,2
80,T57,T57,Camilo Villegas,40,2
81,T57,T57,Brett Wayment,2,2
82,T57,T57,Kaname Yokoo,90,2
