,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Patrick Sheehan,15,166
1,2,2,Aaron Baddeley,23,134
2,3,3,Carl Pettersson,29,117
3,4,4,Ryuji Imada,25,115
4,5,5,Hunter Mahan,25,111
5,6,6,Ernie Els,19,102
6,T7,T7,Steve Flesch,27,101
7,T7,T7,Bill Lunde,27,101
8,9,9,Chris Stroud,28,99
9,10,10,Spencer Levin,25,98
10,11,11,J.J. Henry,28,90
11,12,12,Pat Perez,22,87
12,13,13,Y.E. Yang,23,85
13,14,14,Stuart Appleby,25,84
14,T15,T15,Greg Owen,30,83
15,T15,T15,Kevin Stadler,20,83
16,17,17,Bryce Molder,21,81
17,18,18,Matt Jones,17,80
18,19,19,Luke Donald,21,78
19,20,20,Mike Weir,24,77
20,21,21,Kevin Na,26,76
21,T22,T22,Bart Bryant,17,73
22,T22,T22,Ben Crane,27,73
23,T22,T22,Steve Elkington,23,73
24,T22,T22,Ryan Palmer,26,73
25,T26,T26,Chris DiMarco,29,72
26,T26,T26,George McNeill,26,72
27,28,28,Scott McCarron,27,69
28,T29,T29,Jerry Kelly,26,68
29,T29,T29,James Nitties,27,68
30,T31,T31,Tommy Armour III,19,63
31,T31,T31,Parker McLachlin,25,63
32,T31,T31,Jeff Overton,28,63
33,T31,T31,Dean Wilson,29,63
34,35,35,Anthony Kim,22,61
35,36,36,Stewart Cink,22,59
36,37,37,Phil Mickelson,18,57
37,T38,T38,Charley Hoffman,27,56
38,T38,T38,Kevin Streelman,29,56
39,40,40,Kevin Sutherland,27,55
40,41,41,Todd Hamilton,29,52
41,42,42,Geoff Ogilvy,20,51
42,43,43,Tiger Woods,17,49
43,44,44,Camilo Villegas,21,48
44,T45,T45,Kent Jones,24,47
45,T45,T45,Bo Van Pelt,30,47
46,47,47,Rory Sabbatini,25,45
47,48,48,Sean O'Hair,23,43
48,49,49,Justin Leonard,26,42
49,50,50,John Rollins,27,41
50,T51,T51,Tom Lehman,16,39
51,T51,T51,Nick Watney,24,39
52,T53,T53,Joe Ogilvie,29,38
53,T53,T53,Justin Rose,22,38
54,T55,T55,Matt Kuchar,24,35
55,T55,T55,Ryan Moore,27,35
56,T55,T55,Vaughn Taylor,28,35
57,T55,T55,Mark Wilson,28,35
58,59,59,Harrison Frazar,28,34
59,T60,T60,Brad Adamonis,25,33
60,T60,T60,Daniel Chopra,28,33
61,T60,T60,Charles Howell III,29,33
62,63,63,Lucas Glover,26,32
63,T64,T64,Jim Furyk,23,31
64,T64,T64,Jason Gore,24,31
65,T66,T66,Kenny Perry,24,30
66,T66,T66,John Senden,29,30
67,68,68,Jonathan Byrd,25,29
68,T69,T69,Rich Beem,26,28
69,T69,T69,Jason Bohn,25,28
70,T69,T69,Andres Romero,20,28
71,T69,T69,Brian Vranesh,20,28
72,73,73,Paul Goydos,25,27
73,T74,T74,Ben Curtis,18,26
74,T74,T74,Will MacKenzie,24,26
75,T74,T74,Scott Verplank,24,26
76,77,77,Boo Weekley,22,25
77,T78,T78,Brian Gay,27,24
78,T78,T78,Jeff Klauk,29,24
79,T78,T78,Nick O'Hern,27,24
80,T78,T78,Marc Turnesa,30,24
81,82,82,Scott Piercy,28,23
82,83,83,Brendon de Jonge,29,22
83,T84,T84,Brian Bateman,25,21
84,T84,T84,Brian Davis,32,21
85,T84,T84,Chris Riley,22,21
86,87,87,Leif Olson,21,20
87,T88,T88,J.B. Holmes,25,19
88,T88,T88,Bubba Watson,24,19
89,T88,T88,Casey Wittenberg,25,19
90,T88,T88,Gary Woodland,18,19
91,T92,T92,Bob Heintz,20,18
92,T92,T92,Tom Pernice Jr.,26,18
93,T94,T94,Freddie Jacobson,25,17
94,T94,T94,Greg Kraft,21,17
95,T96,T96,Jason Dufner,26,16
96,T96,T96,David Duval,22,16
97,T96,T96,Scott Sterling,16,16
98,T99,T99,Ian Poulter,17,15
99,T99,T99,Peter Tomasulo,25,15
100,T101,T101,Jarrod Lyle,21,14
101,T101,T101,David Mathis,27,14
102,T101,T101,John Merrick,28,14
103,T101,T101,Nicholas Thompson,31,14
104,T105,T105,Alex Cejka,25,13
105,T105,T105,Padraig Harrington,20,13
106,T105,T105,Steve Lowery,27,13
107,T105,T105,John Mallinger,27,13
108,T109,T109,Heath Slocum,30,12
109,T109,T109,Charlie Wi,28,12
110,T111,T111,Brad Faxon,23,11
111,T111,T111,Retief Goosen,20,11
112,T111,T111,Troy Matteson,30,11
113,T111,T111,Rod Pampling,23,11
114,T111,T111,Tim Petrovic,31,11
115,T116,T116,Stephen Ames,23,10
116,T116,T116,Fred Couples,16,10
117,T116,T116,Robert Garrigus,25,10
118,T116,T116,Corey Pavin,23,10
119,T116,T116,Jeff Quinney,26,10
120,T116,T116,Webb Simpson,30,10
121,T116,T116,Matt Weibring,22,10
122,T123,T123,Ángel Cabrera,17,9
123,T123,T123,Glen Day,26,9
124,T123,T123,Joe Durant,20,9
125,T123,T123,Peter Lonard,30,9
126,T123,T123,Charles Warren,20,9
127,T128,T128,Eric Axley,30,8
128,T128,T128,Mark Calcavecchia,23,8
129,T128,T128,Mathew Goggin,26,8
130,T128,T128,Aron Price,27,8
131,T128,T128,Brandt Snedeker,26,8
132,T128,T128,D.J. Trahan,30,8
133,T134,T134,K.J. Choi,22,7
134,T134,T134,Martin Laird,24,7
135,T136,T136,Matt Bettencourt,31,6
136,T136,T136,Mark Brooks,17,6
137,T136,T136,Jason Day,18,6
138,T136,T136,Sergio Garcia,17,6
139,T136,T136,Dustin Johnson,25,6
140,T136,T136,Colt Knost,24,6
141,T136,T136,Marc Leishman,28,6
142,T136,T136,Davis Love III,27,6
143,T136,T136,Steve Marino,29,6
144,T145,T145,Briny Baird,28,5
145,T145,T145,Bill Haas,29,5
146,T145,T145,Tag Ridings,16,5
147,T148,T148,Kris Blanks,20,4
148,T148,T148,Chad Campbell,26,4
149,T148,T148,Greg Chalmers,26,4
150,T148,T148,Tim Herron,27,4
151,T148,T148,David Toms,27,4
152,T153,T153,Robert Allenby,21,3
153,T153,T153,Zach Johnson,26,3
154,T153,T153,D.A. Points,29,3
155,T153,T153,Adam Scott,19,3
156,T157,T157,Cliff Kresge,28,2
157,T157,T157,Jeff Maggert,28,2
