,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,6.0,
1,2,2,Charles Howell III,16,5.0,
2,T3,T3,Chris DiMarco,14,10.0,
3,T3,T3,Scott Hoch,14,1.0,
4,T3,T3,Tiger Woods,14,8.0,
5,T6,T6,Harrison Frazar,13,5.0,
6,T6,T6,Davis Love III,13,3.0,
7,T8,T8,Joe Durant,12,4.0,
8,T8,T8,Shigeki Maruyama,12,3.0,
9,T8,T8,Mark O'Meara,12,1.0,
10,T8,T8,Tim Petrovic,12,5.0,
11,T8,T8,Kevin Sutherland,12,5.0,
12,T8,T8,David Toms,12,12.0,
13,T14,T14,Brian Bateman,11,2.0,
14,T14,T14,Ben Crane,11,11.0,
15,T14,T14,David Edwards,11,,
16,T14,T14,Jim Furyk,11,6.0,
17,T14,T14,J.P. Hayes,11,3.0,
18,T14,T14,Bernhard Langer,11,,
19,T14,T14,Stephen Leaney,11,3.0,
20,T14,T14,Bruce Lietzke,11,,
21,T14,T14,Mark McCumber,11,,
22,T14,T14,Jerry Pate,11,,
23,T14,T14,Kenny Perry,11,6.0,
24,T14,T14,Scott Verplank,11,6.0,
25,T26,T26,Fred Couples,10,4.0,
26,T26,T26,Brian Davis,10,10.0,
27,T26,T26,Steve Flesch,10,4.0,
28,T26,T26,Carlos Franco,10,2.0,
29,T26,T26,David Frost,10,,
30,T26,T26,Fred Funk,10,,
31,T26,T26,Robert Gamez,10,1.0,
32,T26,T26,Lucas Glover,10,6.0,
33,T26,T26,Rocco Mediate,10,4.0,
34,T26,T26,James Nitties,10,10.0,
35,T26,T26,Corey Pavin,10,4.0,
36,T26,T26,David Peoples,10,3.0,
37,T26,T26,Tom Pernice Jr.,10,10.0,
38,T26,T26,Carl Pettersson,10,3.0,
39,T26,T26,Mike Reid,10,,
40,T26,T26,Chris Riley,10,8.0,
41,T26,T26,Loren Roberts,10,4.0,
42,T26,T26,Gene Sauers,10,,
43,T26,T26,Tom Sieckmann,10,,
44,T26,T26,Joey Sindelar,10,,
45,T26,T26,Chris Smith,10,1.0,
46,T26,T26,Kevin Streelman,10,4.0,
47,T26,T26,Grant Waite,10,1.0,
48,T49,T49,Billy Andrade,9,1.0,
49,T49,T49,Stuart Appleby,9,2.0,
50,T49,T49,Tommy Armour III,9,3.0,
51,T49,T49,Cameron Beckman,9,5.0,
52,T49,T49,Notah Begay III,9,1.0,
53,T49,T49,Bart Bryant,9,3.0,
54,T49,T49,Brad Bryant,9,,
55,T49,T49,Mark Calcavecchia,9,3.0,
56,T49,T49,Chad Campbell,9,8.0,
57,T49,T49,K.J. Choi,9,4.0,
58,T49,T49,Stewart Cink,9,5.0,
59,T49,T49,Lennie Clements,9,,
60,T49,T49,Ernie Els,9,3.0,
61,T49,T49,Rickie Fowler,9,9.0,
62,T49,T49,Sergio Garcia,9,3.0,
63,T49,T49,Brian Gay,9,5.0,
64,T49,T49,Paul Goydos,9,7.0,
65,T49,T49,Jay Haas,9,,
66,T49,T49,Padraig Harrington,9,9.0,
67,T49,T49,John Huston,9,3.0,
68,T49,T49,Tom Lehman,9,4.0,
69,T49,T49,Justin Leonard,9,6.0,
70,T49,T49,Steve Marino,9,9.0,
71,T49,T49,Blaine McCallister,9,,
72,T49,T49,Phil Mickelson,9,4.0,
73,T49,T49,Gil Morgan,9,,
74,T49,T49,Greg Norman,9,1.0,
75,T49,T49,Jesper Parnevik,9,3.0,
76,T49,T49,Chris Perry,9,,
77,T49,T49,Heath Slocum,9,5.0,
78,T49,T49,Jeff Sluman,9,5.0,
79,T49,T49,Payne Stewart,9,,
80,T49,T49,Hal Sutton,9,,
81,T49,T49,Kirk Triplett,9,4.0,
82,T49,T49,Bob Tway,9,3.0,
83,T49,T49,Mike Weir,9,4.0,
84,T85,T85,John Adams,8,,
85,T85,T85,Robert Allenby,8,5.0,
86,T85,T85,Paul Azinger,8,1.0,
87,T85,T85,Ian Baker-Finch,8,1.0,
88,T85,T85,Doug Barron,8,,
89,T85,T85,Andy Bean,8,,
90,T85,T85,Bill Britton,8,,
91,T85,T85,Rex Caldwell,8,,
92,T85,T85,Jim Carter,8,,
93,T85,T85,Bobby Clampett,8,2.0,
94,T85,T85,Tim Clark,8,7.0,
95,T85,T85,Russ Cochran,8,,
96,T85,T85,John Cook,8,,
97,T85,T85,Ken Duke,8,3.0,
98,T85,T85,David Duval,8,2.0,
99,T85,T85,Bob Gilder,8,,
100,T85,T85,Bill Glasson,8,,
