,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Chez Reavie,63,21
1,2,2,Ben Crane,186,15
2,3,3,Chris DiMarco,391,14
3,T4,T4,Stuart Appleby,335,12
4,T4,T4,Jason Bohn,144,12
5,T4,T4,Charles Howell III,263,12
6,T4,T4,Sean O'Hair,132,12
7,T8,T8,Greg Chalmers,223,11
8,T8,T8,Ryan Moore,117,11
9,T10,T10,Scott McCarron,346,10
10,T10,T10,Nicholas Thompson,98,10
11,T12,T12,Stephen Ames,279,9
12,T12,T12,Tim Clark,187,9
13,T12,T12,Sergio Garcia,181,9
14,T12,T12,Nick O'Hern,105,9
15,T12,T12,Ryan Palmer,172,9
16,T12,T12,Carl Pettersson,203,9
17,T12,T12,Justin Rose,141,9
18,T12,T12,Chris Stroud,83,9
19,T12,T12,Tiger Woods,241,9
20,T21,T21,Chad Campbell,223,8
21,T21,T21,Alex Cejka,199,8
22,T21,T21,Brian Davis,156,8
23,T21,T21,Justin Leonard,406,8
24,T21,T21,Bill Lunde,30,8
25,T21,T21,Len Mattiace,367,8
26,T21,T21,Andres Romero,43,8
27,T21,T21,Bo Van Pelt,238,8
28,T29,T29,J.P. Hayes,366,7
29,T29,T29,Kent Jones,308,7
30,T31,T31,Chris Baryla,6,6
31,T31,T31,Jason Gore,184,6
32,T31,T31,Spencer Levin,37,6
33,T31,T31,D.A. Points,93,6
34,T35,T35,Nathan Green,119,5
35,T35,T35,Bill Haas,137,5
36,T35,T35,J.J. Henry,270,5
37,T35,T35,Zach Johnson,158,5
38,T35,T35,Tom Lehman,447,5
39,T35,T35,Jeff Maggert,490,5
40,T35,T35,Spike McRoy,221,5
41,T35,T35,John Merrick,86,5
42,T35,T35,Jeff Overton,107,5
43,T35,T35,Greg Owen,113,5
44,T35,T35,Rod Pampling,204,5
45,T35,T35,Adam Scott,134,5
46,T35,T35,Patrick Sheehan,181,5
47,T35,T35,Jeff Sluman,688,5
48,T35,T35,Kevin Stadler,125,5
49,T35,T35,Johnson Wagner,86,5
50,T35,T35,Charles Warren,164,5
51,T35,T35,Matt Weibring,26,5
52,T35,T35,Jay Williamson,341,5
53,T54,T54,Michael Bradley,287,4
54,T54,T54,Jonathan Byrd,212,4
55,T54,T54,K.J. Choi,251,4
56,T54,T54,Ben Curtis,155,4
57,T54,T54,Brendon de Jonge,55,4
58,T54,T54,Mathias Grönberg,167,4
59,T54,T54,Bob Heintz,151,4
60,T54,T54,Scott Hoch,634,4
61,T54,T54,Dustin Johnson,55,4
62,T54,T54,Skip Kendall,379,4
63,T54,T54,Danny Lee,14,4
64,T54,T54,Will MacKenzie,127,4
65,T54,T54,Hunter Mahan,180,4
66,T54,T54,George McNeill,89,4
67,T54,T54,Bryce Molder,79,4
68,T54,T54,Jack Newman,2,4
69,T54,T54,Arron Oberholser,124,4
70,T54,T54,Joe Ogilvie,292,4
71,T54,T54,James Oh,21,4
72,T54,T54,Pat Perez,213,4
73,T54,T54,Jeff Quinney,98,4
74,T54,T54,Tag Ridings,149,4
75,T54,T54,Loren Roberts,621,4
76,T54,T54,José de Jesús Rodríguez,2,4
77,T54,T54,John Rollins,253,4
78,T54,T54,Andrew Ruthkoski,5,4
79,T54,T54,John Senden,226,4
80,T54,T54,Kyle Stanley,9,4
81,T54,T54,Jimmy Walker,83,4
82,T83,T83,Woody Austin,440,3
83,T83,T83,Ricky Barnes,46,3
84,T83,T83,Brian Bateman,198,3
85,T83,T83,Ronnie Black,539,3
86,T83,T83,Graham DeLaet,2,3
87,T83,T83,Jay Delsing,549,3
88,T83,T83,Ernie Gonzalez,175,3
89,T83,T83,Todd Hamilton,178,3
90,T83,T83,Dudley Hart,455,3
91,T83,T83,Steve Lowery,552,3
92,T83,T83,Troy Matteson,121,3
93,T83,T83,Phil Mickelson,377,3
94,T83,T83,Jesper Parnevik,349,3
95,T83,T83,Michael Sim,29,3
96,T83,T83,David Toms,447,3
97,T83,T83,Alan Wagner,1,3
98,T83,T83,Dean Wilson,215,3
99,T83,T83,Oliver Wilson,14,3
100,T101,T101,Thomas Aiken,5,2
101,T101,T101,Stuart Anderson,2,2
102,T101,T101,Rich Beem,295,2
103,T101,T101,Bob Burns,264,2
104,T101,T101,Rodney Butcher,14,2
105,T101,T101,Erik Compton,17,2
106,T101,T101,Rickie Fowler,8,2
107,T101,T101,Tommy Gainey,40,2
108,T101,T101,Rafael Gómez,1,2
109,T101,T101,J.B. Holmes,101,2
110,T101,T101,Anthony Kang,2,2
111,T101,T101,Martin Laird,54,2
112,T101,T101,Lucas Lee,1,2
113,T101,T101,Steve Marino,94,2
114,T101,T101,Graeme McDowell,54,2
115,T101,T101,Rory McIlroy,11,2
116,T101,T101,Larry Mize,589,2
117,T101,T101,Francesco Molinari,5,2
118,T101,T101,Geoff Ogilvy,203,2
119,T101,T101,Dustin Risdon,2,2
120,T101,T101,Rory Sabbatini,261,2
121,T101,T101,Webb Simpson,37,2
122,T101,T101,Steve Stricker,344,2
123,T101,T101,Bob Tway,661,2
124,T101,T101,Camilo Villegas,105,2
