,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Jim Furyk,23,15,,3,15,2009070
1,T2,T2,Steve Marino,29,13,1.0,3,11,2009220
2,T2,T2,Kevin Na,26,13,,3,5,2009230
3,4,4,Bo Van Pelt,30,12,2.0,3,15,2009370
4,T5,T5,Ken Duke,29,11,2.0,3,7,2009160
5,T5,T5,Hunter Mahan,25,11,,4,5,2009140
6,T5,T5,Tim Wilkinson,14,11,1.0,4,18,2009150
7,T5,T5,Mark Wilson,28,11,,4,12,2009380
8,T9,T9,Robin Freeman,5,10,,1,18,2009210
9,T9,T9,Justin Leonard,26,10,,2,4,2009040
10,T9,T9,Tom Pernice Jr.,26,10,,1,18,2009220
11,T9,T9,Jimmy Walker,24,10,4.0,1,5,2009290
12,T13,T13,Brad Adamonis,25,9,,4,2,2009130
13,T13,T13,Cameron Beckman,26,9,3.0,1,17,2009030
14,T13,T13,Mark Calcavecchia,23,9,,4,1,2009330
15,T13,T13,Luke Donald,21,9,3.0,4,16,2009040
16,T13,T13,Ross Fisher,10,9,,2,14,2009200
17,T13,T13,Bill Haas,29,9,2.0,3,3,2009400
18,T13,T13,Freddie Jacobson,25,9,,1,11,2009480
19,T13,T13,Dustin Johnson,25,9,,4,12,2009010
20,T13,T13,Anthony Kim,22,9,2.0,1,13,2009390
21,T13,T13,Matt Kuchar,24,9,1.0,2,6,2009230
22,T13,T13,John Mallinger,27,9,,2,3,2009180
23,T13,T13,David Mathis,27,9,1.0,2,15,2009220
24,T13,T13,George McNeill,26,9,3.0,1,18,2009190
25,T13,T13,Bryce Molder,21,9,,1,12,2009400
26,T13,T13,Joe Ogilvie,29,9,5.0,1,10,2009020
27,T13,T13,Chris Riley,22,9,,4,9,2009440
28,T13,T13,Justin Rose,22,9,3.0,3,5,2009150
29,T13,T13,Darron Stiles,20,9,,1,18,2009320
30,T13,T13,Peter Tomasulo,25,9,,1,2,2009300
31,T13,T13,Tiger Woods,17,9,4.0,1,12,2009400
32,T33,T33,Alex Cejka,25,8,1.0,4,11,2009200
33,T33,T33,Greg Chalmers,26,8,,2,2,2009060
34,T33,T33,Tim Clark,23,8,2.0,2,14,2009020
35,T33,T33,Chris DiMarco,29,8,4.0,1,17,2009210
36,T33,T33,Brian Gay,27,8,3.0,3,3,2009230
37,T33,T33,Nathan Green,30,8,1.0,1,18,2009250
38,T33,T33,Scott Gutschewski,19,8,,1,17,2009260
39,T33,T33,Padraig Harrington,20,8,,4,16,2009380
40,T33,T33,Bob Heintz,20,8,,1,3,2009330
41,T33,T33,Tim Herron,27,8,,1,3,2009100
42,T33,T33,Ryuji Imada,25,8,,3,18,2009020
43,T33,T33,Shingo Katayama,6,8,,4,16,2009120
44,T33,T33,Frank Lickliter II,14,8,,1,12,2009290
45,T33,T33,Davis Love III,27,8,,4,7,2009150
46,T33,T33,Geoff Ogilvy,20,8,,1,8,2009230
47,T33,T33,Louis Oosthuizen,6,8,,3,18,2009120
48,T33,T33,Kenny Perry,24,8,,1,10,2009120
49,T33,T33,Webb Simpson,30,8,1.0,4,13,2009040
50,T33,T33,Vijay Singh,21,8,,2,1,2009220
51,T33,T33,Jeev Milkha Singh,15,8,,4,12,2009070
52,T33,T33,Vaughn Taylor,28,8,,1,3,2009250
53,T33,T33,Nicholas Thompson,31,8,5.0,2,2,2009170
54,T33,T33,David Toms,27,8,1.0,2,7,2009360
55,T33,T33,Mike Weir,24,8,2.0,4,8,2009380
56,T33,T33,Charlie Wi,28,8,,2,8,2009130
57,T33,T33,Jay Williamson,22,8,4.0,2,6,2009100
58,T33,T33,Oliver Wilson,9,8,2.0,1,10,2009120
59,T33,T33,Azuma Yano,4,8,5.0,2,10,2009120
60,T61,T61,Michael Allen,22,7,,1,2,2009420
61,T61,T61,Robert Allenby,21,7,1.0,3,16,2009120
62,T61,T61,Woody Austin,24,7,,3,13,2009400
63,T61,T61,Ronnie Black,3,7,7.0,2,1,2009300
64,T61,T61,Ángel Cabrera,17,7,1.0,3,13,2009400
65,T61,T61,Ben Crane,27,7,,2,7,2009250
66,T61,T61,Glen Day,26,7,,4,10,2009300
67,T61,T61,Jason Day,18,7,3.0,1,2,2009400
68,T61,T61,Bob Estes,23,7,,3,15,2009230
69,T61,T61,Retief Goosen,20,7,2.0,3,18,2009190
70,T61,T61,J.J. Henry,28,7,,3,18,2009370
71,T61,T61,J.B. Holmes,25,7,,2,16,2009320
72,T61,T61,Trevor Immelman,13,7,3.0,1,12,2009230
73,T61,T61,Zach Johnson,26,7,1.0,1,15,2009400
74,T61,T61,Kent Jones,24,7,,4,7,2009450
75,T61,T61,Jerry Kelly,26,7,,2,16,2009230
76,T61,T61,Jeff Klauk,29,7,2.0,3,17,2009140
77,T61,T61,Michael Letzig,28,7,2.0,4,2,2009320
78,T61,T61,Shigeki Maruyama,5,7,1.0,1,8,2009020
79,T61,T61,Graeme McDowell,11,7,,3,11,2009200
80,T61,T61,Parker McLachlin,25,7,1.0,2,8,2009150
81,T61,T61,Shaun Micheel,16,7,1.0,1,9,2009170
82,T61,T61,Nick O'Hern,27,7,1.0,4,15,2009230
83,T61,T61,José María Olazábal,4,7,1.0,2,13,2009240
84,T61,T61,Jeff Overton,28,7,1.0,1,15,2009450
85,T61,T61,Tim Petrovic,31,7,1.0,1,4,2009040
86,T61,T61,D.A. Points,29,7,1.0,1,15,2009190
87,T61,T61,Ian Poulter,17,7,2.0,2,3,2009230
88,T61,T61,Ted Purdy,30,7,1.0,4,16,2009190
89,T61,T61,Brett Quigley,28,7,1.0,4,13,2009240
90,T61,T61,Loren Roberts,3,7,3.0,1,4,2009250
91,T61,T61,Charl Schwartzel,6,7,3.0,2,12,2009240
92,T61,T61,Kevin Sutherland,27,7,2.0,1,17,2009320
93,T61,T61,Bubba Watson,24,7,1.0,2,14,2009020
94,T61,T61,Matt Weibring,22,7,,1,1,2009100
95,T61,T61,Y.E. Yang,23,7,1.0,2,2,2009280
96,T97,T97,Stephen Ames,23,6,,3,4,2009210
97,T97,T97,Billy Andrade,17,6,,1,15,2009030
98,T97,T97,Stuart Appleby,25,6,1.0,1,4,2009190
99,T97,T97,Briny Baird,28,6,,2,10,2009360
100,T97,T97,Brian Bateman,25,6,,1,9,2009290
101,T97,T97,Matt Bettencourt,31,6,,2,13,2009280
102,T97,T97,Bart Bryant,17,6,,1,16,2009250
103,T97,T97,Michael Campbell,6,6,,2,17,2009140
104,T97,T97,K.J. Choi,22,6,1.0,1,15,2009310
105,T97,T97,Ben Curtis,18,6,3.0,3,2,2009160
106,T97,T97,Brian Davis,32,6,4.0,2,5,2009400
107,T97,T97,Marco Dawson,6,6,,2,13,2009210
108,T97,T97,Brendon de Jonge,29,6,,2,10,2009100
109,T97,T97,Joe Durant,20,6,,2,16,2009420
110,T97,T97,Brad Faxon,23,6,1.0,2,7,2009450
111,T97,T97,Sergio Garcia,17,6,,3,7,2009260
112,T97,T97,Lucas Glover,26,6,2.0,1,8,2009230
113,T97,T97,Peter Hanson,5,6,1.0,3,18,2009120
114,T97,T97,Dudley Hart,13,6,4.0,1,18,2009130
115,T97,T97,J.P. Hayes,15,6,,1,18,2009300
116,T97,T97,Charley Hoffman,27,6,,2,4,2009230
117,T97,T97,Charles Howell III,29,6,2.0,2,1,2009290
118,T97,T97,Lee Janzen,23,6,2.0,3,8,2009050
119,T97,T97,Brandt Jobe,8,6,2.0,2,16,2009150
120,T97,T97,Greg Kraft,21,6,1.0,4,12,2009170
121,T97,T97,Martin Laird,24,6,3.0,1,9,2009340
122,T97,T97,Jamie Lovemark,5,6,1.0,1,5,2009450
123,T97,T97,Jarrod Lyle,21,6,,2,14,2009250
124,T97,T97,Will MacKenzie,24,6,,2,8,2009100
125,T97,T97,Jeff Maggert,28,6,,2,4,2009300
126,T97,T97,Rocco Mediate,22,6,,2,8,2009340
127,T97,T97,David Morland IV,1,6,,1,12,2009070
128,T97,T97,Ryan Palmer,26,6,,1,18,2009450
129,T97,T97,Rod Pampling,23,6,3.0,1,12,2009360
130,T97,T97,Carl Pettersson,29,6,1.0,4,5,2009040
131,T97,T97,Scott Piercy,28,6,1.0,4,13,2009330
132,T97,T97,Aron Price,27,6,1.0,2,15,2009330
133,T97,T97,Chez Reavie,27,6,1.0,4,9,2009010
134,T97,T97,John Rollins,27,6,2.0,4,7,2009040
135,T97,T97,John Senden,29,6,4.0,4,15,2009240
136,T97,T97,Brandt Snedeker,26,6,,4,13,2009370
137,T97,T97,Henrik Stenson,10,6,1.0,2,1,2009310
138,T97,T97,Steve Stricker,22,6,2.0,3,4,2009390
139,T97,T97,Chris Stroud,28,6,,2,1,2009300
140,T97,T97,Nick Watney,24,6,,3,3,2009390
141,T142,T142,Eric Axley,30,5,1.0,1,4,2009070
142,T142,T142,Aaron Baddeley,23,5,,4,2,2009280
143,T142,T142,Rich Beem,26,5,2.0,2,11,2009130
144,T142,T142,Jason Bohn,25,5,1.0,4,16,2009030
145,T142,T142,Mark Brooks,17,5,,1,8,2009290
146,T142,T142,Olin Browne,9,5,,3,4,2009060
147,T142,T142,Jonathan Byrd,25,5,2.0,2,1,2009330
148,T142,T142,Lorens Chan,1,5,5.0,1,4,2009020
149,T142,T142,Jimmy Chestnut,1,5,5.0,2,10,2009330
150,T142,T142,Daniel Chopra,28,5,,3,5,2009290
151,T142,T142,Darren Clarke,7,5,,3,15,2009120
152,T142,T142,José Coceres,6,5,,1,1,2009170
153,T142,T142,Bryan DeCorso,1,5,5.0,1,2,2009320
154,T142,T142,James Driscoll,17,5,,2,15,2009220
155,T142,T142,Steve Elkington,23,5,,3,2,2009290
156,T142,T142,Ernie Els,19,5,,3,12,2009150
157,T142,T142,Steve Flesch,27,5,,1,1,2009480
158,T142,T142,Harrison Frazar,28,5,,2,10,2009380
159,T142,T142,Jason Gore,24,5,,1,16,2009330
160,T142,T142,Mathias Grönberg,13,5,5.0,1,1,2009480
161,T142,T142,Mark Hensby,5,5,,1,11,2009330
162,T142,T142,Matt Hill,3,5,,4,1,2009280
163,T142,T142,Miguel Angel Jiménez,8,5,,2,13,2009360
164,T142,T142,Richard Johnson,26,5,,4,17,2009420
165,T142,T142,Jonathan Kaye,17,5,2.0,3,11,2009050
166,T142,T142,Martin Kaymer,11,5,,3,14,2009350
167,T142,T142,Cliff Kresge,28,5,1.0,1,2,2009040
168,T142,T142,Marc Leishman,28,5,2.0,4,3,2009390
169,T142,T142,Peter Lonard,30,5,1.0,2,18,2009450
170,T142,T142,Steve Lowery,27,5,5.0,2,3,2009480
171,T142,T142,Bill Lunde,27,5,,2,6,2009340
172,T142,T142,Troy Matteson,30,5,,4,14,2009380
173,T142,T142,Scott McCarron,27,5,1.0,2,18,2009320
174,T142,T142,Rory McIlroy,11,5,,3,15,2009310
175,T142,T142,John Merrick,28,5,,3,17,2009320
176,T142,T142,Phil Mickelson,18,5,,2,12,2009060
177,T142,T142,Ryan Moore,27,5,,2,16,2009270
178,T142,T142,James Nitties,27,5,2.0,3,16,2009210
179,T142,T142,Greg Norman,3,5,1.0,1,10,2009160
180,T142,T142,James Oh,21,5,,2,9,2009320
181,T142,T142,Greg Owen,30,5,,1,16,2009370
182,T142,T142,Jesper Parnevik,14,5,1.0,1,4,2009270
183,T142,T142,Corey Pavin,23,5,,1,8,2009050
184,T142,T142,Rick Price,21,5,2.0,1,4,2009030
185,T142,T142,Jeff Quinney,26,5,4.0,3,11,2009340
186,T142,T142,Rory Sabbatini,25,5,,1,8,2009230
187,T142,T142,Reinier Saxton,2,5,,3,4,2009240
188,T142,T142,Kevin Streelman,29,5,5.0,1,10,2009480
189,T142,T142,Junpei Takayama,1,5,,3,13,2009020
190,T142,T142,Roland Thatcher,16,5,3.0,1,11,2009290
191,T142,T142,D.J. Trahan,30,5,,2,17,2009130
192,T142,T142,Kirk Triplett,20,5,,2,18,2009370
193,T142,T142,Scott Verplank,24,5,1.0,3,3,2009400
194,T142,T142,Camilo Villegas,21,5,,3,15,2009240
195,T142,T142,Charles Warren,20,5,,1,17,2009330
196,T197,T197,Thomas Aiken,3,4,1.0,4,13,2009120
197,T197,T197,Tyler Aldridge,17,4,,2,16,2009250
198,T197,T197,Tyson Alexander,1,4,4.0,2,16,2009260
199,T197,T197,Steve Allan,17,4,1.0,2,3,2009260
200,T197,T197,Fredrik Andersson Hed,1,4,1.0,1,6,2009310
201,T197,T197,Tommy Armour III,19,4,,2,1,2009230
202,T197,T197,Arjun Atwal,12,4,3.0,2,4,2009050
203,T197,T197,Notah Begay III,15,4,,4,13,2009030
204,T197,T197,Kris Blanks,20,4,,3,12,2009220
205,T197,T197,Michael Bradley,17,4,1.0,1,7,2009220
206,T197,T197,Tom Byrum,4,4,,1,16,2009330
207,T197,T197,Chad Campbell,26,4,1.0,4,3,2009400
208,T197,T197,Paul Casey,12,4,1.0,3,7,2009230
209,T197,T197,Stewart Cink,22,4,,1,4,2009410
210,T197,T197,Wil Collins,18,4,1.0,2,3,2009330
