,Consecutive_GIR_RANK THIS WEEK,Consecutive_GIR_RANK LAST WEEK,Consecutive_GIR_PLAYER NAME,Consecutive_GIR_EVENTS,Consecutive_GIR_STREAK,Consecutive_GIR_CURRENT STREAK,Consecutive_GIR_ROUND,Consecutive_GIR_HOLE,Consecutive_GIR_YEAR/TOURN#
0,1,1,Kenny Perry,24,38,5.0,4,10,2009270
1,2,2,Jeff Klauk,29,34,,1,6,2009440
2,3,3,Sean O'Hair,23,32,1.0,1,8,2009230
3,T4,T4,Steve Marino,29,30,1.0,4,18,2009020
4,T4,T4,Greg Owen,30,30,3.0,4,10,2009440
5,T4,T4,D.J. Trahan,30,30,2.0,1,9,2009290
6,T7,T7,Rickie Fowler,6,29,1.0,4,11,2009440
7,T7,T7,J.J. Henry,28,29,29.0,3,8,2009450
8,T7,T7,Will MacKenzie,24,29,3.0,2,7,2009010
9,T7,T7,Bryce Molder,21,29,1.0,3,6,2009450
10,T11,T11,Jonathan Byrd,25,28,3.0,4,8,2009400
11,T11,T11,Parker McLachlin,25,28,9.0,1,15,2009010
12,T13,T13,Bill Haas,29,27,,3,6,2009030
13,T13,T13,Mike Weir,24,27,4.0,4,15,2009280
14,T15,T15,Glen Day,26,26,2.0,4,7,2009020
15,T15,T15,Bob Estes,23,26,,2,18,2009290
16,T15,T15,Robert Garrigus,25,26,2.0,2,1,2009370
17,T15,T15,John Mallinger,27,26,,1,11,2009030
18,T15,T15,Tag Ridings,16,26,1.0,3,12,2009300
19,T20,T20,Brad Adamonis,25,25,,1,15,2009030
20,T20,T20,Brian Gay,27,25,11.0,4,15,2009020
21,T20,T20,Justin Leonard,26,25,1.0,1,13,2009010
22,T23,T23,John Huston,13,24,,3,11,2009030
23,T23,T23,David Peoples,6,24,2.0,1,6,2009300
24,T23,T23,Tom Pernice Jr.,26,24,3.0,3,8,2009450
25,T23,T23,Jay Williamson,22,24,3.0,1,3,2009420
26,T27,T27,Tim Clark,23,23,11.0,2,14,2009030
27,T27,T27,Jim Furyk,23,23,6.0,1,1,2009390
28,T27,T27,Todd Hamilton,29,23,4.0,2,9,2009370
29,T27,T27,Scott Piercy,28,23,,1,15,2009420
30,T27,T27,John Senden,29,23,3.0,4,11,2009220
31,T27,T27,Chris Stroud,28,23,6.0,2,9,2009440
32,T27,T27,Kevin Sutherland,27,23,,4,5,2009030
33,T27,T27,Bo Van Pelt,30,23,,2,9,2009150
34,T35,T35,Ricky Barnes,23,22,5.0,2,11,2009480
35,T35,T35,Ben Curtis,18,22,2.0,2,18,2009270
36,T35,T35,Martin Laird,24,22,8.0,1,15,2009220
37,T35,T35,Troy Matteson,30,22,,4,11,2009390
38,T35,T35,Kevin Streelman,29,22,1.0,2,7,2009290
39,T35,T35,Bubba Watson,24,22,2.0,4,6,2009390
40,T41,T41,Rich Beem,26,21,2.0,2,1,2009370
41,T41,T41,Matt Bettencourt,31,21,,2,12,2009290
42,T41,T41,Colt Knost,24,21,,3,8,2009420
43,T41,T41,Marc Leishman,28,21,7.0,2,4,2009050
44,T41,T41,Justin Rose,22,21,2.0,2,6,2009370
45,T41,T41,Steve Stricker,22,21,2.0,3,11,2009030
46,T41,T41,Nicholas Thompson,31,21,,2,13,2009450
47,T41,T41,Y.E. Yang,23,21,,1,9,2009320
48,T49,T49,"David Berganio, Jr.",15,20,,2,6,2009020
49,T49,T49,Michael Bradley,17,20,,1,13,2009330
50,T49,T49,Mark Calcavecchia,23,20,,1,10,2009320
51,T49,T49,Chad Campbell,26,20,5.0,2,5,2009440
52,T49,T49,Zach Johnson,26,20,1.0,2,9,2009480
53,T49,T49,Peter Lonard,30,20,,2,8,2009150
54,T49,T49,Vijay Singh,21,20,4.0,2,6,2009220
55,T49,T49,Kirk Triplett,20,20,,1,10,2009440
56,T57,T57,Jason Bohn,25,19,1.0,3,7,2009370
57,T57,T57,Stewart Cink,22,19,,4,5,2009020
58,T57,T57,Nathan Green,30,19,,2,17,2009420
59,T57,T57,Charley Hoffman,27,19,,3,18,2009030
60,T57,T57,Michael Letzig,28,19,4.0,2,13,2009320
61,T57,T57,Billy Mayfair,28,19,2.0,4,4,2009320
62,T57,T57,Joe Ogilvie,29,19,2.0,2,12,2009330
63,T57,T57,Tim Petrovic,31,19,,2,15,2009370
64,T57,T57,Heath Slocum,30,19,7.0,3,7,2009450
65,T57,T57,Vaughn Taylor,28,19,2.0,3,16,2009030
66,T57,T57,Peter Tomasulo,25,19,2.0,2,14,2009450
67,T57,T57,David Toms,27,19,13.0,4,4,2009270
68,T57,T57,Camilo Villegas,21,19,5.0,1,4,2009010
