,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Jonathan Kaye,17,12
1,T2,T2,Bob Heintz,20,11
2,T2,T2,Joe Ogilvie,29,11
3,T2,T2,Leif Olson,21,11
4,T2,T2,Kenny Perry,24,11
5,T6,T6,Cameron Beckman,26,10
6,T6,T6,Rich Beem,26,10
7,T6,T6,Ronnie Black,3,10
8,T6,T6,Stewart Cink,22,10
9,T6,T6,Ben Curtis,18,10
10,T6,T6,Brian Davis,32,10
11,T6,T6,Luke Donald,21,10
12,T6,T6,Jim Furyk,23,10
13,T6,T6,Sergio Garcia,17,10
14,T6,T6,Brian Gay,27,10
15,T6,T6,Charles Howell III,29,10
16,T6,T6,Freddie Jacobson,25,10
17,T6,T6,Jeff Klauk,29,10
18,T6,T6,Steve Lowery,27,10
19,T6,T6,Sandy Lyle,2,10
20,T6,T6,Prayad Marksaeng,6,10
21,T6,T6,Scott McCarron,27,10
22,T6,T6,James Nitties,27,10
23,T6,T6,Nick O'Hern,27,10
24,T6,T6,Tim Petrovic,31,10
25,T6,T6,Vaughn Taylor,28,10
26,T27,T27,Eric Axley,30,9
27,T27,T27,Briny Baird,28,9
28,T27,T27,Kris Blanks,20,9
29,T27,T27,Jason Bohn,25,9
30,T27,T27,Greg Chalmers,26,9
31,T27,T27,Darren Clarke,7,9
32,T27,T27,Jason Day,18,9
33,T27,T27,Ken Duke,29,9
34,T27,T27,Joe Durant,20,9
35,T27,T27,Ernie Els,19,9
36,T27,T27,Harrison Frazar,28,9
37,T27,T27,Retief Goosen,20,9
38,T27,T27,Paul Goydos,25,9
39,T27,T27,Nathan Green,30,9
40,T27,T27,Scott Gutschewski,19,9
41,T27,T27,J.J. Henry,28,9
