,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Kenny Perry,24
1,2,2,Jim Furyk,15
2,3,3,Retief Goosen,12
3,T4,T4,Graeme McDowell,11
4,T4,T4,Phil Mickelson,11
5,T4,T4,Y.E. Yang,11
6,T7,T7,Zach Johnson,10
7,T7,T7,Justin Leonard,10
8,T7,T7,Chris Riley,10
9,T10,T10,Ben Crane,9
10,T10,T10,Kevin Na,9
11,T10,T10,David Toms,9
12,T13,T13,Luke Donald,8
13,T13,T13,Troy Matteson,8
14,T13,T13,Boo Weekley,8
15,T13,T13,Lee Westwood,8
16,T17,T17,Bob Estes,7
17,T17,T17,Padraig Harrington,7
18,T17,T17,J.J. Henry,7
19,T17,T17,Charles Howell III,7
20,T17,T17,Dustin Johnson,7
21,T17,T17,Hunter Mahan,7
22,T17,T17,Corey Pavin,7
23,T17,T17,Brandt Snedeker,7
24,T17,T17,Mark Wilson,7
25,T17,T17,Tiger Woods,7
26,T27,T27,Alex Cejka,6
27,T27,T27,Jason Day,6
28,T27,T27,Brian Gay,6
29,T27,T27,D.A. Points,6
30,T27,T27,John Senden,6
31,T32,T32,Jason Bohn,5
32,T32,T32,Jerry Kelly,5
33,T32,T32,Matt Kuchar,5
34,T32,T32,Martin Laird,5
35,T32,T32,Carl Pettersson,5
36,T32,T32,Justin Rose,5
37,T32,T32,Patrick Sheehan,5
38,T32,T32,Jeev Milkha Singh,5
39,T32,T32,D.J. Trahan,5
40,T32,T32,Bo Van Pelt,5
41,T32,T32,Mike Weir,5
42,T43,T43,Greg Chalmers,4
43,T43,T43,Ross Fisher,4
44,T43,T43,Sergio Garcia,4
45,T43,T43,Nathan Green,4
46,T43,T43,Soren Hansen,4
47,T43,T43,Tom Lehman,4
48,T43,T43,Rory McIlroy,4
49,T43,T43,Francesco Molinari,4
50,T43,T43,Nick O'Hern,4
51,T43,T43,Ted Purdy,4
52,T43,T43,Henrik Stenson,4
53,T43,T43,Richard Sterne,4
54,T43,T43,Steve Stricker,4
55,T43,T43,Scott Verplank,4
56,T43,T43,Johnson Wagner,4
57,T43,T43,Oliver Wilson,4
58,T59,T59,Stuart Appleby,3
59,T59,T59,Ronnie Black,3
60,T59,T59,Ángel Cabrera,3
61,T59,T59,Chad Campbell,3
62,T59,T59,Tim Clark,3
63,T59,T59,Chris DiMarco,3
64,T59,T59,Jason Dufner,3
65,T59,T59,Gonzalo Fernandez-Castaño,3
66,T59,T59,Rickie Fowler,3
67,T59,T59,Carlos Franco,3
68,T59,T59,Lucas Glover,3
69,T59,T59,J.P. Hayes,3
70,T59,T59,Tim Herron,3
71,T59,T59,Thongchai Jaidee,3
72,T59,T59,Miguel Angel Jiménez,3
73,T59,T59,Martin Kaymer,3
74,T59,T59,Søren Kjeldsen,3
75,T59,T59,Jeff Klauk,3
76,T59,T59,Thomas Levet,3
77,T59,T59,Spencer Levin,3
78,T59,T59,Sean O'Hair,3
79,T59,T59,Geoff Ogilvy,3
80,T59,T59,José María Olazábal,3
81,T59,T59,Greg Owen,3
82,T59,T59,Pat Perez,3
83,T59,T59,Tom Pernice Jr.,3
84,T59,T59,Andres Romero,3
85,T59,T59,Michael Sim,3
86,T59,T59,Chris Stroud,3
87,T59,T59,Garrett Willis,3
88,T89,T89,Stephen Ames,2
89,T89,T89,Ricky Barnes,2
90,T89,T89,Michael Bradley,2
91,T89,T89,Bart Bryant,2
92,T89,T89,Jonathan Byrd,2
93,T89,T89,Stewart Cink,2
94,T89,T89,Brian Davis,2
95,T89,T89,Ernie Els,2
96,T89,T89,Tommy Gainey,2
97,T89,T89,Mathias Grönberg,2
98,T89,T89,Kent Jones,2
99,T89,T89,Brendan Jones,2
100,T89,T89,Robert Karlsson,2
101,T89,T89,Skip Kendall,2
102,T89,T89,James Kingston,2
103,T89,T89,Danny Lee,2
104,T89,T89,Peter Lonard,2
105,T89,T89,Bill Lunde,2
106,T89,T89,Ryan Moore,2
107,T89,T89,Ryan Palmer,2
108,T89,T89,Aron Price,2
109,T89,T89,Brett Quigley,2
110,T89,T89,Alvaro Quiros,2
111,T89,T89,Chez Reavie,2
112,T89,T89,Loren Roberts,2
113,T89,T89,Charl Schwartzel,2
114,T89,T89,Adam Scott,2
115,T89,T89,Webb Simpson,2
116,T89,T89,Nicholas Thompson,2
117,T89,T89,Camilo Villegas,2
118,T89,T89,Chris Wood,2
