,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,"David Berganio, Jr.",15,5
1,T1,T1,Paul Claxton,1,5
2,T1,T1,Lee Janzen,23,5
3,T1,T1,Kenichi Kuboya,1,5
4,T1,T1,Marc Leishman,28,5
5,T1,T1,Tag Ridings,16,5
6,T1,T1,Chris Riley,22,5
7,T1,T1,John Rollins,27,5
8,T1,T1,Webb Simpson,30,5
9,T1,T1,Bubba Watson,24,5
10,T1,T1,Tiger Woods,17,5
11,T12,T12,Eric Axley,30,4
12,T12,T12,Ángel Cabrera,17,4
13,T12,T12,Stewart Cink,22,4
14,T12,T12,Ernie Els,19,4
15,T12,T12,Rickie Fowler,6,4
16,T12,T12,Harrison Frazar,28,4
17,T12,T12,Robert Garrigus,25,4
18,T12,T12,J.J. Henry,28,4
19,T12,T12,Martin Laird,24,4
20,T12,T12,Prayad Marksaeng,6,4
21,T12,T12,Ryan Moore,27,4
22,T12,T12,Sean O'Hair,23,4
23,T12,T12,Ryan Palmer,26,4
24,T12,T12,Steve Stricker,22,4
25,T12,T12,Chris Stroud,28,4
26,T12,T12,D.J. Trahan,30,4
27,T12,T12,Camilo Villegas,21,4
28,T29,T29,Woody Austin,24,3
29,T29,T29,Aaron Baddeley,23,3
30,T29,T29,Briny Baird,28,3
31,T29,T29,Ricky Barnes,23,3
32,T29,T29,Rich Beem,26,3
33,T29,T29,Jonathan Byrd,25,3
34,T29,T29,Chad Campbell,26,3
35,T29,T29,Alex Cejka,25,3
36,T29,T29,Tim Clark,23,3
37,T29,T29,Fred Couples,16,3
38,T29,T29,Ben Curtis,18,3
39,T29,T29,Luke Donald,21,3
40,T29,T29,Jason Dufner,26,3
41,T29,T29,Ken Duke,29,3
42,T29,T29,Bob Estes,23,3
43,T29,T29,Derek Fathauer,25,3
44,T29,T29,Jim Furyk,23,3
45,T29,T29,Sergio Garcia,17,3
46,T29,T29,Mathew Goggin,26,3
47,T29,T29,Ernie Gonzalez,1,3
48,T29,T29,Retief Goosen,20,3
49,T29,T29,Paul Goydos,25,3
50,T29,T29,Bill Haas,29,3
51,T29,T29,Todd Hamilton,29,3
52,T29,T29,Soren Hansen,8,3
53,T29,T29,Tim Herron,27,3
54,T29,T29,Charles Howell III,29,3
55,T29,T29,Trevor Immelman,13,3
56,T29,T29,Zach Johnson,26,3
57,T29,T29,Dustin Johnson,25,3
58,T29,T29,Matt Jones,17,3
59,T29,T29,James Kingston,2,3
60,T29,T29,Colt Knost,24,3
61,T29,T29,Matt Kuchar,24,3
62,T29,T29,Peter Lonard,30,3
63,T29,T29,John Mallinger,27,3
64,T29,T29,Scott McCarron,27,3
65,T29,T29,Rory McIlroy,11,3
