,Consecutive_Par_3_Birdies_RANK THIS WEEK,Consecutive_Par_3_Birdies_RANK LAST WEEK,Consecutive_Par_3_Birdies_PLAYER NAME,Consecutive_Par_3_Birdies_EVENTS,Consecutive_Par_3_Birdies_NUMBER OF HOLES
0,T1,T1,Stuart Appleby,25,5
1,T1,T1,Vijay Singh,21,5
2,T1,T1,Camilo Villegas,21,5
3,T1,T1,Gary Woodland,18,5
4,T5,T5,Stephen Ames,23,4
5,T5,T5,Briny Baird,28,4
6,T5,T5,Brian Bateman,25,4
7,T5,T5,Cameron Beckman,26,4
8,T5,T5,Wil Collins,18,4
9,T5,T5,Ken Duke,29,4
10,T5,T5,Derek Fathauer,25,4
11,T5,T5,Lucas Glover,26,4
12,T5,T5,Marc Leishman,28,4
13,T5,T5,Justin Leonard,26,4
14,T5,T5,Michael Letzig,28,4
15,T5,T5,Hunter Mahan,25,4
16,T5,T5,Phil Mickelson,18,4
17,T5,T5,Kevin Na,26,4
18,T5,T5,Rod Pampling,23,4
19,T5,T5,Corey Pavin,23,4
20,T5,T5,Cameron Peck,1,4
21,T5,T5,Tim Petrovic,31,4
22,T5,T5,Scott Piercy,28,4
23,T5,T5,Jeff Quinney,26,4
24,T25,T25,Michael Allen,22,3
25,T25,T25,Robert Allenby,21,3
26,T25,T25,Aaron Baddeley,23,3
27,T25,T25,"David Berganio, Jr.",15,3
28,T25,T25,Kris Blanks,20,3
29,T25,T25,Jason Bohn,25,3
30,T25,T25,Michael Bradley,17,3
31,T25,T25,Mark Brooks,17,3
32,T25,T25,Jonathan Byrd,25,3
33,T25,T25,Chad Campbell,26,3
34,T25,T25,Greg Chalmers,26,3
35,T25,T25,Tim Clark,23,3
36,T25,T25,Chris Couch,8,3
37,T25,T25,Ben Crane,27,3
38,T25,T25,Ben Curtis,18,3
39,T25,T25,Brian Davis,32,3
40,T25,T25,Brendon de Jonge,29,3
41,T25,T25,Chris DiMarco,29,3
42,T25,T25,Luke Donald,21,3
43,T25,T25,Joe Durant,20,3
44,T25,T25,Steve Elkington,23,3
45,T25,T25,Carlos Franco,10,3
46,T25,T25,Brian Gay,27,3
47,T25,T25,Jason Gore,24,3
48,T25,T25,David Gossett,5,3
49,T25,T25,Nathan Green,30,3
50,T25,T25,Todd Hamilton,29,3
51,T25,T25,Soren Hansen,8,3
52,T25,T25,Tim Herron,27,3
53,T25,T25,Charley Hoffman,27,3
54,T25,T25,Freddie Jacobson,25,3
55,T25,T25,Lee Janzen,23,3
56,T25,T25,Brandt Jobe,8,3
57,T25,T25,Kent Jones,24,3
58,T25,T25,Jerry Kelly,26,3
59,T25,T25,Anthony Kim,22,3
60,T25,T25,Colt Knost,24,3
61,T25,T25,Matt Kuchar,24,3
62,T25,T25,Derek Lamely,2,3
63,T25,T25,Danny Lee,12,3
64,T25,T25,Spencer Levin,25,3
65,T25,T25,Jamie Lovemark,5,3
66,T25,T25,Bill Lunde,27,3
67,T25,T25,Jarrod Lyle,21,3
68,T25,T25,Steve Marino,29,3
69,T25,T25,Prayad Marksaeng,6,3
70,T25,T25,Troy Matteson,30,3
71,T25,T25,Scott McCarron,27,3
72,T25,T25,George McNeill,26,3
73,T25,T25,Shaun Micheel,16,3
74,T25,T25,Bryce Molder,21,3
75,T25,T25,James Nitties,27,3
76,T25,T25,Joe Ogilvie,29,3
77,T25,T25,Leif Olson,21,3
78,T25,T25,Greg Owen,30,3
79,T25,T25,Pat Perez,22,3
80,T25,T25,D.A. Points,29,3
81,T25,T25,Rick Price,21,3
82,T25,T25,Brett Quigley,28,3
83,T25,T25,Chris Riley,22,3
84,T25,T25,Rory Sabbatini,25,3
85,T25,T25,Patrick Sheehan,15,3
86,T25,T25,Webb Simpson,30,3
87,T25,T25,Heath Slocum,30,3
88,T25,T25,Kevin Streelman,29,3
89,T25,T25,Chris Stroud,28,3
90,T25,T25,Vaughn Taylor,28,3
91,T25,T25,Peter Tomasulo,25,3
92,T25,T25,David Toms,27,3
93,T25,T25,Omar Uresti,9,3
94,T25,T25,Scott Verplank,24,3
95,T25,T25,Brian Vranesh,20,3
96,T25,T25,Johnson Wagner,26,3
97,T25,T25,Jimmy Walker,24,3
98,T25,T25,Bubba Watson,24,3
99,T25,T25,Jay Williamson,22,3
100,T25,T25,Dean Wilson,29,3
101,T25,T25,Mark Wilson,28,3
102,T25,T25,Y.E. Yang,23,3
103,T104,T104,Brad Adamonis,25,2
104,T104,T104,Tyler Aldridge,17,2
105,T104,T104,Steve Allan,17,2
106,T104,T104,Billy Andrade,17,2
107,T104,T104,Tommy Armour III,19,2
108,T104,T104,Arjun Atwal,12,2
109,T104,T104,Woody Austin,24,2
110,T104,T104,Eric Axley,30,2
111,T104,T104,Ricky Barnes,23,2
112,T104,T104,Chris Baryla,3,2
113,T104,T104,Rich Beem,26,2
114,T104,T104,Notah Begay III,15,2
115,T104,T104,Matt Bettencourt,31,2
116,T104,T104,Ryan Blaum,2,2
117,T104,T104,Matthew Borchert,19,2
118,T104,T104,Guy Boros,7,2
119,T104,T104,Jaxon Brigman,1,2
120,T104,T104,Olin Browne,9,2
121,T104,T104,Bart Bryant,17,2
122,T104,T104,Tom Byrum,4,2
123,T104,T104,Ángel Cabrera,17,2
124,T104,T104,Mark Calcavecchia,23,2
125,T104,T104,Michael Campbell,6,2
126,T104,T104,Paul Casey,12,2
127,T104,T104,Alex Cejka,25,2
128,T104,T104,K.J. Choi,22,2
129,T104,T104,Daniel Chopra,28,2
130,T104,T104,Stewart Cink,22,2
131,T104,T104,Darren Clarke,7,2
132,T104,T104,Fred Couples,16,2
133,T104,T104,Glen Day,26,2
134,T104,T104,Jason Day,18,2
135,T104,T104,Graham DeLaet,1,2
136,T104,T104,Jason Dufner,26,2
137,T104,T104,David Duval,22,2
138,T104,T104,Johan Edfors,3,2
139,T104,T104,Ernie Els,19,2
140,T104,T104,Brad Faxon,23,2
141,T104,T104,Todd Fischer,3,2
142,T104,T104,Ross Fisher,10,2
143,T104,T104,Steve Flesch,27,2
144,T104,T104,Rickie Fowler,6,2
145,T104,T104,Harrison Frazar,28,2
146,T104,T104,Robin Freeman,5,2
147,T104,T104,Tadd Fujikawa,4,2
148,T104,T104,Jim Furyk,23,2
149,T104,T104,Tommy Gainey,15,2
150,T104,T104,Sergio Garcia,17,2
151,T104,T104,Robert Garrigus,25,2
152,T104,T104,Mathew Goggin,26,2
153,T104,T104,Retief Goosen,20,2
154,T104,T104,Tano Goya,1,2
155,T104,T104,Paul Goydos,25,2
156,T104,T104,Mathias Grönberg,13,2
157,T104,T104,Scott Gutschewski,19,2
158,T104,T104,Bill Haas,29,2
159,T104,T104,Peter Hanson,5,2
160,T104,T104,Padraig Harrington,20,2
161,T104,T104,Dudley Hart,13,2
162,T104,T104,J.P. Hayes,15,2
163,T104,T104,Mike Heinen,2,2
164,T104,T104,Bob Heintz,20,2
165,T104,T104,J.J. Henry,28,2
166,T104,T104,Scott Hoch,1,2
167,T104,T104,J.B. Holmes,25,2
168,T104,T104,David Howell,1,2
169,T104,T104,Charles Howell III,29,2
170,T104,T104,John Huston,13,2
171,T104,T104,Ryuji Imada,25,2
172,T104,T104,Trevor Immelman,13,2
173,T104,T104,Raphael Jacquelin,2,2
174,T104,T104,Miguel Angel Jiménez,8,2
175,T104,T104,Zach Johnson,26,2
176,T104,T104,Richard Johnson,26,2
177,T104,T104,Dustin Johnson,25,2
178,T104,T104,Matt Jones,17,2
179,T104,T104,Jonathan Kaye,17,2
180,T104,T104,Martin Kaymer,11,2
181,T104,T104,Troy Kelly,17,2
182,T104,T104,Skip Kendall,3,2
183,T104,T104,Simon Khan,1,2
184,T104,T104,James Kingston,2,2
185,T104,T104,Jeff Klauk,29,2
186,T104,T104,Greg Kraft,21,2
187,T104,T104,Cliff Kresge,28,2
188,T104,T104,Kenichi Kuboya,1,2
189,T104,T104,Martin Laird,24,2
190,T104,T104,Pablo Larrazabal,3,2
191,T104,T104,Stephen Leaney,11,2
192,T104,T104,Lucas Lee,1,2
193,T104,T104,Ian Leggatt,2,2
194,T104,T104,Tom Lehman,16,2
195,T104,T104,Frank Lickliter II,14,2
196,T104,T104,Luke List,1,2
197,T104,T104,Edward Loar,1,2
198,T104,T104,Peter Lonard,30,2
199,T104,T104,Davis Love III,27,2
200,T104,T104,Steve Lowery,27,2
201,T104,T104,Will MacKenzie,24,2
202,T104,T104,Jeff Maggert,28,2
203,T104,T104,John Mallinger,27,2
204,T104,T104,Shigeki Maruyama,5,2
205,T104,T104,David Mathis,27,2
206,T104,T104,Billy Mayfair,28,2
207,T104,T104,Josh McCumber,1,2
208,T104,T104,Graeme McDowell,11,2
209,T104,T104,Paul McGinley,2,2
210,T104,T104,Rory McIlroy,11,2
211,T104,T104,Parker McLachlin,25,2
212,T104,T104,Spike McRoy,1,2
213,T104,T104,Rocco Mediate,22,2
214,T104,T104,John Merrick,28,2
215,T104,T104,Francesco Molinari,4,2
216,T104,T104,Ryan Moore,27,2
217,T104,T104,Jack Newman,2,2
218,T104,T104,Sean O'Hair,23,2
219,T104,T104,Nick O'Hern,27,2
220,T104,T104,Geoff Ogilvy,20,2
221,T104,T104,David Ogrin,1,2
222,T104,T104,José María Olazábal,4,2
223,T104,T104,Louis Oosthuizen,6,2
224,T104,T104,Jeff Overton,28,2
225,T104,T104,Ryan Palmer,26,2
226,T104,T104,Jesper Parnevik,14,2
227,T104,T104,Tom Pernice Jr.,26,2
228,T104,T104,Kenny Perry,24,2
229,T104,T104,Carl Pettersson,29,2
230,T104,T104,Terry Pilkadaris,1,2
231,T104,T104,Ian Poulter,17,2
232,T104,T104,Aron Price,27,2
233,T104,T104,Dicky Pride,10,2
234,T104,T104,Ted Purdy,30,2
235,T104,T104,Alvaro Quiros,9,2
236,T104,T104,Chez Reavie,27,2
237,T104,T104,Tag Ridings,16,2
238,T104,T104,John Rollins,27,2
239,T104,T104,Andres Romero,20,2
240,T104,T104,Justin Rose,22,2
241,T104,T104,Tom Scherrer,2,2
242,T104,T104,Brady Schnell,2,2
