,Consecutive_Birdies_Streak_RANK THIS WEEK,Consecutive_Birdies_Streak_RANK LAST WEEK,Consecutive_Birdies_Streak_PLAYER NAME,Consecutive_Birdies_Streak_EVENTS,Consecutive_Birdies_Streak_NUMBER OF HOLES
0,1,1,Mark Calcavecchia,23,9
1,T2,T2,Brian Davis,32,7
2,T2,T2,Ryuji Imada,25,7
3,T2,T2,Jesper Parnevik,14,7
4,T5,T5,Luke Donald,21,6
5,T5,T5,Freddie Jacobson,25,6
6,T5,T5,Nick O'Hern,27,6
7,T5,T5,Jeev Milkha Singh,15,6
8,T5,T5,Bo Van Pelt,30,6
9,T5,T5,Camilo Villegas,21,6
10,T5,T5,Jimmy Walker,24,6
11,T5,T5,Boo Weekley,22,6
12,T13,T13,Stephen Ames,23,5
13,T13,T13,Stuart Appleby,25,5
14,T13,T13,Briny Baird,28,5
15,T13,T13,Chad Campbell,26,5
16,T13,T13,Fred Couples,16,5
17,T13,T13,Joe Durant,20,5
18,T13,T13,David Duval,22,5
19,T13,T13,Robert Garrigus,25,5
20,T13,T13,Brian Gay,27,5
21,T13,T13,J.B. Holmes,25,5
22,T13,T13,Charles Howell III,29,5
23,T13,T13,Zach Johnson,26,5
24,T13,T13,Dustin Johnson,25,5
25,T13,T13,Martin Kaymer,11,5
26,T13,T13,Jeff Klauk,29,5
27,T13,T13,Greg Kraft,21,5
28,T13,T13,Cliff Kresge,28,5
29,T13,T13,Matt Kuchar,24,5
30,T13,T13,Martin Laird,24,5
31,T13,T13,Justin Leonard,26,5
32,T13,T13,Michael Letzig,28,5
33,T13,T13,Spencer Levin,25,5
34,T13,T13,Peter Lonard,30,5
35,T13,T13,Steve Lowery,27,5
36,T13,T13,Sandy Lyle,2,5
37,T13,T13,Hunter Mahan,25,5
38,T13,T13,Bryce Molder,21,5
39,T13,T13,Ryan Moore,27,5
40,T13,T13,Kevin Na,26,5
41,T13,T13,James Nitties,27,5
42,T13,T13,Joe Ogilvie,29,5
43,T13,T13,Geoff Ogilvy,20,5
44,T13,T13,Ryan Palmer,26,5
45,T13,T13,Rod Pampling,23,5
46,T13,T13,Kenny Perry,24,5
47,T13,T13,Tim Petrovic,31,5
48,T13,T13,Carl Pettersson,29,5
49,T13,T13,Alvaro Quiros,9,5
50,T13,T13,Tag Ridings,16,5
51,T13,T13,Andres Romero,20,5
52,T13,T13,John Senden,29,5
53,T13,T13,Vijay Singh,21,5
54,T13,T13,Darron Stiles,20,5
55,T13,T13,Steve Stricker,22,5
56,T13,T13,Chris Stroud,28,5
57,T13,T13,Charles Warren,20,5
58,T13,T13,Charlie Wi,28,5
59,T13,T13,Tim Wilkinson,14,5
60,T13,T13,Mark Wilson,28,5
61,T13,T13,Casey Wittenberg,25,5
62,T63,T63,Tyler Aldridge,17,4
63,T63,T63,Steve Allan,17,4
64,T63,T63,Michael Allen,22,4
65,T63,T63,Robert Allenby,21,4
66,T63,T63,Tommy Armour III,19,4
67,T63,T63,Woody Austin,24,4
68,T63,T63,Eric Axley,30,4
69,T63,T63,Brian Bateman,25,4
70,T63,T63,Cameron Beckman,26,4
71,T63,T63,Rich Beem,26,4
72,T63,T63,"David Berganio, Jr.",15,4
73,T63,T63,Matt Bettencourt,31,4
74,T63,T63,Kris Blanks,20,4
75,T63,T63,Jason Bohn,25,4
76,T63,T63,Michael Bradley,17,4
77,T63,T63,Ángel Cabrera,17,4
78,T63,T63,Paul Casey,12,4
79,T63,T63,Greg Chalmers,26,4
80,T63,T63,K.J. Choi,22,4
81,T63,T63,Daniel Chopra,28,4
82,T63,T63,Bobby Clampett,2,4
83,T63,T63,Wil Collins,18,4
84,T63,T63,Chris Couch,8,4
85,T63,T63,Ben Crane,27,4
86,T63,T63,Marco Dawson,6,4
87,T63,T63,Jason Day,18,4
88,T63,T63,Brendon de Jonge,29,4
89,T63,T63,Chris DiMarco,29,4
90,T63,T63,Jason Dufner,26,4
91,T63,T63,Ken Duke,29,4
92,T63,T63,Steve Elkington,23,4
93,T63,T63,Bob Estes,23,4
94,T63,T63,Brad Faxon,23,4
95,T63,T63,Richard Finch,2,4
96,T63,T63,Steve Flesch,27,4
97,T63,T63,Carlos Franco,10,4
98,T63,T63,Harrison Frazar,28,4
99,T63,T63,Tadd Fujikawa,4,4
100,T63,T63,Jim Furyk,23,4
101,T63,T63,Tommy Gainey,15,4
102,T63,T63,Sergio Garcia,17,4
103,T63,T63,Bobby Gates,1,4
104,T63,T63,Lucas Glover,26,4
105,T63,T63,Ernie Gonzalez,1,4
106,T63,T63,Andres Gonzales,1,4
107,T63,T63,Retief Goosen,20,4
108,T63,T63,Paul Goydos,25,4
109,T63,T63,Nathan Green,30,4
110,T63,T63,Bill Haas,29,4
111,T63,T63,Bob Heintz,20,4
112,T63,T63,Tim Herron,27,4
113,T63,T63,Charley Hoffman,27,4
114,T63,T63,Lee Janzen,23,4
115,T63,T63,Richard Johnson,26,4
116,T63,T63,Matt Jones,17,4
117,T63,T63,Jonathan Kaye,17,4
118,T63,T63,Jerry Kelly,26,4
119,T63,T63,Skip Kendall,3,4
120,T63,T63,Anthony Kim,22,4
121,T63,T63,James Kingston,2,4
122,T63,T63,Colt Knost,24,4
123,T63,T63,Neal Lancaster,6,4
124,T63,T63,Stephen Leaney,11,4
125,T63,T63,Danny Lee,12,4
126,T63,T63,Tom Lehman,16,4
127,T63,T63,Marc Leishman,28,4
128,T63,T63,Frank Lickliter II,14,4
129,T63,T63,Davis Love III,27,4
130,T63,T63,Bill Lunde,27,4
131,T63,T63,Jarrod Lyle,21,4
132,T63,T63,Jeff Maggert,28,4
133,T63,T63,John Mallinger,27,4
134,T63,T63,Steve Marino,29,4
135,T63,T63,David Mathis,27,4
136,T63,T63,Troy Matteson,30,4
137,T63,T63,Scott McCarron,27,4
138,T63,T63,Graeme McDowell,11,4
139,T63,T63,George McNeill,26,4
140,T63,T63,Rocco Mediate,22,4
141,T63,T63,John Merrick,28,4
142,T63,T63,Phil Mickelson,18,4
143,T63,T63,Sean O'Hair,23,4
144,T63,T63,David Ogrin,1,4
145,T63,T63,Greg Owen,30,4
146,T63,T63,Corey Pavin,23,4
147,T63,T63,David Peoples,6,4
148,T63,T63,Pat Perez,22,4
149,T63,T63,Tom Pernice Jr.,26,4
150,T63,T63,Scott Piercy,28,4
151,T63,T63,Rick Price,21,4
152,T63,T63,Aron Price,27,4
153,T63,T63,Ted Purdy,30,4
154,T63,T63,Brett Quigley,28,4
155,T63,T63,Chez Reavie,27,4
156,T63,T63,Chris Riley,22,4
157,T63,T63,Justin Rose,22,4
158,T63,T63,Rory Sabbatini,25,4
159,T63,T63,Charl Schwartzel,6,4
160,T63,T63,Webb Simpson,30,4
161,T63,T63,Heath Slocum,30,4
162,T63,T63,Brandt Snedeker,26,4
163,T63,T63,Kevin Stadler,20,4
164,T63,T63,Kevin Streelman,29,4
165,T63,T63,Kevin Sutherland,27,4
166,T63,T63,Vaughn Taylor,28,4
167,T63,T63,Peter Tomasulo,25,4
168,T63,T63,David Toms,27,4
169,T63,T63,D.J. Trahan,30,4
170,T63,T63,Kirk Triplett,20,4
171,T63,T63,Marc Turnesa,30,4
172,T63,T63,Scott Verplank,24,4
173,T63,T63,Johnson Wagner,26,4
174,T63,T63,Grant Waite,2,4
175,T63,T63,Nick Watney,24,4
176,T63,T63,Bubba Watson,24,4
177,T63,T63,Matt Weibring,22,4
178,T63,T63,Mike Weir,24,4
179,T63,T63,Jay Williamson,22,4
180,T63,T63,Dean Wilson,29,4
181,T63,T63,Tiger Woods,17,4
182,T63,T63,Y.E. Yang,23,4
183,T184,T184,Brad Adamonis,25,3
184,T184,T184,Thomas Aiken,3,3
185,T184,T184,Billy Andrade,17,3
186,T184,T184,Alex Aragon,2,3
187,T184,T184,Arjun Atwal,12,3
188,T184,T184,Paul Azinger,8,3
189,T184,T184,Aaron Baddeley,23,3
190,T184,T184,Ian Baker-Finch,1,3
191,T184,T184,Ricky Barnes,23,3
192,T184,T184,Notah Begay III,15,3
193,T184,T184,Gaganjeet Bhullar,1,3
194,T184,T184,Gregory Bisconti,1,3
195,T184,T184,Ronnie Black,3,3
196,T184,T184,Matthew Borchert,19,3
197,T184,T184,Guy Boros,7,3
198,T184,T184,Mark Brooks,17,3
199,T184,T184,Olin Browne,9,3
200,T184,T184,Bart Bryant,17,3
201,T184,T184,Rodney Butcher,3,3
202,T184,T184,Jonathan Byrd,25,3
203,T184,T184,Alex Cejka,25,3
204,T184,T184,Kevin Chappell,3,3
205,T184,T184,Stewart Cink,22,3
206,T184,T184,Tim Clark,23,3
207,T184,T184,Darren Clarke,7,3
208,T184,T184,José Coceres,6,3
209,T184,T184,Erik Compton,5,3
210,T184,T184,Steve Conway,1,3
211,T184,T184,Ben Curtis,18,3
212,T184,T184,Glen Day,26,3
213,T184,T184,Graham DeLaet,1,3
214,T184,T184,James Driscoll,17,3
215,T184,T184,Ernie Els,19,3
216,T184,T184,Derek Fathauer,25,3
217,T184,T184,Todd Fischer,3,3
218,T184,T184,Ross Fisher,10,3
219,T184,T184,Rickie Fowler,6,3
220,T184,T184,Mathew Goggin,26,3
221,T184,T184,Rafael Gómez,1,3
222,T184,T184,Jason Gore,24,3
223,T184,T184,Mike Grob,1,3
224,T184,T184,Mathias Grönberg,13,3
225,T184,T184,Scott Gutschewski,19,3
226,T184,T184,Todd Hamilton,29,3
227,T184,T184,Soren Hansen,8,3
228,T184,T184,Peter Hanson,5,3
229,T184,T184,Padraig Harrington,20,3
230,T184,T184,Dudley Hart,13,3
231,T184,T184,J.P. Hayes,15,3
232,T184,T184,J.J. Henry,28,3
233,T184,T184,Mark Hensby,5,3
234,T184,T184,Matt Hill,3,3
235,T184,T184,Scott Hoch,1,3
236,T184,T184,David Howell,1,3
237,T184,T184,John Huston,13,3
238,T184,T184,Trevor Immelman,13,3
239,T184,T184,Thongchai Jaidee,4,3
240,T184,T184,Clint Jensen,2,3
241,T184,T184,Brandt Jobe,8,3
242,T184,T184,Kent Jones,24,3
243,T184,T184,Brendan Jones,2,3
244,T184,T184,Robert Karlsson,6,3
245,T184,T184,Shingo Katayama,6,3
246,T184,T184,Troy Kelly,17,3
247,T184,T184,Søren Kjeldsen,7,3
248,T184,T184,Lucas Lee,1,3
249,T184,T184,J.L. Lewis,4,3
250,T184,T184,Edward Loar,1,3
251,T184,T184,Jamie Lovemark,5,3
252,T184,T184,Will MacKenzie,24,3
253,T184,T184,Prayad Marksaeng,6,3
254,T184,T184,Shigeki Maruyama,5,3
255,T184,T184,Billy Mayfair,28,3
256,T184,T184,Paul McGinley,2,3
257,T184,T184,Rory McIlroy,11,3
258,T184,T184,Parker McLachlin,25,3
259,T184,T184,Fernando Mechereffe,1,3
260,T184,T184,Shaun Micheel,16,3
261,T184,T184,Larry Mize,1,3
262,T184,T184,Patrick Moore,4,3
263,T184,T184,Garth Mulroy,1,3
264,T184,T184,Trevor Murphy,1,3
265,T184,T184,Jack Newman,2,3
266,T184,T184,Mark O'Meara,2,3
267,T184,T184,James Oh,21,3
268,T184,T184,José María Olazábal,4,3
269,T184,T184,Leif Olson,21,3
270,T184,T184,Jeff Overton,28,3
271,T184,T184,D.A. Points,29,3
272,T184,T184,Ian Poulter,17,3
273,T184,T184,Jeff Quinney,26,3
274,T184,T184,John Rollins,27,3
275,T184,T184,Brady Schnell,2,3
276,T184,T184,Adam Scott,19,3
