,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
146,T145,T145,Vaughn Taylor,28,263.8,1291420.0,136
147,148,148,Tim Petrovic,31,263.9,1577091.0,166
148,149,149,Rich Beem,26,264.1,960117.0,101
149,150,150,Peter Lonard,30,264.2,894044.0,94
150,151,151,Carl Pettersson,29,264.3,1341497.0,141
151,152,152,Freddie Jacobson,25,264.4,1294636.0,136
152,153,153,Brian Davis,32,264.5,1466649.0,154
153,T154,T154,Greg Chalmers,26,264.6,1219355.0,128
154,T154,T154,Ted Purdy,30,264.6,1809890.0,190
155,156,156,Ryan Palmer,26,264.7,1562546.0,164
156,157,157,Scott McCarron,27,264.9,1516238.0,159
157,T158,T158,Matt Jones,17,265.0,944417.0,99
158,T158,T158,Rory Sabbatini,25,265.0,1592988.0,167
159,T158,T158,Patrick Sheehan,15,265.0,515164.0,54
160,161,161,Jason Gore,24,265.2,1222219.0,128
161,T162,T162,Rocco Mediate,22,265.6,1003819.0,105
162,T162,T162,Tom Pernice Jr.,26,265.6,1118852.0,117
163,164,164,Leif Olson,21,265.7,755591.0,79
164,165,165,Jonathan Byrd,25,265.8,1980673.0,207
165,T166,T166,Colt Knost,24,265.9,660496.0,69
166,T166,T166,Bill Lunde,27,265.9,1435749.0,150
167,168,168,Rick Price,21,266.1,660886.0,69
168,169,169,Eric Axley,30,266.4,805501.0,84
169,170,170,Greg Kraft,21,266.6,451073.0,47
170,171,171,Ben Curtis,18,266.9,768590.0,80
171,172,172,Kent Jones,24,267.0,778521.0,81
172,173,173,David Duval,22,267.1,855652.0,89
173,174,174,John Rollins,27,267.2,1789243.0,186
174,175,175,Ricky Barnes,23,268.6,937990.0,97
175,176,176,Spencer Levin,25,268.9,1016271.0,105
176,177,177,Casey Wittenberg,25,269.3,901615.0,93
177,T178,T178,Anthony Kim,22,269.5,1571803.0,162
178,T178,T178,Jeff Maggert,28,269.5,1300187.0,134
179,180,180,Charles Warren,20,269.8,1330419.0,137
180,181,181,Paul Goydos,25,270.7,925650.0,95
181,182,182,James Nitties,27,271.0,1453492.0,149
182,183,183,Brian Vranesh,20,271.1,780875.0,80
183,184,184,Andres Romero,20,272.2,1381477.0,141
