,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Steve Stricker,81,33.06,81,245
1,2,2,Dean Wilson,81,30.47,85,279
2,3,3,Jim Furyk,86,30.0,75,250
3,4,4,Bryce Molder,69,29.95,62,207
4,5,5,John Mallinger,90,29.48,79,268
5,6,6,Brian Davis,103,29.32,112,382
6,T7,T7,Paul Goydos,79,29.01,76,262
7,T7,T7,Charlie Wi,92,29.01,85,293
8,9,9,Justin Leonard,95,28.09,91,324
9,10,10,D.A. Points,99,27.8,82,295
10,11,11,Brian Gay,96,27.63,92,333
11,T12,T12,Tim Clark,81,27.56,70,254
12,T12,T12,Scott Verplank,88,27.56,78,283
13,14,14,Stephen Ames,77,27.4,57,208
14,15,15,Geoff Ogilvy,78,27.27,69,253
15,16,16,Ryuji Imada,85,27.14,73,269
16,17,17,Mike Weir,85,27.04,73,270
17,18,18,Woody Austin,84,26.92,77,286
18,19,19,Jason Day,61,26.74,50,187
19,20,20,Mark Calcavecchia,72,26.73,58,217
20,21,21,Matt Weibring,65,26.7,59,221
21,22,22,Zach Johnson,94,26.69,83,311
22,23,23,Vaughn Taylor,88,26.63,86,323
23,24,24,Steve Elkington,70,26.55,60,226
24,25,25,Daniel Chopra,89,26.54,95,358
25,T26,T26,Luke Donald,79,26.34,59,224
26,T26,T26,Bob Estes,78,26.34,69,262
27,28,28,Sergio Garcia,59,26.28,41,156
28,29,29,Anthony Kim,76,26.15,74,283
29,30,30,Alex Cejka,82,26.12,70,268
30,31,31,Ian Poulter,59,26.11,41,157
31,32,32,Ken Duke,87,26.01,71,273
32,33,33,David Mathis,82,25.98,66,254
33,T34,T34,Chad Campbell,90,25.66,68,265
34,T34,T34,Webb Simpson,94,25.66,88,343
35,T36,T36,Corey Pavin,73,25.54,47,184
36,T36,T36,Aron Price,89,25.54,71,278
37,38,38,Glen Day,79,25.44,72,283
38,39,39,Greg Chalmers,85,25.4,64,252
39,40,40,Freddie Jacobson,83,25.29,66,261
40,41,41,John Senden,100,25.23,83,329
41,42,42,Patrick Sheehan,51,25.17,38,151
42,43,43,Nick O'Hern,90,25.15,82,326
43,44,44,Brandt Snedeker,81,25.1,63,251
44,45,45,Ben Crane,93,24.91,70,281
45,46,46,K.J. Choi,65,24.89,55,221
46,47,47,Darron Stiles,52,24.73,46,186
47,48,48,Kevin Streelman,97,24.71,86,348
48,49,49,Tim Petrovic,97,24.69,79,320
49,50,50,Chris Stroud,88,24.64,68,276
50,51,51,Kevin Sutherland,96,24.62,65,264
51,52,52,Ben Curtis,63,24.43,43,176
52,53,53,Bill Haas,91,24.37,77,316
53,54,54,Jimmy Walker,74,24.32,45,185
54,55,55,David Toms,98,24.25,73,301
55,56,56,Joe Ogilvie,85,24.21,77,318
56,57,57,Charley Hoffman,97,24.15,78,323
57,58,58,Chris Riley,77,24.07,58,241
58,59,59,Tiger Woods,64,24.03,31,129
59,60,60,Kenny Perry,92,23.97,70,292
60,61,61,Retief Goosen,74,23.96,52,217
61,62,62,Bob Heintz,59,23.9,49,205
62,63,63,Y.E. Yang,83,23.83,56,235
63,64,64,Ryan Moore,89,23.77,58,244
64,65,65,Joe Durant,62,23.74,47,198
65,66,66,Steve Marino,98,23.71,78,329
66,67,67,Kent Jones,73,23.66,53,224
67,68,68,Lee Janzen,74,23.56,53,225
68,69,69,Heath Slocum,95,23.51,83,353
69,70,70,Martin Laird,72,23.41,48,205
