,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Tim Clark,81,"30' 5""",32140.0,1057,48
1,2,2,Jason Bohn,88,"31' 0""",45565.0,1468,8
2,T3,T3,Tom Lehman,55,"31' 8""",19897.75,629,10
3,T3,T3,Jay Williamson,69,"31' 8""",32230.333,1019,5
4,5,5,Patrick Sheehan,51,"32' 1""",22407.333,699,15
5,T6,T6,Joe Durant,62,"32' 3""",27001.333,837,3
6,T6,T6,Heath Slocum,95,"32' 3""",49210.0,1524,32
7,T6,T6,David Toms,98,"32' 3""",46420.75,1438,20
8,9,9,Steve Stricker,81,"32' 5""",36020.917,1110,57
9,10,10,Kris Blanks,60,"32' 7""",27459.583,843,70
10,T11,T11,Jim Furyk,86,"32' 8""",37985.333,1162,98
11,T11,T11,Zach Johnson,94,"32' 8""",46278.667,1416,28
12,13,13,Brian Gay,96,"32' 10""",48109.583,1467,168
13,T14,T14,Justin Leonard,95,"32' 11""",44189.083,1344,45
14,T14,T14,Scott Sterling,51,"32' 11""",23525.75,715,13
15,16,16,Kevin Stadler,65,"33' 1""",31977.75,967,51
16,T17,T17,Bryce Molder,69,"33' 2""",32083.583,968,40
17,T17,T17,Darron Stiles,52,"33' 2""",24965.25,753,90
18,T19,T19,Chad Campbell,90,"33' 3""",42276.583,1272,9
19,T19,T19,Nick O'Hern,90,"33' 3""",50481.167,1520,54
20,T21,T21,Tommy Armour III,58,"33' 4""",31115.583,933,44
21,T21,T21,Sergio Garcia,59,"33' 4""",26354.583,790,95
22,T21,T21,Mike Weir,85,"33' 4""",39908.333,1198,156
23,24,24,Bart Bryant,58,"33' 5""",31222.917,934,163
24,T25,T25,Alex Cejka,82,"33' 6""",42523.917,1269,63
25,T25,T25,Brandt Snedeker,81,"33' 6""",38942.667,1163,138
26,27,27,Fred Couples,54,"33' 7""",25264.833,753,42
27,T28,T28,Robert Allenby,71,"33' 8""",33848.167,1005,24
28,T28,T28,Bob Heintz,59,"33' 8""",30738.0,912,121
29,T28,T28,Dean Wilson,81,"33' 8""",42158.667,1252,109
30,T31,T31,Kenny Perry,92,"33' 9""",44172.083,1310,36
31,T31,T31,Matt Weibring,65,"33' 9""",33323.667,987,90
32,T33,T33,Michael Allen,73,"33' 10""",35181.0,1039,37
33,T33,T33,Chris DiMarco,97,"33' 10""",52646.0,1557,125
34,T33,T33,Chez Reavie,81,"33' 10""",42493.833,1255,83
35,36,36,Glen Day,79,"33' 11""",38915.917,1148,62
36,37,37,Briny Baird,89,"34' 0""",43891.667,1291,10
37,38,38,Lee Janzen,74,"34' 1""",37199.167,1091,136
38,T39,T39,Luke Donald,79,"34' 2""",37246.333,1091,157
39,T39,T39,Matt Kuchar,82,"34' 2""",43526.083,1273,132
