,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,J.B. Holmes,74,33.77,51,151,-48,48 Under
1,2,2,Tiger Woods,64,33.6,42,125,-45,45 Under
2,3,3,Kevin Stadler,65,32.98,31,94,-34,34 Under
3,4,4,Peter Tomasulo,61,30.77,32,104,-30,30 Under
4,5,5,Retief Goosen,74,30.69,31,101,-39,39 Under
5,T6,T6,Greg Owen,97,30.68,54,176,-49,49 Under
6,T6,T6,Nick Watney,86,30.68,54,176,-59,59 Under
7,8,8,Matt Jones,56,30.3,30,99,-29,29 Under
8,9,9,John Senden,100,30.22,55,182,-64,64 Under
9,10,10,Fred Couples,54,29.49,23,78,-25,25 Under
10,11,11,Adam Scott,53,29.35,27,92,-26,26 Under
11,12,12,Y.E. Yang,83,29.25,43,147,-46,46 Under
12,13,13,Davis Love III,89,29.24,50,171,-50,50 Under
13,14,14,Anthony Kim,76,29.01,47,162,-48,48 Under
14,15,15,Sean O'Hair,80,28.91,37,128,-39,39 Under
15,16,16,D.J. Trahan,96,28.71,58,202,-59,59 Under
16,17,17,Tim Clark,81,28.17,20,71,-22,22 Under
17,18,18,Tag Ridings,50,28.04,30,107,-33,33 Under
18,19,19,Kevin Streelman,97,27.78,50,180,-47,47 Under
19,20,20,Charles Warren,63,27.74,38,137,-35,35 Under
20,21,21,Briny Baird,89,27.73,33,119,-33,33 Under
21,22,22,Matt Weibring,65,27.37,26,95,-26,26 Under
22,23,23,Charley Hoffman,97,26.94,59,219,-59,59 Under
23,24,24,Ted Purdy,101,26.84,51,190,-49,49 Under
24,25,25,Joe Durant,62,26.67,20,75,-18,18 Under
25,26,26,Bubba Watson,73,26.58,42,158,-46,46 Under
26,27,27,Chris Stroud,88,26.57,38,143,-41,41 Under
27,28,28,Steve Stricker,81,26.32,25,95,-28,28 Under
28,T29,T29,Robert Allenby,71,26.21,27,103,-27,27 Under
29,T29,T29,Boo Weekley,79,26.21,38,145,-38,38 Under
30,31,31,Aaron Baddeley,66,25.86,30,116,-34,34 Under
31,T32,T32,Phil Mickelson,66,25.81,32,124,-34,34 Under
32,T32,T32,Gary Woodland,53,25.81,24,93,-23,23 Under
33,34,34,Sergio Garcia,59,25.77,25,97,-32,32 Under
34,35,35,Kris Blanks,60,25.58,22,86,-22,22 Under
35,36,36,John Merrick,91,25.56,34,133,-35,35 Under
36,37,37,Kenny Perry,92,25.53,36,141,-36,36 Under
37,38,38,Vijay Singh,71,25.45,28,110,-27,27 Under
38,39,39,Jerry Kelly,90,25.41,31,122,-30,30 Under
39,40,40,Lucas Glover,93,25.32,40,158,-34,34 Under
40,41,41,Todd Hamilton,83,25.27,23,91,-25,25 Under
41,T42,T42,Jason Bohn,88,25.0,29,116,-27,27 Under
42,T42,T42,Bob Estes,78,25.0,23,92,-24,24 Under
43,T42,T42,Dustin Johnson,85,25.0,42,168,-39,39 Under
44,T42,T42,Marc Leishman,91,25.0,42,168,-42,42 Under
45,T42,T42,Jimmy Walker,74,25.0,32,128,-36,36 Under
46,47,47,Jay Williamson,69,24.72,22,89,-20,20 Under
47,48,48,Scott Piercy,85,24.6,46,187,-46,46 Under
48,T49,T49,Zach Johnson,94,24.43,32,131,-39,39 Under
49,T49,T49,Martin Laird,72,24.43,43,176,-48,48 Under
50,T49,T49,Ryan Moore,89,24.43,43,176,-44,44 Under
51,52,52,Stephen Ames,77,24.32,27,111,-30,30 Under
52,53,53,Mike Weir,85,24.1,20,83,-24,24 Under
53,54,54,Will MacKenzie,69,24.06,32,133,-29,29 Under
54,55,55,Robert Garrigus,83,23.96,46,192,-40,40 Under
55,56,56,Camilo Villegas,76,23.94,34,142,-32,32 Under
56,57,57,Geoff Ogilvy,78,23.93,28,117,-29,29 Under
57,T58,T58,Kevin Sutherland,96,23.81,35,147,-35,35 Under
58,T58,T58,Brendon Todd,53,23.81,10,42,-10,10 Under
59,60,60,Nathan Green,104,23.67,40,169,-36,36 Under
60,61,61,Billy Mayfair,83,23.62,30,127,-31,31 Under
61,62,62,Vaughn Taylor,88,23.53,32,136,-29,29 Under
62,63,63,Pat Perez,74,23.44,30,128,-35,35 Under
63,64,64,George McNeill,82,23.29,34,146,-38,38 Under
64,65,65,Lee Janzen,74,23.26,20,86,-18,18 Under
65,66,66,Steve Elkington,70,23.15,25,108,-25,25 Under
66,67,67,Nick O'Hern,90,23.08,24,104,-28,28 Under
67,68,68,Johnson Wagner,81,22.88,35,153,-39,39 Under
68,69,69,Tom Lehman,55,22.86,8,35,-7,7 Under
69,70,70,Leif Olson,51,22.78,18,79,-18,18 Under
70,71,71,J.J. Henry,97,22.73,35,154,-41,41 Under
71,72,72,Bart Bryant,58,22.64,12,53,-13,13 Under
72,73,73,Mathew Goggin,76,22.63,31,137,-32,32 Under
73,74,74,Jim Furyk,86,22.58,21,93,-22,22 Under
74,75,75,Ken Duke,87,22.52,25,111,-27,27 Under
75,76,76,Cameron Beckman,87,22.5,27,120,-28,28 Under
