,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Matt Jones,56,59.5,22,37,-4.00
1,2,2,David Toms,98,56.8,25,44,-4.00
2,3,3,Woody Austin,84,56.7,34,60,-13.00
3,T4,T4,Briny Baird,89,55.8,24,43,-1.00
4,T4,T4,Jason Day,61,55.8,29,52,-6.00
5,6,6,Charley Hoffman,97,55.6,45,81,-6.00
6,7,7,Vijay Singh,71,55.2,32,58,-3.00
7,8,8,Johnson Wagner,81,55.0,22,40,-2.00
8,9,9,Joe Durant,62,54.8,17,31,-4.00
9,10,10,Kevin Na,91,54.7,29,53,-1.00
10,T11,T11,Michael Allen,73,54.5,18,33,-4.00
11,T11,T11,Nicholas Thompson,96,54.5,42,77,-3.00
12,13,13,Marc Leishman,91,54.0,27,50,-1.00
13,T14,T14,Charles Howell III,99,53.8,35,65,-9.00
14,T14,T14,Bo Van Pelt,100,53.8,35,65,-6.00
15,16,16,Jim Furyk,86,53.7,22,41,-9.00
16,17,17,Ricky Barnes,67,53.2,25,47,-4.00
17,18,18,Chad Campbell,90,52.9,27,51,-3.00
18,19,19,Scott Sterling,51,52.6,10,19,E
19,20,20,Scott Piercy,85,52.5,32,61,-6.00
20,21,21,Jeff Maggert,79,52.1,25,48,+2.00
21,22,22,Charlie Wi,92,51.9,27,52,-4.00
22,T23,T23,Andres Romero,58,51.4,19,37,-10.00
23,T23,T23,Casey Wittenberg,71,51.4,19,37,-1.00
24,25,25,Jason Gore,74,51.2,22,43,-7.00
25,26,26,Chris Riley,77,51.1,24,47,-7.00
26,T27,T27,Michael Letzig,96,50.8,33,65,-2.00
27,T27,T27,D.J. Trahan,96,50.8,32,63,-5.00
28,T29,T29,Leif Olson,51,50.0,18,36,-5.00
29,T29,T29,Jimmy Walker,74,50.0,19,38,-5.00
30,T29,T29,Nick Watney,86,50.0,26,52,-6.00
31,T29,T29,Mark Wilson,99,50.0,33,66,-6.00
32,33,33,Mark Calcavecchia,72,49.0,24,49,-3.00
33,34,34,Ian Poulter,59,48.8,21,43,-4.00
34,T35,T35,John Merrick,91,48.7,38,78,-7.00
35,T35,T35,Brendon Todd,53,48.7,19,39,-2.00
36,37,37,Carl Pettersson,86,48.6,36,74,-2.00
37,T38,T38,David Duval,56,48.4,15,31,-4.00
38,T38,T38,Greg Owen,97,48.4,31,64,-3.00
39,40,40,Jarrod Lyle,65,48.1,26,54,-3.00
40,41,41,Ryuji Imada,85,48.0,24,50,-4.00
41,42,42,Scott McCarron,91,47.9,23,48,-4.00
42,T43,T43,J.B. Holmes,74,47.8,22,46,-2.00
43,T43,T43,Rod Pampling,72,47.8,32,67,-6.00
44,45,45,Will MacKenzie,69,47.7,21,44,-1.00
45,46,46,Ryan Palmer,78,47.3,26,55,-1.00
46,T47,T47,Stuart Appleby,79,47.2,25,53,-4.00
47,T47,T47,Peter Lonard,86,47.2,25,53,-3.00
48,T49,T49,Brad Adamonis,70,47.1,24,51,-2.00
49,T49,T49,Brian Bateman,55,47.1,24,51,-3.00
50,T49,T49,Spencer Levin,75,47.1,24,51,-4.00
51,T49,T49,Adam Scott,53,47.1,16,34,-2.00
52,53,53,Brendon de Jonge,90,46.8,36,77,-7.00
53,T54,T54,Ben Crane,93,46.7,28,60,-6.00
54,T54,T54,Kirk Triplett,60,46.7,14,30,-1.00
55,T54,T54,Jay Williamson,69,46.7,21,45,E
56,57,57,Justin Rose,71,46.6,27,58,-7.00
57,58,58,Brandt Snedeker,81,46.3,19,41,-6.00
58,T59,T59,Greg Kraft,51,46.2,12,26,-6.00
59,T59,T59,Troy Matteson,95,46.2,36,78,-3.00
60,T61,T61,Steve Flesch,77,46.0,23,50,-5.00
61,T61,T61,Tom Pernice Jr.,82,46.0,29,63,-9.00
62,T63,T63,Tommy Armour III,58,45.9,17,37,-2.00
63,T63,T63,Jason Dufner,90,45.9,28,61,-3.00
64,T65,T65,Alex Cejka,82,45.8,22,48,-6.00
65,T65,T65,Steve Marino,98,45.8,33,72,-10.00
66,T65,T65,Camilo Villegas,76,45.8,22,48,-4.00
67,T65,T65,Gary Woodland,53,45.8,11,24,-3.00
68,69,69,Ted Purdy,101,45.7,32,70,-8.00
69,70,70,Chris Stroud,88,45.6,26,57,-2.00
70,71,71,Steve Stricker,81,45.5,20,44,-5.00
71,72,72,Matt Bettencourt,98,45.2,42,93,-8.00
72,73,73,David Mathis,82,45.1,23,51,-8.00
73,74,74,Dustin Johnson,85,45.0,27,60,-4.00
74,T75,T75,Ernie Els,70,44.7,17,38,-3.00
75,T75,T75,John Mallinger,90,44.7,21,47,-7.00
76,T75,T75,Jeff Overton,92,44.7,34,76,-6.00
77,T75,T75,Y.E. Yang,83,44.7,34,76,-4.00
78,79,79,Bill Haas,91,44.6,33,74,-7.00
79,T80,T80,Greg Chalmers,85,44.0,22,50,-1.00
80,T80,T80,Freddie Jacobson,83,44.0,33,75,-4.00
81,T80,T80,Webb Simpson,94,44.0,37,84,-2.00
82,T83,T83,Matt Kuchar,82,43.9,25,57,-8.00
83,T83,T83,Mike Weir,85,43.9,25,57,-6.00
84,T85,T85,Colt Knost,71,43.6,17,39,-2.00
85,T85,T85,George McNeill,82,43.6,24,55,-4.00
86,T87,T87,Aaron Baddeley,66,43.4,23,53,-6.00
87,T87,T87,Stewart Cink,79,43.4,23,53,-6.00
88,T89,T89,Rich Beem,77,43.2,19,44,+2.00
