,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Robert Allenby,71,84.76,89,105,-0.18
1,2,2,Jeff Maggert,79,84.44,114,135,-0.18
2,3,3,J.J. Henry,97,82.88,121,146,-0.21
3,4,4,Camilo Villegas,76,82.86,87,105,-0.18
4,5,5,David Duval,56,82.81,53,64,-0.17
5,6,6,Patrick Sheehan,51,82.43,61,74,-0.26
6,7,7,Tim Clark,81,82.18,83,101,-0.35
7,8,8,Glen Day,79,82.05,96,117,-0.29
8,9,9,Ricky Barnes,67,82.02,73,89,-0.21
9,10,10,Tom Lehman,55,81.94,59,72,-0.19
10,T11,T11,Richard Johnson,85,81.6,102,125,-0.27
11,T11,T11,Chris Stroud,88,81.6,102,125,-0.25
12,13,13,David Toms,98,81.43,114,140,-0.22
13,14,14,Stuart Appleby,79,81.42,92,113,-0.09
14,15,15,David Mathis,82,81.13,86,106,-0.33
15,16,16,Ernie Els,70,81.05,77,95,-0.22
16,17,17,Corey Pavin,73,80.6,54,67,-0.26
17,18,18,Darron Stiles,52,80.49,66,82,-0.24
18,19,19,Mark Brooks,55,80.25,65,81,-0.28
19,20,20,Marc Turnesa,77,80.17,97,121,-0.22
20,21,21,Jason Bohn,88,80.14,117,146,-0.25
21,T22,T22,Scott Piercy,85,80.0,108,135,-0.19
22,T22,T22,John Senden,100,80.0,148,185,-0.22
23,24,24,Rod Pampling,72,79.69,102,128,-0.25
24,25,25,Peter Lonard,86,79.56,144,181,-0.3
25,26,26,Brendon de Jonge,90,79.55,105,132,-0.23
26,27,27,Tiger Woods,64,79.31,46,58,-0.33
27,28,28,Justin Leonard,95,79.29,111,140,-0.34
28,29,29,Charles Warren,63,79.28,88,111,-0.17
29,30,30,Scott Sterling,51,79.27,65,82,-0.32
30,31,31,Matt Weibring,65,79.13,91,115,-0.33
31,T32,T32,Ben Curtis,63,79.07,68,86,-0.24
32,T32,T32,Joe Durant,62,79.07,68,86,-0.26
33,T34,T34,Briny Baird,89,78.95,90,114,-0.24
34,T34,T34,Ian Poulter,59,78.95,60,76,-0.33
35,36,36,Geoff Ogilvy,78,78.91,101,128,-0.32
36,37,37,Luke Donald,79,78.89,71,90,-0.38
37,38,38,Scott Verplank,88,78.86,97,123,-0.29
38,39,39,Greg Kraft,51,78.57,66,84,-0.26
39,40,40,Jonathan Byrd,89,78.52,117,149,-0.28
40,41,41,Dean Wilson,81,78.51,95,121,-0.34
41,T42,T42,Chad Campbell,90,78.45,91,116,-0.35
42,T42,T42,John Mallinger,90,78.45,91,116,-0.31
43,44,44,Nick O'Hern,90,78.26,126,161,-0.25
44,45,45,Brian Bateman,55,78.21,61,78,-0.23
45,46,46,Kirk Triplett,60,78.0,78,100,-0.14
46,47,47,Zach Johnson,94,77.91,127,163,-0.31
47,48,48,Sean O'Hair,80,77.88,88,113,-0.19
48,49,49,Bill Lunde,83,77.87,95,122,-0.2
49,50,50,Heath Slocum,95,77.78,126,162,-0.32
50,51,51,Steve Marino,98,77.59,135,174,-0.25
51,52,52,Bryce Molder,69,77.53,69,89,-0.45
52,T53,T53,Tom Pernice Jr.,82,77.48,86,111,-0.17
53,T53,T53,Jay Williamson,69,77.48,86,111,-0.24
54,55,55,Fred Couples,54,77.38,65,84,-0.18
55,56,56,Ken Duke,87,77.24,95,123,-0.31
56,57,57,Rocco Mediate,79,77.19,88,114,-0.19
57,58,58,Dustin Johnson,85,77.16,125,162,-0.26
58,59,59,Kent Jones,73,77.14,81,105,-0.27
59,60,60,John Rollins,92,77.01,134,174,-0.2
60,61,61,Michael Allen,73,77.0,77,100,-0.27
61,62,62,Jeff Klauk,97,76.98,107,139,-0.3
62,63,63,Charles Howell III,99,76.88,123,160,-0.28
63,T64,T64,D.A. Points,99,76.87,103,134,-0.3
64,T64,T64,Charlie Wi,92,76.87,113,147,-0.42
65,66,66,Steve Elkington,70,76.85,83,108,-0.3
66,67,67,Troy Matteson,95,76.8,149,194,-0.23
67,68,68,Spencer Levin,75,76.72,89,116,-0.29
68,69,69,Cameron Beckman,87,76.64,105,137,-0.18
69,70,70,Robert Garrigus,83,76.62,118,154,-0.23
70,71,71,Cliff Kresge,78,76.61,95,124,-0.25
71,72,72,Jason Day,61,76.4,68,89,-0.29
72,73,73,Kevin Streelman,97,76.38,152,199,-0.36
73,74,74,Jim Furyk,86,76.27,90,118,-0.41
74,75,75,Greg Owen,97,76.22,109,143,-0.29
75,76,76,Ted Purdy,101,76.16,131,172,-0.32
76,T77,T77,Brian Davis,103,76.09,140,184,-0.35
77,T77,T77,Y.E. Yang,83,76.09,105,138,-0.33
78,79,79,Chez Reavie,81,76.07,89,117,-0.29
79,T80,T80,K.J. Choi,65,76.0,76,100,-0.34
80,T80,T80,Phil Mickelson,66,76.0,76,100,-0.25
81,82,82,Nathan Green,104,75.91,104,137,-0.27
82,T83,T83,Derek Fathauer,63,75.9,63,83,-0.27
83,T83,T83,Adam Scott,53,75.9,63,83,-0.3
84,85,85,Charley Hoffman,97,75.88,129,170,-0.29
85,86,86,Marc Leishman,91,75.86,110,145,-0.24
86,87,87,Jason Gore,74,75.83,91,120,-0.15
87,88,88,Kevin Sutherland,96,75.78,97,128,-0.29
88,89,89,D.J. Trahan,96,75.66,115,152,-0.18
89,90,90,Billy Mayfair,83,75.63,90,119,-0.17
90,91,91,Jimmy Walker,74,75.58,65,86,-0.29
91,92,92,Bob Estes,78,75.54,105,139,-0.31
92,93,93,Colt Knost,71,75.49,77,102,-0.35
93,94,94,Nicholas Thompson,96,75.44,129,171,-0.19
94,95,95,Jason Dufner,90,75.38,98,130,-0.29
95,96,96,Brendon Todd,53,75.34,55,73,-0.29
96,97,97,Casey Wittenberg,71,75.27,70,93,-0.23
97,98,98,Joe Ogilvie,85,75.18,103,137,-0.3
98,T99,T99,Bart Bryant,58,75.0,51,68,-0.24
99,T99,T99,James Nitties,86,75.0,90,120,-0.41
100,T99,T99,Brian Vranesh,51,75.0,57,76,-0.26
101,102,102,Steve Flesch,77,74.8,95,127,-0.23
102,103,103,Steve Stricker,81,74.77,83,111,-0.34
103,104,104,Tommy Armour III,58,74.73,68,91,-0.25
104,105,105,Tim Petrovic,97,74.68,118,158,-0.26
105,106,106,John Merrick,91,74.59,91,122,-0.23
106,107,107,Mike Weir,85,74.58,88,118,-0.36
107,T108,T108,Paul Goydos,79,74.38,90,121,-0.34
108,T108,T108,Will MacKenzie,69,74.38,90,121,-0.2
109,110,110,Vaughn Taylor,88,74.1,123,166,-0.33
110,T111,T111,Brett Quigley,92,74.07,100,135,-0.26
111,T111,T111,Andres Romero,58,74.07,60,81,-0.23
112,113,113,Ben Crane,93,74.05,97,131,-0.31
113,114,114,Brian Gay,96,74.02,94,127,-0.31
114,115,115,Stephen Ames,77,74.0,74,100,-0.27
115,116,116,Todd Hamilton,83,73.98,91,123,-0.37
116,T117,T117,Harrison Frazar,93,73.91,119,161,-0.24
117,T117,T117,Jerry Kelly,90,73.91,102,138,-0.29
118,119,119,Jarrod Lyle,65,73.86,65,88,-0.22
119,120,120,Lee Janzen,74,73.79,76,103,-0.33
120,121,121,Davis Love III,89,73.76,104,141,-0.22
121,122,122,Mathew Goggin,76,73.74,73,99,-0.33
122,123,123,Alex Cejka,82,73.73,87,118,-0.24
123,124,124,Brad Adamonis,70,73.64,81,110,-0.23
124,125,125,Rory Sabbatini,81,73.6,92,125,-0.34
125,126,126,Bill Haas,91,73.42,116,158,-0.22
126,T127,T127,Ryuji Imada,85,73.33,77,105,-0.4
127,T127,T127,Hunter Mahan,94,73.33,110,150,-0.32
128,129,129,Greg Chalmers,85,73.28,85,116,-0.34
129,130,130,Aron Price,89,72.95,89,122,-0.4
130,131,131,Martin Laird,72,72.92,70,96,-0.21
131,132,132,Ángel Cabrera,55,72.73,48,66,-0.23
132,T133,T133,Johnson Wagner,81,72.66,101,139,-0.19
