,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Steve Stricker,81,-.095
1,2,2,Fred Couples,54,-.085
2,3,3,Tiger Woods,64,-.067
3,4,4,Kevin Streelman,97,-.047
4,5,5,Matt Kuchar,82,-.036
5,6,6,Charles Howell III,99,-.015
6,7,7,Nick Watney,86,-.014
7,8,8,Kenny Perry,92,-.008
8,T9,T9,Robert Allenby,71,E
9,T9,T9,Ben Curtis,63,E
10,T9,T9,Geoff Ogilvy,78,E
11,12,12,Steve Marino,98,+.007
12,13,13,Scott Piercy,85,+.008
13,14,14,Rocco Mediate,79,+.009
14,15,15,Zach Johnson,94,+.010
15,16,16,Robert Garrigus,83,+.019
16,17,17,Kevin Stadler,65,+.032
17,18,18,Vijay Singh,71,+.033
18,19,19,Ben Crane,93,+.034
19,20,20,Stephen Ames,77,+.037
20,21,21,Matt Jones,56,+.039
21,22,22,Corey Pavin,73,+.046
22,23,23,Parker McLachlin,71,+.049
23,T24,T24,Anthony Kim,76,+.052
24,T24,T24,Webb Simpson,94,+.052
25,T26,T26,Bill Haas,91,+.053
26,T26,T26,Dustin Johnson,85,+.053
27,T26,T26,Joe Ogilvie,85,+.053
28,29,29,Charley Hoffman,97,+.056
29,30,30,Sean O'Hair,80,+.057
30,31,31,Chad Campbell,90,+.059
31,T32,T32,Bob Heintz,59,+.060
32,T32,T32,Jimmy Walker,74,+.060
33,34,34,Tag Ridings,50,+.061
34,35,35,Nathan Green,104,+.062
35,36,36,Troy Matteson,95,+.063
36,37,37,Ken Duke,87,+.065
37,38,38,Cameron Beckman,87,+.067
38,39,39,Ángel Cabrera,55,+.069
39,40,40,Adam Scott,53,+.070
40,41,41,Brandt Snedeker,81,+.074
41,42,42,Camilo Villegas,76,+.075
42,43,43,Luke Donald,79,+.077
43,44,44,Chris Riley,77,+.078
44,T45,T45,Tommy Armour III,58,+.080
45,T45,T45,Tom Pernice Jr.,82,+.080
46,47,47,Freddie Jacobson,83,+.083
47,T48,T48,Harrison Frazar,93,+.085
48,T48,T48,Sergio Garcia,59,+.085
49,T50,T50,Justin Leonard,95,+.086
50,T50,T50,David Toms,98,+.086
51,52,52,Jason Gore,74,+.089
52,53,53,Kirk Triplett,60,+.091
53,54,54,Kris Blanks,60,+.094
54,55,55,Spencer Levin,75,+.095
55,56,56,Glen Day,79,+.096
56,57,57,Greg Chalmers,85,+.097
57,T58,T58,Jonathan Byrd,89,+.098
58,T58,T58,Lucas Glover,93,+.098
59,T58,T58,Justin Rose,71,+.098
60,T61,T61,Brian Davis,103,+.099
61,T61,T61,Greg Owen,97,+.099
62,63,63,Cliff Kresge,78,+.100
63,64,64,Brett Quigley,92,+.101
64,T65,T65,Jason Day,61,+.102
65,T65,T65,Davis Love III,89,+.102
66,67,67,Jerry Kelly,90,+.103
67,T68,T68,Jason Bohn,88,+.105
68,T68,T68,Michael Letzig,96,+.105
69,T70,T70,Martin Laird,72,+.106
70,T70,T70,Tom Lehman,55,+.106
71,T70,T70,Y.E. Yang,83,+.106
72,73,73,Aaron Baddeley,66,+.107
73,74,74,Mike Weir,85,+.109
74,75,75,Andres Romero,58,+.112
75,76,76,Jarrod Lyle,65,+.113
76,77,77,Vaughn Taylor,88,+.114
77,T78,T78,Jeff Overton,92,+.115
78,T78,T78,Tim Petrovic,97,+.115
79,T80,T80,Bubba Watson,73,+.117
80,T80,T80,Charlie Wi,92,+.117
81,T82,T82,Ernie Els,70,+.121
82,T82,T82,Scott Sterling,51,+.121
83,84,84,Brian Gay,96,+.122
84,85,85,Stuart Appleby,79,+.123
85,86,86,Ryan Moore,89,+.124
86,87,87,Rory Sabbatini,81,+.125
87,T88,T88,Retief Goosen,74,+.126
88,T88,T88,Padraig Harrington,66,+.126
89,T88,T88,Scott McCarron,91,+.126
90,T91,T91,George McNeill,82,+.127
91,T91,T91,Rick Price,54,+.127
92,93,93,Phil Mickelson,66,+.128
93,T94,T94,Steve Flesch,77,+.129
94,T94,T94,Ted Purdy,101,+.129
95,96,96,Bryce Molder,69,+.130
96,97,97,Jeff Klauk,97,+.133
97,98,98,J.B. Holmes,74,+.134
98,99,99,Ryuji Imada,85,+.137
99,T100,T100,Woody Austin,84,+.144
100,T100,T100,Johnson Wagner,81,+.144
101,102,102,Kevin Na,91,+.146
102,T103,T103,Bill Lunde,83,+.147
103,T103,T103,John Mallinger,90,+.147
104,105,105,Marc Leishman,91,+.150
105,T106,T106,Mathew Goggin,76,+.155
106,T106,T106,Charles Warren,63,+.155
107,T108,T108,Will MacKenzie,69,+.156
108,T108,T108,Boo Weekley,79,+.156
109,110,110,Brendon de Jonge,90,+.157
110,T111,T111,Paul Goydos,79,+.159
111,T111,T111,Bo Van Pelt,100,+.159
112,T113,T113,Richard Johnson,85,+.160
113,T113,T113,Kevin Sutherland,96,+.160
114,T115,T115,Chris DiMarco,97,+.168
115,T115,T115,John Senden,100,+.168
116,T117,T117,Briny Baird,89,+.169
117,T117,T117,J.J. Henry,97,+.169
118,T117,T117,David Mathis,82,+.169
119,T117,T117,Brian Vranesh,51,+.169
120,T121,T121,Rich Beem,77,+.170
121,T121,T121,Alex Cejka,82,+.170
122,T121,T121,Aron Price,89,+.170
123,124,124,Scott Verplank,88,+.171
124,125,125,Mark Brooks,55,+.174
125,126,126,Nicholas Thompson,96,+.175
126,T127,T127,Michael Allen,73,+.176
127,T127,T127,Heath Slocum,95,+.176
128,T127,T127,Peter Tomasulo,61,+.176
129,T127,T127,Mark Wilson,99,+.176
130,131,131,Ian Poulter,59,+.177
131,132,132,Tim Clark,81,+.179
132,T133,T133,Bob Estes,78,+.181
133,T133,T133,Tim Herron,87,+.181
134,T133,T133,Jeff Quinney,78,+.181
135,T136,T136,Carl Pettersson,86,+.182
136,T136,T136,Patrick Sheehan,51,+.182
137,138,138,Mark Calcavecchia,72,+.184
138,T139,T139,Derek Fathauer,63,+.185
139,T139,T139,Lee Janzen,74,+.185
140,T139,T139,John Merrick,91,+.185
141,142,142,Joe Durant,62,+.188
142,T143,T143,Leif Olson,51,+.189
143,T143,T143,Chris Stroud,88,+.189
144,145,145,Chez Reavie,81,+.190
145,146,146,Daniel Chopra,89,+.191
146,147,147,Jim Furyk,86,+.193
147,148,148,Kent Jones,73,+.194
148,149,149,D.A. Points,99,+.195
149,150,150,Hunter Mahan,94,+.196
150,151,151,Brad Adamonis,70,+.198
151,T152,T152,Nick O'Hern,90,+.200
152,T152,T152,Rod Pampling,72,+.200
153,T152,T152,John Rollins,92,+.200
154,155,155,Stewart Cink,79,+.202
155,156,156,Brian Bateman,55,+.210
156,T157,T157,K.J. Choi,65,+.211
157,T157,T157,Jay Williamson,69,+.211
158,159,159,Darron Stiles,52,+.214
159,160,160,Ricky Barnes,67,+.216
160,161,161,Bart Bryant,58,+.219
161,162,162,Casey Wittenberg,71,+.220
162,T163,T163,Greg Kraft,51,+.221
163,T163,T163,Marc Turnesa,77,+.221
164,165,165,Steve Lowery,83,+.224
165,T166,T166,Ryan Palmer,78,+.225
166,T166,T166,D.J. Trahan,96,+.225
167,168,168,Pat Perez,74,+.226
168,169,169,James Nitties,86,+.227
169,170,170,Jason Dufner,90,+.230
170,171,171,Colt Knost,71,+.236
171,172,172,Matt Bettencourt,98,+.241
172,173,173,Matt Weibring,65,+.247
173,174,174,Brendon Todd,53,+.259
174,T175,T175,Steve Elkington,70,+.262
175,T175,T175,Dean Wilson,81,+.262
176,177,177,Brad Faxon,59,+.274
177,178,178,Jeff Maggert,79,+.276
178,179,179,Peter Lonard,86,+.289
179,180,180,Todd Hamilton,83,+.291
180,181,181,David Duval,56,+.301
181,182,182,Eric Axley,71,+.304
182,183,183,Billy Mayfair,83,+.311
183,184,184,Gary Woodland,53,+.392
