,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Martin Laird,72,71.94,141,55
1,2,2,Robert Garrigus,83,71.76,155,61
2,3,3,Tiger Woods,64,71.62,106,42
3,4,4,Andres Romero,58,69.29,97,43
4,5,5,Tag Ridings,50,67.8,80,38
5,6,6,Hunter Mahan,94,65.91,145,75
6,7,7,Nick Watney,86,65.45,144,76
7,8,8,Camilo Villegas,76,65.08,123,66
8,9,9,D.J. Trahan,96,65.04,160,86
9,10,10,Bubba Watson,73,64.89,122,66
10,11,11,Phil Mickelson,66,64.67,97,53
11,12,12,Rory Sabbatini,81,64.56,133,73
12,13,13,Anthony Kim,76,63.33,114,66
13,14,14,Sergio Garcia,59,63.28,81,47
14,15,15,Harrison Frazar,93,63.27,155,90
15,16,16,Ángel Cabrera,55,62.96,68,40
16,17,17,Gary Woodland,53,62.62,67,40
17,18,18,Adam Scott,53,62.5,80,48
18,19,19,Scott Piercy,85,62.4,156,94
19,20,20,Dustin Johnson,85,62.25,127,77
20,21,21,Boo Weekley,79,62.23,117,71
21,22,22,Jonathan Byrd,89,62.07,162,99
22,23,23,Charley Hoffman,97,61.96,171,105
23,24,24,Ryan Palmer,78,61.82,136,84
24,25,25,Sean O'Hair,80,61.76,105,65
25,26,26,Davis Love III,89,61.44,145,91
26,27,27,Steve Lowery,83,61.25,147,93
27,28,28,Nicholas Thompson,96,60.87,168,108
28,29,29,Mathew Goggin,76,60.54,112,73
29,30,30,Daniel Chopra,89,60.46,159,104
30,31,31,Ryan Moore,89,60.17,139,92
31,32,32,Peter Tomasulo,61,60.0,87,58
32,33,33,Steve Marino,98,59.76,147,99
33,34,34,Bo Van Pelt,100,59.52,150,102
34,35,35,Vijay Singh,71,59.46,88,60
35,36,36,Charles Warren,63,59.2,103,71
36,37,37,Lucas Glover,93,59.05,137,95
37,38,38,Ernie Els,70,59.04,98,68
38,39,39,Greg Owen,97,58.92,142,99
39,T40,T40,Matt Bettencourt,98,58.36,157,112
40,T40,T40,Michael Letzig,96,58.36,157,112
41,42,42,J.B. Holmes,74,58.16,114,82
42,43,43,Will MacKenzie,69,58.03,112,81
43,44,44,Matt Jones,56,57.64,83,61
44,45,45,Fred Couples,54,57.38,70,52
45,46,46,Troy Matteson,95,57.25,154,115
46,47,47,John Rollins,92,57.14,148,111
47,48,48,Y.E. Yang,83,56.94,123,93
48,49,49,John Senden,100,56.74,160,122
49,50,50,Johnson Wagner,81,56.44,127,98
50,51,51,Ted Purdy,101,56.34,151,117
51,52,52,Rod Pampling,72,56.31,116,90
52,53,53,Bill Haas,91,56.25,144,112
53,54,54,Charles Howell III,99,55.91,142,112
54,55,55,George McNeill,82,55.75,126,100
55,56,56,Kevin Streelman,97,55.56,140,112
56,57,57,John Merrick,91,55.39,113,91
57,58,58,Jimmy Walker,74,55.1,108,88
58,T59,T59,Aaron Baddeley,66,55.0,99,81
59,T59,T59,Jason Day,61,55.0,88,72
60,61,61,Marc Leishman,91,54.92,134,110
61,62,62,Jason Gore,74,54.5,103,86
62,63,63,Ricky Barnes,67,54.23,77,65
63,T64,T64,Bill Lunde,83,54.17,117,99
64,T64,T64,Pat Perez,74,54.17,104,88
65,66,66,Brendon de Jonge,90,54.0,135,115
66,67,67,Jeff Overton,92,53.42,125,109
67,68,68,Kris Blanks,60,53.19,75,66
68,69,69,Chris Stroud,88,52.89,119,106
69,70,70,Scott McCarron,91,52.85,130,116
70,71,71,Kenny Perry,92,52.73,116,104
71,72,72,James Nitties,86,52.47,117,106
72,73,73,Robert Allenby,71,52.44,86,78
73,74,74,Geoff Ogilvy,78,52.2,95,87
74,75,75,Tim Herron,87,51.93,121,112
75,76,76,Stewart Cink,79,51.79,87,81
76,77,77,Greg Chalmers,85,51.69,107,100
77,78,78,Kevin Sutherland,96,51.67,124,116
78,79,79,Ian Poulter,59,51.49,69,65
79,80,80,Freddie Jacobson,83,51.39,111,105
80,81,81,Padraig Harrington,66,51.33,77,73
81,82,82,Nathan Green,104,51.28,140,133
82,83,83,Justin Rose,71,51.16,88,84
83,84,84,J.J. Henry,97,50.84,121,117
84,85,85,Brian Vranesh,51,50.78,65,63
85,86,86,Retief Goosen,74,50.57,89,87
86,87,87,Stephen Ames,77,50.56,91,89
87,88,88,Stuart Appleby,79,50.5,102,100
88,89,89,Tim Petrovic,97,50.38,133,131
89,90,90,Mark Calcavecchia,72,50.26,98,97
90,91,91,Matt Weibring,65,50.0,80,80
91,92,92,Brett Quigley,92,49.78,114,115
92,93,93,Scott Verplank,88,48.88,109,114
93,94,94,Michael Allen,73,48.86,86,90
94,95,95,Vaughn Taylor,88,48.71,113,119
95,96,96,Carl Pettersson,86,48.65,108,114
96,97,97,Chad Campbell,90,48.6,104,110
97,98,98,David Duval,56,48.57,68,72
98,99,99,Billy Mayfair,83,48.42,107,114
99,100,100,Jason Dufner,90,48.35,117,125
100,101,101,D.A. Points,99,48.29,127,136
101,102,102,Leif Olson,51,47.69,62,68
102,103,103,Joe Ogilvie,85,47.5,114,126
103,104,104,Zach Johnson,94,47.44,111,123
104,105,105,Kevin Na,91,47.35,116,129
105,106,106,Woody Austin,84,47.03,111,125
106,107,107,Kevin Stadler,65,46.99,78,88
107,108,108,Jeff Maggert,79,46.98,101,114
108,109,109,Brad Adamonis,70,46.74,86,98
109,110,110,Jarrod Lyle,65,46.41,71,82
110,111,111,Alex Cejka,82,46.33,101,117
111,112,112,Steve Elkington,70,46.31,94,109
112,113,113,Ryuji Imada,85,46.26,99,115
113,114,114,Kirk Triplett,60,45.93,79,93
114,115,115,Parker McLachlin,71,45.45,100,120
115,116,116,Brian Davis,103,45.32,121,146
116,117,117,Jerry Kelly,90,45.29,101,122
117,T118,T118,Rich Beem,77,44.83,78,96
118,T118,T118,David Toms,98,44.83,104,128
119,120,120,Briny Baird,89,44.5,97,121
120,121,121,Heath Slocum,95,44.4,111,139
121,122,122,Rick Price,54,44.03,59,75
122,123,123,Casey Wittenberg,71,43.98,73,93
123,124,124,Steve Stricker,81,43.88,86,110
124,125,125,Matt Kuchar,82,43.86,100,128
125,126,126,Jay Williamson,69,43.68,76,98
126,127,127,K.J. Choi,65,43.53,74,96
127,128,128,Joe Durant,62,43.42,66,86
128,129,129,Cameron Beckman,87,43.36,98,128
129,130,130,Ben Crane,93,43.32,107,140
130,131,131,Tommy Armour III,58,42.86,69,92
131,132,132,Ken Duke,87,42.74,100,134
132,133,133,Webb Simpson,94,42.54,114,154
133,134,134,Rocco Mediate,79,42.42,84,114
134,135,135,Mark Wilson,99,42.26,112,153
135,136,136,Spencer Levin,75,42.16,86,118
136,137,137,David Mathis,82,41.83,87,121
137,138,138,Charlie Wi,92,41.67,100,140
138,139,139,Steve Flesch,77,41.33,81,115
139,140,140,Aron Price,89,40.85,96,139
140,141,141,Brian Bateman,55,40.82,60,87
141,142,142,Tom Pernice Jr.,82,40.5,98,144
142,143,143,Jeff Klauk,97,39.78,109,165
143,144,144,Justin Leonard,95,39.64,88,134
144,145,145,Chez Reavie,81,39.62,84,128
145,146,146,John Mallinger,90,39.55,87,133
146,147,147,Darron Stiles,52,39.39,52,80
147,148,148,Chris Riley,77,39.29,77,119
148,149,149,Patrick Sheehan,51,39.17,47,73
149,150,150,Derek Fathauer,63,38.96,60,94
150,151,151,Lee Janzen,74,38.92,72,113
151,152,152,Bob Estes,78,38.65,80,127
152,153,153,Ben Curtis,63,38.61,61,97
153,154,154,Todd Hamilton,83,38.46,75,120
154,155,155,Paul Goydos,79,38.3,72,116
155,156,156,Mike Weir,85,38.27,75,121
156,157,157,Chris DiMarco,97,38.1,96,156
157,158,158,Eric Axley,71,37.84,70,115
158,159,159,Jason Bohn,88,37.8,96,158
159,160,160,Cliff Kresge,78,37.24,73,123
160,161,161,Jim Furyk,86,37.13,75,127
161,162,162,Tim Clark,81,36.9,62,106
162,163,163,Kent Jones,73,36.7,69,119
163,164,164,Jeff Quinney,78,36.56,83,144
164,165,165,Luke Donald,79,36.17,68,120
165,166,166,Marc Turnesa,77,36.06,75,133
166,167,167,Scott Sterling,51,35.25,43,79
167,168,168,Nick O'Hern,90,35.2,88,162
168,169,169,Brandt Snedeker,81,35.05,68,126
169,170,170,Brad Faxon,59,35.03,55,102
170,171,171,Glen Day,79,34.54,67,127
171,172,172,Bart Bryant,58,33.79,49,96
172,173,173,Colt Knost,71,33.14,57,115
173,174,174,Peter Lonard,86,33.05,77,156
174,175,175,Bob Heintz,59,32.89,50,102
175,176,176,Bryce Molder,69,32.88,48,98
176,177,177,Dean Wilson,81,32.14,72,152
177,178,178,Greg Kraft,51,31.75,40,86
178,179,179,Richard Johnson,85,31.25,70,154
179,180,180,Mark Brooks,55,28.46,35,88
180,181,181,Tom Lehman,55,28.3,30,76
181,182,182,Brendon Todd,53,26.43,37,103
182,183,183,Brian Gay,96,25.42,60,176
183,184,184,Corey Pavin,73,22.36,36,125
