,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Tim Clark,81,"27' 4""",860,23504.667,-125.0
1,2,2,Jason Bohn,88,"27' 7""",1167,32216.833,-99.0
2,3,3,Fred Couples,54,"28' 0""",521,14584.333,-49.0
3,4,4,Bryce Molder,69,"28' 4""",773,21879.25,-81.0
4,5,5,Tom Lehman,55,"28' 7""",510,14596.917,-23.0
5,6,6,Jay Williamson,69,"28' 8""",809,23174.333,-35.0
6,7,7,Kevin Stadler,65,"28' 9""",717,20613.917,-55.0
7,T8,T8,Jim Furyk,86,"29' 0""",941,27261.583,-117.0
8,T8,T8,Steve Stricker,81,"29' 0""",864,25057.417,-125.0
9,T10,T10,Kris Blanks,60,"29' 1""",660,19169.75,-45.0
10,T10,T10,Scott Sterling,51,"29' 1""",558,16236.0,-48.0
11,T10,T10,Tiger Woods,64,"29' 1""",646,18782.5,-126.0
12,T13,T13,Robert Allenby,71,"29' 2""",774,22567.333,-48.0
13,T13,T13,Joe Durant,62,"29' 2""",689,20107.917,-49.0
14,T13,T13,Patrick Sheehan,51,"29' 2""",566,16491.917,-65.0
15,T13,T13,Mike Weir,85,"29' 2""",904,26376.5,-115.0
16,17,17,Chad Campbell,90,"29' 4""",951,27902.75,-92.0
17,18,18,Zach Johnson,94,"29' 5""",1116,32860.583,-142.0
18,T19,T19,Robert Garrigus,83,"29' 7""",874,25886.667,-66.0
19,T19,T19,Brian Gay,96,"29' 7""",1208,35697.083,-108.0
20,T19,T19,Dean Wilson,81,"29' 7""",970,28703.583,-100.0
21,T22,T22,Ricky Barnes,67,"29' 8""",650,19303.25,-19.0
22,T22,T22,Ernie Els,70,"29' 8""",717,21296.417,-71.0
23,T22,T22,Lee Janzen,74,"29' 8""",838,24857.167,-66.0
24,T22,T22,Dustin Johnson,85,"29' 8""",779,23079.583,-81.0
25,T22,T22,Heath Slocum,95,"29' 8""",1245,36953.333,-69.0
26,T22,T22,David Toms,98,"29' 8""",1174,34863.583,-110.0
27,28,28,Cameron Beckman,87,"29' 9""",1002,29797.583,-60.0
28,T29,T29,Alex Cejka,82,"29' 10""",1002,29902.5,-60.0
29,T29,T29,Justin Leonard,95,"29' 10""",1060,31658.25,-130.0
30,T29,T29,Nick O'Hern,90,"29' 10""",1217,36329.5,-78.0
31,32,32,Matt Weibring,65,"29' 11""",744,22265.417,-86.0
32,T33,T33,Tommy Armour III,58,"30' 1""",729,21954.5,-36.0
33,T33,T33,Jeff Quinney,78,"30' 1""",994,29913.667,-59.0
34,T33,T33,Darron Stiles,52,"30' 1""",622,18708.917,-38.0
35,T33,T33,Chris Stroud,88,"30' 1""",1004,30174.25,-81.0
36,T37,T37,Hunter Mahan,94,"30' 2""",1003,30241.917,-120.0
37,T37,T37,D.J. Trahan,96,"30' 2""",1070,32267.917,-129.0
38,T39,T39,Stephen Ames,77,"30' 4""",785,23782.75,-80.0
39,T39,T39,Sergio Garcia,59,"30' 4""",564,17102.25,-43.0
40,T39,T39,Lucas Glover,93,"30' 4""",1080,32738.917,-90.0
