,Birdie_or_Better_Percentage_-_125-150_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_125-150_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_125-150_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_125-150_ya_ROUNDS,Birdie_or_Better_Percentage_-_125-150_ya_%,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_125-150_ya_TOTAL HOLES
0,1,1,Tim Clark,81,29.19,47,161
1,2,2,Jerry Kelly,90,28.25,63,223
2,3,3,Brandt Snedeker,81,28.18,51,181
3,4,4,Chris Riley,77,27.95,45,161
4,5,5,Anthony Kim,76,26.14,46,176
5,6,6,Jim Furyk,86,24.7,41,166
6,7,7,Corey Pavin,73,24.59,30,122
7,8,8,Dean Wilson,81,24.48,47,192
8,9,9,Scott Sterling,51,24.44,33,135
9,10,10,Bart Bryant,58,24.18,37,153
10,11,11,Padraig Harrington,66,24.11,34,141
11,12,12,Stephen Ames,77,23.37,43,184
12,13,13,Rory Sabbatini,81,23.32,45,193
13,14,14,Ian Poulter,59,23.31,31,133
14,15,15,Bubba Watson,73,23.21,39,168
15,16,16,Dustin Johnson,85,23.15,50,216
16,17,17,Bo Van Pelt,100,23.08,63,273
17,T18,T18,Jason Bohn,88,22.86,56,245
18,T18,T18,Greg Chalmers,85,22.86,48,210
19,20,20,Cliff Kresge,78,22.78,41,180
20,21,21,Jeff Maggert,79,22.57,51,226
21,22,22,Steve Stricker,81,22.56,37,164
22,23,23,Zach Johnson,94,22.38,47,210
23,24,24,Jason Gore,74,22.35,40,179
24,25,25,Bob Heintz,59,22.29,35,157
25,26,26,Aaron Baddeley,66,22.09,38,172
26,T27,T27,Marc Leishman,91,21.98,60,273
27,T27,T27,Pat Perez,74,21.98,40,182
28,29,29,Rod Pampling,72,21.89,44,201
29,30,30,D.A. Points,99,21.88,49,224
30,31,31,Vaughn Taylor,88,21.84,45,206
31,32,32,Justin Rose,71,21.83,43,197
32,33,33,Bryce Molder,69,21.6,35,162
33,T34,T34,Retief Goosen,74,21.56,36,167
