,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Retief Goosen,74,19.7,71683.0,101
1,2,2,Hunter Mahan,94,20.3,129882.0,178
2,3,3,Fred Couples,54,20.5,57625.0,78
3,T4,T4,Davis Love III,89,20.6,126911.0,171
4,T4,T4,Sean O'Hair,80,20.6,94885.0,128
5,T4,T4,John Senden,100,20.6,134988.0,182
6,7,7,Boo Weekley,79,20.7,107859.0,145
7,T8,T8,Padraig Harrington,66,21.1,69133.0,91
8,T8,T8,Steve Stricker,81,21.1,72294.0,95
9,T10,T10,Lucas Glover,93,21.6,122676.0,158
10,T10,T10,Kevin Na,91,21.6,104118.0,134
11,T12,T12,Tim Clark,81,21.7,55556.0,71
12,T12,T12,Vijay Singh,71,21.7,85866.0,110
13,14,14,Mike Weir,85,22.0,65777.0,83
14,15,15,Bob Estes,78,22.2,73683.0,92
15,T16,T16,Robert Allenby,71,22.3,82811.0,103
16,T16,T16,Ryan Moore,89,22.3,141098.0,176
17,T16,T16,Nick Watney,86,22.3,141150.0,176
18,T19,T19,Ken Duke,87,22.4,89709.0,111
19,T19,T19,J.B. Holmes,74,22.4,121527.0,151
20,T19,T19,Pat Perez,74,22.4,103042.0,128
21,22,22,Chris Stroud,88,22.5,116081.0,143
22,T23,T23,Marc Leishman,91,22.6,136951.0,168
23,T23,T23,Phil Mickelson,66,22.6,100825.0,124
24,T23,T23,Geoff Ogilvy,78,22.6,95338.0,117
25,T23,T23,Kenny Perry,92,22.6,114533.0,141
26,T23,T23,Scott Piercy,85,22.6,152449.0,187
27,T23,T23,Jimmy Walker,74,22.6,104182.0,128
28,T29,T29,Ángel Cabrera,55,22.7,71082.0,87
29,T29,T29,Robert Garrigus,83,22.7,157155.0,192
30,T29,T29,J.J. Henry,97,22.7,126102.0,154
31,T29,T29,Matt Jones,56,22.7,80957.0,99
32,T33,T33,Bill Haas,91,22.8,147061.0,179
33,T33,T33,Leif Olson,51,22.8,64892.0,79
34,T35,T35,Jason Bohn,88,23.0,95841.0,116
35,T35,T35,Mathew Goggin,76,23.0,113323.0,137
36,T37,T37,Aaron Baddeley,66,23.1,96445.0,116
37,T37,T37,Darron Stiles,52,23.1,47352.0,57
38,39,39,Kevin Streelman,97,23.2,150012.0,180
39,T40,T40,Zach Johnson,94,23.3,109796.0,131
40,T40,T40,Peter Tomasulo,61,23.3,87405.0,104
41,T40,T40,Gary Woodland,53,23.3,77877.0,93
42,T43,T43,Brad Adamonis,70,23.4,86921.0,103
43,T43,T43,Stephen Ames,77,23.4,93673.0,111
44,T43,T43,Alex Cejka,82,23.4,98561.0,117
45,T43,T43,Troy Matteson,95,23.4,154072.0,183
46,T43,T43,Billy Mayfair,83,23.4,106806.0,127
47,T43,T43,George McNeill,82,23.4,122741.0,146
48,T43,T43,Scott Verplank,88,23.4,106181.0,126
49,T50,T50,Lee Janzen,74,23.5,72760.0,86
50,T50,T50,Jerry Kelly,90,23.5,103333.0,122
51,T50,T50,Bryce Molder,69,23.5,53209.0,63
52,T50,T50,Greg Owen,97,23.5,149192.0,176
53,T50,T50,Ted Purdy,101,23.5,160795.0,190
54,T50,T50,Tiger Woods,64,23.5,105933.0,125
55,T56,T56,Michael Letzig,96,23.6,159796.0,188
56,T56,T56,Ian Poulter,59,23.6,66205.0,78
57,T56,T56,Scott Sterling,51,23.6,41667.0,49
58,T56,T56,Kevin Sutherland,96,23.6,124898.0,147
59,T60,T60,Joe Durant,62,23.7,64096.0,75
60,T60,T60,Steve Elkington,70,23.7,92151.0,108
61,T60,T60,Dean Wilson,81,23.7,69099.0,81
62,T60,T60,Y.E. Yang,83,23.7,125298.0,147
63,T64,T64,Bo Van Pelt,100,23.8,156142.0,182
64,T64,T64,Camilo Villegas,76,23.8,121904.0,142
65,T66,T66,Charley Hoffman,97,23.9,188269.0,219
66,T66,T66,Matt Kuchar,82,23.9,102503.0,119
67,T66,T66,Jeff Overton,92,23.9,132354.0,154
68,T69,T69,Dustin Johnson,85,24.0,145303.0,168
69,T69,T69,Martin Laird,72,24.0,151915.0,176
70,T69,T69,Rory Sabbatini,81,24.0,144101.0,167
71,72,72,Mark Wilson,99,24.1,117851.0,136
72,T73,T73,Ernie Els,70,24.2,105456.0,121
73,T73,T73,Sergio Garcia,59,24.2,84675.0,97
74,T73,T73,D.J. Trahan,96,24.2,176212.0,202
75,T73,T73,Johnson Wagner,81,24.2,133314.0,153
76,T77,T77,Jason Day,61,24.3,93738.0,107
77,T77,T77,Jim Furyk,86,24.3,81360.0,93
78,T77,T77,Will MacKenzie,69,24.3,116150.0,133
79,T77,T77,Scott McCarron,91,24.3,139063.0,159
80,T77,T77,Ryan Palmer,78,24.3,143623.0,164
81,T82,T82,Jonathan Byrd,89,24.4,181801.0,207
82,T82,T82,Cliff Kresge,78,24.4,76348.0,87
83,T82,T82,Brett Quigley,92,24.4,116994.0,133
84,T82,T82,Matt Weibring,65,24.4,83384.0,95
85,86,86,Anthony Kim,76,24.5,143115.0,162
86,T87,T87,Rich Beem,77,24.8,90261.0,101
87,T87,T87,Ben Crane,93,24.8,114239.0,128
88,T87,T87,Luke Donald,79,24.8,70493.0,79
89,T87,T87,Jeff Klauk,97,24.8,114168.0,128
90,T87,T87,D.A. Points,99,24.8,136413.0,153
91,T87,T87,Brandt Snedeker,81,24.8,77530.0,87
92,T93,T93,Matt Bettencourt,98,24.9,173710.0,194
93,T93,T93,Rocco Mediate,79,24.9,94001.0,105
94,T93,T93,Adam Scott,53,24.9,82392.0,92
95,T96,T96,Tommy Armour III,58,25.0,71048.0,79
96,T96,T96,Kirk Triplett,60,25.0,86457.0,96
97,T98,T98,Tom Lehman,55,25.1,31582.0,35
98,T98,T98,Steve Marino,98,25.1,152468.0,169
99,T98,T98,Kevin Stadler,65,25.1,84808.0,94
100,T101,T101,Charles Howell III,99,25.2,149540.0,165
101,T101,T101,Aron Price,89,25.2,96988.0,107
102,T101,T101,Charlie Wi,92,25.2,112409.0,124
103,T104,T104,K.J. Choi,65,25.3,80098.0,88
104,T104,T104,Stewart Cink,79,25.3,93679.0,103
105,T104,T104,Brian Davis,103,25.3,140029.0,154
106,T104,T104,Jason Dufner,90,25.3,122235.0,134
107,T104,T104,Charles Warren,63,25.3,124629.0,137
108,T104,T104,Jay Williamson,69,25.3,80903.0,89
109,T110,T110,John Rollins,92,25.4,169908.0,186
110,T110,T110,Nicholas Thompson,96,25.4,185835.0,203
111,T112,T112,Chad Campbell,90,25.5,123906.0,135
112,T112,T112,Brian Vranesh,51,25.5,73516.0,80
113,T114,T114,Kris Blanks,60,25.6,79109.0,86
114,T114,T114,Justin Leonard,95,25.6,99504.0,108
115,T114,T114,Jeff Quinney,78,25.6,90455.0,98
116,T114,T114,Vaughn Taylor,88,25.6,125388.0,136
117,118,118,Cameron Beckman,87,25.7,111032.0,120
118,T119,T119,David Duval,56,25.8,82600.0,89
119,T119,T119,John Mallinger,90,25.8,96520.0,104
120,T119,T119,Carl Pettersson,86,25.8,131171.0,141
121,T122,T122,Greg Chalmers,85,25.9,119282.0,128
122,T122,T122,Tom Pernice Jr.,82,25.9,109141.0,117
123,T124,T124,Ricky Barnes,67,26.0,90671.0,97
124,T124,T124,Brendon de Jonge,90,26.0,155524.0,166
125,T124,T124,Nick O'Hern,90,26.0,97522.0,104
126,T124,T124,Tim Petrovic,97,26.0,155500.0,166
127,T124,T124,Casey Wittenberg,71,26.0,87187.0,93
128,T129,T129,Harrison Frazar,93,26.1,173496.0,185
129,T129,T129,Spencer Levin,75,26.1,98806.0,105
130,T129,T129,John Merrick,91,26.1,125074.0,133
131,T129,T129,Justin Rose,71,26.1,95740.0,102
132,T133,T133,Briny Baird,89,26.2,112149.0,119
133,T133,T133,David Toms,98,26.2,119033.0,126
134,T135,T135,Jarrod Lyle,65,26.5,78244.0,82
135,T135,T135,Rod Pampling,72,26.5,119343.0,125
136,T135,T135,Andres Romero,58,26.5,134348.0,141
137,T138,T138,Bart Bryant,58,26.7,50988.0,53
138,T138,T138,Daniel Chopra,89,26.7,183652.0,191
139,T138,T138,Joe Ogilvie,85,26.7,128640.0,134
140,141,141,James Nitties,86,26.8,143492.0,149
141,T142,T142,Woody Austin,84,26.9,126103.0,130
142,T142,T142,Glen Day,79,26.9,74692.0,77
143,T142,T142,Heath Slocum,95,26.9,123744.0,128
144,T145,T145,Mark Calcavecchia,72,27.0,116707.0,120
145,T145,T145,Steve Flesch,77,27.0,90529.0,93
146,T147,T147,Bob Heintz,59,27.1,61485.0,63
147,T147,T147,Webb Simpson,94,27.1,126971.0,130
148,T149,T149,Paul Goydos,79,27.3,93407.0,95
149,T149,T149,Freddie Jacobson,83,27.3,133443.0,136
150,T149,T149,Steve Lowery,83,27.3,169131.0,172
151,T149,T149,Bubba Watson,73,27.3,155117.0,158
152,153,153,Jeff Maggert,79,27.4,132185.0,134
153,T154,T154,Chris DiMarco,97,27.5,114845.0,116
154,T154,T154,Patrick Sheehan,51,27.5,53514.0,54
155,156,156,Tag Ridings,50,27.6,106324.0,107
156,T157,T157,Mark Brooks,55,27.7,41892.0,42
157,T157,T157,Todd Hamilton,83,27.7,90622.0,91
158,T159,T159,Michael Allen,73,27.8,98159.0,98
159,T159,T159,Eric Axley,71,27.8,83936.0,84
160,T159,T159,Tim Herron,87,27.8,149873.0,150
161,162,162,Bill Lunde,83,28.0,150940.0,150
162,T163,T163,Nathan Green,104,28.1,170736.0,169
163,T163,T163,Corey Pavin,73,28.1,42499.0,42
164,165,165,Stuart Appleby,79,28.2,119721.0,118
165,T166,T166,Ryuji Imada,85,28.3,120195.0,118
166,T166,T166,Peter Lonard,86,28.3,95755.0,94
167,168,168,Brendon Todd,53,28.5,43042.0,42
168,169,169,Derek Fathauer,63,28.6,76157.0,74
169,T170,T170,Ben Curtis,63,28.8,82860.0,80
170,T170,T170,Marc Turnesa,77,28.8,91097.0,88
171,172,172,Brad Faxon,59,29.0,64807.0,62
172,173,173,Chez Reavie,81,29.1,99449.0,95
173,174,174,Parker McLachlin,71,29.2,120992.0,115
174,T175,T175,Jason Gore,74,29.3,134974.0,128
175,T175,T175,Chris Riley,77,29.3,94913.0,90
176,177,177,Brian Gay,96,29.5,77439.0,73
177,T178,T178,David Mathis,82,29.8,105123.0,98
178,T178,T178,Rick Price,54,29.8,74135.0,69
179,180,180,Greg Kraft,51,30.0,50840.0,47
180,181,181,Colt Knost,71,30.6,76097.0,69
181,182,182,Brian Bateman,55,31.0,81485.0,73
182,183,183,Kent Jones,73,31.4,91694.0,81
183,184,184,Richard Johnson,85,33.3,95827.0,80
