,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Kirk Triplett,60,"9' 5""",9.417,1,-2
1,2,2,Parker McLachlin,71,"34' 4""",34.333,1,-1
2,3,3,John Senden,100,"41' 3""",165.083,4,-2
3,4,4,Heath Slocum,95,"44' 4""",44.333,1,E
4,5,5,Justin Leonard,95,"49' 8""",49.667,1,E
5,6,6,Peter Tomasulo,61,"54' 2""",108.25,2,-2
6,7,7,Patrick Sheehan,51,"54' 5""",54.417,1,-1
7,8,8,Brandt Snedeker,81,"55' 3""",55.25,1,E
8,9,9,J.J. Henry,97,"58' 8""",117.333,2,-2
9,10,10,Tiger Woods,64,"60' 1""",420.583,7,-6
10,11,11,John Merrick,91,"61' 1""",61.083,1,+1
11,12,12,Steve Flesch,77,"65' 1""",195.167,3,-2
12,13,13,Joe Durant,62,"66' 6""",66.5,1,-1
13,14,14,Michael Allen,73,"68' 8""",68.667,1,E
14,15,15,Matt Jones,56,"69' 1""",276.41700000000003,4,-2
15,16,16,Kevin Streelman,97,"69' 4""",138.583,2,-2
16,17,17,Stephen Ames,77,"69' 9""",139.5,2,-2
17,18,18,Robert Garrigus,83,"70' 11""",425.417,6,E
18,19,19,Nick O'Hern,90,"72' 2""",72.167,1,+1
19,20,20,Jason Dufner,90,"73' 1""",219.167,3,-2
20,21,21,Geoff Ogilvy,78,"73' 8""",147.333,2,E
21,22,22,Chris Stroud,88,"74' 3""",297.08299999999997,4,-5
22,23,23,Casey Wittenberg,71,"74' 10""",74.833,1,E
23,24,24,Jarrod Lyle,65,"75' 0""",150.0,2,E
24,25,25,Justin Rose,71,"75' 6""",151.0,2,-2
25,26,26,Chris Riley,77,"75' 9""",75.75,1,-1
26,27,27,Will MacKenzie,69,"76' 1""",228.333,3,-2
27,28,28,Jason Day,61,"76' 8""",229.917,3,-1
28,29,29,Leif Olson,51,"77' 1""",385.417,5,E
29,30,30,Adam Scott,53,"78' 8""",471.75,6,-3
30,31,31,Bubba Watson,73,"79' 0""",158.0,2,-1
31,32,32,Tim Clark,81,"80' 3""",80.25,1,-1
32,33,33,Brian Vranesh,51,"80' 6""",161.0,2,-1
33,34,34,Mark Brooks,55,"81' 3""",162.5,2,-1
34,35,35,Hunter Mahan,94,"81' 5""",162.75,2,-1
35,36,36,Chad Campbell,90,"82' 6""",247.5,3,+2
36,37,37,Dustin Johnson,85,"83' 1""",415.417,5,-2
37,38,38,Ángel Cabrera,55,"84' 0""",420.083,5,-2
38,T39,T39,Matt Bettencourt,98,"84' 2""",505.167,6,-2
39,T39,T39,J.B. Holmes,74,"84' 2""",168.25,2,-2
40,41,41,Jonathan Byrd,89,"84' 7""",169.083,2,-1
41,42,42,David Toms,98,"84' 10""",84.833,1,-1
42,43,43,Matt Weibring,65,"85' 3""",85.25,1,-1
43,44,44,Jimmy Walker,74,"85' 4""",426.833,5,-3
44,45,45,Lee Janzen,74,"85' 5""",85.417,1,+3
45,46,46,Michael Letzig,96,"85' 8""",342.667,4,-2
46,47,47,Rocco Mediate,79,"85' 11""",171.75,2,-2
47,48,48,Y.E. Yang,83,"86' 2""",430.833,5,-2
48,49,49,Derek Fathauer,63,"87' 9""",263.16700000000003,3,-1
49,50,50,Corey Pavin,73,"88' 0""",88.0,1,-1
50,51,51,Andres Romero,58,"88' 11""",177.833,2,E
51,52,52,Matt Kuchar,82,"89' 11""",179.75,2,E
52,53,53,Rich Beem,77,"90' 1""",180.083,2,E
53,54,54,Woody Austin,84,"90' 2""",450.667,5,E
54,55,55,Brian Gay,96,"90' 4""",180.667,2,-2
55,56,56,Davis Love III,89,"91' 2""",182.25,2,-1
56,57,57,Fred Couples,54,"91' 6""",182.917,2,E
57,58,58,Kent Jones,73,"91' 9""",458.833,5,-3
58,59,59,Mike Weir,85,"91' 10""",91.833,1,-1
59,60,60,Alex Cejka,82,"91' 11""",183.75,2,-1
60,61,61,Brendon de Jonge,90,"92' 2""",368.583,4,-3
61,62,62,Briny Baird,89,"92' 6""",184.917,2,-1
62,63,63,Kevin Na,91,"92' 10""",742.3330000000001,8,-5
63,64,64,Charley Hoffman,97,"94' 0""",564.0830000000001,6,E
64,65,65,Tom Lehman,55,"94' 2""",94.167,1,E
65,66,66,Jeff Klauk,97,"94' 5""",283.25,3,-1
66,67,67,Sergio Garcia,59,"94' 10""",284.5,3,E
67,68,68,Lucas Glover,93,"94' 11""",189.75,2,-1
68,69,69,Robert Allenby,71,"95' 1""",570.4169999999999,6,-4
69,70,70,Steve Marino,98,"95' 2""",475.917,5,-2
70,71,71,Rod Pampling,72,"95' 11""",287.83299999999997,3,-2
71,72,72,Harrison Frazar,93,"96' 3""",962.8330000000001,10,-10
72,73,73,Carl Pettersson,86,"96' 7""",193.083,2,E
73,74,74,D.A. Points,99,"97' 1""",485.5,5,-4
74,75,75,Tim Petrovic,97,"97' 4""",389.417,4,-1
75,76,76,Pat Perez,74,"97' 6""",487.5,5,-2
76,77,77,Ryan Palmer,78,"97' 11""",195.75,2,-1
77,78,78,Vijay Singh,71,"99' 5""",99.417,1,E
78,79,79,Jeff Maggert,79,"99' 7""",199.167,2,-1
