,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,T1,T1,Glen Day,79,155.9,1111271.0,198
1,T1,T1,Brendon Todd,53,155.9,785610.0,140
2,3,3,Brian Gay,96,156.9,1654827.0,293
3,4,4,Mark Brooks,55,157.0,700672.0,124
4,5,5,Darron Stiles,52,159.3,871459.0,152
5,6,6,Corey Pavin,73,159.4,1084725.0,189
6,7,7,Greg Kraft,51,160.0,656694.0,114
7,8,8,Richard Johnson,85,160.6,1341525.0,232
8,9,9,Dean Wilson,81,161.2,1613328.0,278
9,10,10,Tim Clark,81,161.6,1436575.0,247
10,11,11,Ken Duke,87,161.8,1357374.0,233
11,12,12,Peter Lonard,86,162.1,1371113.0,235
12,13,13,Paul Goydos,79,162.4,1414549.0,242
13,14,14,Colt Knost,71,162.9,1090876.0,186
14,T15,T15,Bart Bryant,58,163.0,962361.0,164
15,T15,T15,Marc Turnesa,77,163.0,1220421.0,208
16,17,17,Steve Stricker,81,163.2,1544791.0,263
17,18,18,Justin Leonard,95,163.6,1773001.0,301
18,T19,T19,John Mallinger,90,163.8,1515738.0,257
19,T19,T19,Bryce Molder,69,163.8,1202794.0,204
20,21,21,Luke Donald,79,164.1,1376498.0,233
21,22,22,Nick O'Hern,90,164.2,1738208.0,294
22,23,23,Scott Sterling,51,164.3,828165.0,140
23,T24,T24,Eric Axley,71,164.5,1030671.0,174
24,T24,T24,Stewart Cink,79,164.5,1178666.0,199
25,T24,T24,Brandt Snedeker,81,164.5,1492515.0,252
26,27,27,Chris DiMarco,97,164.9,1709605.0,288
27,28,28,Joe Durant,62,165.1,1058001.0,178
28,29,29,Jason Bohn,88,165.3,1755841.0,295
29,30,30,Mike Weir,85,165.4,1524769.0,256
30,T31,T31,Fred Couples,54,165.7,1032152.0,173
31,T31,T31,Heath Slocum,95,165.7,1700124.0,285
32,33,33,Tommy Armour III,58,165.9,1093216.0,183
33,T34,T34,Cliff Kresge,78,166.0,1368171.0,229
34,T34,T34,Webb Simpson,94,166.0,1875997.0,314
35,T36,T36,Bob Estes,78,166.1,1447386.0,242
36,T36,T36,David Mathis,82,166.1,1356973.0,227
37,38,38,Bob Heintz,59,166.5,1138793.0,190
38,39,39,Woody Austin,84,167.1,1654468.0,275
39,40,40,Chez Reavie,81,167.3,1343433.0,223
40,41,41,Charlie Wi,92,167.5,1857412.0,308
41,42,42,Ryuji Imada,85,167.6,1441673.0,239
42,43,43,Kent Jones,73,167.7,1219430.0,202
43,44,44,Scott Verplank,88,167.9,1819036.0,301
44,45,45,Jeff Quinney,78,168.0,1578215.0,261
45,46,46,Aron Price,89,168.2,1537841.0,254
46,47,47,Parker McLachlin,71,168.4,1388644.0,229
47,T48,T48,Chris Riley,77,168.5,1552514.0,256
48,T48,T48,Vaughn Taylor,88,168.5,1783297.0,294
49,50,50,Sergio Garcia,59,168.9,997397.0,164
50,T51,T51,Brian Davis,103,169.0,2171471.0,357
51,T51,T51,Steve Elkington,70,169.0,1277517.0,210
52,T51,T51,Ian Poulter,59,169.0,967567.0,159
53,T54,T54,Jarrod Lyle,65,169.1,852152.0,140
54,T54,T54,David Toms,98,169.1,1850968.0,304
55,56,56,Tom Lehman,55,169.3,646169.0,106
56,57,57,Retief Goosen,74,169.4,1256205.0,206
57,T58,T58,Spencer Levin,75,169.6,1373951.0,225
58,T58,T58,Joe Ogilvie,85,169.6,1795289.0,294
59,60,60,K.J. Choi,65,169.7,1051018.0,172
60,61,61,Kirk Triplett,60,169.8,1143350.0,187
61,T62,T62,Lee Janzen,74,170.1,1334916.0,218
62,T62,T62,Bubba Watson,73,170.1,1377630.0,225
63,T64,T64,Steve Flesch,77,170.2,1231927.0,201
64,T64,T64,D.A. Points,99,170.2,1960836.0,320
65,66,66,Pat Perez,74,170.5,1423799.0,232
66,67,67,Jeff Maggert,79,170.7,1542497.0,251
67,68,68,Tim Herron,87,171.0,1767256.0,287
68,T69,T69,Michael Allen,73,171.1,1287542.0,209
69,T69,T69,Alex Cejka,82,171.1,1595707.0,259
70,T69,T69,Jason Gore,74,171.1,1287532.0,209
71,T69,T69,Matt Weibring,65,171.1,1324404.0,215
72,T73,T73,Jim Furyk,86,171.2,1645810.0,267
73,T73,T73,Jeff Klauk,97,171.2,1787646.0,290
74,T75,T75,Derek Fathauer,63,171.5,981614.0,159
75,T75,T75,Casey Wittenberg,71,171.5,1049574.0,170
76,T77,T77,Brian Bateman,55,171.8,890634.0,144
77,T77,T77,Ben Crane,93,171.8,1842774.0,298
78,T77,T77,Jay Williamson,69,171.8,1144023.0,185
79,80,80,Patrick Sheehan,51,172.0,860769.0,139
80,T81,T81,Ben Curtis,63,172.3,980274.0,158
81,T81,T81,Kevin Streelman,97,172.3,2096948.0,338
82,T83,T83,Brad Faxon,59,172.5,881697.0,142
83,T83,T83,Steve Marino,98,172.5,1925654.0,310
84,T85,T85,Zach Johnson,94,172.6,2001297.0,322
85,T85,T85,Jerry Kelly,90,172.6,1827291.0,294
86,T87,T87,Rich Beem,77,172.7,1237068.0,199
87,T87,T87,Mark Calcavecchia,72,172.7,1461194.0,235
88,89,89,Chad Campbell,90,172.8,1648123.0,265
89,T90,T90,Daniel Chopra,89,173.0,2085941.0,335
90,T90,T90,Troy Matteson,95,173.0,1937304.0,311
91,T92,T92,Jason Day,61,173.1,1240235.0,199
92,T92,T92,Kevin Stadler,65,173.1,1152682.0,185
93,94,94,Todd Hamilton,83,173.7,1256572.0,201
94,95,95,Briny Baird,89,173.8,1645117.0,263
95,96,96,Matt Kuchar,82,174.2,1736721.0,277
96,97,97,Chris Stroud,88,174.3,1782208.0,284
97,98,98,Marc Leishman,91,174.4,1953071.0,311
98,99,99,Kris Blanks,60,174.6,1150073.0,183
99,T100,T100,Ricky Barnes,67,174.7,1006306.0,160
100,T100,T100,Charles Howell III,99,174.7,1886243.0,300
101,102,102,Dustin Johnson,85,174.8,1692368.0,269
102,103,103,Rocco Mediate,79,175.2,1437896.0,228
103,T104,T104,Jason Dufner,90,175.3,1773143.0,281
104,T104,T104,Mark Wilson,99,175.3,1981586.0,314
105,T106,T106,J.J. Henry,97,175.4,1774592.0,281
106,T106,T106,John Merrick,91,175.4,1477768.0,234
107,T108,T108,Aaron Baddeley,66,175.6,1340082.0,212
108,T108,T108,Brett Quigley,92,175.6,1669297.0,264
109,T108,T108,Kevin Sutherland,96,175.6,1725308.0,273
110,111,111,Carl Pettersson,86,175.7,1618835.0,256
111,T112,T112,Brad Adamonis,70,175.8,1202663.0,190
112,T112,T112,Boo Weekley,79,175.8,1563352.0,247
113,114,114,Freddie Jacobson,83,175.9,1696679.0,268
114,115,115,Anthony Kim,76,176.0,1653499.0,261
115,T116,T116,Greg Chalmers,85,176.1,1762773.0,278
116,T116,T116,Kenny Perry,92,176.1,1832427.0,289
117,T118,T118,Stuart Appleby,79,176.2,1249482.0,197
118,T118,T118,Geoff Ogilvy,78,176.2,1548027.0,244
119,T120,T120,J.B. Holmes,74,176.3,1383753.0,218
120,T120,T120,Jeff Overton,92,176.3,1719686.0,271
121,T122,T122,Cameron Beckman,87,176.4,1593708.0,251
122,T122,T122,Rick Price,54,176.4,781318.0,123
123,T124,T124,Bill Lunde,83,176.7,1603146.0,252
124,T124,T124,Leif Olson,51,176.7,947804.0,149
125,T126,T126,Steve Lowery,83,176.9,1719691.0,270
126,T126,T126,Tom Pernice Jr.,82,176.9,1572770.0,247
127,T128,T128,Stephen Ames,77,177.2,1531357.0,240
