,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Parker McLachlin,71,24.27,25,103
1,2,2,Kevin Streelman,97,24.22,31,128
2,3,3,Tiger Woods,64,23.33,14,60
3,4,4,Fred Couples,54,23.17,19,82
4,5,5,Robert Garrigus,83,23.15,25,108
5,6,6,Ben Curtis,63,22.22,18,81
6,7,7,Rocco Mediate,79,21.55,25,116
7,8,8,Nick Watney,86,21.09,31,147
8,9,9,Matt Jones,56,21.05,16,76
9,10,10,Matt Kuchar,82,20.91,23,110
10,11,11,Scott Piercy,85,20.83,25,120
11,12,12,Robert Allenby,71,20.75,22,106
12,13,13,Bo Van Pelt,100,20.56,22,107
13,14,14,Mark Calcavecchia,72,20.41,20,98
14,15,15,Kevin Stadler,65,20.21,19,94
15,T16,T16,Bill Haas,91,20.0,30,150
16,T16,T16,Kirk Triplett,60,20.0,11,55
17,18,18,Steve Stricker,81,19.83,23,116
18,19,19,Zach Johnson,94,19.79,19,96
19,20,20,Vijay Singh,71,19.57,18,92
20,21,21,Charles Howell III,99,19.55,26,133
21,22,22,Jonathan Byrd,89,18.85,23,122
22,23,23,Geoff Ogilvy,78,18.75,18,96
23,24,24,Ben Crane,93,18.64,22,118
24,25,25,Adam Scott,53,18.6,16,86
25,26,26,Corey Pavin,73,18.46,12,65
26,27,27,Dustin Johnson,85,18.42,21,114
27,T28,T28,Davis Love III,89,18.37,27,147
28,T28,T28,Andres Romero,58,18.37,18,98
29,30,30,Sergio Garcia,59,18.29,15,82
30,31,31,Anthony Kim,76,18.26,21,115
31,32,32,Bubba Watson,73,18.25,25,137
32,33,33,Tom Pernice Jr.,82,18.12,25,138
33,34,34,Steve Marino,98,17.91,24,134
34,T35,T35,Sean O'Hair,80,17.89,22,123
35,T35,T35,Kenny Perry,92,17.89,22,123
36,37,37,Charles Warren,63,17.86,15,84
37,38,38,Brett Quigley,92,17.61,28,159
38,39,39,Jeff Overton,92,17.58,29,165
39,T40,T40,Kris Blanks,60,17.19,11,64
40,T40,T40,Chris Riley,77,17.19,11,64
41,42,42,Jeff Quinney,78,17.14,18,105
42,43,43,Jimmy Walker,74,17.09,20,117
43,44,44,Brian Vranesh,51,16.92,11,65
44,45,45,Charlie Wi,92,16.79,23,137
45,T46,T46,Aaron Baddeley,66,16.67,14,84
46,T46,T46,Bob Heintz,59,16.67,14,84
47,T46,T46,Leif Olson,51,16.67,15,90
48,T46,T46,Rory Sabbatini,81,16.67,16,96
49,T50,T50,Luke Donald,79,16.48,15,91
50,T50,T50,Ernie Els,70,16.48,15,91
51,52,52,Cameron Beckman,87,16.42,22,134
52,53,53,Troy Matteson,95,16.41,21,128
