,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Tim Clark,81,70.42,50,71,-53,-23.00
1,2,2,Geoff Ogilvy,78,70.09,82,117,-86,-14.00
2,3,3,Jim Furyk,86,69.89,65,93,-69,-21.00
3,4,4,Matt Jones,56,68.69,68,99,-71,-8.00
4,5,5,Mike Weir,85,68.67,57,83,-63,-31.00
5,6,6,Stephen Ames,77,68.47,76,111,-80,-14.00
6,7,7,Bryce Molder,69,68.25,43,63,-46,-19.00
7,8,8,Kevin Na,91,67.91,91,134,-101,-19.00
8,9,9,Dean Wilson,81,67.9,55,81,-57,-32.00
9,10,10,Sean O'Hair,80,67.19,86,128,-92,-5.00
10,11,11,Jerry Kelly,90,66.39,81,122,-85,-30.00
11,12,12,Bob Estes,78,66.3,61,92,-66,-21.00
12,13,13,Steve Stricker,81,65.26,62,95,-66,-45.00
13,14,14,Adam Scott,53,65.22,60,92,-63,-2.00
14,15,15,Padraig Harrington,66,64.84,59,91,-62,-3.00
15,16,16,Patrick Sheehan,51,64.81,35,54,-36,-17.00
16,17,17,Tiger Woods,64,64.8,81,125,-89,-10.00
17,18,18,Retief Goosen,74,64.36,65,101,-77,-13.00
18,19,19,Nick Watney,86,64.2,113,176,-121,-5.00
19,20,20,Mark Wilson,99,63.97,87,136,-91,-26.00
20,21,21,Scott Piercy,85,63.64,119,187,-124,-1.00
21,22,22,Jimmy Walker,74,63.28,81,128,-90,+1.00
22,23,23,John Senden,100,63.19,115,182,-127,-25.00
23,24,24,Scott McCarron,91,62.89,100,159,-105,-11.00
24,25,25,Greg Chalmers,85,62.5,80,128,-84,-18.00
25,26,26,Justin Leonard,95,62.04,67,108,-70,-40.00
26,27,27,Luke Donald,79,62.03,49,79,-50,-33.00
27,28,28,Bob Heintz,59,61.9,39,63,-39,-18.00
28,29,29,Zach Johnson,94,61.83,81,131,-93,-35.00
29,30,30,Justin Rose,71,61.76,63,102,-65,-6.00
30,31,31,Kenny Perry,92,61.7,87,141,-91,-21.00
31,32,32,Brian Davis,103,61.69,95,154,-100,-35.00
32,33,33,George McNeill,82,61.64,90,146,-97,-4.00
33,T34,T34,Fred Couples,54,61.54,48,78,-51,-9.00
34,T34,T34,Chris Stroud,88,61.54,88,143,-99,-12.00
35,36,36,Davis Love III,89,61.4,105,171,-114,-14.00
36,37,37,Briny Baird,89,61.34,73,119,-78,-14.00
37,38,38,Brian Vranesh,51,61.25,49,80,-53,+3.00
38,39,39,Y.E. Yang,83,61.22,90,147,-96,-4.00
39,40,40,Brad Adamonis,70,61.17,63,103,-69,-4.00
40,41,41,Chris Riley,77,61.11,55,90,-63,-29.00
41,42,42,Brandt Snedeker,81,60.92,53,87,-57,-25.00
42,43,43,Rod Pampling,72,60.8,76,125,-80,-6.00
43,44,44,Leif Olson,51,60.76,48,79,-51,+8.00
44,45,45,Tom Pernice Jr.,82,60.68,71,117,-73,-28.00
45,46,46,Charles Warren,63,60.58,83,137,-87,-2.00
46,47,47,Kevin Sutherland,96,60.54,89,147,-92,-5.00
47,48,48,Phil Mickelson,66,60.48,75,124,-81,+8.00
48,49,49,Kris Blanks,60,60.47,52,86,-56,+2.00
49,50,50,Jason Dufner,90,60.45,81,134,-85,-9.00
50,51,51,Rich Beem,77,60.4,61,101,-66,-9.00
51,52,52,Brian Gay,96,60.27,44,73,-45,-56.00
52,53,53,Brett Quigley,92,60.15,80,133,-86,-12.00
53,T54,T54,Harrison Frazar,93,60.0,111,185,-119,+3.00
54,T54,T54,Charles Howell III,99,60.0,99,165,-102,-11.00
55,T54,T54,Webb Simpson,94,60.0,78,130,-83,-18.00
56,T54,T54,Matt Weibring,65,60.0,57,95,-61,-17.00
57,58,58,Matt Kuchar,82,59.66,71,119,-74,-19.00
58,59,59,John Mallinger,90,59.62,62,104,-70,-29.00
