,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,1,1,Briny Baird,89,87.2,293,336,-0.42
1,2,2,Sean O'Hair,80,86.67,286,330,-0.46
2,3,3,David Toms,98,86.58,342,395,-0.41
3,4,4,Jonathan Byrd,89,86.06,395,459,-0.46
4,5,5,Tim Clark,81,85.76,247,288,-0.47
5,6,6,Chris Stroud,88,85.75,331,386,-0.48
6,7,7,Jeff Maggert,79,85.68,341,398,-0.34
7,8,8,David Duval,56,85.58,178,208,-0.45
8,9,9,Bob Estes,78,85.45,276,323,-0.47
9,10,10,Kevin Sutherland,96,85.29,319,374,-0.48
10,11,11,Tom Lehman,55,85.26,133,156,-0.26
11,12,12,Scott Sterling,51,85.25,156,183,-0.36
12,13,13,Tiger Woods,64,85.22,196,230,-0.6
13,T14,T14,J.J. Henry,97,85.19,328,385,-0.41
14,T14,T14,Steve Stricker,81,85.19,276,324,-0.53
15,16,16,Nick O'Hern,90,85.09,331,389,-0.41
16,17,17,John Senden,100,85.03,409,481,-0.48
17,18,18,Will MacKenzie,69,84.97,294,346,-0.37
18,19,19,Brian Bateman,55,84.68,188,222,-0.36
19,20,20,Camilo Villegas,76,84.66,265,313,-0.45
20,21,21,Chris Riley,77,84.64,248,293,-0.46
21,22,22,Brendon de Jonge,90,84.58,340,402,-0.39
22,23,23,Charles Warren,63,84.52,273,323,-0.43
23,24,24,Luke Donald,79,84.5,218,258,-0.5
24,25,25,Darron Stiles,52,84.42,195,231,-0.37
25,26,26,Chad Campbell,90,84.3,306,363,-0.45
26,27,27,Michael Allen,73,84.21,240,285,-0.42
27,28,28,Corey Pavin,73,84.18,165,196,-0.38
28,29,29,Kirk Triplett,60,84.14,260,309,-0.34
29,30,30,Zach Johnson,94,84.11,344,409,-0.49
30,31,31,Ernie Els,70,84.08,243,289,-0.42
31,32,32,Greg Chalmers,85,84.01,289,344,-0.49
32,33,33,Jason Day,61,84.0,231,275,-0.48
33,34,34,Ricky Barnes,67,83.98,215,256,-0.39
34,T35,T35,Heath Slocum,95,83.9,370,441,-0.41
35,T35,T35,Jay Williamson,69,83.9,245,292,-0.37
36,37,37,Charles Howell III,99,83.86,369,440,-0.45
37,38,38,Spencer Levin,75,83.85,270,322,-0.39
38,T39,T39,Bryce Molder,69,83.83,197,235,-0.53
39,T39,T39,Kenny Perry,92,83.83,337,402,-0.47
40,41,41,Matt Weibring,65,83.8,238,284,-0.45
41,T42,T42,John Mallinger,90,83.78,284,339,-0.49
42,T42,T42,Scott Piercy,85,83.78,372,444,-0.48
43,44,44,Stuart Appleby,79,83.73,278,332,-0.34
44,45,45,David Mathis,82,83.7,267,319,-0.4
45,46,46,D.A. Points,99,83.66,338,404,-0.44
46,47,47,Robert Garrigus,83,83.62,337,403,-0.4
47,48,48,Kevin Na,91,83.57,295,353,-0.51
48,49,49,Ben Curtis,63,83.54,203,243,-0.44
49,50,50,Mark Brooks,55,83.51,162,194,-0.33
