,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Anthony Kim,76,27.17,191,703
1,2,2,Tiger Woods,64,26.01,168,646
2,3,3,Fred Couples,54,25.91,135,521
3,4,4,Rory Sabbatini,81,25.76,213,827
4,5,5,Tim Clark,81,25.47,219,860
5,6,6,Steve Stricker,81,25.46,220,864
6,7,7,Stephen Ames,77,25.22,198,785
7,8,8,Dean Wilson,81,25.15,244,970
8,9,9,Daniel Chopra,89,24.83,255,1027
9,10,10,Hunter Mahan,94,24.73,248,1003
10,11,11,Phil Mickelson,66,24.68,137,555
11,12,12,Dustin Johnson,85,24.65,192,779
12,13,13,Geoff Ogilvy,78,24.63,182,739
13,14,14,Matt Weibring,65,24.46,182,744
14,15,15,Zach Johnson,94,24.28,271,1116
15,16,16,Matt Jones,56,24.14,134,555
16,17,17,Sean O'Hair,80,24.12,179,742
17,18,18,Martin Laird,72,24.03,193,803
18,19,19,Bo Van Pelt,100,23.91,263,1100
19,20,20,Justin Leonard,95,23.87,253,1060
20,T21,T21,Matt Bettencourt,98,23.85,259,1086
21,T21,T21,Jason Day,61,23.85,155,650
22,23,23,Rod Pampling,72,23.82,206,865
23,24,24,Jonathan Byrd,89,23.8,252,1059
24,25,25,Bubba Watson,73,23.73,163,687
25,T26,T26,Jim Furyk,86,23.7,223,941
26,T26,T26,Justin Rose,71,23.7,183,772
27,28,28,Luke Donald,79,23.63,194,821
28,29,29,Tag Ridings,50,23.59,117,496
29,30,30,Harrison Frazar,93,23.58,241,1022
30,31,31,Mike Weir,85,23.56,213,904
31,32,32,Greg Chalmers,85,23.55,223,947
32,33,33,Lucas Glover,93,23.52,254,1080
33,34,34,Charlie Wi,92,23.51,253,1076
34,35,35,Ian Poulter,59,23.36,132,565
35,T36,T36,Brian Davis,103,23.34,288,1234
36,T36,T36,Padraig Harrington,66,23.34,141,604
37,T36,T36,Charley Hoffman,97,23.34,253,1084
38,39,39,George McNeill,82,23.33,231,990
39,40,40,Kevin Na,91,23.27,245,1053
40,T41,T41,Lee Janzen,74,23.15,194,838
41,T41,T41,Ryan Moore,89,23.15,234,1011
42,43,43,Kevin Sutherland,96,23.05,230,998
43,T44,T44,Pat Perez,74,23.01,194,843
44,T44,T44,Scott Verplank,88,23.01,257,1117
45,46,46,Andres Romero,58,22.96,110,479
46,47,47,Joe Durant,62,22.93,158,689
47,48,48,Joe Ogilvie,85,22.89,222,970
48,49,49,Chris Riley,77,22.87,220,962
49,T50,T50,Jerry Kelly,90,22.86,240,1050
50,T50,T50,Kenny Perry,92,22.86,230,1006
51,52,52,Nick Watney,86,22.84,196,858
52,53,53,Matt Kuchar,82,22.83,224,981
53,54,54,Mark Calcavecchia,72,22.81,182,798
54,55,55,D.J. Trahan,96,22.8,244,1070
55,56,56,Ángel Cabrera,55,22.78,100,439
56,T57,T57,Freddie Jacobson,83,22.77,212,931
57,T57,T57,Bryce Molder,69,22.77,176,773
58,59,59,Ted Purdy,101,22.76,269,1182
59,60,60,Camilo Villegas,76,22.75,167,734
60,61,61,Y.E. Yang,83,22.7,205,903
61,T62,T62,Marc Leishman,91,22.67,243,1072
62,T62,T62,Darron Stiles,52,22.67,141,622
63,T64,T64,Chad Campbell,90,22.61,215,951
64,T64,T64,Chris Stroud,88,22.61,227,1004
65,66,66,Retief Goosen,74,22.58,168,744
66,T67,T67,Paul Goydos,79,22.53,210,932
67,T67,T67,Scott Piercy,85,22.53,210,932
68,69,69,Bob Heintz,59,22.51,158,702
69,70,70,Kevin Streelman,97,22.43,258,1150
70,71,71,Brandt Snedeker,81,22.4,205,915
71,72,72,Webb Simpson,94,22.37,253,1131
72,73,73,John Senden,100,22.35,281,1257
73,74,74,Michael Letzig,96,22.31,243,1089
74,75,75,Mark Wilson,99,22.13,274,1238
75,76,76,Kris Blanks,60,22.12,146,660
76,T77,T77,Steve Marino,98,22.11,249,1126
77,T77,T77,Vaughn Taylor,88,22.11,241,1090
78,79,79,Tim Petrovic,97,22.09,260,1177
79,80,80,Davis Love III,89,22.06,218,988
80,81,81,Jeff Quinney,78,22.03,219,994
81,T82,T82,John Mallinger,90,21.98,213,969
82,T82,T82,David Toms,98,21.98,258,1174
83,84,84,Jeff Overton,92,21.92,201,917
84,85,85,Patrick Sheehan,51,21.91,124,566
85,T86,T86,Alex Cejka,82,21.86,219,1002
86,T86,T86,Tim Herron,87,21.86,223,1020
87,88,88,Ryan Palmer,78,21.83,198,907
88,T89,T89,D.A. Points,99,21.78,262,1203
89,T89,T89,Nicholas Thompson,96,21.78,250,1148
90,91,91,Ernie Els,70,21.76,156,717
91,92,92,Gary Woodland,53,21.71,94,433
92,93,93,Stewart Cink,79,21.7,163,751
93,94,94,J.B. Holmes,74,21.69,149,687
94,95,95,Scott Sterling,51,21.68,121,558
95,96,96,Boo Weekley,79,21.65,194,896
96,97,97,Steve Lowery,83,21.64,224,1035
97,98,98,Briny Baird,89,21.61,218,1009
98,99,99,Michael Allen,73,21.6,176,815
99,100,100,Jason Bohn,88,21.59,252,1167
100,101,101,Tommy Armour III,58,21.54,157,729
101,102,102,Brian Gay,96,21.52,260,1208
102,103,103,Ryuji Imada,85,21.51,191,888
103,104,104,Johnson Wagner,81,21.46,215,1002
104,105,105,James Nitties,86,21.44,211,984
105,106,106,Vijay Singh,71,21.42,139,649
106,107,107,Brendon de Jonge,90,21.37,221,1034
107,108,108,Bob Estes,78,21.33,206,966
