,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,John Senden,100,57.55,122,212,-0.04
1,2,2,Matt Jones,56,56.58,43,76,E
2,3,3,Zach Johnson,94,55.96,122,218,-0.20
3,4,4,Greg Owen,97,55.9,90,161,+0.02
4,5,5,Dustin Johnson,85,55.65,69,124,-0.17
5,6,6,D.J. Trahan,96,54.78,86,157,-0.13
6,7,7,Kirk Triplett,60,54.17,65,120,-0.05
7,8,8,K.J. Choi,65,53.79,71,132,-0.03
8,9,9,Jason Bohn,88,53.77,107,199,-0.02
9,10,10,Sean O'Hair,80,53.69,80,149,-0.15
10,11,11,Rod Pampling,72,53.62,74,138,-0.19
11,12,12,Jay Williamson,69,52.99,62,117,-0.08
12,13,13,Mathew Goggin,76,52.86,74,140,-0.01
13,14,14,Kenny Perry,92,52.66,99,188,-0.17
14,15,15,Tom Lehman,55,52.22,47,90,-0.11
15,T16,T16,Robert Allenby,71,52.21,71,136,-0.08
16,T16,T16,Bryce Molder,69,52.21,71,136,-0.03
17,18,18,Scott Sterling,51,51.69,46,89,-0.07
18,19,19,Chad Campbell,90,51.53,84,163,-0.06
19,20,20,Nick Watney,86,51.3,79,154,-0.20
20,21,21,Nicholas Thompson,96,51.08,95,186,-0.02
21,22,22,Scott McCarron,91,50.81,94,185,-0.20
22,23,23,Billy Mayfair,83,50.63,81,160,E
23,24,24,Jason Dufner,90,50.56,91,180,-0.04
24,25,25,Rick Price,54,50.52,49,97,+0.06
25,26,26,Tiger Woods,64,50.41,62,123,-0.21
26,27,27,Steve Marino,98,50.28,90,179,-0.10
27,T28,T28,Jonathan Byrd,89,50.0,74,148,-0.11
28,T28,T28,Steve Lowery,83,50.0,77,154,E
29,T28,T28,Bill Lunde,83,50.0,80,160,-0.16
30,T28,T28,Ryan Palmer,78,50.0,74,148,-0.01
31,T28,T28,Charles Warren,63,50.0,44,88,-0.09
32,33,33,Justin Rose,71,49.66,74,149,-0.15
33,34,34,Kevin Stadler,65,49.51,51,103,-0.04
34,35,35,Glen Day,79,49.42,85,172,-0.01
35,36,36,Andres Romero,58,49.35,38,77,E
36,37,37,Heath Slocum,95,49.0,98,200,+0.01
37,38,38,Bubba Watson,73,48.82,62,127,-0.03
38,39,39,Tim Clark,81,48.8,81,166,-0.15
39,40,40,Bill Haas,91,48.77,79,162,-0.09
40,41,41,Patrick Sheehan,51,48.68,37,76,-0.19
41,42,42,Tommy Armour III,58,48.6,52,107,-0.06
42,43,43,Peter Lonard,86,48.48,96,198,-0.05
43,44,44,Joe Durant,62,48.35,44,91,+0.05
44,45,45,Brian Vranesh,51,48.19,40,83,-0.13
45,46,46,Bo Van Pelt,100,48.17,79,164,E
46,47,47,Brian Bateman,55,48.08,50,104,-0.20
47,48,48,Brandt Snedeker,81,48.07,87,181,-0.14
48,49,49,Robert Garrigus,83,48.06,62,129,-0.16
49,50,50,Scott Verplank,88,48.04,98,204,-0.13
50,51,51,Camilo Villegas,76,47.97,59,123,-0.05
51,52,52,Sergio Garcia,59,47.87,45,94,-0.07
52,53,53,Retief Goosen,74,47.79,65,136,-0.05
53,54,54,Chez Reavie,81,47.77,75,157,-0.09
54,55,55,Tom Pernice Jr.,82,47.62,90,189,E
55,56,56,Jeff Maggert,79,47.52,67,141,E
56,T57,T57,Davis Love III,89,47.5,76,160,-0.16
57,T57,T57,Peter Tomasulo,61,47.5,38,80,E
58,59,59,Stewart Cink,79,47.41,64,135,-0.02
