,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,T1,T1,Mark Calcavecchia,72,-1.000
1,T1,T1,Tim Clark,81,-1.000
2,T1,T1,Mathew Goggin,76,-1.000
3,T1,T1,Bob Heintz,59,-1.000
4,T1,T1,Mike Weir,85,-1.000
5,6,6,Padraig Harrington,66,-.875
6,T7,T7,Stephen Ames,77,-.833
7,T7,T7,Camilo Villegas,76,-.833
8,9,9,Martin Laird,72,-.818
9,T10,T10,Steve Stricker,81,-.800
10,T10,T10,Kevin Sutherland,96,-.800
11,12,12,Matt Weibring,65,-.786
12,13,13,Jim Furyk,86,-.778
13,14,14,Nick O'Hern,90,-.769
14,T15,T15,Matt Bettencourt,98,-.750
15,T15,T15,Jason Dufner,90,-.750
16,T15,T15,Justin Leonard,95,-.750
17,T15,T15,Kevin Na,91,-.750
18,19,19,Scott Piercy,85,-.737
19,20,20,Brian Davis,103,-.733
20,21,21,Eric Axley,71,-.727
21,T22,T22,K.J. Choi,65,-.714
22,T22,T22,Joe Durant,62,-.714
23,T22,T22,Adam Scott,53,-.714
24,T25,T25,Alex Cejka,82,-.688
25,T25,T25,Harrison Frazar,93,-.688
26,27,27,Ryuji Imada,85,-.684
27,T28,T28,Ben Crane,93,-.667
28,T28,T28,Ben Curtis,63,-.667
29,T28,T28,Jerry Kelly,90,-.667
30,T28,T28,Jarrod Lyle,65,-.667
31,T28,T28,Tim Petrovic,97,-.667
32,T28,T28,Tiger Woods,64,-.667
33,34,34,Ernie Els,70,-.643
34,35,35,Marc Turnesa,77,-.636
35,36,36,Davis Love III,89,-.625
36,T37,T37,Nathan Green,104,-.619
37,T37,T37,John Senden,100,-.619
38,39,39,Brian Vranesh,51,-.615
39,40,40,Tom Pernice Jr.,82,-.611
40,T41,T41,Bob Estes,78,-.600
41,T41,T41,Zach Johnson,94,-.600
42,T41,T41,Spencer Levin,75,-.600
43,T41,T41,David Mathis,82,-.600
44,45,45,Paul Goydos,79,-.588
45,46,46,Sean O'Hair,80,-.583
46,T47,T47,Chad Campbell,90,-.571
47,T47,T47,Lee Janzen,74,-.571
48,T47,T47,Matt Kuchar,82,-.571
49,T47,T47,Greg Owen,97,-.571
50,T47,T47,Rod Pampling,72,-.571
51,T47,T47,Rory Sabbatini,81,-.571
52,T47,T47,Mark Wilson,99,-.571
53,T47,T47,Y.E. Yang,83,-.571
54,T55,T55,Scott McCarron,91,-.563
55,T55,T55,John Merrick,91,-.563
56,T57,T57,Tim Herron,87,-.556
57,T57,T57,Troy Matteson,95,-.556
58,T57,T57,Ian Poulter,59,-.556
59,T57,T57,Vijay Singh,71,-.556
60,T57,T57,Brandt Snedeker,81,-.556
61,T62,T62,Bart Bryant,58,-.545
62,T62,T62,Jeff Overton,92,-.545
63,T62,T62,Webb Simpson,94,-.545
64,T62,T62,Charles Warren,63,-.545
65,T66,T66,Charles Howell III,99,-.538
66,T66,T66,Steve Lowery,83,-.538
67,T66,T66,John Mallinger,90,-.538
68,69,69,Jonathan Byrd,89,-.536
69,T70,T70,J.J. Henry,97,-.533
70,T70,T70,George McNeill,82,-.533
71,T70,T70,Patrick Sheehan,51,-.533
72,T70,T70,Kevin Stadler,65,-.533
73,74,74,Chris Riley,77,-.529
74,75,75,Daniel Chopra,89,-.526
75,T76,T76,Justin Rose,71,-.524
76,T76,T76,Johnson Wagner,81,-.524
77,78,78,Billy Mayfair,83,-.522
78,T79,T79,Jason Bohn,88,-.500
79,T79,T79,Ángel Cabrera,55,-.500
80,T79,T79,Fred Couples,54,-.500
81,T79,T79,Ken Duke,87,-.500
82,T79,T79,Steve Elkington,70,-.500
83,T79,T79,Steve Flesch,77,-.500
84,T79,T79,Anthony Kim,76,-.500
85,T79,T79,Colt Knost,71,-.500
86,T79,T79,Tom Lehman,55,-.500
87,T79,T79,Parker McLachlin,71,-.500
88,T79,T79,Geoff Ogilvy,78,-.500
89,T79,T79,Scott Sterling,51,-.500
90,T79,T79,Darron Stiles,52,-.500
91,T79,T79,Bo Van Pelt,100,-.500
92,T93,T93,Freddie Jacobson,83,-.478
93,T93,T93,D.J. Trahan,96,-.478
94,95,95,Ryan Palmer,78,-.476
95,96,96,Jeff Quinney,78,-.471
96,97,97,Briny Baird,89,-.467
97,98,98,Dean Wilson,81,-.462
98,99,99,Marc Leishman,91,-.458
99,100,100,Peter Tomasulo,61,-.455
100,T101,T101,Bill Haas,91,-.450
101,T101,T101,Jeff Klauk,97,-.450
102,103,103,Matt Jones,56,-.444
103,T104,T104,Brad Adamonis,70,-.429
104,T104,T104,Jason Day,61,-.429
105,T104,T104,Steve Marino,98,-.429
106,T104,T104,Rocco Mediate,79,-.429
107,T104,T104,Chris Stroud,88,-.429
108,T104,T104,Charlie Wi,92,-.429
109,T104,T104,Casey Wittenberg,71,-.429
110,111,111,Greg Chalmers,85,-.417
111,T112,T112,Brendon de Jonge,90,-.412
112,T112,T112,Nick Watney,86,-.412
113,T114,T114,Tommy Armour III,58,-.400
114,T114,T114,Brian Bateman,55,-.400
115,T114,T114,Glen Day,79,-.400
116,T114,T114,Todd Hamilton,83,-.400
117,T114,T114,Bryce Molder,69,-.400
118,T114,T114,Boo Weekley,79,-.400
119,120,120,Vaughn Taylor,88,-.391
120,T121,T121,Michael Allen,73,-.385
121,T121,T121,Dustin Johnson,85,-.385
122,T121,T121,Kent Jones,73,-.385
123,T121,T121,Kenny Perry,92,-.385
124,T121,T121,Jimmy Walker,74,-.385
125,126,126,Bill Lunde,83,-.381
126,T127,T127,Lucas Glover,93,-.375
127,T127,T127,Retief Goosen,74,-.375
128,T127,T127,Cliff Kresge,78,-.375
129,T127,T127,David Toms,98,-.375
130,131,131,Jay Williamson,69,-.357
131,T132,T132,Woody Austin,84,-.353
132,T132,T132,Brett Quigley,92,-.353
133,T134,T134,Robert Allenby,71,-.333
134,T134,T134,Ricky Barnes,67,-.333
135,T134,T134,Mark Brooks,55,-.333
136,T134,T134,Luke Donald,79,-.333
137,T134,T134,Phil Mickelson,66,-.333
138,T134,T134,Kevin Streelman,97,-.333
139,T134,T134,Bubba Watson,73,-.333
140,141,141,Jason Gore,74,-.318
141,142,142,Chris DiMarco,97,-.313
142,T143,T143,Kris Blanks,60,-.308
143,T143,T143,Andres Romero,58,-.308
144,145,145,John Rollins,92,-.296
145,T146,T146,Joe Ogilvie,85,-.294
146,T146,T146,Chez Reavie,81,-.294
147,T146,T146,Nicholas Thompson,96,-.294
148,T146,T146,Scott Verplank,88,-.294
149,150,150,Brad Faxon,59,-.286
150,T151,T151,Michael Letzig,96,-.278
151,T151,T151,Jeff Maggert,79,-.278
152,T153,T153,Robert Garrigus,83,-.273
153,T153,T153,Carl Pettersson,86,-.273
154,T155,T155,Hunter Mahan,94,-.267
155,T155,T155,Aron Price,89,-.267
156,T155,T155,Heath Slocum,95,-.267
157,158,158,Charley Hoffman,97,-.261
158,T159,T159,Stuart Appleby,79,-.250
159,T159,T159,Cameron Beckman,87,-.250
160,T159,T159,Greg Kraft,51,-.250
161,T159,T159,Peter Lonard,86,-.250
162,T159,T159,Will MacKenzie,69,-.250
163,T159,T159,Leif Olson,51,-.250
164,T159,T159,Tag Ridings,50,-.250
165,T166,T166,Ted Purdy,101,-.238
166,T166,T166,Kirk Triplett,60,-.238
167,168,168,Sergio Garcia,59,-.231
168,169,169,Richard Johnson,85,-.222
169,170,170,Ryan Moore,89,-.214
