,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Tiger Woods,64,1.3980000000000001,67.082,48
1,2,2,Steve Stricker,81,1.018,63.123999999999995,62
2,3,3,Robert Allenby,71,1.015,56.86,56
3,4,4,Zach Johnson,94,0.8440000000000001,66.714,79
4,5,5,Tom Lehman,55,0.8340000000000001,29.2,35
5,6,6,Sean O'Hair,80,0.7959999999999999,46.178000000000004,58
6,7,7,Tim Clark,81,0.773,45.598,59
7,8,8,Jason Bohn,88,0.754,61.83,82
8,9,9,Ernie Els,70,0.722,38.969,54
9,10,10,Sergio Garcia,59,0.65,28.608,44
10,11,11,Chad Campbell,90,0.635,45.082,71
11,12,12,Scott Verplank,88,0.621,49.07,79
12,13,13,John Senden,100,0.606,55.775,92
13,14,14,David Toms,98,0.5660000000000001,45.24,80
14,15,15,Hunter Mahan,94,0.561,42.083999999999996,75
15,16,16,Jim Furyk,86,0.557,36.235,65
16,17,17,Justin Leonard,95,0.547,41.00899999999999,75
17,18,18,Briny Baird,89,0.515,37.086999999999996,72
18,19,19,Brett Quigley,92,0.508,38.109,75
19,20,20,Camilo Villegas,76,0.474,26.522,56
20,21,21,Padraig Harrington,66,0.47100000000000003,22.612,48
21,22,22,Woody Austin,84,0.467,35.506,76
22,23,23,Rory Sabbatini,81,0.452,30.305,67
23,24,24,Nick O'Hern,90,0.451,38.346,85
24,25,25,Luke Donald,79,0.426,25.980999999999998,61
25,26,26,Kenny Perry,92,0.414,30.21,73
26,27,27,Joe Durant,62,0.413,19.432000000000002,47
27,28,28,Paul Goydos,79,0.395,25.693,65
28,29,29,Y.E. Yang,83,0.386,26.991,70
29,30,30,Davis Love III,89,0.37799999999999995,29.125,77
30,31,31,Matt Weibring,65,0.373,20.51,55
31,32,32,Alex Cejka,82,0.37200000000000005,26.436,71
32,T33,T33,D.J. Trahan,96,0.369,29.5,80
33,T33,T33,Dean Wilson,81,0.369,25.851,70
34,35,35,Jonathan Byrd,89,0.368,29.055999999999997,79
35,36,36,Chris Stroud,88,0.36,27.351999999999997,76
36,37,37,Fred Couples,54,0.348,14.606,42
37,38,38,Nick Watney,86,0.345,23.430999999999997,68
38,39,39,Ricky Barnes,67,0.327,16.673,51
39,40,40,Rocco Mediate,79,0.324,21.4,66
40,41,41,Steve Marino,98,0.32299999999999995,27.153000000000002,84
41,42,42,Vijay Singh,71,0.319,16.285999999999998,51
42,43,43,Steve Flesch,77,0.318,20.022000000000002,63
43,44,44,Jason Dufner,90,0.313,24.396,78
44,45,45,Robert Garrigus,83,0.311,22.426,72
45,46,46,Heath Slocum,95,0.306,26.024,85
46,47,47,Boo Weekley,79,0.301,19.54,65
47,T48,T48,Ángel Cabrera,55,0.295,11.228,38
48,T48,T48,Greg Owen,97,0.295,24.225,82
49,50,50,Michael Allen,73,0.292,16.927,58
50,51,51,J.B. Holmes,74,0.29100000000000004,17.773,61
51,52,52,Kris Blanks,60,0.284,13.339,47
52,53,53,Cameron Beckman,87,0.28300000000000003,21.203000000000003,75
53,54,54,Kevin Na,91,0.273,21.28,78
54,55,55,Phil Mickelson,66,0.268,12.87,48
55,56,56,Patrick Sheehan,51,0.266,10.372,39
56,57,57,Tommy Armour III,58,0.264,13.718,52
57,58,58,Jimmy Walker,74,0.263,16.802,64
58,59,59,Ian Poulter,59,0.24,10.061,42
59,60,60,Marc Leishman,91,0.239,20.097,84
60,61,61,Stephen Ames,77,0.23600000000000002,13.448,57
61,62,62,Charley Hoffman,97,0.235,20.462,87
62,63,63,Mike Weir,85,0.22899999999999998,15.357000000000001,67
63,64,64,Kevin Stadler,65,0.213,11.507,54
64,65,65,D.A. Points,99,0.21100000000000002,18.177,86
65,66,66,Chris DiMarco,97,0.207,17.979,87
66,67,67,George McNeill,82,0.203,15.392000000000001,76
67,68,68,Spencer Levin,75,0.196,13.102,67
68,69,69,Jay Williamson,69,0.195,11.126,57
69,70,70,Lee Janzen,74,0.184,11.208,61
70,71,71,Charles Warren,63,0.183,9.693,53
71,72,72,Stuart Appleby,79,0.179,11.62,65
72,73,73,Retief Goosen,74,0.17800000000000002,9.991,56
73,74,74,Dustin Johnson,85,0.175,11.212,64
74,75,75,Corey Pavin,73,0.17,9.157,54
75,76,76,Jerry Kelly,90,0.165,12.682,77
76,77,77,Scott Sterling,51,0.162,6.479,40
77,78,78,Charles Howell III,99,0.141,11.697000000000001,83
78,79,79,Lucas Glover,93,0.138,10.908,79
79,80,80,Bob Estes,78,0.131,9.015,69
80,81,81,J.J. Henry,97,0.125,10.481,84
81,82,82,Scott Piercy,85,0.111,8.443999999999999,76
82,83,83,Anthony Kim,76,0.1,6.02,60
83,T84,T84,Steve Elkington,70,0.096,5.955,62
84,T84,T84,Nicholas Thompson,96,0.096,8.352,87
85,86,86,Justin Rose,71,0.09300000000000001,5.289,57
86,87,87,Johnson Wagner,81,0.09,6.649,74
87,88,88,Harrison Frazar,93,0.08900000000000001,7.513999999999999,84
88,89,89,Will MacKenzie,69,0.08800000000000001,5.385,61
89,90,90,Bo Van Pelt,100,0.08199999999999999,6.69,82
90,91,91,Jeff Quinney,78,0.064,4.5360000000000005,71
91,92,92,Matt Kuchar,82,0.052000000000000005,3.677,71
92,93,93,Cliff Kresge,78,0.047,3.1689999999999996,67
93,94,94,Tim Petrovic,97,0.044000000000000004,3.778,86
94,95,95,Brian Davis,103,0.038,3.469,91
95,96,96,Bubba Watson,73,0.037000000000000005,2.1,57
96,97,97,Brendon de Jonge,90,0.034,2.676,79
97,98,98,Jason Day,61,0.031,1.545,50
98,99,99,Brandt Snedeker,81,0.03,1.96,65
99,100,100,Rod Pampling,72,0.023,1.4969999999999999,64
100,101,101,Ryan Moore,89,0.017,1.2790000000000001,75
101,102,102,Greg Kraft,51,0.016,0.657,41
102,103,103,Kevin Sutherland,96,0.013000000000000001,0.972,73
103,104,104,Tom Pernice Jr.,82,0.006,0.43799999999999994,75
104,105,105,K.J. Choi,65,-0.002,-0.11,50
105,106,106,Vaughn Taylor,88,-0.004,-0.33799999999999997,79
106,107,107,Bryce Molder,69,-0.005,-0.29,54
107,108,108,Billy Mayfair,83,-0.01,-0.69,69
108,109,109,Kevin Streelman,97,-0.012,-1.051,87
109,110,110,Rich Beem,77,-0.019,-1.091,58
110,111,111,Geoff Ogilvy,78,-0.02,-1.1340000000000001,58
111,112,112,Gary Woodland,53,-0.021,-0.782,37
112,113,113,Kirk Triplett,60,-0.027000000000000003,-1.483,55
113,114,114,Bill Lunde,83,-0.028999999999999998,-2.146,75
114,115,115,Brian Gay,96,-0.032,-2.597,82
115,116,116,Bart Bryant,58,-0.033,-1.733,52
116,117,117,John Mallinger,90,-0.034,-2.447,71
117,T118,T118,Mathew Goggin,76,-0.036000000000000004,-2.137,60
118,T118,T118,Charlie Wi,92,-0.036000000000000004,-2.88,79
119,120,120,Ben Crane,93,-0.038,-3.0589999999999997,80
120,121,121,Ken Duke,87,-0.04,-2.8339999999999996,71
121,122,122,Stewart Cink,79,-0.040999999999999995,-2.427,59
122,123,123,Adam Scott,53,-0.045,-1.905,42
123,124,124,Darron Stiles,52,-0.049,-2.0580000000000003,42
124,T125,T125,Jeff Overton,92,-0.055999999999999994,-4.257,76
125,T125,T125,Aron Price,89,-0.055999999999999994,-4.288,77
126,T125,T125,Casey Wittenberg,71,-0.055999999999999994,-3.0269999999999997,54
127,128,128,Freddie Jacobson,83,-0.069,-5.046,73
128,129,129,Mark Calcavecchia,72,-0.07,-4.367,62
129,130,130,Matt Jones,56,-0.078,-3.52,45
130,131,131,Richard Johnson,85,-0.08,-5.9079999999999995,74
131,132,132,John Merrick,91,-0.08199999999999999,-5.581,68
132,133,133,Troy Matteson,95,-0.087,-7.632999999999999,88
133,134,134,Chez Reavie,81,-0.109,-7.598,70
134,135,135,Bill Haas,91,-0.126,-10.334000000000001,82
135,136,136,Pat Perez,74,-0.129,-7.984,62
136,137,137,Ryan Palmer,78,-0.15,-10.507,70
137,138,138,Nathan Green,104,-0.153,-14.079,92
138,139,139,Jason Gore,74,-0.163,-10.122,62
139,140,140,Rick Price,54,-0.168,-6.871,41
140,141,141,Michael Letzig,96,-0.16899999999999998,-14.502,86
141,142,142,Mark Wilson,99,-0.174,-15.352,88
142,143,143,Greg Chalmers,85,-0.18600000000000003,-13.19,71
143,144,144,Tag Ridings,50,-0.19,-7.777,41
144,145,145,Jeff Maggert,79,-0.192,-14.039000000000001,73
145,146,146,Ted Purdy,101,-0.22,-19.554000000000002,89
146,147,147,Webb Simpson,94,-0.223,-19.382,87
147,T148,T148,Tim Herron,87,-0.243,-19.7,81
148,T148,T148,Jeff Klauk,97,-0.243,-21.386999999999997,88
149,150,150,Chris Riley,77,-0.24600000000000002,-16.458,67
150,151,151,Ryuji Imada,85,-0.252,-17.404,69
151,152,152,Glen Day,79,-0.263,-16.848,64
152,153,153,David Duval,56,-0.266,-11.707,44
153,154,154,Matt Bettencourt,98,-0.267,-23.253,87
154,155,155,Peter Lonard,86,-0.26899999999999996,-20.712,77
155,156,156,Mark Brooks,55,-0.27699999999999997,-11.078,40
156,157,157,David Mathis,82,-0.28600000000000003,-19.74,69
157,158,158,Joe Ogilvie,85,-0.287,-22.092,77
158,159,159,Steve Lowery,83,-0.314,-24.206999999999997,77
159,160,160,Bob Heintz,59,-0.335,-17.092,51
160,161,161,Daniel Chopra,89,-0.345,-28.641,83
161,162,162,Brad Adamonis,70,-0.379,-23.109,61
162,163,163,Leif Olson,51,-0.39899999999999997,-17.171,43
163,164,164,Carl Pettersson,86,-0.423,-31.338,74
164,165,165,John Rollins,92,-0.449,-35.483000000000004,79
165,166,166,Kent Jones,73,-0.462,-28.21,61
166,167,167,Scott McCarron,91,-0.485,-39.260999999999996,81
167,168,168,Brian Bateman,55,-0.486,-23.324,48
168,169,169,Aaron Baddeley,66,-0.507,-29.416999999999998,58
169,170,170,Martin Laird,72,-0.509,-31.526999999999997,62
170,T171,T171,Todd Hamilton,83,-0.512,-32.744,64
171,T171,T171,James Nitties,86,-0.512,-38.91,76
172,173,173,Andres Romero,58,-0.521,-22.385,43
173,174,174,Colt Knost,71,-0.562,-31.451,56
174,175,175,Derek Fathauer,63,-0.568,-28.958000000000002,51
175,176,176,Peter Tomasulo,61,-0.573,-26.346,46
176,177,177,Jarrod Lyle,65,-0.601,-30.074,50
177,178,178,Marc Turnesa,77,-0.616,-43.708999999999996,71
178,179,179,Brian Vranesh,51,-0.63,-27.081999999999997,43
179,180,180,Ben Curtis,63,-0.642,-30.163,47
180,181,181,Brendon Todd,53,-0.71,-33.391999999999996,47
181,182,182,Eric Axley,71,-0.804,-47.408,59
182,183,183,Parker McLachlin,71,-0.976,-65.383,67
183,184,184,Brad Faxon,59,-1.4280000000000002,-74.275,52
