,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,Dustin Johnson,85,155.7,4859387.0,867
1,2,2,Andres Romero,58,158.4,3393058.0,595
2,3,3,Tag Ridings,50,158.5,3201805.0,561
3,4,4,Gary Woodland,53,158.6,2808246.0,492
4,5,5,Anthony Kim,76,159.1,4713663.0,823
5,6,6,Robert Garrigus,83,161.2,5714625.0,985
6,T7,T7,J.B. Holmes,74,161.9,4888863.0,839
7,T7,T7,Bubba Watson,73,161.9,4540757.0,779
8,9,9,Vijay Singh,71,163.3,4157274.0,707
9,10,10,Phil Mickelson,66,163.9,3877157.0,657
10,11,11,Charley Hoffman,97,165.7,7104889.0,1191
11,12,12,Nick Watney,86,165.8,5581369.0,935
12,T13,T13,Harrison Frazar,93,166.2,6874790.0,1149
13,T13,T13,Martin Laird,72,166.2,5110352.0,854
14,15,15,Ángel Cabrera,55,166.3,3131583.0,523
15,16,16,Daniel Chopra,89,166.4,6803866.0,1136
16,17,17,Troy Matteson,95,166.7,7302300.0,1217
17,18,18,Sergio Garcia,59,167.0,3637121.0,605
18,19,19,Kevin Streelman,97,167.2,7211582.0,1198
19,T20,T20,Sean O'Hair,80,167.3,4848860.0,805
20,T20,T20,Charles Warren,63,167.3,4437981.0,737
21,T22,T22,Leif Olson,51,167.5,3498111.0,580
22,T22,T22,Boo Weekley,79,167.5,5463582.0,906
23,24,24,Fred Couples,54,167.8,3486303.0,577
24,T25,T25,Marc Leishman,91,167.9,6910387.0,1143
25,T25,T25,Hunter Mahan,94,167.9,6284465.0,1040
26,27,27,Stewart Cink,79,168.0,4934529.0,816
27,28,28,Davis Love III,89,168.3,6470310.0,1068
28,29,29,Steve Marino,98,168.4,7030970.0,1160
29,30,30,Rory Sabbatini,81,168.7,5586555.0,920
30,31,31,Kenny Perry,92,169.1,6180315.0,1015
31,T32,T32,Tim Herron,87,169.2,6771788.0,1112
32,T32,T32,Ryan Palmer,78,169.2,5822996.0,956
33,T32,T32,D.J. Trahan,96,169.2,6750393.0,1108
34,35,35,Matt Bettencourt,98,169.3,7222242.0,1185
35,36,36,Scott Piercy,85,169.4,6329666.0,1038
36,37,37,Ted Purdy,101,169.5,7476031.0,1225
37,38,38,Geoff Ogilvy,78,169.6,4896589.0,802
38,39,39,Nicholas Thompson,96,169.8,7279233.0,1191
39,40,40,Adam Scott,53,169.9,3517028.0,575
40,41,41,Ricky Barnes,67,170.0,4315169.0,705
41,T42,T42,Lucas Glover,93,170.4,6706627.0,1093
42,T42,T42,John Rollins,92,170.4,6636569.0,1082
43,44,44,Jeff Maggert,79,170.5,6187566.0,1008
44,T45,T45,Jason Day,61,171.0,4260553.0,692
45,T45,T45,Jeff Overton,92,171.0,6375851.0,1036
46,47,47,Bill Lunde,83,171.1,6351594.0,1031
47,T48,T48,Bill Haas,91,171.2,6983840.0,1133
48,T48,T48,Michael Letzig,96,171.2,7292690.0,1183
49,T48,T48,Bo Van Pelt,100,171.2,6953025.0,1128
50,51,51,Greg Owen,97,171.3,6985644.0,1133
51,52,52,Matt Jones,56,171.4,3799912.0,616
52,T53,T53,Steve Lowery,83,171.5,6552314.0,1061
53,T53,T53,Camilo Villegas,76,171.5,4803157.0,778
54,55,55,Peter Tomasulo,61,171.7,3876305.0,627
55,56,56,Jonathan Byrd,89,171.8,6748806.0,1091
56,57,57,Kris Blanks,60,171.9,3998392.0,646
57,58,58,Ryan Moore,89,172.1,6375313.0,1029
58,T59,T59,Jason Gore,74,172.3,5310099.0,856
59,T59,T59,John Merrick,91,172.3,5787777.0,933
60,61,61,Charles Howell III,99,172.7,7067405.0,1137
61,62,62,J.J. Henry,97,172.8,7217839.0,1160
62,63,63,Kevin Stadler,65,172.9,4611904.0,741
63,64,64,George McNeill,82,173.0,6465710.0,1038
64,T65,T65,Chad Campbell,90,173.1,6055724.0,972
65,T65,T65,Will MacKenzie,69,173.1,5272852.0,846
66,67,67,Ernie Els,70,173.2,4695927.0,753
67,68,68,Joe Ogilvie,85,173.3,6521211.0,1045
68,69,69,Carl Pettersson,86,173.4,6360783.0,1019
69,70,70,Mathew Goggin,76,173.5,5145950.0,824
70,71,71,Tiger Woods,64,173.8,4178405.0,668
71,72,72,James Nitties,86,174.0,6571048.0,1049
72,73,73,Tommy Armour III,58,174.1,4469747.0,713
73,74,74,Brian Vranesh,51,174.2,3718670.0,593
74,T75,T75,Aaron Baddeley,66,174.3,4989686.0,795
75,T75,T75,John Senden,100,174.3,7961306.0,1269
76,T75,T75,Chris Stroud,88,174.3,6524490.0,1040
77,78,78,Matt Weibring,65,174.5,4755145.0,757
78,79,79,Heath Slocum,95,174.8,7345400.0,1167
79,80,80,Y.E. Yang,83,175.0,6092219.0,967
80,T81,T81,Rich Beem,77,175.1,4991512.0,792
81,T81,T81,Jarrod Lyle,65,175.1,4355988.0,691
82,83,83,Casey Wittenberg,71,175.2,4659798.0,739
83,T84,T84,Retief Goosen,74,175.3,4896631.0,776
84,T84,T84,Johnson Wagner,81,175.3,6394464.0,1013
85,T86,T86,Brendon de Jonge,90,175.4,6840320.0,1083
86,T86,T86,Kirk Triplett,60,175.4,4741650.0,751
87,T88,T88,Brad Adamonis,70,175.5,5256738.0,832
88,T88,T88,Michael Allen,73,175.5,5053109.0,800
89,T88,T88,Robert Allenby,71,175.5,4927417.0,780
90,T88,T88,Brian Bateman,55,175.5,4120359.0,652
91,92,92,Stephen Ames,77,175.6,4986623.0,789
92,93,93,Vaughn Taylor,88,175.7,6854857.0,1084
93,T94,T94,Derek Fathauer,63,175.8,4431416.0,700
94,T94,T94,Rod Pampling,72,175.8,5594503.0,884
95,T94,T94,Justin Rose,71,175.8,4993619.0,789
96,97,97,David Toms,98,176.0,7026568.0,1109
97,T98,T98,Brett Quigley,92,176.1,6522794.0,1029
98,T98,T98,Kevin Sutherland,96,176.1,6384995.0,1007
99,100,100,Pat Perez,74,176.2,5384617.0,849
100,101,101,Justin Leonard,95,176.3,6614566.0,1042
101,T102,T102,Stuart Appleby,79,176.4,5633788.0,887
102,T102,T102,Webb Simpson,94,176.4,7574065.0,1193
103,T102,T102,Jimmy Walker,74,176.4,5525122.0,870
104,105,105,Mark Calcavecchia,72,176.8,5423393.0,852
105,T106,T106,Brian Davis,103,176.9,8016137.0,1259
106,T106,T106,Freddie Jacobson,83,176.9,6432138.0,1010
107,108,108,Zach Johnson,94,177.0,7023574.0,1102
108,T109,T109,Padraig Harrington,66,177.2,4184428.0,656
109,T109,T109,Jay Williamson,69,177.2,5008415.0,785
110,111,111,Greg Chalmers,85,177.3,6247052.0,979
111,T112,T112,Todd Hamilton,83,177.4,5665858.0,887
112,T112,T112,Rocco Mediate,79,177.4,5849689.0,916
113,T114,T114,Cameron Beckman,87,177.5,6599350.0,1033
114,T114,T114,Joe Durant,62,177.5,4121992.0,645
115,T114,T114,David Duval,56,177.5,3743706.0,586
116,117,117,Bryce Molder,69,177.8,4780306.0,747
117,T118,T118,Jason Dufner,90,177.9,6853035.0,1070
118,T118,T118,Tim Petrovic,97,177.9,7628267.0,1191
119,120,120,Bob Heintz,59,178.0,4497528.0,702
120,121,121,Billy Mayfair,83,178.1,6065651.0,946
121,122,122,Mark Wilson,99,178.2,7811812.0,1218
122,123,123,Scott Verplank,88,178.4,7033125.0,1095
123,T124,T124,Ben Crane,93,178.6,7122636.0,1108
124,T124,T124,Ian Poulter,59,178.6,3742456.0,582
125,T126,T126,Tim Clark,81,178.7,5268009.0,819
126,T126,T126,Darron Stiles,52,178.7,3750941.0,583
127,128,128,Scott Sterling,51,178.8,3527143.0,548
128,129,129,Jerry Kelly,90,179.0,6849111.0,1063
129,T130,T130,Jason Bohn,88,179.1,7326048.0,1136
130,T130,T130,Chez Reavie,81,179.1,6299104.0,977
131,T130,T130,Patrick Sheehan,51,179.1,3481633.0,540
132,T133,T133,Briny Baird,89,179.2,6400293.0,992
133,T133,T133,Matt Kuchar,82,179.2,6335875.0,982
134,T133,T133,Scott McCarron,91,179.2,7225312.0,1120
135,T133,T133,Charlie Wi,92,179.2,6959987.0,1079
136,T137,T137,Steve Flesch,77,179.3,5584461.0,865
137,T137,T137,Lee Janzen,74,179.3,5382252.0,834
138,139,139,Woody Austin,84,179.4,6773593.0,1049
139,T140,T140,Steve Elkington,70,179.5,5499579.0,851
140,T140,T140,Cliff Kresge,78,179.5,5969772.0,924
141,142,142,Ken Duke,87,179.6,6350797.0,982
142,143,143,Chris DiMarco,97,179.7,7723079.0,1194
143,144,144,Steve Stricker,81,179.8,5528792.0,854
144,T145,T145,Colt Knost,71,179.9,4993338.0,771
145,T145,T145,D.A. Points,99,179.9,7708871.0,1190
146,147,147,Nathan Green,104,180.3,8236482.0,1269
147,148,148,Greg Kraft,51,180.4,3689416.0,568
148,149,149,Ryuji Imada,85,180.5,6187595.0,952
149,150,150,Alex Cejka,82,180.6,6325646.0,973
150,151,151,Mike Weir,85,180.8,6035150.0,927
151,152,152,David Mathis,82,181.0,6156358.0,945
152,T153,T153,K.J. Choi,65,181.1,4523423.0,694
153,T153,T153,Brandt Snedeker,81,181.1,5895189.0,904
154,155,155,Paul Goydos,79,181.2,5896857.0,904
155,T156,T156,Eric Axley,71,181.3,5161956.0,791
156,T156,T156,Bob Estes,78,181.3,6202139.0,950
157,T158,T158,Kent Jones,73,181.4,5519080.0,845
158,T158,T158,Peter Lonard,86,181.4,6927654.0,1061
159,T158,T158,Rick Price,54,181.4,3676238.0,563
160,161,161,Spencer Levin,75,181.6,6020395.0,921
161,162,162,Aron Price,89,181.7,6901718.0,1055
162,163,163,Kevin Na,91,181.8,7009228.0,1071
163,164,164,John Mallinger,90,182.0,6415213.0,979
164,T165,T165,Jim Furyk,86,182.2,5909166.0,901
165,T165,T165,Marc Turnesa,77,182.2,6435616.0,981
166,167,167,Jeff Klauk,97,182.6,7966549.0,1212
167,168,168,Ben Curtis,63,182.7,4315351.0,656
168,169,169,Tom Pernice Jr.,82,182.8,6763390.0,1028
169,170,170,Glen Day,79,182.9,5805952.0,882
170,171,171,Parker McLachlin,71,183.0,6036245.0,916
171,172,172,Nick O'Hern,90,183.3,7755376.0,1175
172,173,173,Tom Lehman,55,185.0,3216693.0,483
173,174,174,Chris Riley,77,185.4,6187038.0,927
174,175,175,Mark Brooks,55,185.5,3692754.0,553
175,176,176,Jeff Quinney,78,185.6,6561492.0,982
176,177,177,Brendon Todd,53,185.8,4293178.0,642
177,178,178,Luke Donald,79,186.1,5662561.0,845
178,179,179,Bart Bryant,58,186.2,4806271.0,717
179,180,180,Richard Johnson,85,186.5,6882418.0,1025
180,181,181,Brian Gay,96,186.8,7692411.0,1144
181,182,182,Dean Wilson,81,187.7,6467222.0,957
182,183,183,Brad Faxon,59,188.5,4837372.0,713
183,184,184,Corey Pavin,73,196.0,5257676.0,745
