,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Nicholas Thompson,96,261,Frys.com Open,3,11
1,2,2,Robert Garrigus,83,256,Shell Houston Open,2,4
2,3,3,John Senden,100,250,Deutsche Bank Championship,2,2
3,4,4,Webb Simpson,94,221,Arnold Palmer Invitational presented by MasterCard,2,17
4,T5,5,Jonathan Kaye,49,214,U.S. Bank Championship in Milwaukee,3,7
5,T5,6,Omar Uresti,27,214,U.S. Bank Championship in Milwaukee,2,7
6,7,7,Rickie Fowler,20,211,Frys.com Open,4,5
7,T8,8,Peter Lonard,86,203,RBC Canadian Open,1,12
8,T8,9,Corey Pavin,73,203,RBC Canadian Open,4,8
9,10,10,Casey Wittenberg,71,202,Sony Open in Hawaii,3,4
10,11,11,Mike Weir,85,200,RBC Canadian Open,3,4
11,T12,1,Nicholas Thompson,96,199,Frys.com Open,3,13
12,T12,13,Chad Campbell,90,199,Frys.com Open,3,16
13,T12,14,Ted Purdy,101,199,Frys.com Open,3,16
14,15,15,Retief Goosen,74,195,Buick Invitational,2,4
15,16,16,Matt Weibring,65,194,Travelers Championship,2,4
16,17,17,Vaughn Taylor,88,192,Arnold Palmer Invitational presented by MasterCard,2,7
17,18,18,Matthew Borchert,48,191,Valero Texas Open,2,14
18,19,19,Dicky Pride,29,189,St. Jude Classic presented by FedEx,2,13
19,20,20,John Mallinger,90,184,The 50th Bob Hope Classic hosted by Arnold Palmer,5,3
20,21,21,Daniel Chopra,89,179,The Barclays,3,4
21,22,22,Brett Quigley,92,178,Deutsche Bank Championship,2,12
22,23,23,Lee Janzen,74,177,Verizon Heritage,2,17
23,24,24,Paul Claxton,2,176,Quail Hollow Championship,2,10
24,25,25,Scott Gutschewski,47,174,Turning Stone Resort Championship,4,6
25,T26,26,Camilo Villegas,76,170,St. Jude Classic presented by FedEx,2,17
26,T26,27,James Driscoll,49,170,HP Byron Nelson Championship,2,12
27,T26,28,Paul Goydos,79,170,BMW Championship,3,16
28,T29,29,Tim Herron,87,169,Crowne Plaza Invitational at Colonial,2,5
29,T29,30,Davis Love III,89,169,Crowne Plaza Invitational at Colonial,1,10
30,31,31,Steve Elkington,70,168,Wyndham Championship,1,3
31,32,31,Steve Elkington,70,165,Northern Trust Open,1,3
32,T33,34,Harrison Frazar,93,164,Turning Stone Resort Championship,4,9
33,T33,33,Bubba Watson,73,164,the Memorial Tournament,2,17
34,T33,35,Chris Riley,77,164,Wyndham Championship,3,1
35,T36,36,Tommy Armour III,58,163,Verizon Heritage,2,7
36,T36,37,Briny Baird,89,163,Shell Houston Open,1,6
37,38,38,Ben Crane,93,162,The Honda Classic,3,5
38,T39,39,Matt Jones,56,161,U.S. Bank Championship in Milwaukee,3,3
