,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,,John Senden,100,81.55,738,905
1,2,,J.J. Henry,97,81.01,644,795
2,3,,Fred Couples,54,80.76,340,421
3,4,,Robert Garrigus,83,80.51,504,626
4,5,,Charles Howell III,99,80.19,599,747
5,6,,Gary Woodland,53,79.83,277,347
6,7,,Tiger Woods,64,79.57,444,558
7,8,,Scott Piercy,85,79.49,500,629
8,9,,Chad Campbell,90,79.4,605,762
9,10,,Jonathan Byrd,89,79.11,621,785
10,T11,,Stephen Ames,77,79.0,538,681
11,T11,,Ricky Barnes,67,79.0,380,481
12,13,,D.J. Trahan,96,78.8,710,901
13,14,,Marc Leishman,91,78.78,568,721
14,15,,Tag Ridings,50,78.72,270,343
15,16,,Justin Leonard,95,78.7,691,878
16,17,,Brendon de Jonge,90,78.59,580,738
17,18,,Charley Hoffman,97,78.53,611,778
18,19,,Chris Stroud,88,78.52,585,745
19,20,,Kevin Sutherland,96,78.5,650,828
20,21,,Nick Watney,86,78.47,543,692
21,22,,Harrison Frazar,93,78.45,528,673
22,23,,Greg Owen,97,78.35,655,836
23,24,,Rory Sabbatini,81,78.33,506,646
24,25,,Jason Bohn,88,78.1,674,863
25,26,,Davis Love III,89,78.06,562,720
26,27,,Tom Lehman,55,78.0,390,500
27,28,,Charles Warren,63,77.95,396,508
28,29,,Joe Durant,62,77.9,430,552
29,30,,Rich Beem,77,77.81,477,613
30,31,,Bill Lunde,83,77.78,560,720
31,32,,Will MacKenzie,69,77.71,495,637
32,33,,Steve Marino,98,77.64,646,832
33,34,,Scott Sterling,51,77.63,295,380
34,35,,Steve Flesch,77,77.56,522,673
35,36,,Troy Matteson,95,77.37,588,760
36,37,,Jay Williamson,69,77.33,457,591
37,38,,Stuart Appleby,79,77.29,497,643
38,39,,Ernie Els,70,77.08,464,602
39,40,,Heath Slocum,95,77.03,701,910
40,41,,Zach Johnson,94,77.01,710,922
41,42,,Mark Wilson,99,76.97,702,912
42,43,,Camilo Villegas,76,76.95,484,629
43,44,,Bryce Molder,69,76.91,433,563
44,45,,Brett Quigley,92,76.86,528,687
45,46,,David Toms,98,76.85,737,959
46,47,,Dustin Johnson,85,76.84,501,652
47,T48,,Matt Weibring,65,76.78,410,534
48,T48,,Charlie Wi,92,76.78,658,857
49,50,,Boo Weekley,79,76.66,565,737
50,51,,Bo Van Pelt,100,76.61,642,838
51,52,,Briny Baird,89,76.6,609,795
52,53,,Steve Elkington,70,76.54,509,665
53,T54,,Hunter Mahan,94,76.52,642,839
54,T54,,Phil Mickelson,66,76.52,352,460
55,T54,,Sean O'Hair,80,76.52,502,656
56,T57,,Martin Laird,72,76.5,472,617
57,T57,,Casey Wittenberg,71,76.5,433,566
58,59,,Bubba Watson,73,76.48,413,540
59,60,,Jeff Maggert,79,76.4,573,750
60,61,,Kevin Streelman,97,76.39,605,792
61,62,,Jason Dufner,90,76.37,614,804
62,63,,K.J. Choi,65,76.28,463,607
63,T64,,Bob Heintz,59,76.24,385,505
64,T64,,Johnson Wagner,81,76.24,555,728
65,66,,Kenny Perry,92,76.2,650,853
66,67,,Aron Price,89,76.18,547,718
67,T68,,Tim Herron,87,76.14,536,704
68,T68,,Spencer Levin,75,76.14,466,612
69,70,,Kevin Stadler,65,76.11,376,494
70,71,,Jeff Overton,92,76.1,503,661
71,72,,Sergio Garcia,59,76.03,368,484
72,73,,Nick O'Hern,90,75.91,627,826
73,T74,,Lucas Glover,93,75.88,645,850
74,T74,,John Merrick,91,75.88,541,713
75,76,,Nicholas Thompson,96,75.87,635,837
76,77,,Mark Calcavecchia,72,75.86,465,613
77,78,,Matt Jones,56,75.84,292,385
78,79,,Cameron Beckman,87,75.8,545,719
79,80,,Bill Haas,91,75.79,576,760
80,81,,Dean Wilson,81,75.76,522,689
81,82,,Ryan Palmer,78,75.75,506,668
82,83,,Jimmy Walker,74,75.74,384,507
83,T84,,Rocco Mediate,79,75.67,507,670
84,T84,,Rod Pampling,72,75.67,479,633
85,86,,Y.E. Yang,83,75.6,505,668
86,87,,David Duval,56,75.57,300,397
87,88,,Bob Estes,78,75.51,558,739
88,89,,J.B. Holmes,74,75.5,376,498
89,90,,Brian Bateman,55,75.46,326,432
90,91,,Steve Lowery,83,75.43,571,757
91,92,,Ryan Moore,89,75.35,584,775
92,93,,Luke Donald,79,75.34,501,665
93,94,,Michael Allen,73,75.3,494,656
94,T95,,Kent Jones,73,75.28,472,627
95,T95,,D.A. Points,99,75.28,667,886
96,97,,Darron Stiles,52,75.26,359,477
97,98,,George McNeill,82,75.22,507,674
98,99,,Kevin Na,91,75.07,575,766
99,100,,Jarrod Lyle,65,75.05,367,489
100,101,,Michael Letzig,96,75.03,580,773
101,102,,Mathew Goggin,76,75.0,510,680
102,103,,Jeff Klauk,97,74.97,704,939
103,104,,Vijay Singh,71,74.92,442,590
104,105,,Robert Allenby,71,74.85,491,656
105,T106,,Adam Scott,53,74.83,321,429
106,T106,,Steve Stricker,81,74.83,550,735
107,108,,Geoff Ogilvy,78,74.79,442,591
108,109,,Tim Clark,81,74.78,602,805
109,110,,Matt Bettencourt,98,74.72,597,799
110,T111,,Carl Pettersson,86,74.64,518,694
111,T111,,Ted Purdy,101,74.64,621,832
112,T111,,Andres Romero,58,74.64,309,414
113,114,,James Nitties,86,74.62,535,717
114,T115,,Glen Day,79,74.6,514,689
115,T115,,Tim Petrovic,97,74.6,658,882
116,117,,Chris DiMarco,97,74.57,645,865
117,T118,,Greg Chalmers,85,74.49,508,682
118,T118,,Scott Verplank,88,74.49,625,839
