,Approaches_125-150_yards-Rgh_RTP_RANK THIS WEEK,Approaches_125-150_yards-Rgh_RTP_RANK LAST WEEK,Approaches_125-150_yards-Rgh_RTP_PLAYER NAME,Approaches_125-150_yards-Rgh_RTP_ROUNDS,Approaches_125-150_yards-Rgh_RTP_AVG RTP
0,1,1,D.A. Points,99,-.116
1,2,2,Anthony Kim,76,-.111
2,3,3,Nathan Green,104,-.100
3,4,4,Kevin Stadler,65,-.093
4,5,5,Jerry Kelly,90,-.079
5,T6,T6,Fred Couples,54,-.070
6,T6,T6,Matt Kuchar,82,-.070
7,8,8,Glen Day,79,-.059
8,9,9,Padraig Harrington,66,-.056
9,10,10,Justin Leonard,95,-.054
10,11,11,Rocco Mediate,79,-.053
11,T12,T12,Mark Brooks,55,-.045
12,T12,T12,Brendon Todd,53,-.045
13,14,14,Jason Dufner,90,-.037
14,15,15,Scott McCarron,91,-.031
15,16,16,Steve Stricker,81,-.027
16,17,17,Geoff Ogilvy,78,-.026
17,18,18,Jarrod Lyle,65,-.025
18,19,19,Vaughn Taylor,88,-.023
19,20,20,Sean O'Hair,80,-.020
20,21,21,Scott Piercy,85,-.017
21,22,22,Harrison Frazar,93,-.011
22,T23,T23,Robert Allenby,71,E
23,T23,T23,Stephen Ames,77,E
24,T23,T23,Tommy Armour III,58,E
25,T23,T23,Woody Austin,84,E
26,T23,T23,Alex Cejka,82,E
27,T23,T23,Greg Chalmers,85,E
28,T23,T23,Ben Curtis,63,E
29,T23,T23,Ernie Els,70,E
30,T23,T23,Retief Goosen,74,E
31,T23,T23,Steve Marino,98,E
32,T23,T23,Nick O'Hern,90,E
33,T23,T23,Pat Perez,74,E
34,T23,T23,Tag Ridings,50,E
35,T23,T23,Chris Riley,77,E
36,T23,T23,Brandt Snedeker,81,E
37,38,38,Charles Howell III,99,+.014
38,39,39,George McNeill,82,+.015
39,T40,T40,Lucas Glover,93,+.018
40,T40,T40,Greg Owen,97,+.018
41,42,42,Chad Campbell,90,+.019
42,43,43,David Toms,98,+.022
43,T44,T44,Brad Adamonis,70,+.023
44,T44,T44,Boo Weekley,79,+.023
45,T46,T46,Kent Jones,73,+.024
46,T46,T46,Joe Ogilvie,85,+.024
47,48,48,Spencer Levin,75,+.028
48,49,49,Hunter Mahan,94,+.030
49,50,50,Jay Williamson,69,+.033
50,51,51,Tim Petrovic,97,+.035
51,T52,T52,Troy Matteson,95,+.038
52,T52,T52,Parker McLachlin,71,+.038
53,54,54,Jonathan Byrd,89,+.040
54,55,55,Scott Sterling,51,+.043
55,56,56,Rich Beem,77,+.045
56,57,57,Zach Johnson,94,+.047
57,T58,T58,Luke Donald,79,+.050
58,T58,T58,Tiger Woods,64,+.050
59,60,60,Marc Leishman,91,+.052
60,61,61,Tom Lehman,55,+.053
61,62,62,Michael Letzig,96,+.054
62,T63,T63,David Duval,56,+.059
63,T63,T63,David Mathis,82,+.059
64,65,65,Y.E. Yang,83,+.061
65,T66,T66,Aaron Baddeley,66,+.065
66,T66,T66,Bill Lunde,83,+.065
67,68,68,Ken Duke,87,+.066
68,T69,T69,Jimmy Walker,74,+.067
69,T69,T69,Mike Weir,85,+.067
70,71,71,Brian Gay,96,+.071
71,72,72,Jason Bohn,88,+.078
72,73,73,Robert Garrigus,83,+.079
73,T74,T74,Cameron Beckman,87,+.083
74,T74,T74,Mark Calcavecchia,72,+.083
75,T74,T74,Ben Crane,93,+.083
76,T74,T74,Kevin Sutherland,96,+.083
77,T78,T78,Chris DiMarco,97,+.085
78,T78,T78,Kevin Streelman,97,+.085
79,80,80,Corey Pavin,73,+.087
80,81,81,Tom Pernice Jr.,82,+.089
81,T82,T82,Briny Baird,89,+.091
82,T82,T82,Matt Jones,56,+.091
83,84,84,Kevin Na,91,+.093
84,T85,T85,Ángel Cabrera,55,+.095
85,T85,T85,Ted Purdy,101,+.095
86,T87,T87,Bob Heintz,59,+.097
87,T87,T87,Aron Price,89,+.097
88,T89,T89,Will MacKenzie,69,+.098
89,T89,T89,Vijay Singh,71,+.098
90,T91,T91,Brian Davis,103,+.100
91,T91,T91,Jim Furyk,86,+.100
92,93,93,Bill Haas,91,+.105
93,T94,T94,Daniel Chopra,89,+.108
94,T94,T94,Bob Estes,78,+.108
95,96,96,James Nitties,86,+.115
96,T97,T97,Rod Pampling,72,+.116
97,T97,T97,Nick Watney,86,+.116
98,T97,T97,Charlie Wi,92,+.116
99,T100,T100,J.J. Henry,97,+.120
100,T100,T100,Jeff Klauk,97,+.120
101,T100,T100,Kirk Triplett,60,+.120
102,T103,T103,Brett Quigley,92,+.121
103,T103,T103,Jeff Quinney,78,+.121
104,T103,T103,Brian Vranesh,51,+.121
105,106,106,Stewart Cink,79,+.122
106,107,107,Tim Herron,87,+.123
107,108,108,Brendon de Jonge,90,+.125
108,T109,T109,Richard Johnson,85,+.128
109,T109,T109,Bubba Watson,73,+.128
110,111,111,Kenny Perry,92,+.131
111,112,112,Carl Pettersson,86,+.132
112,113,113,Martin Laird,72,+.133
113,T114,T114,Scott Verplank,88,+.135
114,T114,T114,Casey Wittenberg,71,+.135
115,T116,T116,Jason Day,61,+.139
116,T116,T116,Lee Janzen,74,+.139
117,T116,T116,Davis Love III,89,+.139
118,T119,T119,Jason Gore,74,+.140
119,T119,T119,Ryuji Imada,85,+.140
120,121,121,Webb Simpson,94,+.141
121,T122,T122,Matt Bettencourt,98,+.143
122,T122,T122,Darron Stiles,52,+.143
123,124,124,John Rollins,92,+.146
124,125,125,Sergio Garcia,59,+.147
125,T126,T126,Mathew Goggin,76,+.148
126,T126,T126,Rick Price,54,+.148
127,128,128,John Senden,100,+.154
128,129,129,Phil Mickelson,66,+.156
129,130,130,Bo Van Pelt,100,+.161
130,131,131,Michael Allen,73,+.162
131,132,132,Mark Wilson,99,+.163
132,133,133,Steve Lowery,83,+.167
133,134,134,Andres Romero,58,+.171
134,135,135,Chris Stroud,88,+.174
135,136,136,Ryan Moore,89,+.176
136,137,137,Charley Hoffman,97,+.177
137,138,138,Kris Blanks,60,+.179
138,T139,T139,Freddie Jacobson,83,+.182
139,T139,T139,Dustin Johnson,85,+.182
140,T139,T139,Heath Slocum,95,+.182
141,142,142,John Merrick,91,+.184
142,T143,T143,Bart Bryant,58,+.185
143,T143,T143,Ian Poulter,59,+.185
144,T145,T145,Peter Lonard,86,+.189
145,T145,T145,Rory Sabbatini,81,+.189
146,147,147,Adam Scott,53,+.194
147,148,148,Derek Fathauer,63,+.196
148,T149,T149,Ricky Barnes,67,+.200
149,T149,T149,Steve Flesch,77,+.200
150,T149,T149,Johnson Wagner,81,+.200
151,152,152,Dean Wilson,81,+.209
152,153,153,Tim Clark,81,+.219
153,T154,T154,K.J. Choi,65,+.222
154,T154,T154,Cliff Kresge,78,+.222
