,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Tom Lehman,55,76.03,479,630,-85.0
1,2,2,D.J. Trahan,96,75.42,1086,1440,-276.0
2,3,3,Joe Durant,62,75.41,638,846,-134.0
3,4,4,Jonathan Byrd,89,75.39,1072,1422,-283.0
4,5,5,John Senden,100,75.35,1247,1655,-306.0
5,6,6,Briny Baird,89,75.23,975,1296,-223.0
6,7,7,Jay Williamson,69,75.05,770,1026,-141.0
7,8,8,Chad Campbell,90,74.88,957,1278,-232.0
8,9,9,David Toms,98,74.86,1078,1440,-272.0
9,10,10,Jason Bohn,88,74.66,1102,1476,-261.0
10,11,11,Greg Owen,97,74.53,1100,1476,-255.0
11,12,12,Robert Allenby,71,74.4,750,1008,-151.0
12,13,13,Stephen Ames,77,74.37,763,1026,-212.0
13,14,14,Patrick Sheehan,51,74.22,521,702,-120.0
14,15,15,Hunter Mahan,94,74.07,1000,1350,-279.0
15,16,16,Zach Johnson,94,74.05,1053,1422,-297.0
16,17,17,Sean O'Hair,80,74.04,773,1044,-200.0
17,18,18,Matt Jones,56,73.95,599,810,-158.0
18,19,19,Scott Sterling,51,73.89,532,720,-116.0
19,20,20,Kirk Triplett,60,73.84,731,990,-131.0
20,21,21,Charles Warren,63,73.79,704,954,-172.0
21,22,22,Justin Leonard,95,73.63,994,1350,-279.0
22,23,23,Tiger Woods,64,73.61,636,864,-212.0
23,24,24,Jeff Maggert,79,73.59,967,1314,-199.0
24,25,25,Robert Garrigus,83,73.53,953,1296,-225.0
25,26,26,Boo Weekley,79,73.5,860,1170,-204.0
26,27,27,Troy Matteson,95,73.36,1162,1584,-275.0
27,28,28,Michael Allen,73,73.18,764,1044,-184.0
28,29,29,Heath Slocum,95,73.14,1119,1530,-242.0
29,30,30,Tim Clark,81,72.88,774,1062,-221.0
30,31,31,Ricky Barnes,67,72.77,668,918,-123.0
31,32,32,Steve Elkington,70,72.76,812,1116,-190.0
32,T33,T33,Kevin Stadler,65,72.74,707,972,-162.0
33,T33,T33,Casey Wittenberg,71,72.74,707,972,-145.0
34,35,35,Chris Stroud,88,72.73,995,1368,-251.0
35,36,36,J.J. Henry,97,72.69,1099,1512,-246.0
36,37,37,Steve Marino,98,72.62,1098,1512,-277.0
37,38,38,Steve Flesch,77,72.57,823,1134,-159.0
38,39,39,Bryce Molder,69,72.53,705,972,-180.0
39,40,40,Steve Stricker,81,72.4,808,1116,-244.0
40,41,41,Rocco Mediate,79,72.39,860,1188,-187.0
41,42,42,Kenny Perry,92,72.37,951,1314,-253.0
42,T43,T43,K.J. Choi,65,72.22,650,900,-148.0
43,T43,T43,Ernie Els,70,72.22,702,972,-174.0
44,T43,T43,D.A. Points,99,72.22,1118,1548,-270.0
45,46,46,Nicholas Thompson,96,72.2,1130,1565,-264.0
46,47,47,Billy Mayfair,83,72.06,895,1242,-167.0
47,48,48,Rod Pampling,72,72.05,830,1152,-221.0
48,T49,T49,Bo Van Pelt,100,72.02,1063,1476,-291.0
49,T49,T49,Camilo Villegas,76,72.02,726,1008,-189.0
50,T51,T51,Sergio Garcia,59,71.97,570,792,-153.0
51,T51,T51,Spencer Levin,75,71.97,868,1206,-200.0
52,53,53,Tag Ridings,50,71.95,531,738,-149.0
53,54,54,Rich Beem,77,71.93,751,1044,-168.0
54,55,55,Davis Love III,89,71.86,996,1386,-248.0
55,56,56,Scott Verplank,88,71.8,1021,1422,-280.0
56,57,57,Tommy Armour III,58,71.79,672,936,-164.0
57,T58,T58,Martin Laird,72,71.77,801,1116,-219.0
58,T58,T58,Kevin Sutherland,96,71.77,943,1314,-241.0
59,60,60,Tim Petrovic,97,71.71,1110,1548,-287.0
60,61,61,Brett Quigley,92,71.7,968,1350,-221.0
61,62,62,Marc Leishman,91,71.69,1084,1512,-269.0
62,63,63,Chris Riley,77,71.64,864,1206,-235.0
63,64,64,Alex Cejka,82,71.6,915,1278,-213.0
64,65,65,Nick O'Hern,90,71.57,1095,1530,-254.0
65,66,66,Bill Lunde,83,71.56,966,1350,-214.0
66,67,67,Kevin Streelman,97,71.52,1120,1566,-296.0
67,68,68,Cameron Beckman,87,71.48,965,1350,-222.0
68,69,69,Brendon de Jonge,90,71.45,1016,1422,-239.0
69,70,70,Fred Couples,54,71.43,540,756,-146.0
70,71,71,Jeff Klauk,97,71.4,1131,1584,-254.0
71,T72,T72,Kris Blanks,60,71.39,604,846,-159.0
72,T72,T72,Ben Crane,93,71.39,1028,1440,-265.0
73,T72,T72,Rory Sabbatini,81,71.39,861,1206,-250.0
74,T75,T75,Scott Piercy,85,71.35,976,1368,-256.0
75,T75,T75,Ted Purdy,101,71.35,1143,1602,-297.0
76,77,77,Will MacKenzie,69,71.31,783,1098,-156.0
77,78,78,Bill Haas,91,71.27,1052,1476,-265.0
78,79,79,Charles Howell III,99,71.22,1064,1494,-266.0
79,80,80,Matt Weibring,65,71.21,705,990,-183.0
80,81,81,Jim Furyk,86,71.2,833,1170,-252.0
81,82,82,Andres Romero,58,71.19,551,774,-149.0
82,83,83,Nick Watney,86,71.16,871,1224,-249.0
83,84,84,Vijay Singh,71,71.13,653,918,-152.0
84,85,85,Chez Reavie,81,71.11,896,1260,-200.0
85,86,86,Jason Dufner,90,71.08,998,1404,-240.0
86,T87,T87,Glen Day,79,70.92,817,1152,-147.0
87,T87,T87,Dustin Johnson,85,70.92,817,1152,-245.0
88,89,89,Darron Stiles,52,70.9,536,756,-123.0
89,90,90,Mark Wilson,99,70.83,1122,1584,-275.0
90,91,91,Aron Price,89,70.71,980,1386,-204.0
91,92,92,Geoff Ogilvy,78,70.69,738,1044,-226.0
92,93,93,Charley Hoffman,97,70.63,1106,1566,-317.0
93,94,94,Jason Gore,74,70.61,788,1116,-159.0
94,T95,T95,Lucas Glover,93,70.6,1004,1422,-259.0
95,T95,T95,Paul Goydos,79,70.6,826,1170,-205.0
96,T95,T95,Rick Price,54,70.6,521,738,-93.0
97,98,98,Ryan Moore,89,70.52,952,1350,-257.0
98,99,99,Scott McCarron,91,70.37,1026,1458,-258.0
99,100,100,Y.E. Yang,83,70.32,886,1260,-225.0
100,101,101,Kent Jones,73,70.31,772,1098,-170.0
101,102,102,Justin Rose,71,70.27,721,1026,-179.0
102,103,103,John Merrick,91,70.26,860,1224,-218.0
103,104,104,Colt Knost,71,70.14,707,1008,-159.0
104,105,105,Johnson Wagner,81,70.12,934,1332,-224.0
105,106,106,Adam Scott,53,70.11,530,756,-121.0
106,107,107,Mark Calcavecchia,72,70.07,782,1116,-185.0
107,108,108,Greg Kraft,51,70.05,517,738,-83.0
108,109,109,Brandt Snedeker,81,70.0,819,1170,-227.0
109,T110,T110,Vaughn Taylor,88,69.97,995,1422,-272.0
110,T110,T110,Gary Woodland,53,69.97,466,666,-95.0
111,112,112,Ryan Palmer,78,69.92,881,1260,-216.0
112,113,113,Brian Vranesh,51,69.9,541,774,-108.0
113,114,114,Jarrod Lyle,65,69.89,629,900,-127.0
114,115,115,Woody Austin,84,69.88,956,1368,-237.0
115,T116,T116,Greg Chalmers,85,69.87,893,1278,-259.0
116,T116,T116,John Mallinger,90,69.87,893,1278,-235.0
117,118,118,Dean Wilson,81,69.84,880,1260,-248.0
118,119,119,John Rollins,92,69.76,992,1422,-238.0
119,120,120,Chris DiMarco,97,69.73,1092,1566,-247.0
120,121,121,Mathew Goggin,76,69.72,753,1080,-178.0
121,122,122,Peter Lonard,86,69.62,965,1386,-179.0
122,T123,T123,Jason Day,61,69.56,626,900,-174.0
123,T123,T123,Matt Kuchar,82,69.56,889,1278,-249.0
124,125,125,Bubba Watson,73,69.49,713,1026,-209.0
125,126,126,Jerry Kelly,90,69.48,963,1386,-262.0
126,127,127,Richard Johnson,85,69.37,924,1332,-194.0
127,128,128,Stuart Appleby,79,69.32,811,1170,-161.0
128,129,129,Mark Brooks,55,69.31,499,720,-103.0
129,130,130,Brian Davis,103,69.29,1135,1638,-315.0
130,131,131,Michael Letzig,96,69.25,1072,1548,-278.0
131,T132,T132,Bob Estes,78,69.24,860,1242,-222.0
132,T132,T132,Corey Pavin,73,69.24,673,972,-171.0
133,134,134,George McNeill,82,69.23,947,1368,-254.0
134,135,135,Jeff Quinney,78,69.17,884,1278,-222.0
135,136,136,Kevin Na,91,69.16,971,1404,-273.0
136,137,137,Stewart Cink,79,69.11,734,1062,-183.0
137,138,138,Tom Pernice Jr.,82,69.04,932,1350,-210.0
138,139,139,Charlie Wi,92,68.99,981,1422,-289.0
139,140,140,Steve Lowery,83,68.98,956,1386,-222.0
140,141,141,Freddie Jacobson,83,68.95,906,1314,-236.0
141,142,142,Harrison Frazar,93,68.92,1042,1512,-310.0
142,143,143,Pat Perez,74,68.91,769,1116,-214.0
143,144,144,Brad Adamonis,70,68.85,756,1098,-166.0
144,145,145,Bob Heintz,59,68.74,631,918,-174.0
145,146,146,Peter Tomasulo,61,68.6,568,828,-117.0
146,147,147,Matt Bettencourt,98,68.52,1073,1566,-258.0
147,148,148,Brian Gay,96,68.5,1011,1476,-263.0
148,149,149,Phil Mickelson,66,68.4,591,864,-178.0
149,150,150,Lee Janzen,74,68.31,750,1098,-189.0
150,151,151,Ian Poulter,59,68.25,516,756,-142.0
151,152,152,Tim Herron,87,68.24,995,1458,-250.0
152,T153,T153,Ken Duke,87,68.23,872,1278,-194.0
153,T153,T153,Marc Turnesa,77,68.23,872,1278,-159.0
154,T155,T155,Ben Curtis,63,68.2,577,846,-136.0
155,T155,T155,James Nitties,86,68.2,933,1368,-243.0
156,157,157,Brian Bateman,55,68.17,589,864,-117.0
157,158,158,Anthony Kim,76,68.15,736,1080,-240.0
158,159,159,Jimmy Walker,74,68.14,785,1152,-205.0
159,160,160,Cliff Kresge,78,68.08,821,1206,-184.0
160,161,161,Todd Hamilton,83,68.06,784,1152,-173.0
161,162,162,Mike Weir,85,67.99,820,1206,-229.0
162,163,163,Ángel Cabrera,55,67.98,465,684,-128.0
163,164,164,Daniel Chopra,89,67.74,1012,1494,-307.0
164,165,165,Carl Pettersson,86,67.64,901,1332,-235.0
165,166,166,Leif Olson,51,67.57,523,774,-118.0
166,167,167,Joe Ogilvie,85,67.53,936,1386,-262.0
167,168,168,Retief Goosen,74,67.46,680,1008,-200.0
168,169,169,Luke Donald,79,67.4,740,1098,-215.0
169,170,170,Nathan Green,104,67.39,1116,1656,-265.0
170,171,171,David Mathis,82,67.31,836,1242,-191.0
171,172,172,Webb Simpson,94,67.24,1053,1566,-269.0
172,173,173,Bart Bryant,58,67.2,629,936,-144.0
173,174,174,Jeff Overton,92,66.96,916,1368,-236.0
174,175,175,J.B. Holmes,74,66.76,733,1098,-173.0
175,176,176,Ryuji Imada,85,66.67,828,1242,-214.0
176,177,177,Padraig Harrington,66,66.2,572,864,-157.0
177,178,178,David Duval,56,65.91,522,792,-119.0
178,179,179,Brendon Todd,53,65.84,557,846,-105.0
179,180,180,Derek Fathauer,63,64.6,593,918,-129.0
180,181,181,Aaron Baddeley,66,64.27,671,1044,-200.0
181,182,182,Parker McLachlin,71,63.85,770,1206,-191.0
182,183,183,Eric Axley,71,61.11,649,1062,-154.0
183,184,184,Brad Faxon,59,58.33,546,936,-121.0
