,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,John Senden,100,70.89,1276,1800,-0.26
1,2,2,Jonathan Byrd,89,70.59,1080,1530,-0.29
2,3,3,Joe Durant,62,70.58,686,972,-0.24
3,4,4,Robert Garrigus,83,70.53,1003,1422,-0.26
4,5,5,Jay Williamson,69,70.49,774,1098,-0.19
5,6,6,Greg Owen,97,70.41,1128,1602,-0.24
6,7,7,D.J. Trahan,96,70.37,1216,1728,-0.26
7,8,8,Jason Bohn,88,69.63,1103,1584,-0.26
8,9,9,Chad Campbell,90,69.19,1071,1548,-0.25
9,T10,T10,Briny Baird,89,68.95,1055,1530,-0.24
10,T10,T10,Tom Lehman,55,68.95,633,918,-0.17
11,12,12,Chris Stroud,88,68.72,1039,1512,-0.27
12,13,13,Scott Sterling,51,68.6,531,774,-0.22
13,14,14,Charles Warren,63,68.52,703,1026,-0.25
14,15,15,Patrick Sheehan,51,68.48,530,774,-0.23
15,16,16,Tiger Woods,64,68.46,764,1116,-0.32
16,17,17,Rich Beem,77,68.44,850,1242,-0.24
17,18,18,Troy Matteson,95,68.38,1120,1638,-0.25
18,19,19,Hunter Mahan,94,68.36,1132,1656,-0.28
19,20,20,David Toms,98,68.32,1156,1692,-0.27
20,21,21,Steve Marino,98,68.26,1155,1692,-0.27
21,22,22,Jeff Maggert,79,68.21,970,1422,-0.21
22,23,23,Ricky Barnes,67,68.17,724,1062,-0.2
23,T24,T24,Robert Allenby,71,68.1,858,1260,-0.2
24,T24,T24,J.J. Henry,97,68.1,1140,1674,-0.23
25,26,26,Will MacKenzie,69,67.87,843,1242,-0.22
26,27,27,Sean O'Hair,80,67.84,928,1368,-0.27
27,28,28,Zach Johnson,94,67.81,1123,1656,-0.28
28,29,29,Kirk Triplett,60,67.78,732,1080,-0.21
29,30,30,Stephen Ames,77,67.7,914,1350,-0.3
30,31,31,Casey Wittenberg,71,67.64,767,1134,-0.22
31,32,32,Heath Slocum,95,67.58,1107,1638,-0.24
32,33,33,Steve Elkington,70,67.46,850,1260,-0.25
33,T34,T34,Bill Haas,91,67.37,1055,1566,-0.27
34,T34,T34,Spencer Levin,75,67.37,861,1278,-0.23
35,36,36,Kenny Perry,92,67.34,1103,1638,-0.26
36,37,37,Michael Allen,73,67.23,835,1242,-0.26
37,38,38,Matt Jones,56,67.22,605,900,-0.27
38,39,39,Marc Leishman,91,67.18,1052,1566,-0.27
39,40,40,Bryce Molder,69,67.12,737,1098,-0.26
40,41,41,Charles Howell III,99,67.09,1099,1638,-0.25
41,T42,T42,Fred Couples,54,67.08,652,972,-0.28
42,T42,T42,Nicholas Thompson,96,67.08,1135,1692,-0.25
43,44,44,Tommy Armour III,58,67.05,700,1044,-0.25
44,45,45,Justin Leonard,95,67.03,1098,1638,-0.29
45,46,46,Bill Lunde,83,67.01,977,1458,-0.24
46,47,47,Scott Verplank,88,67.0,1013,1512,-0.28
47,48,48,Tim Clark,81,66.95,940,1404,-0.29
48,49,49,Jason Dufner,90,66.93,1036,1548,-0.26
49,50,50,Davis Love III,89,66.92,1048,1566,-0.25
50,51,51,Kevin Stadler,65,66.86,686,1026,-0.25
51,52,52,Boo Weekley,79,66.81,926,1386,-0.23
52,53,53,Charley Hoffman,97,66.78,1166,1746,-0.3
53,T54,T54,Nick O'Hern,90,66.73,1033,1548,-0.25
54,T54,T54,Kevin Sutherland,96,66.73,1141,1710,-0.26
55,T54,T54,Bo Van Pelt,100,66.73,1105,1656,-0.29
56,T57,T57,Brendon de Jonge,90,66.67,1032,1548,-0.26
57,T57,T57,Steve Flesch,77,66.67,924,1386,-0.23
58,T57,T57,Steve Stricker,81,66.67,948,1422,-0.3
59,T57,T57,Camilo Villegas,76,66.67,876,1314,-0.27
60,61,61,Kevin Streelman,97,66.61,1115,1674,-0.27
61,62,62,Glen Day,79,66.59,851,1278,-0.2
62,63,63,Alex Cejka,82,66.52,922,1386,-0.25
63,64,64,Mark Wilson,99,66.49,1137,1710,-0.26
64,65,65,Tag Ridings,50,66.41,526,792,-0.29
65,66,66,Jeff Klauk,97,66.37,1135,1710,-0.25
66,67,67,Martin Laird,72,66.35,836,1260,-0.29
67,68,68,Billy Mayfair,83,66.33,991,1494,-0.2
68,69,69,Rick Price,54,66.32,573,864,-0.21
69,70,70,Kris Blanks,60,66.26,644,972,-0.29
70,T71,T71,D.A. Points,99,66.25,1109,1674,-0.26
71,T71,T71,Ted Purdy,101,66.25,1109,1674,-0.28
72,73,73,Colt Knost,71,66.23,751,1134,-0.25
