,GIR_Percentage_-_100_yards_RANK THIS WEEK,GIR_Percentage_-_100_yards_RANK LAST WEEK,GIR_Percentage_-_100_yards_PLAYER NAME,GIR_Percentage_-_100_yards_ROUNDS,GIR_Percentage_-_100_yards_%,GIR_Percentage_-_100_yards_GREENS HIT,GIR_Percentage_-_100_yards_TOTAL HOLES,GIR_Percentage_-_100_yards_RELATIVE TO PAR
0,1,1,Tom Lehman,55,68.69,373,543,-0.16
1,2,2,John Senden,100,67.63,909,1344,-0.15
2,3,3,Joe Durant,62,67.36,454,674,-0.17
3,4,4,Jay Williamson,69,67.23,560,833,-0.12
4,5,5,Greg Owen,97,67.18,786,1170,-0.14
5,6,6,Patrick Sheehan,51,67.13,390,581,-0.15
6,7,7,D.J. Trahan,96,67.11,757,1128,-0.16
7,8,8,Robert Allenby,71,66.67,570,855,-0.13
8,9,9,Robert Garrigus,83,66.47,684,1029,-0.17
9,10,10,Jason Bohn,88,66.31,805,1214,-0.2
10,11,11,Chad Campbell,90,66.24,671,1013,-0.19
11,12,12,Briny Baird,89,66.1,702,1062,-0.17
12,13,13,Scott Sterling,51,65.85,403,612,-0.19
13,14,14,J.J. Henry,97,65.82,828,1258,-0.16
14,15,15,Troy Matteson,95,65.5,826,1261,-0.16
15,16,16,Steve Marino,98,65.45,792,1210,-0.18
16,17,17,Zach Johnson,94,65.35,762,1166,-0.2
17,18,18,David Toms,98,65.28,767,1175,-0.2
18,19,19,Jonathan Byrd,89,65.24,717,1099,-0.18
19,20,20,Rich Beem,77,64.86,539,831,-0.15
20,21,21,Ricky Barnes,67,64.78,482,744,-0.11
21,22,22,Kevin Streelman,97,64.53,815,1263,-0.2
22,23,23,Matt Jones,56,64.45,397,616,-0.15
23,24,24,Steve Elkington,70,64.44,580,900,-0.16
24,25,25,Bryce Molder,69,64.42,525,815,-0.19
25,26,26,Chris Stroud,88,64.41,704,1093,-0.16
26,27,27,Tiger Woods,64,64.38,441,685,-0.23
27,28,28,Rod Pampling,72,64.34,599,931,-0.19
28,29,29,Camilo Villegas,76,64.26,507,789,-0.16
29,30,30,Hunter Mahan,94,64.23,693,1079,-0.21
30,31,31,Stephen Ames,77,64.22,533,830,-0.18
31,32,32,Justin Leonard,95,64.21,696,1084,-0.22
32,33,33,Charles Warren,63,64.17,471,734,-0.13
33,34,34,Kevin Stadler,65,64.09,498,777,-0.16
34,35,35,Michael Allen,73,64.02,541,845,-0.19
35,T36,T36,Billy Mayfair,83,64.0,640,1000,-0.12
36,T36,T36,Heath Slocum,95,64.0,791,1236,-0.16
37,38,38,Steve Flesch,77,63.99,606,947,-0.14
38,39,39,Fred Couples,54,63.77,382,599,-0.19
39,T40,T40,Jeff Maggert,79,63.75,663,1040,-0.15
40,T40,T40,Scott Verplank,88,63.75,737,1156,-0.21
41,42,42,Jason Dufner,90,63.67,736,1156,-0.17
42,43,43,Charles Howell III,99,63.51,757,1192,-0.17
43,44,44,Sergio Garcia,59,63.46,396,624,-0.19
44,45,45,Marc Leishman,91,63.45,757,1193,-0.19
45,46,46,Tommy Armour III,58,63.28,474,749,-0.19
46,47,47,Casey Wittenberg,71,63.24,480,759,-0.16
47,T48,T48,Richard Johnson,85,63.2,711,1125,-0.18
48,T48,T48,Spencer Levin,75,63.2,625,989,-0.18
49,50,50,K.J. Choi,65,63.15,449,711,-0.17
50,51,51,Jason Gore,74,63.07,555,880,-0.13
51,52,52,Y.E. Yang,83,62.97,653,1037,-0.16
52,T53,T53,Kris Blanks,60,62.91,419,666,-0.21
53,T53,T53,Ryan Moore,89,62.91,675,1073,-0.19
54,T53,T53,Brett Quigley,92,62.91,692,1100,-0.16
55,T56,T56,Tim Clark,81,62.87,547,870,-0.24
56,T56,T56,Sean O'Hair,80,62.87,513,816,-0.17
57,58,58,Scott McCarron,91,62.84,739,1176,-0.18
58,59,59,Jim Furyk,86,62.78,609,970,-0.23
59,60,60,Mark Wilson,99,62.77,821,1308,-0.18
60,61,61,Nick O'Hern,90,62.73,813,1296,-0.19
61,62,62,Rocco Mediate,79,62.72,604,963,-0.16
62,63,63,Jeff Klauk,97,62.69,820,1308,-0.18
63,64,64,Ted Purdy,101,62.65,785,1253,-0.19
64,65,65,Nicholas Thompson,96,62.63,756,1207,-0.14
65,T66,T66,Kent Jones,73,62.61,571,912,-0.17
66,T66,T66,Bill Lunde,83,62.61,685,1094,-0.17
67,T68,T68,Glen Day,79,62.58,587,938,-0.12
68,T68,T68,Colt Knost,71,62.58,520,831,-0.18
69,70,70,Alex Cejka,82,62.56,645,1031,-0.15
