,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,David Toms,98,"36' 0""",114,4104.333,+5.00
1,2,2,Justin Leonard,95,"36' 1""",110,3969.75,+3.00
2,3,3,Charlie Wi,92,"36' 4""",115,4178.667,+7.00
3,T4,T4,Robert Garrigus,83,"36' 9""",180,6611.9169999999995,+9.00
4,T4,T4,Dustin Johnson,85,"36' 9""",141,5182.333,+2.00
5,6,6,Greg Chalmers,85,"37' 4""",148,5528.9169999999995,+1.00
6,7,7,Sergio Garcia,59,"37' 5""",85,3178.917,E
7,8,8,Jason Bohn,88,"37' 7""",122,4581.083,+11.00
8,9,9,Boo Weekley,79,"37' 8""",99,3730.75,+4.00
9,10,10,Sean O'Hair,80,"37' 9""",104,3924.333,-1.00
10,T11,T11,Rocco Mediate,79,"37' 10""",123,4655.917,+4.00
11,T11,T11,Adam Scott,53,"37' 10""",82,3100.417,+13.00
12,13,13,Kevin Sutherland,96,"38' 0""",114,4330.5,+11.00
13,14,14,Chris DiMarco,97,"38' 2""",162,6182.8330000000005,+15.00
14,15,15,Rich Beem,77,"38' 3""",108,4131.25,+12.00
15,T16,T16,Luke Donald,79,"38' 7""",107,4127.667,+11.00
16,T16,T16,Nick O'Hern,90,"38' 7""",105,4050.917,+1.00
17,T18,T18,Steve Flesch,77,"38' 8""",82,3168.167,+12.00
18,T18,T18,Rod Pampling,72,"38' 8""",100,3869.25,+18.00
19,T20,T20,Daniel Chopra,89,"38' 10""",154,5984.9169999999995,+5.00
20,T20,T20,Michael Letzig,96,"38' 10""",184,7147.5,+7.00
21,T22,T22,Harrison Frazar,93,"38' 11""",215,8363.667,+6.00
22,T22,T22,Will MacKenzie,69,"38' 11""",105,4089.667,+12.00
23,24,24,Todd Hamilton,83,"39' 1""",134,5234.25,+18.00
24,25,25,Glen Day,79,"39' 4""",94,3697.333,+8.00
25,T26,T26,Retief Goosen,74,"39' 5""",101,3981.667,+1.00
26,T26,T26,Anthony Kim,76,"39' 5""",141,5562.9169999999995,+8.00
27,T26,T26,Joe Ogilvie,85,"39' 5""",147,5795.25,+13.00
28,T29,T29,Geoff Ogilvy,78,"39' 6""",119,4703.5,+12.00
29,T29,T29,Webb Simpson,94,"39' 6""",146,5772.0830000000005,+29.00
30,T29,T29,Jay Williamson,69,"39' 6""",89,3516.583,+12.00
31,T32,T32,Chad Campbell,90,"39' 8""",144,5714.5830000000005,+20.00
32,T32,T32,Bob Estes,78,"39' 8""",122,4840.917,+13.00
33,T32,T32,Ted Purdy,101,"39' 8""",165,6549.0,+14.00
