,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Darron Stiles,52,159.4,4321731.0,753
1,2,2,Tommy Armour III,58,159.6,5362003.0,933
2,3,3,Scott Sterling,51,159.7,4110992.0,715
3,4,4,Greg Kraft,51,159.8,4215994.0,733
4,5,5,Tim Clark,81,159.9,6085569.0,1057
5,6,6,Fred Couples,54,160.2,4341532.0,753
6,T7,T7,Glen Day,79,160.3,6623631.0,1148
7,T7,T7,Joe Durant,62,160.3,4831589.0,837
8,T7,T7,Kevin Stadler,65,160.3,5581941.0,967
9,10,10,Colt Knost,71,160.4,5779752.0,1001
10,11,11,Bob Heintz,59,160.5,5268907.0,912
11,12,12,Kris Blanks,60,160.6,4874539.0,843
12,T13,T13,Mark Brooks,55,160.9,4152503.0,717
13,T13,T13,Jarrod Lyle,65,160.9,5179642.0,894
14,15,15,Derek Fathauer,63,161.2,5280837.0,910
15,16,16,Jay Williamson,69,161.3,5918424.0,1019
16,17,17,Brendon Todd,53,161.4,4857517.0,836
17,18,18,Patrick Sheehan,51,161.5,4064980.0,699
18,T19,T19,Justin Leonard,95,161.7,7823755.0,1344
19,T19,T19,Heath Slocum,95,161.7,8872249.0,1524
20,T21,T21,Joe Ogilvie,85,161.8,8037816.0,1380
21,T21,T21,Chez Reavie,81,161.8,7310887.0,1255
22,23,23,Peter Lonard,86,162.1,8053787.0,1380
23,T24,T24,Ken Duke,87,162.2,7410849.0,1269
24,T24,T24,Jeff Quinney,78,162.2,7414963.0,1270
25,T24,T24,Kirk Triplett,60,162.2,5764873.0,987
26,T24,T24,Mike Weir,85,162.2,6995934.0,1198
27,28,28,Brian Bateman,55,162.3,5023954.0,860
28,T29,T29,Eric Axley,71,162.4,6133552.0,1049
29,T29,T29,Jason Bohn,88,162.4,8581627.0,1468
30,T29,T29,Todd Hamilton,83,162.4,6701238.0,1146
31,T29,T29,Bryce Molder,69,162.4,5659876.0,968
32,T33,T33,Daniel Chopra,89,162.5,8674145.0,1483
33,T33,T33,Troy Matteson,95,162.5,9182837.0,1570
34,T33,T33,Leif Olson,51,162.5,4486584.0,767
35,T33,T33,Webb Simpson,94,162.5,9091925.0,1554
36,T37,T37,Brad Adamonis,70,162.6,6398261.0,1093
37,T37,T37,Matt Weibring,65,162.6,5776643.0,987
38,T39,T39,Stewart Cink,79,162.7,6180892.0,1055
39,T39,T39,Brian Gay,96,162.7,8594097.0,1467
40,T41,T41,Chris DiMarco,97,162.8,9123115.0,1557
41,T41,T41,Tim Herron,87,162.8,8502758.0,1451
42,T41,T41,Lee Janzen,74,162.8,6394983.0,1091
43,T41,T41,Jeff Maggert,79,162.8,7661813.0,1307
44,T45,T45,Dustin Johnson,85,162.9,6690621.0,1141
45,T45,T45,Vijay Singh,71,162.9,5352943.0,913
46,T45,T45,Dean Wilson,81,162.9,7342038.0,1252
47,T48,T48,Kent Jones,73,163.0,6418975.0,1094
48,T48,T48,Aron Price,89,163.0,8098700.0,1380
49,T50,T50,Michael Allen,73,163.2,6103377.0,1039
50,T50,T50,Brandt Snedeker,81,163.2,6833647.0,1163
51,T50,T50,Casey Wittenberg,71,163.2,5680765.0,967
52,T53,T53,K.J. Choi,65,163.3,5274206.0,897
53,T53,T53,Harrison Frazar,93,163.3,8835703.0,1503
54,T53,T53,Cliff Kresge,78,163.3,7076215.0,1204
55,56,56,Bob Estes,78,163.4,7265140.0,1235
56,T57,T57,Matt Jones,56,163.5,4748941.0,807
57,T57,T57,Rocco Mediate,79,163.5,6956434.0,1182
58,59,59,Jason Gore,74,163.7,6548145.0,1111
59,T60,T60,Parker McLachlin,71,163.8,7051950.0,1196
60,T60,T60,Kenny Perry,92,163.8,7724588.0,1310
61,T62,T62,Luke Donald,79,163.9,6438222.0,1091
62,T62,T62,Steve Flesch,77,163.9,6661000.0,1129
63,T62,T62,David Mathis,82,163.9,7285362.0,1235
64,T62,T62,John Merrick,91,163.9,7152302.0,1212
65,T62,T62,Geoff Ogilvy,78,163.9,6131684.0,1039
66,T67,T67,Richard Johnson,85,164.1,7855252.0,1330
67,T67,T67,Steve Marino,98,164.1,8883172.0,1504
68,T67,T67,Steve Stricker,81,164.1,6556436.0,1110
69,T70,T70,John Mallinger,90,164.2,7464228.0,1263
70,T70,T70,David Toms,98,164.2,8501810.0,1438
71,T72,T72,Steve Elkington,70,164.3,6564027.0,1110
72,T72,T72,Tom Lehman,55,164.3,3720898.0,629
73,T72,T72,Kevin Streelman,97,164.3,9208186.0,1557
74,T75,T75,Bart Bryant,58,164.6,5535269.0,934
75,T75,T75,Brian Davis,103,164.6,9635381.0,1626
76,T75,T75,Brad Faxon,59,164.6,5498502.0,928
77,T75,T75,Matt Kuchar,82,164.6,7542717.0,1273
78,T75,T75,Nick O'Hern,90,164.6,9007778.0,1520
79,80,80,Retief Goosen,74,164.7,5945737.0,1003
80,T81,T81,Rick Price,54,164.8,4354171.0,734
81,T81,T81,Brett Quigley,92,164.8,7991892.0,1347
82,T81,T81,Marc Turnesa,77,164.8,7550709.0,1273
83,T81,T81,Brian Vranesh,51,164.8,4581414.0,772
84,T81,T81,Mark Wilson,99,164.8,9370098.0,1579
85,T86,T86,Cameron Beckman,87,164.9,7966554.0,1342
86,T86,T86,Alex Cejka,82,164.9,7535373.0,1269
87,T88,T88,Stephen Ames,77,165.0,6057074.0,1020
88,T88,T88,Aaron Baddeley,66,165.0,6123313.0,1031
89,T88,T88,Rich Beem,77,165.0,6158886.0,1037
90,T88,T88,Rod Pampling,72,165.0,6805539.0,1146
91,T88,T88,Vaughn Taylor,88,165.0,8371895.0,1409
92,T93,T93,Jason Day,61,165.1,5313446.0,894
93,T93,T93,Gary Woodland,53,165.1,3935002.0,662
94,T95,T95,Ben Crane,93,165.2,8521721.0,1433
95,T95,T95,Ryuji Imada,85,165.2,7356406.0,1237
96,T95,T95,Michael Letzig,96,165.2,9144263.0,1538
97,T95,T95,Chris Riley,77,165.2,7101781.0,1194
98,T95,T95,Charlie Wi,92,165.2,8399578.0,1412
99,T100,T100,Charles Howell III,99,165.3,8805088.0,1480
100,T100,T100,Marc Leishman,91,165.3,8960113.0,1506
101,T100,T100,Chris Stroud,88,165.3,8110714.0,1363
102,103,103,Spencer Levin,75,165.4,7137721.0,1199
103,T104,T104,Matt Bettencourt,98,165.5,9281438.0,1558
104,T104,T104,Carl Pettersson,86,165.5,7830231.0,1314
105,106,106,Jeff Klauk,97,165.6,9418294.0,1580
106,T107,T107,Ricky Barnes,67,165.7,5423212.0,909
107,T107,T107,Paul Goydos,79,165.7,6948156.0,1165
108,T107,T107,J.B. Holmes,74,165.7,6513989.0,1092
109,T107,T107,Zach Johnson,94,165.7,8445080.0,1416
110,T111,T111,Woody Austin,84,165.8,8122063.0,1361
111,T111,T111,Briny Baird,89,165.8,7705188.0,1291
112,T111,T111,Jason Dufner,90,165.8,8327515.0,1395
113,T111,T111,Jim Furyk,86,165.8,6936558.0,1162
114,T111,T111,Ted Purdy,101,165.8,9486240.0,1589
115,T111,T111,Tag Ridings,50,165.8,4375330.0,733
116,117,117,Anthony Kim,76,165.9,6422022.0,1075
117,T118,T118,Chad Campbell,90,166.0,7602906.0,1272
118,T118,T118,Lucas Glover,93,166.0,8423841.0,1410
119,T118,T118,Bubba Watson,73,166.0,6113850.0,1023
120,T121,T121,Stuart Appleby,79,166.1,6958647.0,1164
121,T121,T121,Greg Chalmers,85,166.1,7577163.0,1267
122,T121,T121,Bill Haas,91,166.1,8775516.0,1468
123,T121,T121,Jeff Overton,92,166.1,8133571.0,1360
124,T121,T121,Corey Pavin,73,166.1,5807793.0,971
125,T126,T126,Billy Mayfair,83,166.2,7408693.0,1238
126,T126,T126,Tom Pernice Jr.,82,166.2,8030555.0,1342
127,T126,T126,Kevin Sutherland,96,166.2,7850943.0,1312
128,T129,T129,Bill Lunde,83,166.3,8038453.0,1343
129,T129,T129,Will MacKenzie,69,166.3,6494435.0,1085
130,T129,T129,Ian Poulter,59,166.3,4520222.0,755
131,T132,T132,Sergio Garcia,59,166.4,4731457.0,790
132,T132,T132,Freddie Jacobson,83,166.4,7819095.0,1305
133,T132,T132,Steve Lowery,83,166.4,8246930.0,1377
134,T132,T132,Pat Perez,74,166.4,6656400.0,1111
135,T132,T132,John Rollins,92,166.4,8448326.0,1410
136,T132,T132,Peter Tomasulo,61,166.4,4905553.0,819
137,T132,T132,Scott Verplank,88,166.4,8488140.0,1417
138,T139,T139,James Nitties,86,166.6,8133729.0,1356
139,T139,T139,Boo Weekley,79,166.6,6992868.0,1166
140,T141,T141,Davis Love III,89,166.7,8306094.0,1384
141,T141,T141,Justin Rose,71,166.7,6103960.0,1017
142,T141,T141,Nicholas Thompson,96,166.7,9342879.0,1557
143,T144,T144,J.J. Henry,97,166.8,9038079.0,1505
144,T144,T144,Jerry Kelly,90,166.8,8275162.0,1378
145,T144,T144,Scott Piercy,85,166.8,8164345.0,1360
146,T147,T147,Adam Scott,53,166.9,4524470.0,753
147,T147,T147,Bo Van Pelt,100,166.9,8824066.0,1469
148,149,149,Greg Owen,97,167.0,8814669.0,1466
149,T150,T150,Ben Curtis,63,167.1,5069936.0,843
150,T150,T150,David Duval,56,167.1,4710812.0,783
151,T150,T150,Tim Petrovic,97,167.1,9256764.0,1539
152,T153,T153,Mark Calcavecchia,72,167.2,6640653.0,1103
153,T153,T153,Robert Garrigus,83,167.2,7711939.0,1281
154,T153,T153,George McNeill,82,167.2,8200516.0,1362
155,T153,T153,John Senden,100,167.2,9913925.0,1647
156,T157,T157,Brendon de Jonge,90,167.3,8494060.0,1410
157,T157,T157,Camilo Villegas,76,167.3,6029138.0,1001
158,159,159,Ryan Palmer,78,167.4,7529018.0,1249
159,T160,T160,Sean O'Hair,80,167.7,6272396.0,1039
160,T160,T160,Jimmy Walker,74,167.7,6898728.0,1143
161,T160,T160,Charles Warren,63,167.7,5730284.0,949
162,T163,T163,Charley Hoffman,97,167.8,9370605.0,1551
163,T163,T163,Phil Mickelson,66,167.8,5182480.0,858
164,165,165,Padraig Harrington,66,167.9,5178693.0,857
165,166,166,Y.E. Yang,83,168.0,7568291.0,1251
166,T167,T167,Kevin Na,91,168.2,8457120.0,1397
167,T167,T167,D.A. Points,99,168.2,9332163.0,1541
168,169,169,Ángel Cabrera,55,168.3,4133210.0,682
169,T170,T170,Nathan Green,104,168.5,10018877.0,1652
170,T170,T170,Nick Watney,86,168.5,7382314.0,1217
171,172,172,Hunter Mahan,94,168.9,8182724.0,1346
172,173,173,Robert Allenby,71,169.0,6114633.0,1005
173,174,174,Rory Sabbatini,81,169.1,7311083.0,1201
174,175,175,Ernie Els,70,169.2,5907987.0,970
175,T176,T176,Martin Laird,72,169.3,6740443.0,1106
176,T176,T176,D.J. Trahan,96,169.3,8692873.0,1426
177,178,178,Johnson Wagner,81,169.5,8103403.0,1328
178,179,179,Scott McCarron,91,169.8,8803285.0,1440
179,180,180,Ryan Moore,89,169.9,8222108.0,1344
180,181,181,Andres Romero,58,170.1,4685794.0,765
181,182,182,Jonathan Byrd,89,170.5,8674606.0,1413
182,183,183,Mathew Goggin,76,170.6,6589638.0,1073
183,184,184,Tiger Woods,64,174.3,5388789.0,859
