,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Ángel Cabrera,55,"32' 9""",87,2849.917,+6.00
1,2,2,Sergio Garcia,59,"34' 7""",82,2838.5,+7.00
2,3,3,Harrison Frazar,93,"35' 10""",153,5486.6669999999995,+13.00
3,4,4,Fred Couples,54,"36' 0""",82,2949.167,-7.00
4,5,5,Y.E. Yang,83,"36' 2""",132,4771.167,+14.00
5,T6,T6,Bob Heintz,59,"36' 5""",84,3058.25,+5.00
6,T6,T6,Vijay Singh,71,"36' 5""",92,3352.167,+3.00
7,8,8,Robert Garrigus,83,"36' 9""",108,3968.917,+2.00
8,9,9,Kirk Triplett,60,"37' 4""",55,2055.333,+5.00
9,10,10,Jay Williamson,69,"37' 9""",71,2678.583,+15.00
10,11,11,Glen Day,79,"37' 10""",114,4314.417,+11.00
11,T12,T12,Chris DiMarco,97,"38' 0""",119,4517.333,+20.00
12,T12,T12,Joe Ogilvie,85,"38' 0""",171,6497.75,+9.00
13,T12,T12,Adam Scott,53,"38' 0""",86,3265.083,+6.00
14,15,15,Ken Duke,87,"38' 3""",108,4132.167,+7.00
15,T16,T16,Heath Slocum,95,"38' 4""",91,3491.333,+16.00
16,T16,T16,Casey Wittenberg,71,"38' 4""",91,3492.0,+20.00
17,T18,T18,Stephen Ames,77,"38' 7""",81,3123.167,+3.00
18,T18,T18,Paul Goydos,79,"38' 7""",69,2660.083,+11.00
19,20,20,Greg Chalmers,85,"38' 8""",93,3599.667,+9.00
20,21,21,Sean O'Hair,80,"38' 9""",123,4764.333,+7.00
21,22,22,Freddie Jacobson,83,"38' 10""",132,5127.167,+11.00
22,23,23,Bo Van Pelt,100,"38' 11""",107,4163.5,+17.00
23,24,24,Kevin Streelman,97,"39' 2""",128,5009.667,-6.00
24,T25,T25,Robert Allenby,71,"39' 3""",106,4160.0,E
25,T25,T25,Matt Kuchar,82,"39' 3""",110,4319.417,-4.00
26,T25,T25,Pat Perez,74,"39' 3""",93,3653.417,+21.00
27,T28,T28,Steve Flesch,77,"39' 5""",132,5208.417,+17.00
28,T28,T28,Andres Romero,58,"39' 5""",98,3860.333,+11.00
29,30,30,Geoff Ogilvy,78,"39' 6""",96,3793.083,E
30,T31,T31,Ben Crane,93,"39' 8""",118,4683.583,+4.00
31,T31,T31,Tom Lehman,55,"39' 8""",47,1863.25,+5.00
32,T31,T31,Kenny Perry,92,"39' 8""",123,4883.833,-1.00
33,T34,T34,Michael Letzig,96,"39' 9""",162,6434.4169999999995,+17.00
34,T34,T34,Patrick Sheehan,51,"39' 9""",55,2187.833,+10.00
35,T34,T34,Brandt Snedeker,81,"39' 9""",81,3221.417,+6.00
36,37,37,Anthony Kim,76,"40' 0""",115,4602.5,+6.00
37,38,38,Chris Stroud,88,"40' 1""",122,4885.083,+23.00
38,T39,T39,Luke Donald,79,"40' 3""",91,3660.75,+7.00
39,T39,T39,Scott Piercy,85,"40' 3""",120,4826.583,+1.00
40,41,41,Derek Fathauer,63,"40' 4""",92,3710.333,+17.00
41,42,42,Kevin Stadler,65,"40' 5""",94,3802.167,+3.00
42,43,43,Charles Howell III,99,"40' 6""",133,5385.1669999999995,-2.00
43,44,44,Troy Matteson,95,"40' 8""",128,5202.583,+8.00
44,T45,T45,Aaron Baddeley,66,"40' 9""",84,3421.5,+9.00
45,T45,T45,Charles Warren,63,"40' 9""",84,3422.833,+13.00
46,T47,T47,Matt Jones,56,"41' 0""",76,3117.667,+3.00
47,T47,T47,Davis Love III,89,"41' 0""",147,6032.4169999999995,+15.00
48,T47,T47,Carl Pettersson,86,"41' 0""",148,6071.9169999999995,+27.00
49,T47,T47,Ted Purdy,101,"41' 0""",139,5704.5,+18.00
50,T47,T47,Mark Wilson,99,"41' 0""",102,4182.583,+18.00
51,T52,T52,Jason Bohn,88,"41' 1""",105,4316.833,+11.00
52,T52,T52,Chad Campbell,90,"41' 1""",101,4152.083,+6.00
53,T54,T54,Jonathan Byrd,89,"41' 2""",122,5026.083,+12.00
54,T54,T54,Jarrod Lyle,65,"41' 2""",80,3291.25,+9.00
55,T54,T54,David Toms,98,"41' 2""",93,3832.0,+8.00
56,T54,T54,Matt Weibring,65,"41' 2""",97,3990.167,+24.00
57,T58,T58,Michael Allen,73,"41' 3""",91,3755.417,+16.00
58,T58,T58,Justin Rose,71,"41' 3""",82,3384.667,+8.00
59,T60,T60,Zach Johnson,94,"41' 4""",96,3971.083,+1.00
60,T60,T60,Bubba Watson,73,"41' 4""",137,5666.25,+16.00
61,62,62,Tag Ridings,50,"41' 5""",82,3396.083,+5.00
62,63,63,Greg Owen,97,"41' 6""",111,4604.5,+11.00
63,64,64,Brett Quigley,92,"41' 7""",159,6614.5,+16.00
64,T65,T65,Briny Baird,89,"41' 8""",124,5166.083,+21.00
65,T65,T65,Marc Leishman,91,"41' 8""",113,4712.083,+17.00
66,T65,T65,Jeff Maggert,79,"41' 8""",105,4377.083,+29.00
67,T65,T65,Tim Petrovic,97,"41' 8""",122,5086.167,+14.00
68,T65,T65,Rick Price,54,"41' 8""",63,2626.75,+8.00
69,T70,T70,Justin Leonard,95,"41' 9""",105,4385.0,+9.00
70,T70,T70,Bill Lunde,83,"41' 9""",102,4259.917,+15.00
71,T70,T70,Leif Olson,51,"41' 9""",90,3753.917,+17.00
72,T70,T70,Vaughn Taylor,88,"41' 9""",132,5513.6669999999995,+15.00
73,T74,T74,Ricky Barnes,67,"41' 10""",97,4055.417,+21.00
74,T74,T74,Kris Blanks,60,"41' 10""",64,2678.917,+6.00
75,T74,T74,Tim Clark,81,"41' 10""",78,3261.833,+14.00
76,T74,T74,Chez Reavie,81,"41' 10""",105,4395.583,+20.00
77,T74,T74,Jimmy Walker,74,"41' 10""",117,4898.0,+7.00
78,79,79,Boo Weekley,79,"41' 11""",96,4025.417,+15.00
79,T80,T80,Cliff Kresge,78,"42' 3""",120,5071.833,+12.00
80,T80,T80,John Mallinger,90,"42' 3""",109,4606.917,+16.00
81,T80,T80,Corey Pavin,73,"42' 3""",65,2743.75,+3.00
82,T83,T83,Ryuji Imada,85,"42' 4""",124,5249.25,+17.00
83,T83,T83,Parker McLachlin,71,"42' 4""",103,4361.167,+5.00
84,T83,T83,Webb Simpson,94,"42' 4""",172,7283.6669999999995,+9.00
85,T83,T83,Nick Watney,86,"42' 4""",147,6225.1669999999995,-2.00
86,T87,T87,Jason Dufner,90,"42' 6""",113,4801.167,+26.00
87,T87,T87,Joe Durant,62,"42' 6""",48,2040.5,+9.00
88,T89,T89,Rich Beem,77,"42' 8""",94,4008.083,+16.00
89,T89,T89,J.B. Holmes,74,"42' 8""",172,7337.4169999999995,+23.00
90,T89,T89,Spencer Levin,75,"42' 8""",126,5373.75,+12.00
91,T89,T89,Rocco Mediate,79,"42' 8""",116,4951.0,+1.00
92,T93,T93,Colt Knost,71,"42' 9""",72,3076.833,+17.00
93,T93,T93,Nicholas Thompson,96,"42' 9""",160,6844.25,+28.00
94,T95,T95,Tommy Armour III,58,"42' 10""",88,3770.333,+7.00
95,T95,T95,John Rollins,92,"42' 10""",130,5570.5830000000005,+26.00
96,T97,T97,Padraig Harrington,66,"43' 1""",95,4095.833,+12.00
97,T97,T97,Kevin Na,91,"43' 1""",151,6507.1669999999995,+22.00
98,T99,T99,Tim Herron,87,"43' 3""",155,6705.0830000000005,+28.00
99,T99,T99,Ryan Palmer,78,"43' 3""",120,5192.833,+27.00
100,T99,T99,D.J. Trahan,96,"43' 3""",120,5191.0,+27.00
101,102,102,Dustin Johnson,85,"43' 4""",114,4936.917,+6.00
102,T103,T103,Martin Laird,72,"43' 6""",94,4086.667,+10.00
103,T103,T103,Will MacKenzie,69,"43' 6""",90,3913.0,+14.00
104,T105,T105,Jason Gore,74,"43' 7""",112,4878.0,+10.00
105,T105,T105,John Senden,100,"43' 7""",173,7544.3330000000005,+29.00
106,T105,T105,Scott Sterling,51,"43' 7""",58,2529.333,+7.00
107,T108,T108,Daniel Chopra,89,"43' 8""",183,7986.6669999999995,+35.00
108,T108,T108,David Mathis,82,"43' 8""",124,5410.5,+21.00
109,T108,T108,Phil Mickelson,66,"43' 8""",109,4757.583,+14.00
110,111,111,Gary Woodland,53,"43' 11""",79,3471.083,+31.00
111,112,112,James Nitties,86,"44' 0""",110,4835.75,+25.00
112,T113,T113,Brian Gay,96,"44' 1""",90,3966.667,+11.00
113,T113,T113,Bill Haas,91,"44' 1""",150,6617.5,+8.00
114,T115,T115,David Duval,56,"44' 2""",113,4987.167,+34.00
115,T115,T115,Steve Elkington,70,"44' 2""",103,4552.667,+27.00
116,T117,T117,Brian Davis,103,"44' 3""",141,6242.0830000000005,+14.00
117,T117,T117,Lucas Glover,93,"44' 3""",123,5438.6669999999995,+12.00
118,T119,T119,K.J. Choi,65,"44' 5""",90,3995.833,+19.00
119,T119,T119,Nathan Green,104,"44' 5""",177,7856.75,+11.00
120,T119,T119,Jeff Klauk,97,"44' 5""",120,5330.0830000000005,+16.00
121,T119,T119,Darron Stiles,52,"44' 5""",42,1867.0829999999999,+9.00
122,123,123,Steve Stricker,81,"44' 6""",116,5165.0,-11.00
123,T124,T124,Brad Adamonis,70,"44' 7""",111,4953.083,+22.00
124,T124,T124,Woody Austin,84,"44' 7""",111,4948.25,+16.00
125,T124,T124,Charley Hoffman,97,"44' 7""",160,7134.25,+9.00
126,T124,T124,George McNeill,82,"44' 7""",126,5620.9169999999995,+16.00
127,T124,T124,Ryan Moore,89,"44' 7""",121,5390.25,+15.00
128,T129,T129,Retief Goosen,74,"44' 9""",103,4608.0,+13.00
129,T129,T129,Kent Jones,73,"44' 9""",62,2776.417,+12.00
130,T129,T129,Steve Marino,98,"44' 9""",134,5994.1669999999995,+1.00
131,132,132,Mark Calcavecchia,72,"44' 10""",98,4394.333,+18.00
132,133,133,Jim Furyk,86,"44' 11""",88,3951.75,+17.00
133,T134,T134,Stewart Cink,79,"45' 1""",109,4913.333,+22.00
134,T134,T134,John Merrick,91,"45' 1""",92,4147.083,+17.00
135,T136,T136,Matt Bettencourt,98,"45' 3""",170,7686.5830000000005,+41.00
136,T136,T136,Jerry Kelly,90,"45' 3""",145,6565.1669999999995,+15.00
137,T136,T136,Steve Lowery,83,"45' 3""",116,5245.25,+26.00
138,T136,T136,Rory Sabbatini,81,"45' 3""",96,4345.333,+12.00
139,T136,T136,Tiger Woods,64,"45' 3""",60,2714.917,-4.00
140,141,141,D.A. Points,99,"45' 4""",118,5352.1669999999995,+23.00
141,142,142,Dean Wilson,81,"45' 6""",126,5733.6669999999995,+33.00
142,143,143,Ernie Els,70,"45' 7""",91,4144.417,+11.00
143,T144,T144,Brendon Todd,53,"45' 8""",81,3701.75,+21.00
144,T144,T144,Johnson Wagner,81,"45' 8""",132,6028.25,+19.00
145,146,146,Brad Faxon,59,"45' 9""",113,5171.083,+31.00
146,147,147,J.J. Henry,97,"45' 10""",130,5960.8330000000005,+22.00
147,T148,T148,Bob Estes,78,"46' 1""",83,3824.917,+15.00
148,T148,T148,Greg Kraft,51,"46' 1""",86,3961.917,+19.00
149,T148,T148,Nick O'Hern,90,"46' 1""",125,5758.6669999999995,+25.00
150,T151,T151,Lee Janzen,74,"46' 2""",92,4249.667,+17.00
151,T151,T151,Chris Riley,77,"46' 2""",64,2952.25,+5.00
152,153,153,Mike Weir,85,"46' 3""",92,4258.083,+10.00
153,154,154,Marc Turnesa,77,"46' 6""",136,6321.1669999999995,+30.00
154,155,155,Mark Brooks,55,"46' 7""",46,2141.333,+8.00
155,156,156,Jeff Quinney,78,"46' 8""",105,4895.667,+19.00
156,T157,T157,Mathew Goggin,76,"46' 10""",97,4539.583,+15.00
157,T157,T157,Jeff Overton,92,"46' 10""",165,7722.6669999999995,+19.00
158,159,159,Ian Poulter,59,"46' 11""",62,2908.0,+11.00
159,160,160,Billy Mayfair,83,"47' 0""",74,3479.0,+23.00
160,T161,T161,Bart Bryant,58,"47' 1""",64,3013.75,+14.00
161,T161,T161,Peter Tomasulo,61,"47' 1""",91,4285.5,+16.00
162,163,163,Aron Price,89,"47' 3""",112,5291.5,+19.00
163,T164,T164,Ben Curtis,63,"47' 4""",81,3831.5,E
164,T164,T164,Brian Vranesh,51,"47' 4""",65,3079.333,+11.00
165,166,166,Brian Bateman,55,"47' 5""",81,3839.417,+17.00
166,T167,T167,Eric Axley,71,"47' 7""",135,6422.5830000000005,+41.00
167,T167,T167,Tom Pernice Jr.,82,"47' 7""",138,6561.3330000000005,+11.00
168,T169,T169,Stuart Appleby,79,"48' 0""",122,5856.75,+15.00
169,T169,T169,Cameron Beckman,87,"48' 0""",134,6432.6669999999995,+9.00
170,171,171,Richard Johnson,85,"48' 2""",131,6306.0830000000005,+21.00
171,172,172,Peter Lonard,86,"48' 4""",114,5506.0,+33.00
172,173,173,Alex Cejka,82,"48' 6""",94,4557.833,+16.00
173,174,174,Camilo Villegas,76,"48' 9""",93,4535.167,+7.00
174,175,175,Charlie Wi,92,"48' 10""",137,6687.75,+16.00
175,176,176,Hunter Mahan,94,"49' 2""",102,5016.833,+20.00
176,177,177,Jason Day,61,"49' 5""",88,4349.333,+9.00
177,178,178,Brendon de Jonge,90,"49' 6""",115,5693.9169999999995,+18.00
178,179,179,Scott Verplank,88,"49' 9""",82,4080.417,+14.00
179,180,180,Scott McCarron,91,"50' 1""",87,4355.75,+11.00
180,181,181,Rod Pampling,72,"50' 4""",110,5535.5830000000005,+22.00
181,182,182,Kevin Sutherland,96,"51' 5""",119,6114.0,+19.00
182,183,183,Todd Hamilton,83,"51' 7""",86,4433.5,+25.00
183,184,184,Bryce Molder,69,"52' 2""",54,2818.083,+7.00
