,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Steve Stricker,81,"12' 5""",1430.5829999999999,115,-0.39
1,T2,T2,Greg Chalmers,85,"13' 6""",1173.75,87,-0.18
2,T2,T2,Padraig Harrington,66,"13' 6""",729.9169999999999,54,-0.09
3,4,4,Justin Leonard,95,"13' 8""",1678.9170000000001,123,-0.21
4,T5,T5,Nick O'Hern,90,"13' 9""",1511.3329999999999,110,-0.25
5,T5,T5,Tiger Woods,64,"13' 9""",578.4169999999999,42,-0.26
6,7,7,Sergio Garcia,59,"14' 1""",646.0,46,-0.33
7,8,8,Bob Estes,78,"14' 3""",1212.167,85,-0.15
8,9,9,Bill Haas,91,"14' 4""",1548.6670000000001,108,-0.23
9,10,10,Brian Gay,96,"14' 5""",2228.75,155,-0.18
10,11,11,Paul Goydos,79,"14' 6""",1550.5829999999999,107,-0.21
11,T12,T12,John Merrick,91,"14' 7""",1149.0,79,-0.11
12,T12,T12,Heath Slocum,95,"14' 7""",2060.667,141,-0.16
13,T14,T14,Woody Austin,84,"14' 8""",1423.1670000000001,97,-0.19
14,T14,T14,Brian Davis,103,"14' 8""",1908.1670000000001,130,-0.28
15,T14,T14,Webb Simpson,94,"14' 8""",1525.25,104,-0.24
16,T17,T17,Luke Donald,79,"14' 9""",1240.0,84,-0.15
17,T17,T17,David Toms,98,"14' 9""",1827.25,124,-0.17
18,T19,T19,Daniel Chopra,89,"14' 10""",1590.4170000000001,107,-0.21
19,T19,T19,Charles Howell III,99,"14' 10""",1438.5,97,-0.11
20,T19,T19,Mike Weir,85,"14' 10""",1635.1670000000001,110,-0.14
21,T22,T22,Chez Reavie,81,"14' 11""",1834.1670000000001,123,-0.11
22,T22,T22,Camilo Villegas,76,"14' 11""",866.4169999999999,58,-0.03
23,T24,T24,Briny Baird,89,"15' 0""",1471.0,98,-0.14
24,T24,T24,Greg Owen,97,"15' 0""",1512.75,101,-0.15
25,T24,T24,Jimmy Walker,74,"15' 0""",690.25,46,-0.20
26,27,27,Jarrod Lyle,65,"15' 1""",1087.25,72,-0.08
27,T28,T28,Glen Day,79,"15' 2""",1531.0829999999999,101,-0.15
28,T28,T28,Rory Sabbatini,81,"15' 2""",1106.833,73,+0.03
29,30,30,Dean Wilson,81,"15' 3""",1693.9170000000001,111,-0.25
