,Approaches_from__100_yards_Rgh_RANK THIS WEEK,Approaches_from__100_yards_Rgh_RANK LAST WEEK,Approaches_from__100_yards_Rgh_PLAYER NAME,Approaches_from__100_yards_Rgh_ROUNDS,Approaches_from__100_yards_Rgh_AVG,Approaches_from__100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__100_yards_Rgh_# OF ATTEMPTS,Approaches_from__100_yards_Rgh_RELATIVE TO PAR
0,T1,T1,Ángel Cabrera,55,"38' 1""",6171.5830000000005,162,+6
1,T1,T1,Robert Garrigus,83,"38' 1""",9896.333,260,-1
2,3,3,Sergio Garcia,59,"38' 5""",5607.5830000000005,146,+5
3,4,4,Adam Scott,53,"39' 4""",5856.25,149,+13
4,5,5,Greg Chalmers,85,"39' 8""",8403.333,212,+6
5,6,6,Y.E. Yang,83,"39' 10""",9289.167,233,+25
6,7,7,Sean O'Hair,80,"40' 2""",8347.5,208,+7
7,T8,T8,Chris DiMarco,97,"40' 8""",9768.583,240,+31
8,T8,T8,Harrison Frazar,93,"40' 8""",12719.417,313,+14
9,10,10,David Toms,98,"40' 9""",7495.5830000000005,184,+12
10,11,11,Heath Slocum,95,"41' 2""",7488.0,182,+30
11,12,12,Anthony Kim,76,"41' 7""",8949.167,215,+6
12,13,13,Steve Flesch,77,"41' 8""",7919.5830000000005,190,+25
13,14,14,Jay Williamson,69,"41' 9""",5718.3330000000005,137,+19
14,15,15,Boo Weekley,79,"41' 11""",7291.8330000000005,174,+20
15,16,16,Michael Letzig,96,"42' 0""",12564.167,299,+14
16,T17,T17,Justin Leonard,95,"42' 1""",7283.5,173,+14
17,T17,T17,Casey Wittenberg,71,"42' 1""",6819.25,162,+26
18,T19,T19,Kris Blanks,60,"42' 5""",4836.75,114,+9
19,T19,T19,Jason Bohn,88,"42' 5""",8268.417,195,+21
20,T19,T19,Luke Donald,79,"42' 5""",7121.5,168,+9
21,T19,T19,Kevin Streelman,97,"42' 5""",11247.417,265,+6
22,23,23,Glen Day,79,"42' 6""",6970.0,164,+17
23,24,24,Joe Ogilvie,85,"42' 11""",11197.417,261,+23
24,25,25,Ted Purdy,101,"43' 0""",11431.667,266,+20
25,26,26,Carl Pettersson,86,"43' 1""",10547.917,245,+25
26,T27,T27,Chad Campbell,90,"43' 2""",9360.333,217,+25
27,T27,T27,Kevin Stadler,65,"43' 2""",7301.25,169,+13
28,T29,T29,Dustin Johnson,85,"43' 4""",9323.75,215,+10
29,T29,T29,Davis Love III,89,"43' 4""",11786.583,272,+38
30,T29,T29,Geoff Ogilvy,78,"43' 4""",7717.9169999999995,178,+9
31,T32,T32,Greg Owen,97,"43' 5""",9287.0,214,+18
32,T32,T32,Jimmy Walker,74,"43' 5""",11542.25,266,+21
33,T34,T34,Jonathan Byrd,89,"43' 6""",9490.917,218,+19
34,T34,T34,Rocco Mediate,79,"43' 6""",8953.75,206,+3
35,T34,T34,Kenny Perry,92,"43' 6""",8953.583,206,+21
36,T34,T34,Nick Watney,86,"43' 6""",10618.583,244,+15
37,T38,T38,Michael Allen,73,"43' 8""",6816.6669999999995,156,+29
38,T38,T38,Fred Couples,54,"43' 8""",6462.8330000000005,148,+2
39,T38,T38,Tom Lehman,55,"43' 8""",3843.833,88,+8
40,T41,T41,Briny Baird,89,"43' 9""",8660.917,198,+13
41,T41,T41,Daniel Chopra,89,"43' 9""",12683.0,290,+29
42,T41,T41,John Senden,100,"43' 9""",12303.583,281,+34
43,T44,T44,Andres Romero,58,"43' 10""",6621.0,151,+9
44,T44,T44,Patrick Sheehan,51,"43' 10""",4123.333,94,+26
45,T44,T44,Kirk Triplett,60,"43' 10""",4953.417,113,+14
46,T47,T47,Brandt Snedeker,81,"43' 11""",6762.5830000000005,154,+4
47,T47,T47,Charles Warren,63,"43' 11""",6543.6669999999995,149,+17
48,T49,T49,Jarrod Lyle,65,"44' 0""",6735.0,153,+10
49,T49,T49,D.J. Trahan,96,"44' 0""",9628.5,219,+32
50,T51,T51,Rich Beem,77,"44' 1""",7093.0,161,+22
51,T51,T51,Ben Crane,93,"44' 1""",9076.333,206,+9
52,T51,T51,Paul Goydos,79,"44' 1""",6518.5830000000005,148,+36
53,T54,T54,Phil Mickelson,66,"44' 2""",8613.75,195,+18
54,T54,T54,Matt Weibring,65,"44' 2""",6933.9169999999995,157,+30
55,T56,T56,Steve Lowery,83,"44' 3""",10568.333,239,+43
56,T56,T56,Will MacKenzie,69,"44' 3""",7351.9169999999995,166,+21
57,T56,T56,Troy Matteson,95,"44' 3""",12512.167,283,+12
58,T56,T56,Webb Simpson,94,"44' 3""",12249.0,277,+31
59,T60,T60,Retief Goosen,74,"44' 4""",8246.5,186,+12
60,T60,T60,Freddie Jacobson,83,"44' 4""",10368.583,234,+28
61,T60,T60,Bo Van Pelt,100,"44' 4""",10776.0,243,+30
62,T63,T63,Tommy Armour III,58,"44' 5""",6045.0,136,+9
63,T63,T63,Chez Reavie,81,"44' 5""",7420.4169999999995,167,+30
64,T63,T63,Bubba Watson,73,"44' 5""",9275.167,209,+11
65,T66,T66,Tim Clark,81,"44' 7""",5663.1669999999995,127,+21
66,T66,T66,Chris Riley,77,"44' 7""",6374.5830000000005,143,+10
67,68,68,Robert Allenby,71,"44' 8""",7365.8330000000005,165,+7
68,69,69,Jason Dufner,90,"44' 9""",9710.333,217,+14
69,T70,T70,Bob Estes,78,"44' 10""",8210.583,183,+25
70,T70,T70,Charles Howell III,99,"44' 10""",13776.0,307,+24
71,T70,T70,Jeff Maggert,79,"44' 10""",7805.5830000000005,174,+33
72,T70,T70,Vijay Singh,71,"44' 10""",6902.3330000000005,154,+24
73,74,74,Joe Durant,62,"44' 11""",3996.583,89,+18
74,75,75,Jerry Kelly,90,"45' 0""",11242.333,250,+24
75,T76,T76,Stewart Cink,79,"45' 1""",9235.167,205,+25
76,T76,T76,Zach Johnson,94,"45' 1""",8880.917,197,+17
77,T76,T76,John Mallinger,90,"45' 1""",8468.0,188,+26
78,T76,T76,Justin Rose,71,"45' 1""",7344.4169999999995,163,+24
79,80,80,George McNeill,82,"45' 2""",12106.667,268,+25
80,T81,T81,Matt Kuchar,82,"45' 3""",9326.5,206,E
81,T81,T81,Scott Sterling,51,"45' 3""",5879.3330000000005,130,+14
82,83,83,Lucas Glover,93,"45' 4""",10373.583,229,+16
83,84,84,Pat Perez,74,"45' 5""",7489.1669999999995,165,+21
84,T85,T85,Marc Leishman,91,"45' 6""",12883.0,283,+29
85,T85,T85,John Rollins,92,"45' 6""",9465.75,208,+20
86,T87,T87,Bob Heintz,59,"45' 7""",6335.6669999999995,139,+25
