,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Derek Fathauer,63,156.2,3143144.0,559
1,2,2,Kris Blanks,60,156.4,2898895.0,515
2,3,3,Tommy Armour III,58,156.9,3382754.0,599
3,4,4,Kevin Stadler,65,157.3,3583492.0,633
4,5,5,Vijay Singh,71,157.9,3246310.0,571
5,6,6,Greg Kraft,51,158.3,2717918.0,477
6,7,7,Joe Durant,62,158.4,2908109.0,510
7,T8,T8,Fred Couples,54,158.5,2528188.0,443
8,T8,T8,Bob Heintz,59,158.5,3360018.0,589
9,T10,T10,Jarrod Lyle,65,158.6,3527929.0,618
10,T10,T10,Scott Sterling,51,158.6,2695222.0,472
11,T12,T12,Joe Ogilvie,85,158.9,4872679.0,852
12,T12,T12,Patrick Sheehan,51,158.9,2654850.0,464
13,14,14,Matt Jones,56,159.1,2984203.0,521
14,15,15,Leif Olson,51,159.3,2603592.0,454
15,16,16,Jay Williamson,69,159.4,3855517.0,672
16,T17,T17,Kirk Triplett,60,159.5,3640240.0,634
17,T17,T17,Brian Vranesh,51,159.5,2795792.0,487
18,19,19,Darron Stiles,52,159.6,2682743.0,467
19,20,20,Kenny Perry,92,159.7,4824016.0,839
20,21,21,Dustin Johnson,85,159.8,3985688.0,693
21,22,22,Tim Clark,81,159.9,3845240.0,668
22,23,23,Harrison Frazar,93,160.0,5305863.0,921
23,T24,T24,Jeff Maggert,79,160.1,4834643.0,839
24,T24,T24,Heath Slocum,95,160.1,5738940.0,996
25,T26,T26,Stephen Ames,77,160.2,3576202.0,620
26,T26,T26,Troy Matteson,95,160.2,5887861.0,1021
27,T26,T26,Tag Ridings,50,160.2,2658064.0,461
28,29,29,Tim Herron,87,160.4,5288428.0,916
29,T30,T30,Colt Knost,71,160.5,3680558.0,637
30,T30,T30,Geoff Ogilvy,78,160.5,3692127.0,639
31,T30,T30,Scott Piercy,85,160.5,4819895.0,834
32,33,33,Peter Tomasulo,61,160.6,2913211.0,504
33,34,34,Justin Leonard,95,160.7,4988218.0,862
34,T35,T35,Ted Purdy,101,160.8,5549944.0,959
35,T35,T35,Chez Reavie,81,160.8,4868749.0,841
36,T35,T35,Gary Woodland,53,160.8,2176731.0,376
37,T38,T38,Brian Bateman,55,160.9,3202783.0,553
38,T38,T38,Todd Hamilton,83,160.9,4321372.0,746
39,40,40,Matt Weibring,65,161.0,3529534.0,609
40,41,41,Daniel Chopra,89,161.1,5092811.0,878
41,T42,T42,Michael Allen,73,161.2,3860026.0,665
42,T42,T42,Lee Janzen,74,161.2,4021654.0,693
43,T42,T42,Davis Love III,89,161.2,5106167.0,880
44,T45,T45,Rocco Mediate,79,161.4,4357527.0,750
45,T45,T45,Jeff Quinney,78,161.4,4606867.0,793
46,T47,T47,Jason Bohn,88,161.5,5481459.0,943
47,T47,T47,Glen Day,79,161.5,4395847.0,756
48,T47,T47,Tom Lehman,55,161.5,2500269.0,430
49,50,50,Steve Elkington,70,161.6,4275758.0,735
50,T51,T51,Mike Weir,85,161.8,4402986.0,756
51,T51,T51,Mark Wilson,99,161.8,6018029.0,1033
52,T53,T53,Matt Bettencourt,98,161.9,5366578.0,921
53,T53,T53,Mark Brooks,55,161.9,2791041.0,479
54,T55,T55,Brad Adamonis,70,162.0,4204926.0,721
55,T55,T55,Bob Estes,78,162.0,4729070.0,811
56,T55,T55,Kent Jones,73,162.0,4058227.0,696
57,T55,T55,Matt Kuchar,82,162.0,4811080.0,825
58,T59,T59,Ken Duke,87,162.1,4792486.0,821
59,T59,T59,Lucas Glover,93,162.1,5163597.0,885
60,T59,T59,Peter Lonard,86,162.1,5148462.0,882
61,T62,T62,Cameron Beckman,87,162.2,5126653.0,878
62,T62,T62,John Merrick,91,162.2,4519563.0,774
63,T62,T62,Webb Simpson,94,162.2,5768797.0,988
64,T62,T62,Kevin Streelman,97,162.2,5553662.0,951
65,66,66,Charles Howell III,99,162.3,5590470.0,957
66,67,67,Aron Price,89,162.4,5198861.0,889
67,T68,T68,Steve Marino,98,162.5,5780157.0,988
68,T68,T68,Sean O'Hair,80,162.5,3731609.0,638
69,T68,T68,Nick Watney,86,162.5,4444922.0,760
70,T71,T71,Tom Pernice Jr.,82,162.6,5216451.0,891
71,T71,T71,Charles Warren,63,162.6,3499716.0,598
72,T73,T73,Stewart Cink,79,162.7,4012374.0,685
73,T73,T73,Chris DiMarco,97,162.7,6050973.0,1033
74,T73,T73,Steve Flesch,77,162.7,4347305.0,742
75,T73,T73,Cliff Kresge,78,162.7,4432628.0,757
76,T77,T77,Rich Beem,77,162.8,3916166.0,668
77,T77,T77,Jason Dufner,90,162.8,5257826.0,897
78,T77,T77,Jason Gore,74,162.8,4080226.0,696
79,T77,T77,Rick Price,54,162.8,2731594.0,466
80,T77,T77,David Toms,98,162.8,5490256.0,937
81,T82,T82,Stuart Appleby,79,162.9,4463398.0,761
