,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Bo Van Pelt,100,"16' 0""",447.083,28,+1
1,2,2,Tim Clark,81,"16' 7""",314.75,19,-1
2,3,3,Kirk Triplett,60,"17' 3""",344.75,20,+3
3,4,4,Jerry Kelly,90,"17' 5""",244.25,14,E
4,5,5,Sean O'Hair,80,"17' 11""",341.167,19,-1
5,6,6,Chad Campbell,90,"18' 1""",506.333,28,+1
6,T7,T7,Bob Heintz,59,"18' 2""",399.333,22,E
7,T7,T7,Vijay Singh,71,"18' 2""",564.4169999999999,31,+2
8,9,9,Matt Weibring,65,"18' 3""",438.583,24,+9
9,10,10,Bryce Molder,69,"18' 4""",219.917,12,+7
10,11,11,Justin Rose,71,"18' 6""",351.75,19,+1
11,12,12,Corey Pavin,73,"18' 7""",427.333,23,+1
12,T13,T13,Woody Austin,84,"19' 0""",495.0,26,-2
13,T13,T13,Camilo Villegas,76,"19' 0""",417.333,22,-1
14,T13,T13,Charlie Wi,92,"19' 0""",475.0,25,E
15,T16,T16,Steve Flesch,77,"19' 1""",457.0,24,+4
16,T16,T16,Retief Goosen,74,"19' 1""",343.167,18,+2
17,18,18,David Toms,98,"19' 2""",440.75,23,+1
18,T19,T19,Nick O'Hern,90,"19' 3""",540.0,28,+3
19,T19,T19,Joe Ogilvie,85,"19' 3""",1095.583,57,-1
20,21,21,Ricky Barnes,67,"19' 4""",463.0,24,+3
21,T22,T22,Sergio Garcia,59,"19' 6""",409.833,21,+2
22,T22,T22,J.B. Holmes,74,"19' 6""",975.25,50,+2
23,T24,T24,Jason Bohn,88,"19' 8""",629.5,32,+1
24,T24,T24,Webb Simpson,94,"19' 8""",806.75,41,+7
25,26,26,Briny Baird,89,"19' 9""",532.1669999999999,27,+10
26,T27,T27,Brian Gay,96,"19' 10""",654.75,33,+3
27,T27,T27,Rocco Mediate,79,"19' 10""",653.1669999999999,33,+2
28,T27,T27,Ian Poulter,59,"19' 10""",316.91700000000003,16,-1
29,T30,T30,Bill Haas,91,"19' 11""",618.25,31,-1
30,T30,T30,Dustin Johnson,85,"19' 11""",795.5,40,-2
31,32,32,Brendon de Jonge,90,"20' 1""",583.1669999999999,29,+2
32,33,33,David Mathis,82,"20' 2""",727.25,36,+9
33,34,34,Brad Adamonis,70,"20' 4""",630.25,31,+13
34,35,35,Ben Crane,93,"20' 6""",634.9169999999999,31,+1
35,T36,T36,Harrison Frazar,93,"20' 7""",1130.917,55,+5
36,T36,T36,Jeff Klauk,97,"20' 7""",678.6669999999999,33,+4
37,T38,T38,K.J. Choi,65,"20' 8""",412.5,20,+4
38,T38,T38,Bob Estes,78,"20' 8""",455.25,22,+3
39,T38,T38,John Merrick,91,"20' 8""",641.0830000000001,31,+10
40,T38,T38,Rory Sabbatini,81,"20' 8""",765.3330000000001,37,+5
41,T38,T38,Brandt Snedeker,81,"20' 8""",578.25,28,+2
42,43,43,Jay Williamson,69,"20' 9""",476.833,23,+8
43,44,44,Charles Warren,63,"20' 10""",374.833,18,+2
44,45,45,Zach Johnson,94,"20' 11""",669.75,32,-5
45,T46,T46,Padraig Harrington,66,"21' 0""",462.583,22,-2
46,T46,T46,D.A. Points,99,"21' 0""",652.1669999999999,31,+9
47,T46,T46,Chris Stroud,88,"21' 0""",715.25,34,+10
48,T49,T49,Mark Calcavecchia,72,"21' 1""",654.5,31,-4
