,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Sergio Garcia,59,"36' 0""",72209,167,6017.4169999999995,7.0
1,2,2,Robert Garrigus,83,"36' 9""",126970,288,10580.833,11.0
2,3,3,Ángel Cabrera,55,"36' 10""",79130,179,6594.1669999999995,13.0
3,4,4,Harrison Frazar,93,"37' 8""",166204,368,13850.333,19.0
4,T5,T5,Greg Chalmers,85,"37' 11""",109543,241,9128.583,10.0
5,T5,T5,Adam Scott,53,"37' 11""",76386,168,6365.5,19.0
6,7,7,Chris DiMarco,97,"38' 1""",128402,281,10700.167,35.0
7,8,8,Sean O'Hair,80,"38' 3""",104264,227,8688.667,6.0
8,9,9,David Toms,98,"38' 4""",95236,207,7936.3330000000005,13.0
9,10,10,Glen Day,79,"38' 6""",96141,208,8011.75,19.0
10,11,11,Y.E. Yang,83,"38' 7""",116113,251,9676.083,34.0
11,12,12,Joe Ogilvie,85,"38' 8""",147516,318,12293.0,22.0
12,13,13,Jay Williamson,69,"38' 9""",74342,160,6195.1669999999995,27.0
13,14,14,Justin Leonard,95,"38' 10""",100257,215,8354.75,12.0
14,T15,T15,Jason Bohn,88,"39' 2""",106775,227,8897.917,22.0
15,T15,T15,Steve Flesch,77,"39' 2""",100519,214,8376.583,29.0
16,17,17,Michael Letzig,96,"39' 3""",162983,346,13581.917,24.0
17,18,18,Luke Donald,79,"39' 4""",93461,198,7788.4169999999995,18.0
18,19,19,Heath Slocum,95,"39' 5""",99308,210,8275.667,34.0
19,20,20,Geoff Ogilvy,78,"39' 6""",101959,215,8496.583,12.0
20,21,21,Dustin Johnson,85,"39' 8""",121431,255,10119.25,8.0
21,T22,T22,Anthony Kim,76,"39' 9""",121985,256,10165.417,14.0
22,T22,T22,Boo Weekley,79,"39' 9""",93074,195,7756.1669999999995,19.0
23,24,24,Kirk Triplett,60,"39' 10""",63578,133,5298.1669999999995,17.0
24,25,25,Rocco Mediate,79,"40' 2""",115283,239,9606.917,5.0
25,T26,T26,Chad Campbell,90,"40' 3""",118400,245,9866.667,26.0
26,T26,T26,Casey Wittenberg,71,"40' 3""",93687,194,7807.25,37.0
27,T28,T28,Rich Beem,77,"40' 4""",97672,202,8139.3330000000005,28.0
28,T28,T28,Ted Purdy,101,"40' 4""",147042,304,12253.5,32.0
29,T28,T28,Vijay Singh,71,"40' 4""",89601,185,7466.75,26.0
30,T28,T28,Brandt Snedeker,81,"40' 4""",88090,182,7340.8330000000005,6.0
31,32,32,Kevin Stadler,65,"40' 5""",94599,195,7883.25,17.0
32,33,33,Kevin Streelman,97,"40' 7""",144778,297,12064.833,8.0
33,T34,T34,Carl Pettersson,86,"40' 8""",135554,278,11296.167,34.0
34,T34,T34,Bubba Watson,73,"40' 8""",121904,250,10158.667,18.0
35,T36,T36,Michael Allen,73,"40' 9""",91045,186,7587.0830000000005,36.0
36,T36,T36,Andres Romero,58,"40' 9""",92881,190,7740.0830000000005,17.0
