,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Matt Jones,56,147.3,588654.0,111
1,2,2,Brad Adamonis,70,151.2,990672.0,182
2,3,3,Rod Pampling,72,152.4,993224.0,181
3,4,4,Brandt Snedeker,81,153.0,914278.0,166
4,5,5,Jim Furyk,86,153.5,790353.0,143
5,6,6,Daniel Chopra,89,153.8,1495393.0,270
6,T7,T7,Bill Lunde,83,153.9,1158079.0,209
7,T7,T7,Bryce Molder,69,153.9,770193.0,139
8,T9,T9,Michael Letzig,96,154.3,1388359.0,250
9,T9,T9,Ryan Palmer,78,154.3,1172221.0,211
10,11,11,Harrison Frazar,93,154.5,1379492.0,248
11,12,12,Ryuji Imada,85,154.7,1125196.0,202
12,13,13,Casey Wittenberg,71,155.0,820447.0,147
13,T14,T14,Anthony Kim,76,155.8,1020647.0,182
14,T14,T14,Brett Quigley,92,155.8,1267289.0,226
15,T16,T16,K.J. Choi,65,156.4,760015.0,135
16,T16,T16,Bubba Watson,73,156.4,1058802.0,188
17,18,18,Aaron Baddeley,66,156.7,1026639.0,182
18,19,19,Todd Hamilton,83,156.8,1123294.0,199
19,T20,T20,Dustin Johnson,85,157.1,1012565.0,179
20,T20,T20,Steve Lowery,83,157.1,1368750.0,242
21,T22,T22,Tim Clark,81,157.2,803754.0,142
22,T22,T22,Freddie Jacobson,83,157.2,1154460.0,204
23,T22,T22,Jimmy Walker,74,157.2,995790.0,176
24,T22,T22,Matt Weibring,65,157.2,922705.0,163
25,26,26,John Merrick,91,157.3,1154971.0,204
26,T27,T27,Colt Knost,71,157.4,1008318.0,178
27,T27,T27,Charles Warren,63,157.4,867035.0,153
28,29,29,Jay Williamson,69,157.6,918884.0,162
29,T30,T30,Kevin Stadler,65,157.7,845767.0,149
30,T30,T30,Gary Woodland,53,157.7,863014.0,152
31,32,32,Marc Leishman,91,157.8,1431664.0,252
32,33,33,Pat Perez,74,157.9,1045863.0,184
33,T34,T34,Retief Goosen,74,158.1,950777.0,167
34,T34,T34,Will MacKenzie,69,158.1,1126624.0,198
35,T34,T34,Rocco Mediate,79,158.1,1161011.0,204
36,T37,T37,Kris Blanks,60,158.2,825571.0,145
37,T37,T37,Jeff Quinney,78,158.2,1229881.0,216
38,T39,T39,Fred Couples,54,158.4,781192.0,137
39,T39,T39,Parker McLachlin,71,158.4,1351719.0,237
40,T39,T39,Leif Olson,51,158.4,935188.0,164
41,T42,T42,Jason Day,61,158.5,793126.0,139
42,T42,T42,Troy Matteson,95,158.5,1357672.0,238
43,T42,T42,Scott Sterling,51,158.5,587605.0,103
44,45,45,Brian Bateman,55,158.6,930537.0,163
45,46,46,Geoff Ogilvy,78,158.7,891530.0,156
46,47,47,Steve Marino,98,158.8,1177361.0,206
47,48,48,Patrick Sheehan,51,159.0,549361.0,96
48,T49,T49,Eric Axley,71,159.1,1351879.0,236
49,T49,T49,Darron Stiles,52,159.1,767529.0,134
50,51,51,Jason Gore,74,159.2,1180387.0,206
51,52,52,J.J. Henry,97,159.4,1279667.0,223
52,T53,T53,Matt Bettencourt,98,159.5,1780361.0,310
53,T53,T53,Ian Poulter,59,159.5,637416.0,111
54,T53,T53,Webb Simpson,94,159.5,1447131.0,252
55,T53,T53,Mike Weir,85,159.5,1068179.0,186
56,T57,T57,J.B. Holmes,74,159.6,1304201.0,227
57,T57,T57,Aron Price,89,159.6,1361998.0,237
58,T59,T59,Chez Reavie,81,159.8,1098705.0,191
59,T59,T59,Andres Romero,58,159.8,759406.0,132
60,T59,T59,Brendon Todd,53,159.8,1006845.0,175
61,62,62,Glen Day,79,159.9,1116513.0,194
62,63,63,Luke Donald,79,160.0,893010.0,155
63,64,64,Kevin Sutherland,96,160.1,1118059.0,194
64,T65,T65,David Duval,56,160.2,951689.0,165
65,T65,T65,Lee Janzen,74,160.2,1038413.0,180
66,67,67,Brian Davis,103,160.3,1558257.0,270
67,T68,T68,Ben Crane,93,160.4,1201111.0,208
68,T68,T68,Chris DiMarco,97,160.4,1362537.0,236
69,70,70,Camilo Villegas,76,160.5,912645.0,158
70,71,71,Alex Cejka,82,160.6,1231247.0,213
71,T72,T72,Carl Pettersson,86,160.7,1319316.0,228
72,T72,T72,Adam Scott,53,160.7,844710.0,146
73,T74,T74,Stewart Cink,79,160.8,989852.0,171
74,T74,T74,Bob Heintz,59,160.8,770096.0,133
75,76,76,Michael Allen,73,160.9,955809.0,165
76,T77,T77,Mark Brooks,55,161.0,660790.0,114
77,T77,T77,Justin Rose,71,161.0,1003005.0,173
78,T79,T79,Ernie Els,70,161.2,841598.0,145
79,T79,T79,Rick Price,54,161.2,841259.0,145
80,T81,T81,Joe Durant,62,161.3,865479.0,149
