,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
0,1,1,Mark Wilson,107,11,4,7
1,2,2,Vijay Singh,82,13,3,10
2,3,3,Steve Stricker,75,23,11,12
3,T4,T4,Justin Bolli,87,26,8,18
4,T4,T4,Joe Ogilvie,100,26,21,5
5,T6,T6,Hunter Mahan,87,31,16,15
6,T6,T6,Steve Marino,119,31,11,20
7,T6,T6,Brandt Snedeker,85,31,9,22
8,9,9,Jeff Gove,50,33,22,11
9,10,10,K.J. Choi,74,34,31,3
10,11,11,Brenden Pappas,66,37,5,32
11,12,12,Chez Reavie,102,43,22,21
12,13,13,Robert Garrigus,90,45,2,43
13,14,14,Doug LaBelle II,65,49,31,18
14,15,15,Ryan Palmer,69,52,7,45
15,16,16,Jeff Maggert,86,58,28,30
16,17,17,Mathew Goggin,91,60,44,16
17,18,18,Ángel Cabrera,55,63,1,62
18,19,19,Nicholas Thompson,113,67,14,53
19,T20,T20,Steve Lowery,74,72,38,34
20,T20,T20,Vaughn Taylor,103,72,35,37
21,22,22,Charley Hoffman,94,73,9,64
22,23,23,Ryan Armour,87,74,51,23
23,24,24,Scott Verplank,82,75,74,1
24,25,25,Billy Mayfair,103,77,26,51
25,26,26,Ben Crane,86,81,36,45
26,T27,T27,Daniel Chopra,84,83,60,23
27,T27,T27,George McNeill,97,83,17,66
28,T29,T29,Paul Goydos,78,84,80,4
29,T29,T29,Ian Poulter,51,84,82,2
30,31,31,J.B. Holmes,86,87,6,81
31,T32,T32,Cameron Beckman,87,88,60,28
32,T32,T32,Tim Herron,97,88,51,37
33,T34,T34,Kenny Perry,97,89,31,58
34,T34,T34,David Toms,70,89,31,58
35,36,36,Bo Van Pelt,101,90,29,61
36,37,37,Tom Pernice Jr.,104,91,64,27
37,38,38,Jim Furyk,95,97,72,25
38,39,39,Kevin Sutherland,98,101,17,84
39,40,40,Anthony Kim,81,103,15,88
40,41,41,Harrison Frazar,73,105,17,88
41,T42,T42,Jason Gore,94,106,25,81
42,T42,T42,Adam Scott,51,106,80,26
43,44,44,Heath Slocum,104,107,77,30
44,T45,T45,Steve Allan,58,109,38,71
45,T45,T45,Jim McGovern,75,109,102,7
46,T45,T45,Rory Sabbatini,77,109,102,7
47,48,48,Zach Johnson,85,115,98,17
48,49,49,Nick O'Hern,82,116,102,14
49,50,50,Cliff Kresge,84,118,42,76
50,51,51,Stewart Cink,87,119,22,97
51,52,52,Todd Hamilton,92,122,36,86
52,53,53,Ben Curtis,80,123,57,66
53,T54,T54,J.P. Hayes,67,126,86,40
54,T54,T54,Greg Kraft,63,126,89,37
55,T54,T54,Geoff Ogilvy,65,126,11,115
56,T54,T54,Jay Williamson,96,126,75,51
57,T58,T58,Robert Gamez,79,131,96,35
58,T58,T58,Kyle Thompson,70,131,69,62
59,60,60,Mike Weir,88,135,123,12
60,61,61,Tim Clark,90,136,93,43
61,62,62,Dustin Johnson,92,139,45,94
62,63,63,Stuart Appleby,87,141,75,66
63,64,64,Eric Axley,113,142,45,97
64,T65,T65,Jason Day,81,143,77,66
65,T65,T65,D.J. Trahan,94,143,96,47
66,67,67,Billy Andrade,71,144,53,91
67,68,68,Brian Davis,108,145,57,88
68,T69,T69,Craig Kanada,65,149,144,5
69,T69,T69,Matt Kuchar,88,149,117,32
70,T69,T69,John Mallinger,95,149,114,35
71,72,72,Andres Romero,69,151,17,134
72,73,73,Kevin Stadler,90,154,57,97
73,74,74,Brad Elder,67,155,89,66
74,T75,T75,Paul Casey,55,156,49,107
75,T75,T75,Charles Warren,79,156,26,130
76,77,77,Patrick Sheehan,124,160,113,47
77,78,78,Frank Lickliter II,107,166,92,74
78,T79,T79,Fred Couples,60,167,64,103
79,T79,T79,Boo Weekley,86,167,114,53
80,81,81,Mathias Grönberg,87,168,38,130
81,82,82,Steve Flesch,95,169,141,28
82,T83,T83,Tommy Armour III,77,172,55,117
83,T83,T83,Woody Austin,109,172,50,122
84,85,85,Glen Day,64,174,69,105
85,86,86,Alex Cejka,75,175,29,146
86,87,87,Richard Johnson,77,176,38,138
87,T88,T88,Michael Letzig,88,178,107,71
88,T88,T88,Brett Quigley,80,178,60,118
89,T90,T90,John Rollins,94,179,45,134
90,T90,T90,Nick Watney,96,179,72,107
91,92,92,Kent Jones,68,180,84,96
92,T93,T93,Brad Adamonis,87,181,107,74
93,T93,T93,Davis Love III,78,181,43,138
94,T93,T93,Jeff Quinney,87,181,134,47
95,96,96,Rich Beem,90,183,86,97
96,97,97,Stephen Leaney,53,186,64,122
97,98,98,Lucas Glover,91,190,69,121
98,T99,T99,Briny Baird,113,193,117,76
99,T99,T99,Justin Leonard,101,193,146,47
100,T99,T99,Omar Uresti,74,193,102,91
101,102,102,Olin Browne,77,196,139,57
102,103,103,Carl Pettersson,110,198,54,144
103,104,104,Pat Perez,93,202,84,118
104,105,105,Peter Lonard,92,203,117,86
105,106,106,Sean O'Hair,81,204,89,115
106,T107,T107,Mark Calcavecchia,67,205,129,76
107,T107,T107,Mark Hensby,71,205,111,94
108,T107,T107,Jerry Kelly,89,205,129,76
109,T107,T107,Ted Purdy,68,205,55,150
110,111,111,Rocco Mediate,87,210,64,146
111,112,112,John Huston,56,211,77,134
112,113,113,Nick Flanagan,89,212,68,144
113,T114,T114,Gavin Coles,54,217,176,41
114,T114,T114,Jimmy Walker,73,217,95,122
115,T116,T116,John Merrick,98,218,111,107
116,T116,T116,Johnson Wagner,83,218,86,132
117,118,118,Shigeki Maruyama,50,223,170,53
118,T119,T119,Kenneth Ferrie,72,224,133,91
119,T119,T119,Tom Lehman,51,224,168,56
120,121,121,David Lutterus,59,225,82,143
121,T122,T122,Todd Demsey,80,228,121,107
122,T122,T122,Tim Wilkinson,95,228,157,71
123,124,124,Corey Pavin,69,233,192,41
124,T125,T125,Ernie Els,51,234,107,127
125,T125,T125,Scott Sterling,89,234,176,58
126,T127,T127,Martin Laird,98,239,60,179
127,T127,T127,Rod Pampling,83,239,132,107
128,129,129,Chad Campbell,94,240,139,101
129,130,130,Padraig Harrington,52,241,45,196
130,131,131,Cody Freeman,66,242,124,118
131,T132,T132,Robert Allenby,108,244,93,151
132,T132,T132,Jin Park,85,244,141,103
133,134,134,Steve Elkington,84,245,169,76
134,135,135,Brian Gay,102,248,183,65
135,136,136,Jon Mills,95,251,98,153
136,137,137,Ryan Moore,72,257,152,105
137,138,138,Parker McLachlin,88,261,176,85
138,139,139,Ron Whittaker,54,264,137,127
139,T140,T140,Troy Matteson,94,266,98,168
140,T140,T140,Camilo Villegas,79,266,144,122
141,T142,T142,Jonathan Byrd,88,269,98,171
142,T142,T142,Tommy Gainey,60,269,114,155
143,T142,T142,Chris Stroud,81,269,107,162
144,145,145,Richard Johnson,60,271,190,81
145,146,146,Jeff Overton,103,275,148,127
146,147,147,Dudley Hart,74,278,146,132
147,T148,T148,Kevin Na,97,279,166,113
148,T148,T148,Travis Perkins,53,279,102,177
149,150,150,Jesper Parnevik,88,280,121,159
150,151,151,Matt Jones,95,283,117,166
151,152,152,Phil Mickelson,80,285,134,151
152,T153,T153,Tag Ridings,88,288,124,164
153,T153,T153,Charlie Wi,97,288,162,126
154,T155,T155,Shane Bertsch,96,289,188,101
155,T155,T155,Brett Rumford,72,289,124,165
156,T157,T157,Aaron Baddeley,76,291,157,134
157,T157,T157,Bob Tway,70,291,184,107
158,159,159,Freddie Jacobson,78,293,138,155
159,160,160,Bob Sowards,61,296,124,172
160,161,161,Alejandro Cañizares,52,301,155,146
161,T162,T162,Marco Dawson,64,303,150,153
162,T162,T162,Chris DiMarco,87,303,129,174
163,164,164,Bubba Watson,97,304,134,170
164,165,165,Bob Estes,90,309,196,113
165,T166,T166,Jason Allred,63,313,124,189
166,T166,T166,Tim Petrovic,97,313,175,138
167,T168,T168,Tom Scherrer,56,317,159,158
168,T168,T168,Dean Wilson,109,317,156,161
169,T170,T170,Trevor Immelman,70,323,185,138
170,T170,T170,Chris Riley,51,323,160,163
171,T170,T170,Marc Turnesa,87,323,148,175
172,T173,T173,Stephen Ames,83,328,182,146
173,T173,T173,Bill Haas,99,328,141,187
174,175,175,Ken Duke,116,331,193,138
175,T176,T176,Ryuji Imada,80,333,154,179
176,T176,T176,John Riegger,73,333,165,168
177,T178,T178,Retief Goosen,59,338,150,188
178,T178,T178,Scott McCarron,63,338,166,172
179,180,180,Will MacKenzie,62,344,163,181
180,181,181,David Duval,51,346,152,194
181,T182,T182,Paul Claxton,63,347,170,177
182,T182,T182,Nathan Green,95,347,164,183
183,184,184,Bart Bryant,81,350,195,155
184,T185,T185,J.J. Henry,108,352,186,166
185,T185,T185,Lee Janzen,89,352,160,192
186,T187,T187,Michael Allen,91,353,194,159
187,T187,T187,Kevin Streelman,114,353,170,183
188,189,189,Joe Durant,92,355,173,182
189,190,190,Y.E. Yang,89,363,180,183
190,191,191,Charles Howell III,101,364,189,175
191,192,192,James Driscoll,85,367,176,191
192,193,193,Brandt Jobe,52,368,173,195
193,194,194,John Senden,93,373,180,193
194,T195,T195,Chad Collins,72,377,191,186
195,T195,T195,Sergio Garcia,72,377,187,190
196,197,197,Carlos Franco,73,394,197,197
