,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Scott Verplank,82,7.52,68,904,+0.09
1,2,2,Billy Mayfair,103,7.59,100,1317,+0.13
2,3,3,Tom Lehman,51,8.54,45,527,+0.07
3,4,4,Chris Stroud,81,8.55,78,912,+0.26
4,5,5,Jeff Gove,50,8.7,53,609,+0.23
5,6,6,Corey Pavin,69,8.91,69,774,+0.26
6,7,7,Brian Davis,108,9.1,129,1417,+0.13
7,8,8,Omar Uresti,74,9.27,81,874,+0.02
8,9,9,Bart Bryant,81,9.33,87,932,+0.20
9,T10,T10,Parker McLachlin,88,9.41,102,1084,+0.02
10,T10,T10,Mark Wilson,107,9.41,136,1446,+0.14
11,T12,T12,Ryan Armour,87,9.56,100,1046,+0.25
12,T12,T12,Zach Johnson,85,9.56,95,994,+0.07
13,14,14,Robert Gamez,79,9.62,94,977,+0.22
14,15,15,Chez Reavie,102,9.66,120,1242,+0.20
15,16,16,Jim Furyk,95,9.69,102,1053,+0.13
16,17,17,Ron Whittaker,54,9.77,55,563,+0.15
17,18,18,Heath Slocum,104,9.92,119,1199,+0.13
18,19,19,Greg Kraft,63,10.09,70,694,+0.30
19,20,20,Olin Browne,77,10.11,98,969,+0.29
20,21,21,Jay Williamson,96,10.17,113,1111,+0.31
21,22,22,Rocco Mediate,87,10.33,99,958,+0.16
22,T23,T23,Kent Jones,68,10.37,79,762,+0.06
23,T23,T23,John Merrick,98,10.37,110,1061,+0.13
24,25,25,Joe Durant,92,10.41,114,1095,+0.21
25,26,26,Aaron Baddeley,76,10.42,87,835,+0.03
26,27,27,Paul Claxton,63,10.45,72,689,+0.38
27,28,28,Bob Sowards,61,10.52,75,713,+0.24
28,29,29,Todd Hamilton,92,10.57,108,1022,+0.19
