,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Olin Browne,77,15.58,151,969,2.85
1,2,2,Robert Gamez,79,19.86,194,977,2.01
2,T3,T3,Omar Uresti,74,20.02,175,874,1.09
3,T3,T3,Scott Verplank,82,20.02,181,904,0.5
4,5,5,Ron Whittaker,54,20.07,113,563,2.74
5,6,6,Nick O'Hern,82,20.18,199,986,1.71
6,7,7,Heath Slocum,104,20.27,243,1199,1.56
7,8,8,Chez Reavie,102,20.45,254,1242,1.89
8,9,9,Brian Davis,108,20.89,296,1417,1.49
9,10,10,Bart Bryant,81,21.03,196,932,1.94
10,11,11,Joe Durant,92,21.1,231,1095,1.52
11,12,12,Kent Jones,68,21.39,163,762,1.78
12,13,13,Zach Johnson,85,21.63,215,994,1.49
13,14,14,Billy Mayfair,103,21.64,285,1317,1.16
14,15,15,Jeff Gove,50,21.84,133,609,1.88
15,16,16,Greg Kraft,63,22.05,153,694,2.29
16,17,17,Brian Gay,102,22.2,266,1198,1.47
17,18,18,Jay Williamson,96,22.23,247,1111,2.02
18,19,19,John Mallinger,95,22.46,261,1162,1.34
19,20,20,Paul Goydos,78,22.7,212,934,2.17
20,21,21,Jim Furyk,95,22.79,240,1053,1.13
21,22,22,Steve Elkington,84,22.8,231,1013,0.43
22,23,23,Todd Hamilton,92,23.09,236,1022,1.91
23,24,24,Doug LaBelle II,65,23.26,164,705,0.98
24,25,25,Ryan Armour,87,23.33,244,1046,2.5
25,26,26,Craig Kanada,65,23.36,178,762,2.19
26,27,27,Mark Wilson,107,23.37,338,1446,1.57
27,28,28,Ben Curtis,80,23.46,206,878,0.97
28,29,29,Shane Bertsch,96,23.56,294,1248,1.53
29,30,30,John Senden,93,23.73,267,1125,2.28
30,31,31,Jin Park,85,23.75,228,960,1.32
31,32,32,Paul Claxton,63,23.8,164,689,2.56
32,33,33,Gavin Coles,54,23.93,146,610,0.75
33,34,34,Scott McCarron,63,24.0,180,750,1.11
34,35,35,Jason Gore,94,24.06,283,1176,1.24
35,36,36,Kevin Na,97,24.07,304,1263,0.89
36,37,37,Woody Austin,109,24.14,296,1226,0.41
37,38,38,Michael Allen,91,24.19,261,1079,1.8
38,39,39,Kenneth Ferrie,72,24.24,200,825,1.8
39,40,40,Rich Beem,90,24.27,266,1096,1.39
40,41,41,Chris Stroud,81,24.45,223,912,1.75
41,42,42,Jonathan Byrd,88,24.51,261,1065,1.57
42,43,43,Ben Crane,86,24.52,254,1036,0.55
