,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,J.B. Holmes,86,125.16,5507.02,44,130.13,115.71
1,2,2,Bubba Watson,97,123.89,8300.78,67,126.99,118.9
2,3,3,Dustin Johnson,92,122.8,8350.56,68,125.89,118.48
3,4,4,Robert Garrigus,90,121.32,7764.78,64,124.93,118.16
4,5,5,Travis Perkins,53,121.02,3025.5,25,123.03,118.11
5,6,6,Tag Ridings,88,120.96,8467.46,70,126.08,116.12
6,7,7,Nick Watney,96,120.89,8824.72,73,126.77,117.24
7,8,8,Ángel Cabrera,55,120.78,4468.79,37,124.51,112.47
8,9,9,Jason Allred,63,120.53,5424.04,45,124.05,115.28
9,10,10,Sergio Garcia,72,120.22,5890.96,49,124.55,117.03
10,11,11,James Driscoll,85,119.8,7667.25,64,124.39,116.25
11,12,12,Paul Casey,55,119.25,3696.69,31,123.58,109.75
12,13,13,Bill Haas,99,118.81,10336.31,87,122.46,110.65
13,14,14,Charles Howell III,101,118.66,9848.73,83,122.42,115.81
14,15,15,Brandt Jobe,52,118.47,4738.61,40,122.29,109.48
15,16,16,Adam Scott,51,118.4,4025.76,34,121.47,115.79
16,T17,T17,Charley Hoffman,94,118.36,10297.71,87,121.9,111.79
17,T17,T17,John Senden,93,118.36,8403.29,71,123.93,113.58
18,19,19,Carlos Franco,73,118.19,5436.88,46,124.63,109.52
19,20,20,Daniel Chopra,84,117.98,7786.91,66,120.85,114.58
20,21,21,George McNeill,97,117.89,10138.83,86,123.2,110.73
21,22,22,Fred Couples,60,117.83,4006.12,34,120.54,111.26
22,T23,T23,Anthony Kim,81,117.79,7656.48,65,120.96,114.45
23,T23,T23,Davis Love III,78,117.79,6360.84,54,122.87,112.12
24,T23,T23,Kevin Streelman,114,117.79,10365.79,88,121.81,113.14
25,26,26,Charles Warren,79,117.65,7765.2,66,120.96,111.89
26,27,27,Troy Matteson,94,117.56,10110.52,86,120.93,113.97
27,28,28,Lucas Glover,91,117.5,9399.97,80,121.37,112.44
28,29,29,Pat Perez,93,117.41,8453.43,72,121.89,113.67
29,30,30,Martin Laird,98,117.39,8804.14,75,122.26,110.06
30,31,31,Phil Mickelson,80,117.32,6218.13,53,120.93,112.04
31,32,32,David Duval,51,117.21,3633.47,31,120.26,108.34
32,33,33,Jason Gore,94,117.15,6912.14,59,122.09,111.31
33,34,34,Harrison Frazar,73,116.98,6083.05,52,119.67,113.91
34,35,35,Richard Johnson,77,116.52,7108.01,61,121.21,113.13
35,36,36,Aaron Baddeley,76,116.37,6516.48,56,119.34,111.32
36,37,37,Andres Romero,69,116.32,5234.52,45,122.73,110.54
37,38,38,Steve Allan,58,116.31,5001.16,43,118.85,113.59
38,39,39,Matt Jones,95,116.22,8600.53,74,119.87,108.37
39,40,40,Stewart Cink,87,116.16,6621.29,57,119.97,108.3
40,41,41,Tommy Gainey,60,116.07,4642.69,40,121.81,111.94
41,42,42,Vijay Singh,82,115.97,7189.97,62,119.39,112.61
42,43,43,Jeff Overton,103,115.93,8810.97,76,121.4,108.25
43,44,44,Jason Day,81,115.92,8578.44,74,119.3,112.74
44,45,45,Padraig Harrington,52,115.75,3009.62,26,119.5,106.28
45,46,46,Jimmy Walker,73,115.67,5667.89,49,119.5,110.16
46,47,47,Boo Weekley,86,115.5,7969.36,69,118.71,112.02
47,48,48,Sean O'Hair,81,115.47,7390.03,64,118.34,112.21
48,49,49,Trevor Immelman,70,115.1,5754.76,50,118.91,110.54
49,50,50,J.J. Henry,108,114.86,10796.48,94,121.07,108.69
50,51,51,Retief Goosen,59,114.8,4247.71,37,118.35,110.16
51,52,52,Rory Sabbatini,77,114.74,7687.57,67,118.16,110.78
52,53,53,Jon Mills,95,114.62,6418.66,56,117.28,109.44
53,54,54,Brad Adamonis,87,114.59,8135.87,71,119.21,110.5
54,55,55,John Merrick,98,114.55,8018.55,70,117.75,110.13
55,56,56,Camilo Villegas,79,114.54,6757.77,59,117.83,110.03
56,57,57,Geoff Ogilvy,65,114.53,5382.8,47,118.11,109.49
57,58,58,Ernie Els,51,114.5,4350.86,38,116.64,112.07
58,59,59,Jonathan Byrd,88,114.43,8925.36,78,116.91,111.45
59,60,60,Robert Allenby,108,114.4,9266.32,81,117.45,107.38
60,61,61,Woody Austin,109,114.39,10523.98,92,118.1,110.99
61,62,62,Y.E. Yang,89,114.36,8348.43,73,118.69,110.76
62,T63,T63,Ryan Palmer,69,114.3,5143.36,45,118.41,111.33
63,T63,T63,Bo Van Pelt,101,114.3,9258.03,81,118.21,110.15
64,65,65,Will MacKenzie,62,114.29,6514.53,57,118.53,111.85
65,66,66,D.J. Trahan,94,114.27,8227.11,72,116.97,111.67
66,67,67,Nicholas Thompson,113,114.16,10045.98,88,120.94,110.32
67,68,68,Michael Allen,91,114.15,8104.37,71,118.34,110.17
68,69,69,Nick Flanagan,89,114.12,8559.36,75,117.6,110.66
69,70,70,Mathew Goggin,91,113.92,8088.52,71,117.19,107.95
70,71,71,Kenny Perry,97,113.87,9793.09,86,119.79,108.09
71,T72,T72,Todd Demsey,80,113.81,7511.27,66,117.12,110.33
72,T72,T72,Michael Letzig,88,113.81,7739.0,68,117.47,102.25
73,T72,T72,Brenden Pappas,66,113.81,4893.66,43,119.86,110.65
74,75,75,Ted Purdy,68,113.79,5120.43,45,117.67,110.54
75,76,76,John Huston,56,113.69,5115.95,45,115.82,110.73
76,77,77,Steve Lowery,74,113.65,7160.03,63,117.08,110.29
77,78,78,Nathan Green,95,113.57,8177.0,72,119.8,109.19
78,79,79,Scott McCarron,63,113.47,5673.35,50,117.68,108.87
79,80,80,Joe Durant,92,113.46,8736.55,77,117.43,110.81
80,81,81,Mark Calcavecchia,67,113.45,5332.18,47,116.87,110.38
